asin,variant_asin,variant,marketplace,brand,product_title,title,body,rating,date,author,verified_purchase,helpful_votes,review_id,review_url,images,scrape_date
B07KWPKKWZ,,Style Name: Serum,amazon.de,,,Flop,"Das soll helfen???? Es klebt einfach nur, verfettet die Haare aber trotz stundenlangem Auskemmen der Haare war der Kopf am nächsten Tag wieder voll mit Nissen!!! Benutzung streng nach Anleitung. Da verlässt man sich auf die positiven Bewertungen und das Resultat ist mehr als enttäuschend!! Würde das Produkt am liebsten zurückgeben und mein Geld zurück verlangen, ist nur leider nicht möglich, was um so ärgerlicher ist. Man wird auf eine Support Seite weitergeleitet, die nur wenig hilfreich ist, da wir von der Anleitung her nichts falsch gemacht haben!!!",1,Reviewed in Germany on 19 February 2026,Amazon Kunde,True,0,R1BP5Z31VV5QEK,https://www.amazon.de/gp/customer-reviews/R1BP5Z31VV5QEK,,2026-04-14T11:23:51.864300
B07KWPKKWZ,,Style Name: Serum,amazon.de,,,Unwirksam,"Gut aufzutragen, schwer auszuwaschen, viele Shampoogänge nötig. Leider wirkungslos, auch nach mehreren Behandlungen neue Nissen zu finden.",1,Reviewed in Germany on 26 March 2026,Melanie Schütt,True,0,R3TQK1YBXG8B6H,https://www.amazon.de/gp/customer-reviews/R3TQK1YBXG8B6H,,2026-04-14T11:23:51.864300
B07KWPKKWZ,,Style Name: Serum,amazon.de,,,Did not work/help,"The treatment doesn't work, still lice.",1,Reviewed in Germany on 27 March 2026,Katrine,True,0,R1MSMEMCIQL5U,https://www.amazon.de/gp/customer-reviews/R1MSMEMCIQL5U,,2026-04-14T11:23:51.864300
B07KWPKKWZ,,Style Name: Serum,amazon.de,,,Nicht gut,Ich könnte das nicht mehr abspülen,1,Reviewed in Germany on 17 February 2026,blerina,True,0,RKGOZKFEJN9DL,https://www.amazon.de/gp/customer-reviews/RKGOZKFEJN9DL,,2026-04-14T11:23:51.864300
B07KWPKKWZ,,Style Name: Serum,amazon.de,,,Keine Wirkung,Unglaublich dickfettigEine Anwendung hat überhaupt nichts gebracht,1,Reviewed in Germany on 14 January 2026,Aleхеу,True,0,R3Q9UROH0GGVZJ,https://www.amazon.de/gp/customer-reviews/R3Q9UROH0GGVZJ,,2026-04-14T11:23:51.864300
B07KWPKKWZ,,Style Name: Serum,amazon.de,,,"Wir haben nicht das gewünschte Ergebnis erzielt, da es die vorhandenen Läuse nicht beeinflusst hat.","Nicht auf dem erforderlichen Niveau, und wir haben keine greifbaren Ergebnisse gesehen.",1,Reviewed in Germany on 22 December 2025,Aiser Mohammad,True,2,RWX5SC4R28MCB,https://www.amazon.de/gp/customer-reviews/RWX5SC4R28MCB,,2026-04-14T11:23:51.864300
B07KWPKKWZ,,Style Name: Serum,amazon.de,,,Nicht optimal!,"Nur fett, da könnte ich gleich Petroleum verwenden! Auf weißem Fell irre!",1,Reviewed in Germany on 14 September 2025,Werner,True,2,R21ZUTLANKLENJ,https://www.amazon.de/gp/customer-reviews/R21ZUTLANKLENJ,,2026-04-14T11:23:51.864300
B07KWPKKWZ,,Style Name: Serum,amazon.de,,,Läuse werden aus meiner Sicht nur betäubt,"Habe es jetzt zum Zweiten Mal angewendet. Jedes Mal fängt es am 2. Tag wieder an zu jucken. Werden die Viecher nur ohnmächtig oder warum ist das so. Update: Ich  bin mir sicher. Aus meiner Sicht werden die Läuse bis zu 48 Stunden betäubt. Habe dieses Zeug 2 mal an meiner ganzen Familie ausprobiert. (insgesamt die 3. Behandlung) Beim zweiten mal noch dicker eingeschmiert und viel Zeit gelassen. Alle Klamotten und Bezüge direkt gewaschen. Trotzdem nach 1-2 Tagen wieder Läuse. Wenn man es schafft sofort alle Läuse raus zu kämmen,  wird man wohl zufrieden sein. Ansonsten hat man Pech gehabt und die Läuse bleiben. Sie sterben definitiv nicht von diesen Mittel. Zudem trocknet es sehr stark die Haut aus. Wir haben jetzt eine andere Lösung gefunden. Bio ist das Zeug auch nicht, wie hier manche es beschreiben. Bitte einmal nachschlagen was Biozid bedeutet.",1,Reviewed in Germany on 12 February 2020,sunydayde,True,23,R3HKDV5TCI6YN8,https://www.amazon.de/gp/customer-reviews/R3HKDV5TCI6YN8,,2026-04-14T11:23:51.864300
B07KWPKKWZ,,Style Name: Serum,amazon.de,,,"Keine Empfehlung, wie eine Ölhaube im Haar","Keine Empfehlung, ist wie eine ölhaube… kann man öfter noch haare waschen bis man das Zeug herausen hat!!",1,Reviewed in Germany on 6 April 2025,Carina Kogler,True,4,RS77HB1UXMMHH,https://www.amazon.de/gp/customer-reviews/RS77HB1UXMMHH,,2026-04-14T11:23:51.864300
B07KWPKKWZ,,Style Name: Serum,amazon.de,,,Nich empfehlen,"Leider hat es nicht geholfen, auch wenn ich mehr Zeit gegeben habe, als nötig gewesen wäre.",1,Reviewed in Germany on 10 January 2025,Rozalia Farkas,True,3,R2S0IG5GJUYZ00,https://www.amazon.de/gp/customer-reviews/R2S0IG5GJUYZ00,,2026-04-14T11:23:51.864300
