asin,variant_asin,variant,marketplace,brand,product_title,title,body,rating,date,author,verified_purchase,helpful_votes,review_id,review_url,images,scrape_date
B01G4WNA6S,,,amazon.fr,,,Plaques rouges suites à l'administration de ce produit,"Après 1 mois d'utilisation car petites bêtes dans les classes respectives de mes deux filles de 4 et 8 ans depuis la rentrée scolaire.Plaques sur le cuir chevelu qui démangent !!! Déjà que l'odeur était quasi insupportable, mais de là à éloigner les poux et se chopper des plaques rouges, je trouve cela honteux pour un produit destiné à l'enfant.Je ne peux pas mettre 0 étoile mais je suis réellement en colère de ce désagrément.",1,Reviewed in France on 16 November 2025,Ouerfelli Delphine,True,0,R30OAO429DADVD,https://www.amazon.fr/gp/customer-reviews/R30OAO429DADVD,,2026-04-14T14:28:28.996508
B01G4WNA6S,,,amazon.fr,,,Très déçue,Boite endommagé + manque des choses dedans..,1,Reviewed in France on 28 February 2026,Marie d.,True,0,R3HBEWR2QH7MC5,https://www.amazon.fr/gp/customer-reviews/R3HBEWR2QH7MC5,https://m.media-amazon.com/images/I/612zCAtBngL._SY88.jpg; https://m.media-amazon.com/images/I/61zgBTg1DhL._SY88.jpg,2026-04-14T14:28:28.996508
B01G4WNA6S,,,amazon.fr,,,Pratique lorsque le spray n a pas de défaut,,1,Reviewed in France on 29 March 2026,Caroline Cerdeña,True,0,R2PFIMZFOHPFOF,https://www.amazon.fr/gp/customer-reviews/R2PFIMZFOHPFOF,,2026-04-14T14:28:28.996508
B01G4WNA6S,,,amazon.fr,,,Livré sans le bouchon,"J'ai reçu ma commande sans le bouchon, ce qui a entraîné la pulvérisation du produit dans le carton. Par conséquent, une bonne partie du produit manque.",1,Reviewed in France on 21 November 2025,Estrada,True,0,RCYG1LD8GNAFN,https://www.amazon.fr/gp/customer-reviews/RCYG1LD8GNAFN,,2026-04-14T14:28:28.996508
B01G4WNA6S,,,amazon.fr,,,Carton non abîmé.,Bosselé avec odeur de produit !,1,Reviewed in France on 24 November 2025,Lefrant Benoit,True,0,R28TF7R1LSI6A9,https://www.amazon.fr/gp/customer-reviews/R28TF7R1LSI6A9,https://m.media-amazon.com/images/I/61z3pOikYcL._SY88.jpg; https://m.media-amazon.com/images/I/61tYb-H44pL._SY88.jpg,2026-04-14T14:28:28.996508
B01G4WNA6S,,,amazon.fr,,,Nul,"Ne fonctionne pas du tout. Malgré l'application tous les jours, mon fils ramèner toujours des poux... Nul !",1,Reviewed in France on 23 July 2025,Tiffany,True,0,R1HVZL0I46SP22,https://www.amazon.fr/gp/customer-reviews/R1HVZL0I46SP22,,2026-04-14T14:28:28.996508
B01G4WNA6S,,,amazon.fr,,,Défectueux,"Le capuchon pour appuyer et faire sortir le produit ne fonctionne pas et s’en va, il n’y a aucun moyen de faire sortir le produit, il est inutilisable",1,Reviewed in France on 10 February 2025,Lor,True,0,R1DMTZGFMW4Q5Y,https://www.amazon.fr/gp/customer-reviews/R1DMTZGFMW4Q5Y,,2026-04-14T14:28:28.996508
B01G4WNA6S,,,amazon.fr,,,Spray defectueux,"Format familial acheté pour que le produit dure longtemps en prévention.  le spray ne fonctionne pas et envoie de grandes giclées de produit localisé sur un point, qui reçoit donc le produit en surplus.Très décue 😞",1,Reviewed in France on 14 December 2024,MR MATTHIEU LAVIRON,True,0,R17M4YAHAWXYCO,https://www.amazon.fr/gp/customer-reviews/R17M4YAHAWXYCO,,2026-04-14T14:28:28.996508
B01G4WNA6S,,,amazon.fr,,,Produit à moitié vide,Bouchon cassé et le produit a tout coulé,1,Reviewed in France on 19 March 2025,Vm,True,0,R17Y583YJZKVTC,https://www.amazon.fr/gp/customer-reviews/R17Y583YJZKVTC,,2026-04-14T14:28:28.996508
B01G4WNA6S,,,amazon.fr,,,Produit bien mais arrivé abîmé,Le produit est très bien. Sauf qu'il est arrivé sans capuchon et un peu abîméMoyennement satisfaite ...,1,Reviewed in France on 7 March 2023,Tifany,True,0,R1SNRXOJPQMJRZ,https://www.amazon.fr/gp/customer-reviews/R1SNRXOJPQMJRZ,https://m.media-amazon.com/images/I/61NQiZISGJL._SY88.jpg; https://m.media-amazon.com/images/I/61ktfmbYPRL._SY88.jpg,2026-04-14T14:28:28.996508
