asin,variant_asin,variant,marketplace,brand,product_title,title,body,rating,date,author,verified_purchase,helpful_votes,review_id,review_url,images,scrape_date
B0724Z2D1J,,Configuration: Unique,amazon.fr,,,Grosse perte de cheveux avec ce produit,Dissous les cheveux mais pas les lentes... Ma fille a respecter le temps de pause et à perdu de grosses mèches de cheveux...,1,Reviewed in France on 5 February 2026,BLD,True,2,RZS8G6ZWGPE3O,https://www.amazon.fr/gp/customer-reviews/RZS8G6ZWGPE3O,,2026-04-14T14:32:04.360400
B0724Z2D1J,,Configuration: Unique,amazon.fr,,,Peigne inclus absent… inadmissible !,Il est écrit peigne inclus il n’y avait pas de peigne sans le peigne le produit est inutile !,1,Reviewed in France on 12 November 2025,Marie D.,True,0,R287H92AE1IA3N,https://www.amazon.fr/gp/customer-reviews/R287H92AE1IA3N,,2026-04-14T14:32:04.360400
B0724Z2D1J,,Configuration: Unique,amazon.fr,,,Bof,Pas du tout efficace sur ma fille. Produit pas très pratique à appliquer et le lendemain je retrouve encore des lentes.,1,Reviewed in France on 31 October 2025,Client d'Amazon,True,0,R1QUA40DMNKHYR,https://www.amazon.fr/gp/customer-reviews/R1QUA40DMNKHYR,,2026-04-14T14:32:04.360400
B0724Z2D1J,,Configuration: Unique,amazon.fr,,,Manqué le peigne,Produit reçu sans le peigne,1,Reviewed in France on 20 December 2025,anais mouisel,True,0,R2I6UQL0UONGB0,https://www.amazon.fr/gp/customer-reviews/R2I6UQL0UONGB0,https://m.media-amazon.com/images/I/71hs6ves-GL._SY88.jpg,2026-04-14T14:32:04.360400
B0724Z2D1J,,Configuration: Unique,amazon.fr,,,Bof,Ne marche pas sur mes enfants de l'argent jeter par la fenêtre.,1,Reviewed in France on 17 November 2025,marius millet,True,0,R3HK58SXIN1DYZ,https://www.amazon.fr/gp/customer-reviews/R3HK58SXIN1DYZ,,2026-04-14T14:32:04.360400
B0724Z2D1J,,Configuration: Unique,amazon.fr,,,Inéficasse,Pas efficace,1,Reviewed in France on 6 November 2025,velard,True,0,R2133TF3IPFRXZ,https://www.amazon.fr/gp/customer-reviews/R2133TF3IPFRXZ,,2026-04-14T14:32:04.360400
B0724Z2D1J,,Configuration: Unique,amazon.fr,,,Produit ne fonctionne pas,Produit ne fonctionne pas du tout,1,Reviewed in France on 31 August 2025,DOMAIN AURELIE,True,0,R1XZ709LIMCOU4,https://www.amazon.fr/gp/customer-reviews/R1XZ709LIMCOU4,,2026-04-14T14:32:04.360400
B0724Z2D1J,,Configuration: Unique,amazon.fr,,,Nul,Totalement inefficace une perte d’argent et de temps,1,Reviewed in France on 14 August 2025,do,True,0,R7G1YLH367AHE,https://www.amazon.fr/gp/customer-reviews/R7G1YLH367AHE,,2026-04-14T14:32:04.360400
B0724Z2D1J,,Configuration: Unique,amazon.fr,,,Je ne recommande pas,"Plus facile à décoller, certes, mais après application, on ne voit plus bien les lentes. Vous pensez que tout est parti, alors que non, ça les rend juste plus difficiles à détecter. Concernant le peigne, vous pouvez oublier. Les lentes s'enlèvent plus facilement, oui, mais attraper une à une avec les doigts. Conclusion : ça prend encore plus de temps, je déconseille.",1,Reviewed in France on 8 October 2024,Moussa T.,True,0,RJQ7FQUVTPHUJ,https://www.amazon.fr/gp/customer-reviews/RJQ7FQUVTPHUJ,,2026-04-14T14:32:04.360400
B0724Z2D1J,,Configuration: Unique,amazon.fr,,,Inefficace,"Je suis très déçu par ce baume censé éliminer les lentes. Malgré plusieurs applications en ayant scrupuleusement suivies les instructions, je n'ai pas constaté de résultats probants. Les lentes restent accrochées aux cheveux, rendant le traitement inefficace. En résumé, un produit cher qui ne tient pas ses promesses, je ne le recommande pas.",1,Reviewed in France on 18 September 2024,"Je suis très déçu par ce baume censé éliminer les lentes. Malgré plusieurs applications scrupuleusement suivies selon les instructions, je n'ai pas constaté de résultats probants. Les lentes restent accrochées aux cheveux, rendant le  l'utilisation innefficace . En résumé, un produit cher qui ne tient pas ses promesses, je ne le recommande pas.",True,0,R1S2H03E9YCM9Z,https://www.amazon.fr/gp/customer-reviews/R1S2H03E9YCM9Z,,2026-04-14T14:32:04.360400
