asin,variant_asin,variant,marketplace,brand,product_title,title,body,rating,date,author,verified_purchase,helpful_votes,review_id,review_url,images,scrape_date
B01M7V73CK,,Configuration: Single,amazon.it,,,"Prodotto ottimo, ma la spedizione un disastro!","Questa recensione non riguarda il prodotto che di per sé è ottimo (lo uso da anni e su entrambi i miei figli ha sempre funzionato in maniera eccellente), ma bensì la spedizione che questa volta è stata un vero disastro! Il prodotto è fuoriuscito danneggiando confezione (che risulta completamente inzuppata di prodotto) ed imballo esterno. Il tappo era svitato e questo probabilmente ne ha causato la fuoriuscita. Ho fatto subito richiesta di reso che Amazon ha accolto come sempre con estrema disponibilità anche se non trovo corretto richiedere al cliente le spese di spedizione per il ritiro a casa del prodotto quando il problema non è dipeso dallo stesso.",1,Reviewed in Italy on 24 January 2026,Elvy,True,0,R2NTKBMRPMX1L8,https://www.amazon.it/gp/customer-reviews/R2NTKBMRPMX1L8,https://m.media-amazon.com/images/I/71otecdrCeL._SY88.jpg; https://m.media-amazon.com/images/I/61defdH4ZEL._SY88.jpg; https://m.media-amazon.com/images/I/614U126fcSL._SY88.jpg; https://m.media-amazon.com/images/I/719tUPHM+0L._SY88.jpg; https://m.media-amazon.com/images/I/71wkb-u3SsL._SY88.jpg,2026-04-14T22:33:36.542125
B01M7V73CK,,Configuration: Single,amazon.it,,,Mai più,Arrivato completamente rotto.,1,Reviewed in Italy on 31 October 2025,Annina,True,0,RK30LPFQSUYRR,https://www.amazon.it/gp/customer-reviews/RK30LPFQSUYRR,,2026-04-14T22:33:36.542125
B01M7V73CK,,Configuration: Single,amazon.it,,,Arrivato rotto,"Arrivato rotto ,ho chiesto il rimborso e ancora nullq",1,Reviewed in Italy on 27 September 2025,A,True,0,R1JA41VBXM9AKJ,https://www.amazon.it/gp/customer-reviews/R1JA41VBXM9AKJ,,2026-04-14T22:33:36.542125
B01M7V73CK,,Configuration: Single,amazon.it,,,Inutile,"Del tutto inutile, non ha alcuna forma efficace di prevenzione. L’ho testato per un mese",1,Reviewed in Italy on 29 August 2025,Cliente Amazon,True,0,R19JG57N5L9WHY,https://www.amazon.it/gp/customer-reviews/R19JG57N5L9WHY,,2026-04-14T22:33:36.542125
B01M7V73CK,,Configuration: Single,amazon.it,,,Prodotto danneggiato,E’ arrivato meno di mezzo prodotto solo si è disperso nella scatola,1,Reviewed in Italy on 30 July 2025,Alessandra Baggio,True,0,R1O0JF1BY0Q2Q1,https://www.amazon.it/gp/customer-reviews/R1O0JF1BY0Q2Q1,https://m.media-amazon.com/images/I/61yLvcoIFRL._SY88.jpg,2026-04-14T22:33:36.542125
B01M7V73CK,,Configuration: Single,amazon.it,,,Lascia i capelli unti,Molto appiccicoso lascia i capelli unti pessimo,1,Reviewed in Italy on 16 April 2025,Luana,True,0,RQF41MT23DIT1,https://www.amazon.it/gp/customer-reviews/RQF41MT23DIT1,,2026-04-14T22:33:36.542125
B01M7V73CK,,Configuration: Single,amazon.it,,,Scatola danneggiata,"La mia recensione non si riferisce al prodotto in sé dato che non ho ancora avuto modo di sperimentarlo, quanto allo stato della scatola ( del prodotto stesso ) : era aperta e rotta come se fosse già stato usato e poi reso ( la scatola di spedizione si presenta invece integra )Sinceramente se pago un articolo per nuovo me lo aspetto tale e non già usato.Non faccio in reso perché mi serve con una certa urgenza",1,Reviewed in Italy on 6 September 2023,fede,True,0,RI8QRIM77Z65H,https://www.amazon.it/gp/customer-reviews/RI8QRIM77Z65H,https://m.media-amazon.com/images/I/81fIURxmzTL._SY88.jpg,2026-04-14T22:33:36.542125
B01M7V73CK,,Configuration: Single,amazon.it,,,ho dovuto fare il reso,e' arrivato completamente rovesciato,1,Reviewed in Italy on 31 October 2024,ELE,True,0,R33MMRZKFRSSB4,https://www.amazon.it/gp/customer-reviews/R33MMRZKFRSSB4,,2026-04-14T22:33:36.542125
B01M7V73CK,,Configuration: Single,amazon.it,,,Non ne vale la pena,Lo preso leggendo commenti positivi e per il prezzo basso ma soldi buttati non serve a prevenire niente e lo stesso che non mettevo niente non lo consiglio,1,Reviewed in Italy on 27 December 2023,Gioacchino maurello.,True,0,R2WSWM3RHZJRBK,https://www.amazon.it/gp/customer-reviews/R2WSWM3RHZJRBK,,2026-04-14T22:33:36.542125
B01M7V73CK,,Configuration: Single,amazon.it,,,Completamente inefficace,Fidandomi delle recensioni su questo prodotto l’ho acquistato. Nel mio specifico caso sono stati soldi buttati.,1,Reviewed in Italy on 2 March 2024,Cristian,True,0,R151CF6J1H60IJ,https://www.amazon.it/gp/customer-reviews/R151CF6J1H60IJ,,2026-04-14T22:33:36.542125
B01M7V73CK,,Configuration: Single,amazon.it,,,Scarso,Prodotto purtroppo inutile.,1,Reviewed in Italy on 18 June 2023,Cliente Amazon,True,0,R10H5Q2UWH02LJ,https://www.amazon.it/gp/customer-reviews/R10H5Q2UWH02LJ,,2026-04-14T22:33:36.542125
B01M7V73CK,,Configuration: Single,amazon.it,,,Descrizione non conforme,La confezione è da 100 ml non da 160 come indicato nella descrizione,1,Reviewed in Italy on 23 May 2019,Gianluigi,True,0,R1JQ89TD68BF71,https://www.amazon.it/gp/customer-reviews/R1JQ89TD68BF71,,2026-04-14T22:33:36.542125
B01M7V73CK,,Configuration: Single,amazon.it,,,Avenido abierto,Allegado abierto y se a desparrama el líquido de los dos botes,1,Reviewed in Spain on 9 April 2025,Josito,True,0,R1SWPK8H9WYWXY,https://www.amazon.it/gp/customer-reviews/R1SWPK8H9WYWXY,,2026-04-14T22:33:36.542125
B01M7V73CK,,Configuration: Single,amazon.it,,,Utile e facile da usare,"Ho comprato questo spray per prevenire i pidocchi a scuola e devo dire che è comodo da usare. Si spruzza facilmente sui capelli e non unge. Il profumo è leggero e non fastidioso. Non posso dire che sia una soluzione miracolosa, ma come prevenzione quotidiana mi dà tranquillità. Lo ricomprerei senza problemi",5,Reviewed in Italy on 12 January 2026,matteo,True,0,RJ3HY9D1731SJ,https://www.amazon.it/gp/customer-reviews/RJ3HY9D1731SJ,,2026-04-14T22:33:36.542125
B01M7V73CK,,Configuration: Single,amazon.it,,,Buon prodotto,"Ottimo prodotto. Utilizzato per prevenire la comparsa dei pidocchi. Quando nelle scuole o asili ci sono casi simili trovo che aiuti. L'odore non è troppo forte, lascia i capelli purtroppo leggermente unti, ma non più di tanto.",5,Reviewed in Italy on 14 November 2025,Pierre Podda,True,0,R1SO6AJ8UJZW38,https://www.amazon.it/gp/customer-reviews/R1SO6AJ8UJZW38,,2026-04-14T22:33:36.542125
