asin,variant_asin,variant,marketplace,brand,product_title,title,body,rating,date,author,verified_purchase,helpful_votes,review_id,review_url,images,scrape_date
B0892Q7DB6,,,amazon.it,,,Non funziona,"Non serve a nulla , seguo al dettaglio le iatruzioni, dopo aver spalmato il prodotto su tutta la testa di mia figlia,coprendo ogni cm quadrato, lascio in posa anziche' 10 minuti , ben 30 minuti, morale della favola , passando successivamente il pettinino  , rimuovo un pidocchio ancora vivo e vegeto, ma com e' possibile??? Come se la mezz ora di testa ""in posa"" non fosse servita a niente, per 15 euro mi aspettavo di piu",1,Reviewed in Italy on 1 March 2026,flavio,True,0,R2NBJF4E6H68I0,https://www.amazon.it/gp/customer-reviews/R2NBJF4E6H68I0,,2026-04-14T22:38:23.615649
B0892Q7DB6,,,amazon.it,,,Pessimo,Non è servito a nulla,1,Reviewed in Italy on 2 January 2026,Daniela,True,0,RHDYUKIKLRCAH,https://www.amazon.it/gp/customer-reviews/RHDYUKIKLRCAH,,2026-04-14T22:38:23.615649
B0892Q7DB6,,,amazon.it,,,Non ha purtroppo funzionato,Dopo 6 trattamenti (e lasciando in posa l’ultima volta un’ora) ho ceduto e comprato un altro prodotto. Sulle mie figlie purtroppo non ha portato a termine il compito di eliminare i pidocchi definitivamente.,1,Reviewed in Italy on 3 November 2025,francesca,True,0,R18BZA3A70KMEP,https://www.amazon.it/gp/customer-reviews/R18BZA3A70KMEP,,2026-04-14T22:38:23.615649
B0892Q7DB6,,,amazon.it,,,Non era completo,Mancante il pettine la scatola dentro non aveva il pettine,1,Reviewed in Italy on 27 November 2025,Natalia,True,0,R2Q8YQ539CE8T5,https://www.amazon.it/gp/customer-reviews/R2Q8YQ539CE8T5,https://m.media-amazon.com/images/I/61uCjA1zYvL._SY88.jpg; https://m.media-amazon.com/images/I/71gDYzyU4WL._SY88.jpg,2026-04-14T22:38:23.615649
B0892Q7DB6,,,amazon.it,,,Total waist of money,Total waist of money! Used without any effect!,1,Reviewed in Italy on 26 November 2025,Bogdan,True,0,R2F4TP69VD1CIG,https://www.amazon.it/gp/customer-reviews/R2F4TP69VD1CIG,,2026-04-14T22:38:23.615649
B0892Q7DB6,,,amazon.it,,,Non ha funzionato,"Per me non ha funzionato e l’ho tenuto in posa più di un’ora, delusione di questo come di tanti altri prodotti.",1,Reviewed in Italy on 25 October 2025,Raissa,True,0,RFFEFNLCCSVWZ,https://www.amazon.it/gp/customer-reviews/RFFEFNLCCSVWZ,,2026-04-14T22:38:23.615649
B0892Q7DB6,,,amazon.it,,,Negativo,Prodotto non conforme all esigenza non è ciò che ho sempre comprato in farmacia pensavo di comprare a buon prezzo invece è davvero pessimo e non funzionale,1,Reviewed in Italy on 20 September 2025,Francesca,True,0,R3D7ZYVYR5KZ72,https://www.amazon.it/gp/customer-reviews/R3D7ZYVYR5KZ72,,2026-04-14T22:38:23.615649
B0892Q7DB6,,,amazon.it,,,Pacchetto chiaramente aperto e consegnato in questo modo,,1,Reviewed in Italy on 24 January 2026,Polly,True,0,R3529VL3QDN2X3,https://www.amazon.it/gp/customer-reviews/R3529VL3QDN2X3,https://m.media-amazon.com/images/I/711b3jLSMfL._SY88.jpg,2026-04-14T22:38:23.615649
B0892Q7DB6,,,amazon.it,,,Inefficace,"Inefficace, Fatto 2 impacchi di 30 minuti a distanza di 3 giorni, escono ancora pidocchi vivi",1,Reviewed in Italy on 13 September 2025,ROCCO FALVELLA,True,0,R2IZGZWDVM56J0,https://www.amazon.it/gp/customer-reviews/R2IZGZWDVM56J0,,2026-04-14T22:38:23.615649
B0892Q7DB6,,,amazon.it,,,Scatola danneggiata e aperta senza pettinino,"Scatola danneggiata e aperta, consegnato senza pettinino.",1,Reviewed in Italy on 15 October 2025,Massimo Siccardi,True,0,R28MYI91A6WK29,https://www.amazon.it/gp/customer-reviews/R28MYI91A6WK29,https://m.media-amazon.com/images/I/71Xl+tkkpML._SY88.jpg,2026-04-14T22:38:23.615649
