"Time","Sales","Trend Line","7-Day Moving Average"
"2023-05-01 01:00:00",0,1.2492105556833963,0
"2023-05-02 01:00:00",0,,0
"2023-05-03 01:00:00",0,,0
"2023-05-04 01:00:00",0,,0
"2023-05-05 01:00:00",0,,0
"2023-05-06 01:00:00",0,,0
"2023-05-07 01:00:00",0,,0
"2023-05-08 01:00:00",0,,0
"2023-05-09 01:00:00",0,,0
"2023-05-10 01:00:00",0,,0
"2023-05-11 01:00:00",0,,0
"2023-05-12 01:00:00",0,,0
"2023-05-13 01:00:00",0,,0.33
"2023-05-14 01:00:00",0,,1.03
"2023-05-15 01:00:00",0,,1.41
"2023-05-16 01:00:00",2.31,,2.64
"2023-05-17 01:00:00",4.92,,3.27
"2023-05-18 01:00:00",2.62,,2.24
"2023-05-19 01:00:00",1.68,,1.87
"2023-05-20 01:00:00",1.53,,1.54
"2023-05-21 01:00:00",0,,0.83
"2023-05-22 01:00:00",0,,0.46
"2023-05-23 01:00:00",0,,0.22
"2023-05-24 01:00:00",0,,0
"2023-05-25 01:00:00",0,,0
"2023-05-26 01:00:00",0,,0
"2023-05-27 01:00:00",0,,0
"2023-05-28 01:00:00",0,,0
"2023-05-29 01:00:00",0,,0
"2023-05-30 01:00:00",0,,0
"2023-05-31 01:00:00",0,,0
"2023-06-01 01:00:00",0,,0.01
"2023-06-02 01:00:00",0,,0.01
"2023-06-03 01:00:00",0,,0.02
"2023-06-04 01:00:00",0.04,,0.02
"2023-06-05 01:00:00",0.04,,0.02
"2023-06-06 01:00:00",0.03,,0.03
"2023-06-07 01:00:00",0.02,,0.03
"2023-06-08 01:00:00",0.03,,0.03
"2023-06-09 01:00:00",0.03,,0.03
"2023-06-10 01:00:00",0.05,,0.04
"2023-06-11 01:00:00",0.04,,0.04
"2023-06-12 01:00:00",0.04,,0.04
"2023-06-13 01:00:00",0.04,,0.03
"2023-06-14 01:00:00",0.03,,0.03
"2023-06-15 01:00:00",0.02,,0.03
"2023-06-16 01:00:00",0.02,,0.03
"2023-06-17 01:00:00",0.02,,0.02
"2023-06-18 01:00:00",0.04,,0.02
"2023-06-19 01:00:00",0.01,,0.02
"2023-06-20 01:00:00",0.01,,0.02
"2023-06-21 01:00:00",0,,0.01
"2023-06-22 01:00:00",0,,0
"2023-06-23 01:00:00",0,,0
"2023-06-24 01:00:00",0,,0
"2023-06-25 01:00:00",0,,0
"2023-06-26 01:00:00",0,,0
"2023-06-27 01:00:00",0,,0
"2023-06-28 01:00:00",0,,0
"2023-06-29 01:00:00",0,,0
"2023-06-30 01:00:00",0,,0
"2023-07-01 01:00:00",0,,0
"2023-07-02 01:00:00",0,,0
"2023-07-03 01:00:00",0,,0
"2023-07-04 01:00:00",0,,0
"2023-07-05 01:00:00",0,,0.29
"2023-07-06 01:00:00",0,,0.43
"2023-07-07 01:00:00",0,,0.43
"2023-07-08 01:00:00",2,,1.86
"2023-07-09 01:00:00",1,,1.14
"2023-07-10 01:00:00",0,,0.43
"2023-07-11 01:00:00",0,,0.43
"2023-07-12 01:00:00",0,,0.14
"2023-07-13 01:00:00",0,,0
"2023-07-14 01:00:00",0,,0
"2023-07-15 01:00:00",0,,0
"2023-07-16 01:00:00",0,,0
"2023-07-17 01:00:00",0,,0
"2023-07-18 01:00:00",0,,0
"2023-07-19 01:00:00",0,,0
"2023-07-20 01:00:00",0,,0
"2023-07-21 01:00:00",0,,0
"2023-07-22 01:00:00",0,,0
"2023-07-23 01:00:00",0,,0
"2023-07-24 01:00:00",0,,0
"2023-07-25 01:00:00",0,,0
"2023-07-26 01:00:00",0,,0
"2023-07-27 01:00:00",0,,0
"2023-07-28 01:00:00",0,,0
"2023-07-29 01:00:00",0,,0
"2023-07-30 01:00:00",0,,0
"2023-07-31 01:00:00",0,,0
"2023-08-01 01:00:00",0,,0
"2023-08-02 01:00:00",0,,0
"2023-08-03 01:00:00",0,,0
"2023-08-04 01:00:00",0,,0
"2023-08-05 01:00:00",0,,0
"2023-08-06 01:00:00",0,,0
"2023-08-07 01:00:00",0,,0
"2023-08-08 01:00:00",0,,0
"2023-08-09 01:00:00",0,,0
"2023-08-10 01:00:00",0,,0
"2023-08-11 01:00:00",0,,0
"2023-08-12 01:00:00",0,,0
"2023-08-13 01:00:00",0,,0
"2023-08-14 01:00:00",0,,0
"2023-08-15 01:00:00",0,,0
"2023-08-16 01:00:00",0,,0
"2023-08-17 01:00:00",0,,0
"2023-08-18 01:00:00",0,,0
"2023-08-19 01:00:00",0,,0
"2023-08-20 01:00:00",0,,0
"2023-08-21 01:00:00",0,,0
"2023-08-22 01:00:00",0,,0
"2023-08-23 01:00:00",0,,0
"2023-08-24 01:00:00",0,,0
"2023-08-25 01:00:00",0,,0
"2023-08-26 01:00:00",0,,0.03
"2023-08-27 01:00:00",0,,0.07
"2023-08-28 01:00:00",0,,0.13
"2023-08-29 01:00:00",0.18,,0.26
"2023-08-30 01:00:00",0.33,,0.34
"2023-08-31 01:00:00",0.38,,0.39
"2023-09-01 01:00:00",0.42,,0.45
"2023-09-02 01:00:00",0.42,,0.53
"2023-09-03 01:00:00",0.64,,0.61
"2023-09-04 01:00:00",0.78,,0.73
"2023-09-05 01:00:00",0.71,,0.94
"2023-09-06 01:00:00",0.91,,1.1
"2023-09-07 01:00:00",1.21,,1.11
"2023-09-08 01:00:00",1.9,,1.12
"2023-09-09 01:00:00",1.57,,1.31
"2023-09-10 01:00:00",0.68,,1.28
"2023-09-11 01:00:00",0.87,,1.26
"2023-09-12 01:00:00",2.05,,1.62
"2023-09-13 01:00:00",0,,0.51
"2023-09-14 01:00:00",0,,0.42
"2023-09-15 01:00:00",0,,0.29
"2023-09-16 01:00:00",0,,0
"2023-09-17 01:00:00",0,,0
"2023-09-18 01:00:00",0,,0
"2023-09-19 01:00:00",0,,0
"2023-09-20 01:00:00",0,,0
"2023-09-21 01:00:00",0,,0
"2023-09-22 01:00:00",0,,0
"2023-09-23 01:00:00",0,,0
"2023-09-24 01:00:00",0,,0
"2023-09-25 01:00:00",0,,0
"2023-09-26 01:00:00",0,,0
"2023-09-27 01:00:00",0,,0
"2023-09-28 01:00:00",0,,0
"2023-09-29 01:00:00",0,,0
"2023-09-30 01:00:00",0,,0
"2023-10-01 01:00:00",0,,0
"2023-10-02 01:00:00",0,,0
"2023-10-03 01:00:00",0,,0
"2023-10-04 01:00:00",0,,0
"2023-10-05 01:00:00",0,,0
"2023-10-06 01:00:00",0,,0
"2023-10-07 01:00:00",0,,0
"2023-10-08 01:00:00",0,,0
"2023-10-09 01:00:00",0,,0
"2023-10-10 01:00:00",0,,0
"2023-10-11 01:00:00",0,,0
"2023-10-12 01:00:00",0,,0
"2023-10-13 01:00:00",0,,0
"2023-10-14 01:00:00",0,,0
"2023-10-15 01:00:00",0,,0
"2023-10-16 01:00:00",0,,0
"2023-10-17 01:00:00",0,,0
"2023-10-18 01:00:00",0,,0
"2023-10-19 01:00:00",0,,0
"2023-10-20 01:00:00",0,,0
"2023-10-21 01:00:00",0,,0
"2023-10-22 01:00:00",0,,0
"2023-10-23 01:00:00",0,,0
