"Time","Sales","Trend Line","7-Day Moving Average"
"2026-03-31 01:00:00",3.23,10.90824137931036,4.55
"2026-04-01 01:00:00",3.84,,5.4
"2026-04-02 01:00:00",6.43,,6.46
"2026-04-03 01:00:00",8.67,,7.23
"2026-04-04 01:00:00",7.96,,9.77
"2026-04-05 01:00:00",8.64,,11.99
"2026-04-06 01:00:00",11.82,,13.7
"2026-04-07 01:00:00",21.05,,14.95
"2026-04-08 01:00:00",19.36,,16.04
"2026-04-09 01:00:00",18.4,,17.44
"2026-04-10 01:00:00",17.43,,17.12
"2026-04-11 01:00:00",15.59,,14.93
"2026-04-12 01:00:00",0,,11
"2026-04-13 01:00:00",10.55,,11.45
"2026-04-14 01:00:00",7.57,,11.07
"2026-04-15 01:00:00",7.46,,12.16
"2026-04-16 01:00:00",10.99,,12.66
"2026-04-17 01:00:00",17.74,,14.65
"2026-04-18 01:00:00",23.32,,18.5
"2026-04-19 01:00:00",0,,9.58
"2026-04-20 01:00:00",0,,9.36
"2026-04-21 01:00:00",0,,7.88
"2026-04-22 01:00:00",15.01,,14
"2026-04-23 01:00:00",9.44,,11.61
"2026-04-24 01:00:00",7.36,,10.17
"2026-04-25 01:00:00",21.15,,12
"2026-04-26 01:00:00",0,,6.83
"2026-04-27 01:00:00",3.52,,6.99
"2026-04-28 01:00:00",6.36,8.42396551724137,8.07
