"Time","Sales","Trend Line","7-Day Moving Average"
"2026-04-08 01:00:00",1.69,2.3257056277056285,2.44
"2026-04-09 01:00:00",1.85,,2.58
"2026-04-10 01:00:00",2.46,,2.67
"2026-04-11 01:00:00",6,,2.54
"2026-04-12 01:00:00",2.33,,2.47
"2026-04-13 01:00:00",1.89,,2.34
"2026-04-14 01:00:00",1.53,,2.22
"2026-04-15 01:00:00",1.24,,1.72
"2026-04-16 01:00:00",0.95,,1.73
"2026-04-17 01:00:00",1.6,,1.61
"2026-04-18 01:00:00",2.47,,1.55
"2026-04-19 01:00:00",2.42,,1.49
"2026-04-20 01:00:00",1.04,,1.46
"2026-04-21 01:00:00",1.14,,1.39
"2026-04-22 01:00:00",0.84,,1.29
"2026-04-23 01:00:00",0.74,,1.28
"2026-04-24 01:00:00",1.09,,1.46
"2026-04-25 01:00:00",1.73,,1.62
"2026-04-26 01:00:00",2.41,,1.84
"2026-04-27 01:00:00",2.25,,2.03
"2026-04-28 01:00:00",2.25,1.3818095238095234,2.2
