"Time","Sales","Trend Line","7-Day Moving Average"
"2025-07-03 01:00:00",16.29,9.058361744760113,16.43
"2025-07-04 01:00:00",18.21,,16.49
"2025-07-05 01:00:00",18.58,,16.69
"2025-07-06 01:00:00",13.06,,15.91
"2025-07-07 01:00:00",12.86,,14.6
"2025-07-08 01:00:00",19.26,,12.92
"2025-07-09 01:00:00",13.11,,11.29
"2025-07-10 01:00:00",7.09,,10.05
"2025-07-11 01:00:00",6.49,,8.98
"2025-07-12 01:00:00",7.14,,7.46
"2025-07-13 01:00:00",4.38,,6.86
"2025-07-14 01:00:00",5.38,,7.1
"2025-07-15 01:00:00",8.61,,7.42
"2025-07-16 01:00:00",8.94,,7.96
"2025-07-17 01:00:00",8.75,,8.11
"2025-07-18 01:00:00",8.75,,8.77
"2025-07-19 01:00:00",10.94,,8.97
"2025-07-20 01:00:00",5.4,,8.74
"2025-07-21 01:00:00",10,,8.53
"2025-07-22 01:00:00",10,,8.37
"2025-07-23 01:00:00",7.34,,9
"2025-07-24 01:00:00",7.29,,9.2
"2025-07-25 01:00:00",7.62,,10.7
"2025-07-26 01:00:00",15.36,,11.54
"2025-07-27 01:00:00",6.82,,12.26
"2025-07-28 01:00:00",20.47,,12.71
"2025-07-29 01:00:00",15.91,,12.72
"2025-07-30 01:00:00",12.38,,11.57
"2025-07-31 01:00:00",10.41,,11.67
"2025-08-01 01:00:00",7.71,,9.81
"2025-08-02 01:00:00",7.31,,8.82
"2025-08-03 01:00:00",7.52,,8.71
"2025-08-04 01:00:00",7.4,,9.62
"2025-08-05 01:00:00",9.02,,11.3
"2025-08-06 01:00:00",11.58,,13.29
"2025-08-07 01:00:00",16.83,,18.27
"2025-08-08 01:00:00",19.42,,20.06
"2025-08-09 01:00:00",21.24,,20.77
"2025-08-10 01:00:00",42.37,,20.79
"2025-08-11 01:00:00",19.93,,19.97
"2025-08-12 01:00:00",14.04,,18.83
"2025-08-13 01:00:00",11.71,,17.34
"2025-08-14 01:00:00",11.06,,14.6
"2025-08-15 01:00:00",11.43,,14.49
"2025-08-16 01:00:00",10.81,,15.07
"2025-08-17 01:00:00",23.19,,15.84
"2025-08-18 01:00:00",19.17,,16.25
"2025-08-19 01:00:00",18.11,,16.43
"2025-08-20 01:00:00",17.13,,16.19
"2025-08-21 01:00:00",13.94,,16.04
"2025-08-22 01:00:00",12.65,,16.04
"2025-08-23 01:00:00",9.14,,16.52
"2025-08-24 01:00:00",22.11,,16.94
"2025-08-25 01:00:00",19.2,,16.95
"2025-08-26 01:00:00",21.47,,16.82
"2025-08-27 01:00:00",20.08,,16.81
"2025-08-28 01:00:00",14.01,,14.71
"2025-08-29 01:00:00",11.76,,13.58
"2025-08-30 01:00:00",9.05,,13.29
"2025-08-31 01:00:00",7.37,,12.33
"2025-09-01 01:00:00",11.3,,12.09
"2025-09-02 01:00:00",19.46,,12.33
"2025-09-03 01:00:00",13.39,,12.64
"2025-09-04 01:00:00",12.3,,13.36
"2025-09-05 01:00:00",13.47,,13.13
"2025-09-06 01:00:00",11.21,,11.78
"2025-09-07 01:00:00",12.42,,10.92
"2025-09-08 01:00:00",9.67,,10.06
"2025-09-09 01:00:00",10.02,,9.33
"2025-09-10 01:00:00",7.32,,8.41
"2025-09-11 01:00:00",6.32,,7.49
"2025-09-12 01:00:00",8.32,,6.96
"2025-09-13 01:00:00",4.78,,5.97
"2025-09-14 01:00:00",6.01,,5.37
"2025-09-15 01:00:00",5.93,,4.78
"2025-09-16 01:00:00",3.09,,3.88
"2025-09-17 01:00:00",3.17,,3.57
"2025-09-18 01:00:00",2.17,,3
"2025-09-19 01:00:00",2.02,,2.35
"2025-09-20 01:00:00",2.61,,2.08
"2025-09-21 01:00:00",2.01,,1.79
"2025-09-22 01:00:00",1.36,,1.63
"2025-09-23 01:00:00",1.23,,1.45
"2025-09-24 01:00:00",1.15,,1.18
"2025-09-25 01:00:00",1.03,,1.01
"2025-09-26 01:00:00",0.78,,0.96
"2025-09-27 01:00:00",0.69,,1.19
"2025-09-28 01:00:00",0.81,,1.33
"2025-09-29 01:00:00",1.02,,1.3
"2025-09-30 01:00:00",2.86,,1.32
"2025-10-01 01:00:00",2.1,,1.37
"2025-10-02 01:00:00",0.82,,1.46
"2025-10-03 01:00:00",0.93,,1.47
"2025-10-04 01:00:00",1.08,,1.19
"2025-10-05 01:00:00",1.44,,1.01
"2025-10-06 01:00:00",1.03,,1.01
"2025-10-07 01:00:00",0.93,,1.13
"2025-10-08 01:00:00",0.84,,1.41
"2025-10-09 01:00:00",0.84,,1.36
"2025-10-10 01:00:00",1.75,,1.34
"2025-10-11 01:00:00",3.01,,1.42
"2025-10-12 01:00:00",1.11,,1.44
"2025-10-13 01:00:00",0.92,,1.45
"2025-10-14 01:00:00",1.5,,1.3
"2025-10-15 01:00:00",0.93,,0.95
"2025-10-16 01:00:00",0.91,,0.85
"2025-10-17 01:00:00",0.72,,0.81
"2025-10-18 01:00:00",0.55,,0.69
"2025-10-19 01:00:00",0.44,,0.65
"2025-10-20 01:00:00",0.62,,0.57
"2025-10-21 01:00:00",0.65,,0.5
"2025-10-22 01:00:00",0.65,,0.46
"2025-10-23 01:00:00",0.34,,0.46
"2025-10-24 01:00:00",0.26,,0.55
"2025-10-25 01:00:00",0.25,,0.6
"2025-10-26 01:00:00",0.45,,0.6
"2025-10-27 00:00:00",1.27,,0.64
"2025-10-28 00:00:00",0.96,,0.69
"2025-10-29 00:00:00",0.66,,0.77
"2025-10-30 00:00:00",0.65,,0.8
"2025-10-31 00:00:00",0.61,,0.72
"2025-11-01 00:00:00",0.82,,0.67
"2025-11-02 00:00:00",0.64,,0.63
"2025-11-03 00:00:00",0.71,,0.58
"2025-11-04 00:00:00",0.57,,0.54
"2025-11-05 00:00:00",0.38,,0.46
"2025-11-06 00:00:00",0.35,,0.47
"2025-11-07 00:00:00",0.29,,0.5
"2025-11-08 00:00:00",0.26,,0.53
"2025-11-09 00:00:00",0.74,,0.58
"2025-11-10 00:00:00",0.88,,0.61
"2025-11-11 00:00:00",0.8,,0.62
"2025-11-12 00:00:00",0.77,,0.63
"2025-11-13 00:00:00",0.5,,0.59
