"Time","Sales","Trend Line","7-Day Moving Average"
"2026-04-12 01:00:00",13.4,10.652401960784319,11.43
"2026-04-13 01:00:00",13.93,,10.81
"2026-04-14 01:00:00",5.39,,8.84
"2026-04-15 01:00:00",7.1,,9.61
"2026-04-16 01:00:00",8.02,,10.07
"2026-04-17 01:00:00",8.67,,10.08
"2026-04-18 01:00:00",10.78,,10.57
"2026-04-19 01:00:00",16.58,,10.52
"2026-04-20 01:00:00",14.02,,10.85
"2026-04-21 01:00:00",8.83,,11.77
"2026-04-22 01:00:00",6.74,,12.46
"2026-04-23 01:00:00",10.32,,11.12
"2026-04-24 01:00:00",15.14,,10.15
"2026-04-25 01:00:00",15.62,,10.19
"2026-04-26 01:00:00",7.2,,10.25
"2026-04-27 01:00:00",7.21,,9.81
"2026-04-28 01:00:00",9.09,10.24220588235294,9.48
