"Time","Sales","Trend Line","7-Day Moving Average"
"2025-07-28 01:00:00",1.8,17.766784824442425,1.8
"2025-07-29 01:00:00",1.8,,1.8
"2025-07-30 01:00:00",1.8,,1.8
"2025-07-31 01:00:00",1.8,,2.61
"2025-08-01 01:00:00",1.8,,3.71
"2025-08-02 01:00:00",0,,5
"2025-08-03 01:00:00",7.49,,7.95
"2025-08-04 01:00:00",9.46,,10.31
"2025-08-05 01:00:00",12.62,,13.04
"2025-08-06 01:00:00",14.98,,13.86
"2025-08-07 01:00:00",16.36,,16.14
"2025-08-08 01:00:00",17.74,,17.83
"2025-08-09 01:00:00",18.34,,19.5
"2025-08-10 01:00:00",23.49,,22.38
"2025-08-11 01:00:00",21.25,,26.24
"2025-08-12 01:00:00",24.34,,31.36
"2025-08-13 01:00:00",35.14,,37.57
"2025-08-14 01:00:00",43.41,,41.76
"2025-08-15 01:00:00",53.58,,43.76
"2025-08-16 01:00:00",61.79,,43.41
"2025-08-17 01:00:00",52.79,,42.84
"2025-08-18 01:00:00",35.3,,44.21
"2025-08-19 01:00:00",21.84,,41.94
"2025-08-20 01:00:00",31.17,,36
"2025-08-21 01:00:00",53.02,,31.47
"2025-08-22 01:00:00",37.68,,30.17
"2025-08-23 01:00:00",20.21,,32.82
"2025-08-24 01:00:00",21.08,,33.65
"2025-08-25 01:00:00",26.21,,30.83
"2025-08-26 01:00:00",40.38,,30.26
"2025-08-27 01:00:00",36.99,,29.71
"2025-08-28 01:00:00",33.26,,32.45
"2025-08-29 01:00:00",33.68,,33.66
"2025-08-30 01:00:00",16.39,,32.21
"2025-08-31 01:00:00",40.23,,31.93
"2025-09-01 01:00:00",34.68,,32.31
"2025-09-02 01:00:00",30.21,,30.42
"2025-09-03 01:00:00",35.07,,30.43
"2025-09-04 01:00:00",35.9,,27.51
"2025-09-05 01:00:00",20.44,,26.36
"2025-09-06 01:00:00",16.47,,26.66
"2025-09-07 01:00:00",19.77,,25
"2025-09-08 01:00:00",26.65,,23.72
"2025-09-09 01:00:00",32.3,,23.24
"2025-09-10 01:00:00",23.46,,22.71
"2025-09-11 01:00:00",26.96,,22.3
"2025-09-12 01:00:00",17.09,,20.29
"2025-09-13 01:00:00",12.76,,18.26
"2025-09-14 01:00:00",16.86,,17.54
"2025-09-15 01:00:00",12.57,,16.45
"2025-09-16 01:00:00",18.12,,17.61
"2025-09-17 01:00:00",18.41,,21
"2025-09-18 01:00:00",19.34,,19.97
"2025-09-19 01:00:00",25.21,,19.54
"2025-09-20 01:00:00",36.49,,18.83
"2025-09-21 01:00:00",9.62,,18.01
"2025-09-22 01:00:00",9.62,,16.29
"2025-09-23 01:00:00",13.13,,13.43
"2025-09-24 01:00:00",12.63,,9.29
"2025-09-25 01:00:00",7.3,,9.48
