"Time","Sales","Trend Line","7-Day Moving Average"
"2026-03-31 01:00:00",35.9,35.37206896551725,49.39
"2026-04-01 01:00:00",0,,41.23
"2026-04-02 01:00:00",59.47,,54.91
"2026-04-03 01:00:00",87.61,,59.33
"2026-04-04 01:00:00",0,,34.24
"2026-04-05 01:00:00",29.61,,45.49
"2026-04-06 01:00:00",27.48,,45.39
"2026-04-07 01:00:00",35.51,,44.07
"2026-04-08 01:00:00",49.16,,48.52
"2026-04-09 01:00:00",60.87,,52.2
"2026-04-10 01:00:00",70.35,,54.82
"2026-04-11 01:00:00",66.69,,54.48
"2026-04-12 01:00:00",55.37,,52.06
"2026-04-13 01:00:00",45.81,,49.13
"2026-04-14 01:00:00",33.11,,47.8
"2026-04-15 01:00:00",32.22,,49.23
"2026-04-16 01:00:00",40.39,,49.23
"2026-04-17 01:00:00",61.02,,50.26
"2026-04-18 01:00:00",76.7,,52.03
"2026-04-19 01:00:00",55.33,,53.3
"2026-04-20 01:00:00",53.04,,52.45
"2026-04-21 01:00:00",45.5,,51.01
"2026-04-22 01:00:00",41.12,,49.14
"2026-04-23 01:00:00",34.47,,53.49
"2026-04-24 01:00:00",50.93,,57.6
"2026-04-25 01:00:00",63.57,,60.98
"2026-04-26 01:00:00",85.81,,67.37
"2026-04-27 01:00:00",81.81,,73.56
"2026-04-28 01:00:00",69.18,66.73206896551724,72.56
