"Time","Sales","Trend Line","7-Day Moving Average"
"2024-12-29 00:00:00",0.31,2.1153339027170883,0.26
"2024-12-30 00:00:00",0.25,,0.22
"2024-12-31 00:00:00",0.17,,0.21
"2025-01-01 00:00:00",0.18,,0.22
"2025-01-02 00:00:00",0.12,,0.22
"2025-01-03 00:00:00",0.26,,0.2
"2025-01-04 00:00:00",0.27,,0.2
"2025-01-05 00:00:00",0.26,,0.19
"2025-01-06 00:00:00",0.17,,0.2
"2025-01-07 00:00:00",0.15,,0.19
"2025-01-08 00:00:00",0.12,,0.2
"2025-01-09 00:00:00",0.18,,0.25
"2025-01-10 00:00:00",0.15,,0.27
"2025-01-11 00:00:00",0.35,,0.29
"2025-01-12 00:00:00",0.64,,0.3
"2025-01-13 00:00:00",0.27,,0.34
"2025-01-14 00:00:00",0.3,,0.37
"2025-01-15 00:00:00",0.21,,0.35
"2025-01-16 00:00:00",0.46,,0.3
"2025-01-17 00:00:00",0.39,,0.31
"2025-01-18 00:00:00",0.21,,0.3
"2025-01-19 00:00:00",0.25,,0.32
"2025-01-20 00:00:00",0.37,,0.28
"2025-01-21 00:00:00",0.23,,0.25
"2025-01-22 00:00:00",0.34,,0.27
"2025-01-23 00:00:00",0.15,,0.29
"2025-01-24 00:00:00",0.17,,0.34
"2025-01-25 00:00:00",0.41,,0.41
"2025-01-26 00:00:00",0.38,,0.46
"2025-01-27 00:00:00",0.72,,0.55
"2025-01-28 00:00:00",0.71,,0.66
"2025-01-29 00:00:00",0.71,,0.71
"2025-01-30 00:00:00",0.78,,0.77
"2025-01-31 00:00:00",0.88,,0.84
"2025-02-01 00:00:00",0.8,,0.87
"2025-02-02 00:00:00",0.82,,0.87
"2025-02-03 00:00:00",1.18,,0.83
"2025-02-04 00:00:00",0.93,,0.77
"2025-02-05 00:00:00",0.68,,0.71
"2025-02-06 00:00:00",0.5,,0.67
"2025-02-07 00:00:00",0.45,,0.58
"2025-02-08 00:00:00",0.41,,0.56
"2025-02-09 00:00:00",0.54,,0.53
"2025-02-10 00:00:00",0.55,,0.51
"2025-02-11 00:00:00",0.77,,0.49
"2025-02-12 00:00:00",0.48,,0.47
"2025-02-13 00:00:00",0.38,,0.46
"2025-02-14 00:00:00",0.27,,0.51
"2025-02-15 00:00:00",0.33,,0.51
"2025-02-16 00:00:00",0.41,,0.54
"2025-02-17 00:00:00",0.95,,0.61
"2025-02-18 00:00:00",0.75,,0.7
"2025-02-19 00:00:00",0.69,,0.79
"2025-02-20 00:00:00",0.86,,0.89
"2025-02-21 00:00:00",0.93,,0.83
"2025-02-22 00:00:00",0.91,,0.79
"2025-02-23 00:00:00",1.11,,0.74
"2025-02-24 00:00:00",0.58,,0.68
"2025-02-25 00:00:00",0.44,,0.6
"2025-02-26 00:00:00",0.33,,0.51
"2025-02-27 00:00:00",0.46,,0.45
"2025-02-28 00:00:00",0.35,,0.63
"2025-03-01 00:00:00",0.31,,0.65
"2025-03-02 00:00:00",0.69,,0.74
"2025-03-03 00:00:00",1.83,,0.81
"2025-03-04 00:00:00",0.59,,0.92
"2025-03-05 00:00:00",0.93,,0.98
"2025-03-06 00:00:00",0.98,,1.06
"2025-03-07 00:00:00",1.13,,1.01
"2025-03-08 00:00:00",0.74,,1.09
"2025-03-09 00:00:00",1.19,,1.08
"2025-03-10 00:00:00",1.48,,1.03
"2025-03-11 00:00:00",1.21,,1.12
"2025-03-12 00:00:00",0.81,,1.18
"2025-03-13 00:00:00",0.66,,1.1
"2025-03-14 00:00:00",1.72,,1.02
"2025-03-15 00:00:00",1.18,,1.03
"2025-03-16 00:00:00",0.63,,1.1
"2025-03-17 00:00:00",0.91,,1.11
"2025-03-18 00:00:00",1.3,,1
"2025-03-19 00:00:00",1.28,,0.9
"2025-03-20 00:00:00",0.75,,0.88
"2025-03-21 00:00:00",0.95,,0.95
"2025-03-22 00:00:00",0.5,,0.85
"2025-03-23 00:00:00",0.49,,0.81
"2025-03-24 00:00:00",1.36,,0.79
"2025-03-25 00:00:00",0.6,,0.81
"2025-03-26 00:00:00",1,,0.87
"2025-03-27 00:00:00",0.6,,0.88
"2025-03-28 00:00:00",1.15,,0.77
"2025-03-29 00:00:00",0.86,,0.74
"2025-03-30 00:00:00",0.61,,0.64
"2025-03-31 01:00:00",0.56,,0.58
"2025-04-01 01:00:00",0.39,,0.45
"2025-04-02 01:00:00",0.28,,0.36
"2025-04-03 01:00:00",0.23,,0.31
"2025-04-04 01:00:00",0.2,,0.28
"2025-04-05 01:00:00",0.22,,0.28
"2025-04-06 01:00:00",0.3,,0.27
"2025-04-07 01:00:00",0.32,,0.27
"2025-04-08 01:00:00",0.43,,0.27
"2025-04-09 01:00:00",0.21,,0.33
"2025-04-10 01:00:00",0.19,,0.36
"2025-04-11 01:00:00",0.19,,0.38
"2025-04-12 01:00:00",0.64,,0.37
"2025-04-13 01:00:00",0.54,,0.45
"2025-04-14 01:00:00",0.48,,0.5
"2025-04-15 01:00:00",0.31,,0.55
"2025-04-16 01:00:00",0.81,,0.55
"2025-04-17 01:00:00",0.51,,0.59
"2025-04-18 01:00:00",0.59,,0.62
"2025-04-19 01:00:00",0.61,,0.72
"2025-04-20 01:00:00",0.8,,0.8
"2025-04-21 01:00:00",0.71,,0.96
"2025-04-22 01:00:00",1.02,,1.1
"2025-04-23 01:00:00",1.35,,1.28
"2025-04-24 01:00:00",1.66,,1.62
"2025-04-25 01:00:00",1.53,,1.83
"2025-04-26 01:00:00",1.87,,2.39
"2025-04-27 01:00:00",3.23,,2.86
"2025-04-28 01:00:00",2.16,,2.93
"2025-04-29 01:00:00",4.92,,3.55
"2025-04-30 01:00:00",4.65,,3.89
"2025-05-01 01:00:00",2.15,,3.84
"2025-05-02 01:00:00",5.85,,4.01
"2025-05-03 01:00:00",4.25,,3.47
"2025-05-04 01:00:00",2.89,,2.97
"2025-05-05 01:00:00",3.37,,2.83
"2025-05-06 01:00:00",1.15,,2.13
"2025-05-07 01:00:00",1.12,,1.68
"2025-05-08 01:00:00",1.18,,1.52
"2025-05-09 01:00:00",0.96,,1.43
"2025-05-10 01:00:00",1.1,,1.47
"2025-05-11 01:00:00",1.75,,1.6
"2025-05-12 01:00:00",2.72,,2.04
"2025-05-13 01:00:00",1.44,,2.28
"2025-05-14 01:00:00",2.07,,2.43
"2025-05-15 01:00:00",4.21,,2.47
"2025-05-16 01:00:00",2.68,,2.35
"2025-05-17 01:00:00",2.14,,2.4
"2025-05-18 01:00:00",2,,2.55
"2025-05-19 01:00:00",1.89,,2.27
"2025-05-20 01:00:00",1.83,,2.22
"2025-05-21 01:00:00",3.09,,2.98
"2025-05-22 01:00:00",2.26,,3.13
"2025-05-23 01:00:00",2.31,,4.1
"2025-05-24 01:00:00",7.46,,4.64
"2025-05-25 01:00:00",3.06,,4.59
"2025-05-26 01:00:00",8.71,,4.75
"2025-05-27 01:00:00",5.62,,4.93
"2025-05-28 01:00:00",2.69,,4.44
"2025-05-29 01:00:00",3.39,,4.38
"2025-05-30 01:00:00",3.58,,3.61
"2025-05-31 01:00:00",4,,3.44
"2025-06-01 01:00:00",2.65,,3.85
"2025-06-02 01:00:00",3.37,,4.29
"2025-06-03 01:00:00",4.42,,4.7
"2025-06-04 01:00:00",5.53,,4.92
"2025-06-05 01:00:00",6.49,,5.18
"2025-06-06 01:00:00",6.43,,5.43
"2025-06-07 01:00:00",5.54,,5.4
"2025-06-08 01:00:00",4.46,,5.29
"2025-06-09 01:00:00",5.16,,5.36
"2025-06-10 01:00:00",4.2,,5.38
"2025-06-11 01:00:00",4.74,,6.79
"2025-06-12 01:00:00",6.96,,9.76
"2025-06-13 01:00:00",6.6,,10.72
"2025-06-14 01:00:00",15.44,,11.38
"2025-06-15 01:00:00",25.19,,14.3
"2025-06-16 01:00:00",11.92,,13.11
"2025-06-17 01:00:00",8.81,,12.54
"2025-06-18 01:00:00",0,,6.56
"2025-06-19 01:00:00",0,,2.96
"2025-06-20 01:00:00",0,,1.26
"2025-06-21 01:00:00",0,,0
"2025-06-22 01:00:00",0,,0
"2025-06-23 01:00:00",0,,0.95
"2025-06-24 01:00:00",0,,2.38
"2025-06-25 01:00:00",0,,2.96
"2025-06-26 01:00:00",6.68,,6.11
"2025-06-27 01:00:00",9.95,,6.29
"2025-06-28 01:00:00",4.1,,4.29
"2025-06-29 01:00:00",1.99,,4.02
"2025-06-30 01:00:00",1.43,,3.48
"2025-07-01 01:00:00",1.81,,2.49
"2025-07-02 01:00:00",2.18,,2.47
"2025-07-03 01:00:00",2.88,,3.33
"2025-07-04 01:00:00",3.02,,4.08
"2025-07-05 01:00:00",3.97,,4.58
"2025-07-06 01:00:00",8.02,,4.9
"2025-07-07 01:00:00",6.71,,4.97
"2025-07-08 01:00:00",5.27,,4.93
"2025-07-09 01:00:00",4.4,,4.76
"2025-07-10 01:00:00",3.43,,3.91
"2025-07-11 01:00:00",2.72,,3.37
"2025-07-12 01:00:00",2.74,,3.09
"2025-07-13 01:00:00",2.12,,2.97
"2025-07-14 01:00:00",2.92,,3.14
"2025-07-15 01:00:00",3.28,,3.51
"2025-07-16 01:00:00",3.61,,3.84
"2025-07-17 01:00:00",4.61,,4.14
"2025-07-18 01:00:00",5.27,,4.51
"2025-07-19 01:00:00",5.06,,4.89
"2025-07-20 01:00:00",4.22,,4.71
"2025-07-21 01:00:00",5.49,,4.46
"2025-07-22 01:00:00",6,,4.32
"2025-07-23 01:00:00",2.3,,4.02
"2025-07-24 01:00:00",2.85,,3.84
"2025-07-25 01:00:00",4.31,,3.42
"2025-07-26 01:00:00",2.98,,2.89
"2025-07-27 01:00:00",2.97,,3
"2025-07-28 01:00:00",2.54,,3.1
"2025-07-29 01:00:00",2.31,,3.08
"2025-07-30 01:00:00",3.07,,3.7
"2025-07-31 01:00:00",3.55,,3.96
"2025-08-01 01:00:00",4.15,,4.12
"2025-08-02 01:00:00",7.3,,4.12
"2025-08-03 01:00:00",4.82,,3.99
"2025-08-04 01:00:00",3.67,,3.74
"2025-08-05 01:00:00",2.29,,3.42
"2025-08-06 01:00:00",2.13,,2.6
"2025-08-07 01:00:00",1.85,,2.2
"2025-08-08 01:00:00",1.9,,2.03
"2025-08-09 01:00:00",1.54,,2.18
"2025-08-10 01:00:00",2.01,,2.38
"2025-08-11 01:00:00",2.5,,2.66
"2025-08-12 01:00:00",3.3,,3.04
"2025-08-13 01:00:00",3.56,,3.58
"2025-08-14 01:00:00",3.79,,4.12
"2025-08-15 01:00:00",4.6,,4.49
"2025-08-16 01:00:00",5.27,,4.73
"2025-08-17 01:00:00",5.81,,4.79
"2025-08-18 01:00:00",5.09,,4.84
"2025-08-19 01:00:00",5.01,,4.72
"2025-08-20 01:00:00",3.95,,4.31
"2025-08-21 01:00:00",4.12,,4.09
"2025-08-22 01:00:00",3.81,,3.86
"2025-08-23 01:00:00",2.4,,3.73
"2025-08-24 01:00:00",4.22,,3.86
"2025-08-25 01:00:00",3.49,,3.91
"2025-08-26 01:00:00",4.14,,3.87
"2025-08-27 01:00:00",4.83,,3.83
"2025-08-28 01:00:00",4.47,,3.59
"2025-08-29 01:00:00",3.57,,3.69
"2025-08-30 01:00:00",2.07,,3.77
"2025-08-31 01:00:00",2.57,,3.99
"2025-09-01 01:00:00",4.21,,4.14
"2025-09-02 01:00:00",4.64,,4.2
"2025-09-03 01:00:00",6.42,,4.56
"2025-09-04 01:00:00",5.47,,4.7
"2025-09-05 01:00:00",4.05,,4.8
"2025-09-06 01:00:00",4.53,,4.96
"2025-09-07 01:00:00",3.56,,4.94
"2025-09-08 01:00:00",4.91,,5.17
"2025-09-09 01:00:00",5.78,,5.29
"2025-09-10 01:00:00",6.26,,5.04
"2025-09-11 01:00:00",7.1,,5.27
"2025-09-12 01:00:00",4.86,,4.97
"2025-09-13 01:00:00",2.82,,4.59
"2025-09-14 01:00:00",5.15,,4.17
"2025-09-15 01:00:00",2.84,,3.54
"2025-09-16 01:00:00",3.08,,3.42
"2025-09-17 01:00:00",3.33,,4.37
"2025-09-18 01:00:00",2.68,,4.03
"2025-09-19 01:00:00",4.01,,3.96
"2025-09-20 01:00:00",9.51,,3.75
"2025-09-21 01:00:00",2.77,,3.48
"2025-09-22 01:00:00",2.34,,3.23
"2025-09-23 01:00:00",1.64,,2.8
"2025-09-24 01:00:00",1.43,,1.64
"2025-09-25 01:00:00",0.94,,1.28
"2025-09-26 01:00:00",0.95,,1.01
"2025-09-27 01:00:00",1.4,,0.83
"2025-09-28 01:00:00",0.26,,0.66
"2025-09-29 01:00:00",0.45,,0.58
"2025-09-30 01:00:00",0.37,,0.5
"2025-10-01 01:00:00",0.23,,0.33
"2025-10-02 01:00:00",0.41,,0.32
"2025-10-03 01:00:00",0.39,,0.29
"2025-10-04 01:00:00",0.18,,0.26
"2025-10-05 01:00:00",0.19,,0.25
"2025-10-06 01:00:00",0.24,,0.22
"2025-10-07 01:00:00",0.2,,0.22
"2025-10-08 01:00:00",0.14,,0.24
"2025-10-09 01:00:00",0.17,,0.29
"2025-10-10 01:00:00",0.39,,0.33
"2025-10-11 01:00:00",0.33,,0.42
"2025-10-12 01:00:00",0.57,,0.52
"2025-10-13 01:00:00",0.51,,0.64
"2025-10-14 01:00:00",0.82,,0.63
"2025-10-15 01:00:00",0.84,,0.67
"2025-10-16 01:00:00",0.99,,0.65
"2025-10-17 01:00:00",0.38,,0.66
"2025-10-18 01:00:00",0.57,,0.62
"2025-10-19 01:00:00",0.42,,0.57
"2025-10-20 01:00:00",0.57,,0.47
"2025-10-21 01:00:00",0.56,,0.44
"2025-10-22 01:00:00",0.51,,0.39
"2025-10-23 01:00:00",0.26,,0.39
"2025-10-24 01:00:00",0.21,,0.35
"2025-10-25 01:00:00",0.22,,0.33
"2025-10-26 01:00:00",0.41,,0.31
"2025-10-27 00:00:00",0.31,,0.32
"2025-10-28 00:00:00",0.37,,0.4
"2025-10-29 00:00:00",0.42,,0.51
"2025-10-30 00:00:00",0.3,,0.52
"2025-10-31 00:00:00",0.76,,0.63
"2025-11-01 00:00:00",1.01,,0.65
"2025-11-02 00:00:00",0.5,,0.65
"2025-11-03 00:00:00",1.08,,0.69
"2025-11-04 00:00:00",0.48,,0.7
"2025-11-05 00:00:00",0.39,,0.67
"2025-11-06 00:00:00",0.59,,0.78
"2025-11-07 00:00:00",0.86,,0.74
"2025-11-08 00:00:00",0.79,,0.81
"2025-11-09 00:00:00",1.26,,0.92
"2025-11-10 00:00:00",0.81,,1.05
"2025-11-11 00:00:00",0.97,,1.21
"2025-11-12 00:00:00",1.13,,1.42
"2025-11-13 00:00:00",1.52,,1.36
"2025-11-14 00:00:00",2,,1.35
"2025-11-15 00:00:00",2.23,,1.36
"2025-11-16 00:00:00",0.84,,1.28
"2025-11-17 00:00:00",0.78,,1.11
"2025-11-18 00:00:00",1.01,,0.88
"2025-11-19 00:00:00",0.57,,0.63
"2025-11-20 00:00:00",0.36,,0.57
"2025-11-21 00:00:00",0.39,,0.55
"2025-11-22 00:00:00",0.45,,0.55
"2025-11-23 00:00:00",0.43,,0.6
"2025-11-24 00:00:00",0.61,,0.64
"2025-11-25 00:00:00",1.04,,0.7
"2025-11-26 00:00:00",0.9,,0.79
"2025-11-27 00:00:00",0.68,,0.81
"2025-11-28 00:00:00",0.8,,0.78
"2025-11-29 00:00:00",1.05,,0.69
"2025-11-30 00:00:00",0.58,,0.6
"2025-12-01 00:00:00",0.41,,0.64
"2025-12-02 00:00:00",0.39,,0.65
"2025-12-03 00:00:00",0.31,,0.55
"2025-12-04 00:00:00",0.91,,0.53
"2025-12-05 00:00:00",0.87,,0.51
"2025-12-06 00:00:00",0.38,,0.48
"2025-12-07 00:00:00",0.45,,0.5
"2025-12-08 00:00:00",0.24,,0.4
"2025-12-09 00:00:00",0.19,,0.29
"2025-12-10 00:00:00",0.48,,0.28
"2025-12-11 00:00:00",0.16,,0.25
"2025-12-12 00:00:00",0.16,,0.28
"2025-12-13 00:00:00",0.25,,0.37
"2025-12-14 00:00:00",0.28,,0.36
"2025-12-15 00:00:00",0.44,,0.4
"2025-12-16 00:00:00",0.79,,0.45
"2025-12-17 00:00:00",0.44,,0.47
"2025-12-18 00:00:00",0.41,,0.46
"2025-12-19 00:00:00",0.51,,0.43
"2025-12-20 00:00:00",0.43,,0.35
"2025-12-21 00:00:00",0.21,,0.34
"2025-12-22 00:00:00",0.21,,0.37
"2025-12-23 00:00:00",0.26,,0.36
"2025-12-24 00:00:00",0.35,,0.35
"2025-12-25 00:00:00",0.65,,0.37
"2025-12-26 00:00:00",0.41,,0.39
"2025-12-27 00:00:00",0.39,,0.4
"2025-12-28 00:00:00",0.32,,0.41
"2025-12-29 00:00:00",0.37,,0.34
"2025-12-30 00:00:00",0.34,,0.31
"2025-12-31 00:00:00",0.37,,0.28
"2026-01-01 00:00:00",0.21,,0.26
"2026-01-02 00:00:00",0.17,,0.23
"2026-01-03 00:00:00",0.15,,0.2
"2026-01-04 00:00:00",0.22,,0.21
"2026-01-05 00:00:00",0.14,,0.22
"2026-01-06 00:00:00",0.16,,0.22
"2026-01-07 00:00:00",0.42,,0.24
"2026-01-08 00:00:00",0.26,,0.24
"2026-01-09 00:00:00",0.22,,0.25
"2026-01-10 00:00:00",0.23,,0.25
"2026-01-11 00:00:00",0.23,,0.25
"2026-01-12 00:00:00",0.23,,0.25
"2026-01-13 00:00:00",0.19,,0.27
"2026-01-14 00:00:00",0.39,,0.31
"2026-01-15 00:00:00",0.25,,0.33
"2026-01-16 00:00:00",0.34,,0.34
"2026-01-17 00:00:00",0.57,,0.36
"2026-01-18 00:00:00",0.31,,0.35
"2026-01-19 00:00:00",0.31,,0.35
"2026-01-20 00:00:00",0.33,,0.34
"2026-01-21 00:00:00",0.33,,0.27
"2026-01-22 00:00:00",0.28,,0.26
"2026-01-23 00:00:00",0.22,,0.26
"2026-01-24 00:00:00",0.14,,0.25
"2026-01-25 00:00:00",0.18,,0.26
"2026-01-26 00:00:00",0.35,,0.27
"2026-01-27 00:00:00",0.26,,0.31
"2026-01-28 00:00:00",0.39,,0.31
"2026-01-29 00:00:00",0.33,,0.3
"2026-01-30 00:00:00",0.5,,0.26
"2026-01-31 00:00:00",0.18,,0.23
"2026-02-01 00:00:00",0.08,,0.19
"2026-02-02 00:00:00",0.1,,0.15
"2026-02-03 00:00:00",0.06,,0.09
"2026-02-04 00:00:00",0.07,,0.07
"2026-02-05 00:00:00",0.07,,0.07
"2026-02-06 00:00:00",0.04,,0.06
"2026-02-07 00:00:00",0.05,,0.05
"2026-02-08 00:00:00",0.08,,0.05
"2026-02-09 00:00:00",0.02,,0.04
"2026-02-10 00:00:00",0.02,,0.04
"2026-02-11 00:00:00",0.04,,0.04
"2026-02-12 00:00:00",0.03,,0.03
"2026-02-13 00:00:00",0.05,,0.04
"2026-02-14 00:00:00",0.03,,0.04
"2026-02-15 00:00:00",0.05,,0.05
"2026-02-16 00:00:00",0.04,,0.07
"2026-02-17 00:00:00",0.05,,0.07
"2026-02-18 00:00:00",0.13,,0.08
"2026-02-19 00:00:00",0.11,,0.12
"2026-02-20 00:00:00",0.08,,0.15
"2026-02-21 00:00:00",0,,0.18
"2026-02-22 00:00:00",0.35,,0.29
"2026-02-23 00:00:00",0.28,,0.35
"2026-02-24 00:00:00",0.31,,0.44
"2026-02-25 00:00:00",0.52,,0.51
