"Time","Sales","Trend Line","7-Day Moving Average"
"2026-04-11 01:00:00",1.76,0,1.37
"2026-04-12 01:00:00",0.84,,0.97
"2026-04-13 01:00:00",0.76,,0.94
"2026-04-14 01:00:00",0.93,,1.05
"2026-04-15 01:00:00",0,,0.91
"2026-04-16 01:00:00",0,,0.94
"2026-04-17 01:00:00",1.18,,1.3
"2026-04-18 01:00:00",2.66,,1.73
"2026-04-19 01:00:00",1.04,,1.4
"2026-04-20 01:00:00",0.94,,1.66
"2026-04-21 01:00:00",0.97,,1.8
"2026-04-22 01:00:00",1.96,,1.7
"2026-04-23 01:00:00",2.89,,2.89
"2026-04-24 01:00:00",2.12,,3.79
"2026-04-25 01:00:00",0,,4.15
"2026-04-26 01:00:00",8.48,,6.29
"2026-04-27 01:00:00",7.97,,6.87
"2026-04-28 01:00:00",5.6,5.1728758169934625,6.35
