"Time","Sales","Trend Line","7-Day Moving Average"
"2025-01-24 00:00:00",3,3.6844768073408765,1.93
"2025-01-25 00:00:00",1,,1
"2025-01-26 00:00:00",0.21,,0.82
"2025-01-27 00:00:00",0.32,,0.87
"2025-01-28 00:00:00",0.5,,0.5
"2025-01-29 00:00:00",0.5,,0.43
"2025-01-30 00:00:00",0.53,,0.53
"2025-01-31 00:00:00",0.45,,0.66
"2025-02-01 00:00:00",0.48,,0.81
"2025-02-02 00:00:00",0.91,,0.9
"2025-02-03 00:00:00",1.24,,1.13
"2025-02-04 00:00:00",1.59,,1.25
"2025-02-05 00:00:00",1.09,,1.29
"2025-02-06 00:00:00",2.12,,1.28
"2025-02-07 00:00:00",1.29,,1.22
"2025-02-08 00:00:00",0.76,,1.35
"2025-02-09 00:00:00",0.84,,1.44
"2025-02-10 00:00:00",0.88,,1.33
"2025-02-11 00:00:00",2.48,,1.33
"2025-02-12 00:00:00",1.71,,1.43
"2025-02-13 00:00:00",1.32,,1.5
"2025-02-14 00:00:00",1.3,,1.65
"2025-02-15 00:00:00",1.47,,1.62
"2025-02-16 00:00:00",1.34,,1.56
"2025-02-17 00:00:00",1.94,,1.51
"2025-02-18 00:00:00",2.25,,1.44
"2025-02-19 00:00:00",1.32,,1.43
"2025-02-20 00:00:00",0.94,,1.61
"2025-02-21 00:00:00",0.82,,1.98
"2025-02-22 00:00:00",1.39,,2.52
"2025-02-23 00:00:00",2.63,,2.86
"2025-02-24 00:00:00",4.5,,3.03
"2025-02-25 00:00:00",6.02,,3.26
"2025-02-26 00:00:00",3.74,,3.57
"2025-02-27 00:00:00",2.08,,3.67
"2025-02-28 00:00:00",2.49,,3.41
"2025-03-01 00:00:00",3.55,,2.95
"2025-03-02 00:00:00",3.28,,2.81
"2025-03-03 00:00:00",2.69,,2.72
"2025-03-04 00:00:00",2.82,,2.75
"2025-03-05 00:00:00",2.74,,2.71
"2025-03-06 00:00:00",1.45,,2.67
"2025-03-07 00:00:00",2.69,,2.59
"2025-03-08 00:00:00",3.33,,2.4
"2025-03-09 00:00:00",2.94,,2.37
"2025-03-10 00:00:00",2.18,,2.41
"2025-03-11 00:00:00",1.48,,2.18
"2025-03-12 00:00:00",2.52,,1.86
"2025-03-13 00:00:00",1.76,,1.65
"2025-03-14 00:00:00",1.05,,1.45
"2025-03-15 00:00:00",1.08,,1.43
"2025-03-16 00:00:00",1.5,,1.34
"2025-03-17 00:00:00",0.79,,1.35
"2025-03-18 00:00:00",1.28,,1.4
"2025-03-19 00:00:00",1.93,,1.43
"2025-03-20 00:00:00",1.85,,1.5
"2025-03-21 00:00:00",1.35,,1.82
"2025-03-22 00:00:00",1.3,,2.01
"2025-03-23 00:00:00",2,,2
"2025-03-24 00:00:00",3.01,,2.2
"2025-03-25 00:00:00",2.6,,2.84
"2025-03-26 00:00:00",1.88,,3.14
"2025-03-27 00:00:00",3.28,,3.09
"2025-03-28 00:00:00",5.78,,2.85
"2025-03-29 00:00:00",3.45,,2.88
"2025-03-30 00:00:00",1.63,,3
"2025-03-31 01:00:00",1.32,,2.72
"2025-04-01 01:00:00",2.83,,2.47
"2025-04-02 01:00:00",2.7,,2.29
"2025-04-03 01:00:00",1.36,,2.45
"2025-04-04 01:00:00",3.97,,2.63
"2025-04-05 01:00:00",2.19,,2.61
"2025-04-06 01:00:00",2.79,,2.83
"2025-04-07 01:00:00",2.6,,3.79
"2025-04-08 01:00:00",2.68,,4.17
"2025-04-09 01:00:00",4.22,,4.57
"2025-04-10 01:00:00",8.06,,4.58
"2025-04-11 01:00:00",6.62,,4.58
"2025-04-12 01:00:00",5.03,,4.62
"2025-04-13 01:00:00",2.87,,5.58
"2025-04-14 01:00:00",2.56,,4.87
"2025-04-15 01:00:00",3,,4.37
"2025-04-16 01:00:00",10.9,,4
"2025-04-17 01:00:00",3.1,,4.26
"2025-04-18 01:00:00",3.11,,4.49
