"Time","Sales","Trend Line","7-Day Moving Average"
"2025-04-13 01:00:00",8.78,41.72500401475731,12.52
"2025-04-14 01:00:00",8.78,,13.75
"2025-04-15 01:00:00",27.51,,16.36
"2025-04-16 01:00:00",16.24,,13.82
"2025-04-17 01:00:00",17.35,,15.57
"2025-04-18 01:00:00",8.38,,16.79
"2025-04-19 01:00:00",9.7,,16.11
"2025-04-20 01:00:00",21.02,,16.82
"2025-04-21 01:00:00",17.34,,15.64
"2025-04-22 01:00:00",22.72,,15.9
"2025-04-23 01:00:00",21.21,,16.65
"2025-04-24 01:00:00",9.1,,15.89
"2025-04-25 01:00:00",10.19,,15.82
"2025-04-26 01:00:00",14.96,,15.31
"2025-04-27 01:00:00",15.69,,15.65
"2025-04-28 01:00:00",16.87,,19.62
"2025-04-29 01:00:00",19.15,,24.24
"2025-04-30 01:00:00",23.58,,27.7
"2025-05-01 01:00:00",36.89,,32.44
"2025-05-02 01:00:00",42.56,,35.8
"2025-05-03 01:00:00",39.13,,37.88
"2025-05-04 01:00:00",48.87,,38.95
"2025-05-05 01:00:00",40.42,,37.56
"2025-05-06 01:00:00",33.69,,34.88
"2025-05-07 01:00:00",31.1,,31.95
"2025-05-08 01:00:00",27.14,,28.11
"2025-05-09 01:00:00",23.84,,26.12
"2025-05-10 01:00:00",18.56,,24.6
"2025-05-11 01:00:00",22.01,,23.01
"2025-05-12 01:00:00",26.53,,28.44
"2025-05-13 01:00:00",22.99,,28.35
"2025-05-14 01:00:00",20.02,,34.49
"2025-05-15 01:00:00",65.15,,33.37
"2025-05-16 01:00:00",23.19,,33.38
"2025-05-17 01:00:00",61.53,,33.97
"2025-05-18 01:00:00",14.2,,35.19
"2025-05-19 01:00:00",26.58,,30.33
"2025-05-20 01:00:00",27.15,,31.32
"2025-05-21 01:00:00",28.56,,26.04
"2025-05-22 01:00:00",31.1,,26.3
"2025-05-23 01:00:00",30.13,,25.86
"2025-05-24 01:00:00",24.55,,26.57
"2025-05-25 01:00:00",16.02,,27.18
"2025-05-26 01:00:00",23.53,,26.93
"2025-05-27 01:00:00",32.11,,27.02
