"Time","Sales","Trend Line","7-Day Moving Average"
"2025-04-13 01:00:00",3.17,13.871479013835064,4.34
"2025-04-14 01:00:00",3.89,,4.9
"2025-04-15 01:00:00",8.27,,5.37
"2025-04-16 01:00:00",5.56,,4.61
"2025-04-17 01:00:00",5.65,,4.92
"2025-04-18 01:00:00",2.77,,4.98
"2025-04-19 01:00:00",2.95,,4.54
"2025-04-20 01:00:00",5.32,,4.4
"2025-04-21 01:00:00",4.35,,3.92
"2025-04-22 01:00:00",5.2,,3.93
"2025-04-23 01:00:00",4.57,,4.17
"2025-04-24 01:00:00",2.25,,3.79
"2025-04-25 01:00:00",2.9,,3.56
"2025-04-26 01:00:00",4.57,,3.27
"2025-04-27 01:00:00",2.7,,3.16
"2025-04-28 01:00:00",2.74,,3.83
"2025-04-29 01:00:00",3.15,,4.51
"2025-04-30 01:00:00",3.78,,4.78
"2025-05-01 01:00:00",6.99,,5.43
"2025-05-02 01:00:00",7.62,,5.96
"2025-05-03 01:00:00",6.45,,6.29
"2025-05-04 01:00:00",7.25,,6.44
"2025-05-05 01:00:00",6.46,,6.03
"2025-05-06 01:00:00",5.51,,5.5
"2025-05-07 01:00:00",4.77,,4.99
"2025-05-08 01:00:00",4.12,,4.44
"2025-05-09 01:00:00",3.97,,4.14
"2025-05-10 01:00:00",2.84,,3.77
"2025-05-11 01:00:00",3.38,,3.61
"2025-05-12 01:00:00",4.41,,4.28
"2025-05-13 01:00:00",2.92,,4.21
"2025-05-14 01:00:00",3.61,,4.93
"2025-05-15 01:00:00",8.84,,4.8
"2025-05-16 01:00:00",3.48,,4.88
"2025-05-17 01:00:00",7.85,,5.08
"2025-05-18 01:00:00",2.51,,5.34
"2025-05-19 01:00:00",4.94,,4.86
"2025-05-20 01:00:00",4.34,,5.01
"2025-05-21 01:00:00",5.4,,4.51
"2025-05-22 01:00:00",5.51,,4.76
"2025-05-23 01:00:00",4.52,,4.96
"2025-05-24 01:00:00",4.34,,5.56
"2025-05-25 01:00:00",4.27,,5.98
"2025-05-26 01:00:00",6.34,,6.31
"2025-05-27 01:00:00",8.55,,6.89
"2025-05-28 01:00:00",8.35,,7.71
"2025-05-29 01:00:00",7.78,,8.25
"2025-05-30 01:00:00",8.58,,9.21
"2025-05-31 01:00:00",10.07,,9.77
"2025-06-01 01:00:00",8.08,,9.63
"2025-06-02 01:00:00",13.07,,9.27
"2025-06-03 01:00:00",12.48,,8.8
"2025-06-04 01:00:00",7.33,,8.55
"2025-06-05 01:00:00",5.29,,8.79
"2025-06-06 01:00:00",5.29,,8.44
"2025-06-07 01:00:00",8.33,,8.65
"2025-06-08 01:00:00",9.71,,9.28
"2025-06-09 01:00:00",10.64,,10.59
"2025-06-10 01:00:00",13.97,,11.61
"2025-06-11 01:00:00",11.76,,11.45
"2025-06-12 01:00:00",14.42,,12.38
"2025-06-13 01:00:00",12.41,,13.1
"2025-06-14 01:00:00",7.21,,13.31
"2025-06-15 01:00:00",16.23,,14.12
"2025-06-16 01:00:00",15.69,,13.7
"2025-06-17 01:00:00",15.44,,13.5
"2025-06-18 01:00:00",17.42,,13.61
"2025-06-19 01:00:00",11.52,,13.54
"2025-06-20 01:00:00",10.99,,14.99
"2025-06-21 01:00:00",7.96,,15.99
"2025-06-22 01:00:00",15.75,,15.98
"2025-06-23 01:00:00",25.83,,16.1
"2025-06-24 01:00:00",22.45,,16.68
"2025-06-25 01:00:00",17.34,,18.65
"2025-06-26 01:00:00",12.35,,20.59
"2025-06-27 01:00:00",15.06,,20.56
"2025-06-28 01:00:00",21.74,,20.45
"2025-06-29 01:00:00",29.39,,21.07
"2025-06-30 01:00:00",25.59,,21.28
"2025-07-01 01:00:00",21.67,,20.92
"2025-07-02 01:00:00",21.67,,19.82
"2025-07-03 01:00:00",13.82,,17.77
"2025-07-04 01:00:00",12.59,,16.83
"2025-07-05 01:00:00",14.01,,17.94
"2025-07-06 01:00:00",15.07,,17.76
"2025-07-07 01:00:00",18.99,,17.94
"2025-07-08 01:00:00",29.43,,18.08
"2025-07-09 01:00:00",20.44,,20.44
"2025-07-10 01:00:00",15.07,,20.04
"2025-07-11 01:00:00",13.55,,19.18
"2025-07-12 01:00:00",30.55,,17.34
"2025-07-13 01:00:00",12.24,,17.22
"2025-07-14 01:00:00",12.99,,17.63
"2025-07-15 01:00:00",16.54,,18.06
"2025-07-16 01:00:00",19.61,,16.95
"2025-07-17 01:00:00",17.95,,17.32
"2025-07-18 01:00:00",16.54,,17.77
"2025-07-19 01:00:00",22.78,,18.36
"2025-07-20 01:00:00",14.83,,19.36
