"Time","Sales","Trend Line","7-Day Moving Average"
"2023-05-01 01:00:00",17.37,8.636584426755029,17.39
"2023-05-02 01:00:00",12.56,,17.51
"2023-05-03 01:00:00",16.36,,19.83
"2023-05-04 01:00:00",22.53,,20.87
"2023-05-05 01:00:00",22.99,,21.24
"2023-05-06 01:00:00",28.82,,22.29
"2023-05-07 01:00:00",25.47,,22.09
"2023-05-08 01:00:00",19.92,,20.4
"2023-05-09 01:00:00",19.92,,18.79
"2023-05-10 01:00:00",15.01,,16.14
"2023-05-11 01:00:00",10.64,,14.77
"2023-05-12 01:00:00",11.73,,14.04
"2023-05-13 01:00:00",10.28,,12.93
"2023-05-14 01:00:00",15.91,,12.39
"2023-05-15 01:00:00",14.82,,12.91
"2023-05-16 01:00:00",12.13,,13.55
"2023-05-17 01:00:00",11.19,,16.28
"2023-05-18 01:00:00",14.33,,15.57
"2023-05-19 01:00:00",16.21,,16.28
"2023-05-20 01:00:00",29.36,,17.39
"2023-05-21 01:00:00",10.93,,18.62
"2023-05-22 01:00:00",19.84,,18.83
"2023-05-23 01:00:00",19.84,,19.06
"2023-05-24 01:00:00",19.84,,17.42
"2023-05-25 01:00:00",15.76,,19.79
"2023-05-26 01:00:00",17.86,,20.89
"2023-05-27 01:00:00",17.86,,22
"2023-05-28 01:00:00",27.55,,26.51
"2023-05-29 01:00:00",27.55,,30.85
"2023-05-30 01:00:00",27.55,,34.56
"2023-05-31 01:00:00",51.46,,37.98
"2023-06-01 01:00:00",46.13,,38.4
"2023-06-02 01:00:00",43.85,,39.04
"2023-06-03 01:00:00",41.79,,40.18
"2023-06-04 01:00:00",30.48,,38.21
"2023-06-05 01:00:00",32,,37.71
"2023-06-06 01:00:00",35.56,,37.98
"2023-06-07 01:00:00",37.65,,38.54
"2023-06-08 01:00:00",42.67,,40.28
"2023-06-09 01:00:00",45.72,,42.11
"2023-06-10 01:00:00",45.72,,44.18
"2023-06-11 01:00:00",42.61,,45.56
"2023-06-12 01:00:00",44.84,,47.06
"2023-06-13 01:00:00",50.07,,48.63
"2023-06-14 01:00:00",47.31,,51.43
"2023-06-15 01:00:00",53.17,,49.44
"2023-06-16 01:00:00",56.68,,47.13
"2023-06-17 01:00:00",65.31,,44.41
"2023-06-18 01:00:00",28.69,,42.09
"2023-06-19 01:00:00",28.69,,39.33
"2023-06-20 01:00:00",31.05,,36.07
"2023-06-21 01:00:00",31.05,,31.57
"2023-06-22 01:00:00",33.84,,34.2
"2023-06-23 01:00:00",33.84,,36.29
"2023-06-24 01:00:00",33.84,,38.3
"2023-06-25 01:00:00",47.12,,38.26
"2023-06-26 01:00:00",43.29,,40.81
"2023-06-27 01:00:00",45.12,,43.36
"2023-06-28 01:00:00",30.76,,45.57
"2023-06-29 01:00:00",51.7,,44
"2023-06-30 01:00:00",51.7,,42.99
"2023-07-01 01:00:00",49.3,,42.14
"2023-07-02 01:00:00",36.16,,43.35
"2023-07-03 01:00:00",36.16,,41.56
"2023-07-04 01:00:00",39.21,,39.78
"2023-07-05 01:00:00",39.21,,38.85
"2023-07-06 01:00:00",39.21,,36.76
"2023-07-07 01:00:00",39.21,,34.92
"2023-07-08 01:00:00",42.82,,32.39
"2023-07-09 01:00:00",21.5,,29.64
"2023-07-10 01:00:00",23.29,,26.54
"2023-07-11 01:00:00",21.5,,23.6
"2023-07-12 01:00:00",19.97,,20.14
"2023-07-13 01:00:00",17.47,,18.7
"2023-07-14 01:00:00",18.63,,16.99
"2023-07-15 01:00:00",18.63,,15.45
"2023-07-16 01:00:00",11.38,,13.97
"2023-07-17 01:00:00",11.38,,12.71
"2023-07-18 01:00:00",10.71,,11.09
"2023-07-19 01:00:00",9.58,,9.43
"2023-07-20 01:00:00",8.67,,9.09
"2023-07-21 01:00:00",7.28,,8.67
"2023-07-22 01:00:00",7,,8.42
"2023-07-23 01:00:00",9,,7.93
"2023-07-24 01:00:00",8.43,,7.49
"2023-07-25 01:00:00",9,,7.41
"2023-07-26 01:00:00",6.12,,7.29
"2023-07-27 01:00:00",5.6,,7.25
"2023-07-28 01:00:00",6.73,,7.43
"2023-07-29 01:00:00",6.12,,6.91
"2023-07-30 01:00:00",8.72,,6.85
"2023-07-31 01:00:00",9.71,,6.83
"2023-08-01 01:00:00",5.4,,6.56
"2023-08-02 01:00:00",5.64,,6.29
"2023-08-03 01:00:00",5.51,,5.71
"2023-08-04 01:00:00",4.79,,5.23
"2023-08-05 01:00:00",4.23,,5.35
"2023-08-06 01:00:00",4.7,,5.8
"2023-08-07 01:00:00",6.35,,6.41
"2023-08-08 01:00:00",6.24,,7.19
"2023-08-09 01:00:00",8.78,,8.14
"2023-08-10 01:00:00",9.77,,10.15
"2023-08-11 01:00:00",10.29,,11.79
"2023-08-12 01:00:00",10.87,,12.8
"2023-08-13 01:00:00",18.75,,13.05
"2023-08-14 01:00:00",17.83,,12.98
"2023-08-15 01:00:00",13.28,,12.9
"2023-08-16 01:00:00",10.58,,13
"2023-08-17 01:00:00",9.24,,14.35
"2023-08-18 01:00:00",9.73,,14.7
"2023-08-19 01:00:00",11.59,,15.13
"2023-08-20 01:00:00",28.2,,15.42
"2023-08-21 01:00:00",20.26,,15.96
"2023-08-22 01:00:00",16.32,,16.47
"2023-08-23 01:00:00",12.63,,16.57
"2023-08-24 01:00:00",12.96,,14.48
"2023-08-25 01:00:00",13.3,,12.8
"2023-08-26 01:00:00",12.33,,11.63
"2023-08-27 01:00:00",13.57,,10.75
"2023-08-28 01:00:00",8.48,,9.65
"2023-08-29 01:00:00",8.17,,8.48
"2023-08-30 01:00:00",6.43,,7.57
"2023-08-31 01:00:00",5.3,,6.52
"2023-09-01 01:00:00",5.06,,6.13
"2023-09-02 01:00:00",6,,5.6
"2023-09-03 01:00:00",6.18,,5.88
"2023-09-04 01:00:00",5.76,,6.36
"2023-09-05 01:00:00",4.46,,6.84
"2023-09-06 01:00:00",8.4,,7.14
"2023-09-07 01:00:00",8.68,,7.36
"2023-09-08 01:00:00",8.4,,7.4
"2023-09-09 01:00:00",8.13,,7.59
"2023-09-10 01:00:00",7.69,,7.04
"2023-09-11 01:00:00",6.03,,6.39
"2023-09-12 01:00:00",5.78,,5.64
"2023-09-13 01:00:00",4.59,,5.14
"2023-09-14 01:00:00",4.12,,4.88
"2023-09-15 01:00:00",3.11,,4.9
"2023-09-16 01:00:00",4.67,,4.79
"2023-09-17 01:00:00",5.84,,4.76
"2023-09-18 01:00:00",6.17,,4.76
"2023-09-19 01:00:00",5.03,,4.74
"2023-09-20 01:00:00",4.35,,4.43
"2023-09-21 01:00:00",4.18,,3.85
"2023-09-22 01:00:00",2.91,,3.22
"2023-09-23 01:00:00",2.51,,3.07
"2023-09-24 01:00:00",1.79,,3
"2023-09-25 01:00:00",1.8,,2.94
"2023-09-26 01:00:00",3.92,,3.03
"2023-09-27 01:00:00",3.86,,3.28
"2023-09-28 01:00:00",3.82,,4.59
"2023-09-29 01:00:00",3.54,,7.17
"2023-09-30 01:00:00",4.26,,10.48
"2023-10-01 01:00:00",10.95,,12.16
"2023-10-02 01:00:00",19.82,,13.52
"2023-10-03 01:00:00",27.14,,14.97
"2023-10-04 01:00:00",15.6,,17
"2023-10-05 01:00:00",13.34,,18.33
"2023-10-06 01:00:00",13.67,,18.4
"2023-10-07 01:00:00",18.48,,17.65
"2023-10-08 01:00:00",20.29,,18.69
"2023-10-09 01:00:00",20.29,,20.34
"2023-10-10 01:00:00",21.88,,21.99
"2023-10-11 01:00:00",22.88,,21
"2023-10-12 01:00:00",24.92,,23.22
"2023-10-13 01:00:00",25.17,,22.48
"2023-10-14 01:00:00",11.58,,20.85
"2023-10-15 01:00:00",35.82,,19.85
"2023-10-16 01:00:00",15.09,,18.36
"2023-10-17 01:00:00",10.52,,16.33
"2023-10-18 01:00:00",15.85,,16.14
"2023-10-19 01:00:00",14.46,,12.34
"2023-10-20 01:00:00",10.97,,12.44
"2023-10-21 01:00:00",10.29,,12.93
"2023-10-22 01:00:00",9.22,,12.28
"2023-10-23 01:00:00",15.76,,11.86
"2023-10-24 01:00:00",13.93,,11.18
"2023-10-25 01:00:00",11.3,,10.86
"2023-10-26 01:00:00",11.52,,11.39
"2023-10-27 01:00:00",6.26,,11.71
"2023-10-28 01:00:00",8.02,,11.33
