"Time","Sales","Trend Line","7-Day Moving Average"
"2023-05-01 01:00:00",14.44,18.67576069511296,18.61
"2023-05-02 01:00:00",13.17,,21.08
"2023-05-03 01:00:00",22.59,,23.71
"2023-05-04 01:00:00",31.19,,24.34
"2023-05-05 01:00:00",33.02,,25.29
"2023-05-06 01:00:00",31.58,,26.62
"2023-05-07 01:00:00",24.41,,25.83
"2023-05-08 01:00:00",21.1,,23.69
"2023-05-09 01:00:00",22.43,,20.83
"2023-05-10 01:00:00",17.09,,17.71
"2023-05-11 01:00:00",16.21,,15.77
"2023-05-12 01:00:00",12.98,,14.64
"2023-05-13 01:00:00",9.78,,14.75
"2023-05-14 01:00:00",10.79,,14.54
"2023-05-15 01:00:00",13.18,,14.81
"2023-05-16 01:00:00",23.21,,15.44
"2023-05-17 01:00:00",15.66,,18.29
"2023-05-18 01:00:00",18.09,,22.46
"2023-05-19 01:00:00",17.35,,26.85
"2023-05-20 01:00:00",29.73,,28.1
"2023-05-21 01:00:00",39.98,,29.57
"2023-05-22 01:00:00",43.93,,30.04
"2023-05-23 01:00:00",31.98,,29.96
"2023-05-24 01:00:00",25.96,,28.43
"2023-05-25 01:00:00",21.38,,28.68
"2023-05-26 01:00:00",16.73,,28.37
"2023-05-27 01:00:00",19.04,,27.07
"2023-05-28 01:00:00",41.75,,26.14
"2023-05-29 01:00:00",41.75,,25.42
"2023-05-30 01:00:00",22.89,,27.76
"2023-05-31 01:00:00",19.45,,28.14
"2023-06-01 01:00:00",16.35,,26.19
"2023-06-02 01:00:00",33.06,,23.84
"2023-06-03 01:00:00",21.75,,22.32
"2023-06-04 01:00:00",28.1,,22.2
"2023-06-05 01:00:00",25.28,,23.61
"2023-06-06 01:00:00",12.26,,22.17
"2023-06-07 01:00:00",18.59,,22.71
"2023-06-08 01:00:00",26.25,,25.21
"2023-06-09 01:00:00",22.98,,26.35
"2023-06-10 01:00:00",25.54,,26.51
"2023-06-11 01:00:00",45.6,,25.76
"2023-06-12 01:00:00",33.23,,23.95
"2023-06-13 01:00:00",13.39,,23.07
"2023-06-14 01:00:00",13.36,,22.72
"2023-06-15 01:00:00",13.52,,17.93
"2023-06-16 01:00:00",16.83,,14.87
"2023-06-17 01:00:00",23.08,,15.48
"2023-06-18 01:00:00",12.13,,16.04
"2023-06-19 01:00:00",11.8,,18.05
"2023-06-20 01:00:00",17.62,,19.94
"2023-06-21 01:00:00",17.27,,19.57
"2023-06-22 01:00:00",27.65,,21.37
"2023-06-23 01:00:00",30.02,,22.98
"2023-06-24 01:00:00",20.51,,22.86
"2023-06-25 01:00:00",24.74,,22.1
"2023-06-26 01:00:00",23.08,,21.28
"2023-06-27 01:00:00",16.74,,20.55
"2023-06-28 01:00:00",11.98,,21.71
"2023-06-29 01:00:00",21.88,,19.85
"2023-06-30 01:00:00",24.94,,19.36
"2023-07-01 01:00:00",28.64,,19.37
"2023-07-02 01:00:00",11.69,,20.99
"2023-07-03 01:00:00",19.67,,20.94
"2023-07-04 01:00:00",16.78,,20.13
"2023-07-05 01:00:00",23.34,,20.14
"2023-07-06 01:00:00",21.51,,23.6
"2023-07-07 01:00:00",19.3,,24.16
"2023-07-08 01:00:00",28.71,,25.93
"2023-07-09 01:00:00",35.89,,25.79
"2023-07-10 01:00:00",23.61,,24.63
"2023-07-11 01:00:00",29.15,,23.91
"2023-07-12 01:00:00",22.33,,22.57
"2023-07-13 01:00:00",13.41,,19.58
"2023-07-14 01:00:00",14.29,,20.56
"2023-07-15 01:00:00",19.32,,22.38
"2023-07-16 01:00:00",14.96,,23.99
"2023-07-17 01:00:00",30.47,,25.22
"2023-07-18 01:00:00",41.85,,25.68
"2023-07-19 01:00:00",33.61,,25.14
"2023-07-20 01:00:00",22.04,,28.6
"2023-07-21 01:00:00",17.52,,27.09
"2023-07-22 01:00:00",15.54,,23.63
"2023-07-23 01:00:00",39.2,,21.12
"2023-07-24 01:00:00",19.9,,20.08
"2023-07-25 01:00:00",17.58,,19.54
"2023-07-26 01:00:00",16.05,,19.14
"2023-07-27 01:00:00",14.76,,16.33
"2023-07-28 01:00:00",13.78,,15.27
"2023-07-29 01:00:00",12.72,,15.7
"2023-07-30 01:00:00",19.52,,16.29
"2023-07-31 01:00:00",12.49,,17.15
"2023-08-01 01:00:00",20.59,,17.57
"2023-08-02 01:00:00",20.15,,20.14
"2023-08-03 01:00:00",20.82,,19.59
"2023-08-04 01:00:00",16.73,,19.88
"2023-08-05 01:00:00",30.71,,19.96
"2023-08-06 01:00:00",15.67,,22.5
"2023-08-07 01:00:00",14.51,,22.72
"2023-08-08 01:00:00",21.11,,23.31
"2023-08-09 01:00:00",37.98,,23
"2023-08-10 01:00:00",22.32,,23.38
"2023-08-11 01:00:00",20.88,,24.17
"2023-08-12 01:00:00",28.53,,23.8
"2023-08-13 01:00:00",18.31,,20.73
"2023-08-14 01:00:00",20.04,,23.13
"2023-08-15 01:00:00",18.54,,25.88
"2023-08-16 01:00:00",16.48,,26.86
"2023-08-17 01:00:00",39.1,,26.81
"2023-08-18 01:00:00",40.16,,27.31
"2023-08-19 01:00:00",35.37,,30.16
"2023-08-20 01:00:00",17.97,,32.02
"2023-08-21 01:00:00",23.55,,32.22
"2023-08-22 01:00:00",38.47,,30.96
"2023-08-23 01:00:00",29.5,,28.86
"2023-08-24 01:00:00",40.53,,29.42
"2023-08-25 01:00:00",31.32,,28.69
"2023-08-26 01:00:00",20.66,,25.32
"2023-08-27 01:00:00",21.88,,22.77
"2023-08-28 01:00:00",18.44,,18.19
"2023-08-29 01:00:00",14.89,,15.18
"2023-08-30 01:00:00",11.66,,14.85
"2023-08-31 01:00:00",8.49,,15.66
"2023-09-01 01:00:00",10.27,,18.88
"2023-09-02 01:00:00",18.35,,19.77
"2023-09-03 01:00:00",27.55,,20.36
"2023-09-04 01:00:00",40.92,,21.31
"2023-09-05 01:00:00",21.14,,22.37
"2023-09-06 01:00:00",15.77,,21.86
"2023-09-07 01:00:00",15.17,,19.96
"2023-09-08 01:00:00",17.66,,16.31
"2023-09-09 01:00:00",14.79,,16.34
"2023-09-10 01:00:00",14.26,,16.41
"2023-09-11 01:00:00",15.36,,15.92
"2023-09-12 01:00:00",21.37,,14.92
"2023-09-13 01:00:00",16.29,,14
"2023-09-14 01:00:00",11.69,,13.74
"2023-09-15 01:00:00",10.7,,13.38
"2023-09-16 01:00:00",8.33,,12
"2023-09-17 01:00:00",12.45,,11.16
"2023-09-18 01:00:00",12.8,,10.63
"2023-09-19 01:00:00",11.74,,10.02
"2023-09-20 01:00:00",10.41,,9.57
"2023-09-21 01:00:00",7.99,,8.72
"2023-09-22 01:00:00",6.43,,8.31
"2023-09-23 01:00:00",5.18,,8.17
"2023-09-24 01:00:00",6.51,,8.61
"2023-09-25 01:00:00",9.92,,9.5
"2023-09-26 01:00:00",10.77,,10.93
"2023-09-27 01:00:00",13.44,,11.43
"2023-09-28 01:00:00",14.22,,12.39
"2023-09-29 01:00:00",16.5,,12.75
"2023-09-30 01:00:00",8.63,,12.75
"2023-10-01 01:00:00",13.28,,12.09
"2023-10-02 01:00:00",12.39,,12.68
"2023-10-03 01:00:00",10.8,,11.31
"2023-10-04 01:00:00",8.83,,11.71
"2023-10-05 01:00:00",18.31,,11.38
"2023-10-06 01:00:00",6.96,,11.31
