"Time","Sales","Trend Line","7-Day Moving Average"
"2023-07-03 01:00:00",0.25,1.4274574131041216,0.25
"2023-07-04 01:00:00",0.25,,0.32
"2023-07-05 01:00:00",0.25,,0.32
"2023-07-06 01:00:00",0.25,,0.38
"2023-07-07 01:00:00",0.75,,0.44
"2023-07-08 01:00:00",0.25,,0.48
"2023-07-09 01:00:00",0.68,,0.52
"2023-07-10 01:00:00",0.62,,0.56
"2023-07-11 01:00:00",0.57,,0.67
"2023-07-12 01:00:00",0.51,,0.86
"2023-07-13 01:00:00",0.51,,1.26
"2023-07-14 01:00:00",1.53,,1.7
"2023-07-15 01:00:00",1.58,,2.2
"2023-07-16 01:00:00",3.48,,2.65
"2023-07-17 01:00:00",3.72,,3.04
"2023-07-18 01:00:00",4.07,,3.13
"2023-07-19 01:00:00",3.69,,3.14
"2023-07-20 01:00:00",3.24,,2.82
"2023-07-21 01:00:00",2.14,,2.6
"2023-07-22 01:00:00",1.66,,2.2
"2023-07-23 01:00:00",1.22,,2.16
"2023-07-24 01:00:00",2.15,,2.01
"2023-07-25 01:00:00",1.31,,2.04
"2023-07-26 01:00:00",3.39,,2.14
"2023-07-27 01:00:00",2.2,,2.08
"2023-07-28 01:00:00",2.36,,1.84
"2023-07-29 01:00:00",2.37,,1.73
"2023-07-30 01:00:00",0.75,,1.39
"2023-07-31 01:00:00",0.51,,1.15
"2023-08-01 01:00:00",0.51,,0.86
"2023-08-02 01:00:00",1.01,,0.57
"2023-08-03 01:00:00",0.51,,0.56
"2023-08-04 01:00:00",0.39,,0.84
"2023-08-05 01:00:00",0.33,,0.96
"2023-08-06 01:00:00",0.68,,0.95
"2023-08-07 01:00:00",2.46,,0.98
"2023-08-08 01:00:00",1.35,,1.03
"2023-08-09 01:00:00",0.9,,1.14
"2023-08-10 01:00:00",0.72,,1.25
"2023-08-11 01:00:00",0.78,,1.24
"2023-08-12 01:00:00",1.1,,1.41
"2023-08-13 01:00:00",1.41,,1.7
"2023-08-14 01:00:00",2.44,,2.09
"2023-08-15 01:00:00",2.55,,2.47
"2023-08-16 01:00:00",2.87,,2.57
"2023-08-17 01:00:00",3.49,,2.7
"2023-08-18 01:00:00",3.4,,2.62
"2023-08-19 01:00:00",1.84,,2.93
"2023-08-20 01:00:00",2.34,,3.11
"2023-08-21 01:00:00",1.87,,3.2
"2023-08-22 01:00:00",4.72,,3.26
"2023-08-23 01:00:00",4.13,,3.43
"2023-08-24 01:00:00",4.11,,3.51
"2023-08-25 01:00:00",3.82,,3.55
"2023-08-26 01:00:00",3,,3.24
"2023-08-27 01:00:00",2.95,,2.8
"2023-08-28 01:00:00",2.13,,2.41
"2023-08-29 01:00:00",2.51,,2.03
"2023-08-30 01:00:00",1.09,,2
"2023-08-31 01:00:00",1.34,,1.92
"2023-09-01 01:00:00",1.16,,2.06
"2023-09-02 01:00:00",2.82,,2.84
"2023-09-03 01:00:00",2.37,,3.05
"2023-09-04 01:00:00",3.15,,3.15
"2023-09-05 01:00:00",7.98,,3.27
"2023-09-06 01:00:00",2.5,,3.14
"2023-09-07 01:00:00",2.06,,3.09
"2023-09-08 01:00:00",2.01,,2.9
"2023-09-09 01:00:00",1.92,,2.25
"2023-09-10 01:00:00",2.04,,2.31
"2023-09-11 01:00:00",1.76,,2.66
"2023-09-12 01:00:00",3.43,,2.98
"2023-09-13 01:00:00",2.92,,3.14
"2023-09-14 01:00:00",4.56,,3.22
"2023-09-15 01:00:00",4.24,,3.19
"2023-09-16 01:00:00",3.05,,2.9
"2023-09-17 01:00:00",2.57,,2.79
"2023-09-18 01:00:00",1.58,,2.36
"2023-09-19 01:00:00",1.41,,1.88
"2023-09-20 01:00:00",2.14,,1.57
"2023-09-21 01:00:00",1.5,,1.38
"2023-09-22 01:00:00",0.91,,1.36
"2023-09-23 01:00:00",0.9,,1.3
"2023-09-24 01:00:00",1.24,,1.11
"2023-09-25 01:00:00",1.44,,1.1
"2023-09-26 01:00:00",0.97,,1.32
"2023-09-27 01:00:00",0.84,,1.43
"2023-09-28 01:00:00",1.4,,1.44
"2023-09-29 01:00:00",2.44,,1.43
"2023-09-30 01:00:00",1.67,,1.45
"2023-10-01 01:00:00",1.35,,1.45
"2023-10-02 01:00:00",1.35,,1.34
"2023-10-03 01:00:00",1.1,,1.11
"2023-10-04 01:00:00",0.82,,1.14
"2023-10-05 01:00:00",0.66,,1.05
"2023-10-06 01:00:00",0.84,,1.1
"2023-10-07 01:00:00",1.89,,1.28
"2023-10-08 01:00:00",0,,1.08
"2023-10-09 01:00:00",1.53,,1.4
"2023-10-10 01:00:00",1.31,,1.37
"2023-10-11 01:00:00",1.3,,1.19
"2023-10-12 01:00:00",1.42,,1.1
"2023-10-13 01:00:00",0.82,,0.96
"2023-10-14 01:00:00",0.62,,0.84
"2023-10-15 01:00:00",0.71,,0.77
"2023-10-16 01:00:00",0.53,,0.78
"2023-10-17 01:00:00",0.5,,0.82
"2023-10-18 01:00:00",0.81,,0.86
"2023-10-19 01:00:00",1.45,,0.89
"2023-10-20 01:00:00",1.1,,0.99
"2023-10-21 01:00:00",0.89,,1.12
"2023-10-22 01:00:00",0.94,,1.34
"2023-10-23 01:00:00",1.23,,1.39
"2023-10-24 01:00:00",1.42,,1.55
"2023-10-25 01:00:00",2.35,,1.71
"2023-10-26 01:00:00",1.83,,1.87
"2023-10-27 01:00:00",2.21,,1.81
"2023-10-28 01:00:00",2.02,,1.82
"2023-10-29 01:00:00",2.06,,1.78
"2023-10-30 00:00:00",0.79,,1.73
"2023-10-31 00:00:00",1.46,,1.56
"2023-11-01 00:00:00",2.06,,1.43
"2023-11-02 00:00:00",1.5,,1.26
"2023-11-03 00:00:00",1.02,,1.28
"2023-11-04 00:00:00",1.1,,1.51
"2023-11-05 00:00:00",0.87,,1.48
"2023-11-06 00:00:00",0.93,,1.47
"2023-11-07 00:00:00",3.06,,1.46
"2023-11-08 00:00:00",1.87,,1.43
"2023-11-09 00:00:00",1.43,,1.5
"2023-11-10 00:00:00",0.99,,1.59
"2023-11-11 00:00:00",0.85,,1.35
"2023-11-12 00:00:00",1.37,,1.35
"2023-11-13 00:00:00",1.58,,1.37
"2023-11-14 00:00:00",1.39,,2.04
"2023-11-15 00:00:00",1.86,,2.25
"2023-11-16 00:00:00",0,,1.55
"2023-11-17 00:00:00",5.81,,3
"2023-11-18 00:00:00",0,,1.15
"2023-11-19 00:00:00",0.18,,0.98
"2023-11-20 00:00:00",0.12,,0.96
"2023-11-21 00:00:00",0.1,,0.14
"2023-11-22 00:00:00",0.28,,0.14
"2023-11-23 00:00:00",0.13,,0.14
"2023-11-24 00:00:00",0.1,,0.2
"2023-11-25 00:00:00",0.09,,0.25
"2023-11-26 00:00:00",0.17,,0.25
