"Time","Sales","Trend Line","7-Day Moving Average"
"2025-04-10 01:00:00",0.67,2.7204682565585148,0.96
"2025-04-11 01:00:00",0.67,,0.97
"2025-04-12 01:00:00",2.66,,1.21
"2025-04-13 01:00:00",0.74,,0.9
"2025-04-14 01:00:00",0.74,,0.93
"2025-04-15 01:00:00",0.32,,0.9
"2025-04-16 01:00:00",0.51,,0.57
"2025-04-17 01:00:00",0.85,,0.6
"2025-04-18 01:00:00",0.47,,0.61
"2025-04-19 01:00:00",0.37,,0.67
"2025-04-20 01:00:00",0.93,,0.75
"2025-04-21 01:00:00",0.84,,0.9
"2025-04-22 01:00:00",0.74,,1.04
"2025-04-23 01:00:00",1.08,,1.29
"2025-04-24 01:00:00",1.87,,1.47
"2025-04-25 01:00:00",1.43,,1.54
"2025-04-26 01:00:00",2.11,,1.58
"2025-04-27 01:00:00",2.19,,1.76
"2025-04-28 01:00:00",1.39,,1.67
"2025-04-29 01:00:00",0.96,,1.6
"2025-04-30 01:00:00",2.37,,1.62
"2025-05-01 01:00:00",1.25,,1.4
"2025-05-02 01:00:00",0,,1.27
"2025-05-03 01:00:00",0.84,,1.37
"2025-05-04 01:00:00",1.71,,1.37
"2025-05-05 01:00:00",1.73,,1.28
"2025-05-06 01:00:00",0,,0.86
"2025-05-07 01:00:00",0.64,,0.95
"2025-05-08 01:00:00",0.57,,0.87
"2025-05-09 01:00:00",0.55,,0.74
"2025-05-10 01:00:00",0.8,,0.76
"2025-05-11 01:00:00",1.25,,0.73
"2025-05-12 01:00:00",0.82,,0.77
"2025-05-13 01:00:00",0.68,,0.72
"2025-05-14 01:00:00",0.45,,0.64
"2025-05-15 01:00:00",0,,0.65
"2025-05-16 01:00:00",0.38,,0.81
"2025-05-17 01:00:00",0.42,,0.84
"2025-05-18 01:00:00",1.81,,1.08
"2025-05-19 01:00:00",1.53,,0.91
"2025-05-20 01:00:00",0.86,,1.09
"2025-05-21 01:00:00",0.72,,1.29
"2025-05-22 01:00:00",0.68,,1.39
"2025-05-23 01:00:00",1.6,,1.61
"2025-05-24 01:00:00",1.8,,1.73
"2025-05-25 01:00:00",2.53,,1.8
"2025-05-26 01:00:00",3.11,,1.98
