"Time","Sales","Trend Line","7-Day Moving Average"
"2023-05-01 01:00:00",28.12,62.16474940420413,28.68
"2023-05-02 01:00:00",25.36,,30.05
"2023-05-03 01:00:00",29.23,,37.57
"2023-05-04 01:00:00",38.73,,39.39
"2023-05-05 01:00:00",40.44,,41.7
"2023-05-06 01:00:00",78.03,,44.43
"2023-05-07 01:00:00",35.82,,45.47
"2023-05-08 01:00:00",44.26,,42.51
"2023-05-09 01:00:00",44.47,,39.05
"2023-05-10 01:00:00",36.57,,30.29
"2023-05-11 01:00:00",17.98,,27.57
"2023-05-12 01:00:00",16.23,,30.61
"2023-05-13 01:00:00",16.67,,28.23
"2023-05-14 01:00:00",16.8,,25.68
"2023-05-15 01:00:00",65.55,,25.68
"2023-05-16 01:00:00",27.82,,26.07
"2023-05-17 01:00:00",18.68,,26.86
"2023-05-18 01:00:00",18.01,,28.12
"2023-05-19 01:00:00",18.99,,24.95
"2023-05-20 01:00:00",22.16,,26.32
"2023-05-21 01:00:00",25.63,,27.99
"2023-05-22 01:00:00",43.37,,33.18
"2023-05-23 01:00:00",37.39,,33.54
"2023-05-24 01:00:00",30.37,,38.14
"2023-05-25 01:00:00",54.38,,41.18
"2023-05-26 01:00:00",21.46,,41.69
"2023-05-27 01:00:00",54.38,,43.05
"2023-05-28 01:00:00",46.92,,41.4
"2023-05-29 01:00:00",46.92,,36.31
"2023-05-30 01:00:00",46.92,,36.27
"2023-05-31 01:00:00",18.82,,30.86
"2023-06-01 01:00:00",18.72,,30.16
"2023-06-02 01:00:00",21.2,,29.05
"2023-06-03 01:00:00",16.51,,28.34
"2023-06-04 01:00:00",42.04,,31.77
"2023-06-05 01:00:00",39.12,,37.62
"2023-06-06 01:00:00",41.98,,44.45
"2023-06-07 01:00:00",42.79,,63.86
"2023-06-08 01:00:00",59.73,,74.69
"2023-06-09 01:00:00",68.99,,87.59
"2023-06-10 01:00:00",152.35,,103.09
"2023-06-11 01:00:00",117.86,,115.47
"2023-06-12 01:00:00",129.46,,128.32
"2023-06-13 01:00:00",150.43,,155.76
"2023-06-14 01:00:00",129.46,,189.71
"2023-06-15 01:00:00",149.71,,211.28
"2023-06-16 01:00:00",261.06,,231.19
"2023-06-17 01:00:00",390.02,,253.85
"2023-06-18 01:00:00",268.81,,289.67
"2023-06-19 01:00:00",268.81,,322.6
"2023-06-20 01:00:00",309.06,,345.13
"2023-06-21 01:00:00",380.22,,359.98
"2023-06-22 01:00:00",380.22,,373.37
"2023-06-23 01:00:00",418.79,,378.46
"2023-06-24 01:00:00",493.96,,370.94
"2023-06-25 01:00:00",362.53,,345.47
"2023-06-26 01:00:00",304.41,,319.01
"2023-06-27 01:00:00",256.45,,285.25
"2023-06-28 01:00:00",201.91,,236.86
"2023-06-29 01:00:00",195.01,,207.95
"2023-06-30 01:00:00",182.51,,182.74
"2023-07-01 01:00:00",155.17,,159.23
"2023-07-02 01:00:00",160.21,,144.28
"2023-07-03 01:00:00",127.89,,128.17
"2023-07-04 01:00:00",91.93,,114.77
"2023-07-05 01:00:00",97.23,,126.86
"2023-07-06 01:00:00",82.24,,132.24
"2023-07-07 01:00:00",88.72,,137.48
"2023-07-08 01:00:00",239.78,,152.27
"2023-07-09 01:00:00",197.92,,173.29
"2023-07-10 01:00:00",164.54,,186.64
"2023-07-11 01:00:00",195.44,,189.91
"2023-07-12 01:00:00",244.42,,170.14
"2023-07-13 01:00:00",175.65,,155.55
"2023-07-14 01:00:00",111.6,,144.72
"2023-07-15 01:00:00",101.44,,127.08
"2023-07-16 01:00:00",95.76,,100.54
"2023-07-17 01:00:00",88.73,,82.65
"2023-07-18 01:00:00",71.99,,72.57
"2023-07-19 01:00:00",58.61,,63.43
"2023-07-20 01:00:00",50.45,,55.57
"2023-07-21 01:00:00",41.03,,48.83
"2023-07-22 01:00:00",37.43,,45.49
"2023-07-23 01:00:00",40.76,,44.17
"2023-07-24 01:00:00",41.51,,46.71
"2023-07-25 01:00:00",48.65,,53.36
"2023-07-26 01:00:00",49.36,,65.19
"2023-07-27 01:00:00",68.22,,72.15
"2023-07-28 01:00:00",87.61,,75.79
"2023-07-29 01:00:00",120.21,,74.22
"2023-07-30 01:00:00",89.52,,75.66
"2023-07-31 01:00:00",66.98,,72.56
"2023-08-01 01:00:00",37.62,,64.64
"2023-08-02 01:00:00",59.49,,52.14
"2023-08-03 01:00:00",46.49,,48.35
"2023-08-04 01:00:00",32.16,,46.65
"2023-08-05 01:00:00",32.75,,46.26
"2023-08-06 01:00:00",62.96,,41.73
"2023-08-07 01:00:00",55.08,,42.46
"2023-08-08 01:00:00",34.91,,46.05
"2023-08-09 01:00:00",27.79,,49.56
"2023-08-10 01:00:00",51.6,,49.02
"2023-08-11 01:00:00",57.28,,48.58
"2023-08-12 01:00:00",57.28,,52.52
"2023-08-13 01:00:00",59.23,,55.62
"2023-08-14 01:00:00",51.98,,54.31
"2023-08-15 01:00:00",62.5,,50.08
"2023-08-16 01:00:00",49.46,,50.71
"2023-08-17 01:00:00",42.46,,49.64
"2023-08-18 01:00:00",27.62,,49.35
"2023-08-19 01:00:00",61.74,,52.12
"2023-08-20 01:00:00",51.74,,53.85
"2023-08-21 01:00:00",49.9,,65.79
"2023-08-22 01:00:00",81.92,,73.11
"2023-08-23 01:00:00",61.57,,75.35
"2023-08-24 01:00:00",126.04,,77.93
"2023-08-25 01:00:00",78.86,,83.91
"2023-08-26 01:00:00",77.41,,91.3
"2023-08-27 01:00:00",69.84,,103.37
"2023-08-28 01:00:00",91.75,,99.5
"2023-08-29 01:00:00",133.64,,106.74
"2023-08-30 01:00:00",146.06,,119.29
"2023-08-31 01:00:00",98.96,,128.99
"2023-09-01 01:00:00",129.52,,143.94
"2023-09-02 01:00:00",165.24,,158.85
"2023-09-03 01:00:00",137.79,,182.86
"2023-09-04 01:00:00",196.35,,202.72
"2023-09-05 01:00:00",238,,207.12
"2023-09-06 01:00:00",314.16,,203.2
"2023-09-07 01:00:00",238,,205.97
"2023-09-08 01:00:00",160.28,,194.56
"2023-09-09 01:00:00",137.79,,175.01
"2023-09-10 01:00:00",157.23,,140.64
"2023-09-11 01:00:00",116.47,,115.47
"2023-09-12 01:00:00",101.17,,102.41
"2023-09-13 01:00:00",73.56,,94
"2023-09-14 01:00:00",61.76,,85.56
"2023-09-15 01:00:00",68.86,,80.59
"2023-09-16 01:00:00",78.94,,74.24
"2023-09-17 01:00:00",98.19,,70.06
"2023-09-18 01:00:00",81.63,,66.38
"2023-09-19 01:00:00",56.74,,61.81
"2023-09-20 01:00:00",44.28,,57.71
"2023-09-21 01:00:00",36.04,,52.8
"2023-09-22 01:00:00",36.86,,48.38
"2023-09-23 01:00:00",50.26,,49.86
"2023-09-24 01:00:00",63.81,,51.49
"2023-09-25 01:00:00",50.7,,51.13
"2023-09-26 01:00:00",67.07,,49.84
"2023-09-27 01:00:00",55.71,,47.29
"2023-09-28 01:00:00",33.49,,44.39
"2023-09-29 01:00:00",27.83,,47.54
"2023-09-30 01:00:00",32.39,,45.89
"2023-10-01 01:00:00",43.52,,45.22
"2023-10-02 01:00:00",72.75,,45.27
"2023-10-03 01:00:00",55.54,,45.73
"2023-10-04 01:00:00",51.01,,45
"2023-10-05 01:00:00",33.85,,43.6
"2023-10-06 01:00:00",31.05,,39.8
"2023-10-07 01:00:00",27.29,,41.44
"2023-10-08 01:00:00",33.68,,44.9
"2023-10-09 01:00:00",46.19,,50.44
"2023-10-10 01:00:00",67,,53.51
"2023-10-11 01:00:00",75.27,,59.86
"2023-10-12 01:00:00",72.58,,63.79
"2023-10-13 01:00:00",52.56,,61.85
"2023-10-14 01:00:00",71.73,,56.07
"2023-10-15 01:00:00",61.18,,48.37
"2023-10-16 01:00:00",32.63,,42.54
"2023-10-17 01:00:00",26.55,,40.3
"2023-10-18 01:00:00",21.35,,33.43
"2023-10-19 01:00:00",31.79,,29.95
"2023-10-20 01:00:00",36.84,,28.6
"2023-10-21 01:00:00",23.67,,28.6
"2023-10-22 01:00:00",36.85,,28.96
"2023-10-23 01:00:00",23.13,,27.78
"2023-10-24 01:00:00",26.55,,26.96
"2023-10-25 01:00:00",23.86,,25.7
"2023-10-26 01:00:00",23.53,,24.08
"2023-10-27 01:00:00",31.14,,24.07
"2023-10-28 01:00:00",14.84,,22.48
"2023-10-29 01:00:00",25.52,,21.87
"2023-10-30 00:00:00",23.08,,22.84
"2023-10-31 00:00:00",15.42,,20.68
"2023-11-01 00:00:00",19.53,,20.29
"2023-11-02 00:00:00",30.32,,19.36
"2023-11-03 00:00:00",16.03,,17.56
"2023-11-04 00:00:00",12.1,,17.84
"2023-11-05 00:00:00",19.01,,16.44
"2023-11-06 00:00:00",10.54,,13.39
"2023-11-07 00:00:00",17.33,,12.17
"2023-11-08 00:00:00",9.76,,13.29
"2023-11-09 00:00:00",8.95,,12.98
"2023-11-10 00:00:00",7.5,,13.32
"2023-11-11 00:00:00",19.92,,12.75
"2023-11-12 00:00:00",16.89,,12.44
"2023-11-13 00:00:00",12.92,,12.3
"2023-11-14 00:00:00",13.32,,12.64
"2023-11-15 00:00:00",7.61,,13
"2023-11-16 00:00:00",7.95,,14.55
"2023-11-17 00:00:00",9.87,,14.7
"2023-11-18 00:00:00",22.45,,14.25
"2023-11-19 00:00:00",27.7,,15.26
"2023-11-20 00:00:00",14.01,,17.14
"2023-11-21 00:00:00",10.18,,17.54
"2023-11-22 00:00:00",14.63,,17.43
"2023-11-23 00:00:00",21.13,,14.88
"2023-11-24 00:00:00",12.71,,16.38
"2023-11-25 00:00:00",21.64,,16.92
"2023-11-26 00:00:00",9.86,,16.44
"2023-11-27 00:00:00",24.5,,14.8
"2023-11-28 00:00:00",13.94,,14.03
"2023-11-29 00:00:00",11.29,,12
"2023-11-30 00:00:00",9.63,,11.26
"2023-12-01 00:00:00",7.34,,8.3
"2023-12-02 00:00:00",7.44,,7.25
"2023-12-03 00:00:00",4.7,,6.53
"2023-12-04 00:00:00",3.76,,5.76
"2023-12-05 00:00:00",6.6,,5.75
"2023-12-06 00:00:00",6.21,,6.29
"2023-12-07 00:00:00",4.28,,7.48
"2023-12-08 00:00:00",7.27,,7.52
"2023-12-09 00:00:00",11.18,,7.54
"2023-12-10 00:00:00",13.06,,7.76
"2023-12-11 00:00:00",4.01,,7.81
"2023-12-12 00:00:00",6.79,,7.34
"2023-12-13 00:00:00",7.75,,6.57
"2023-12-14 00:00:00",4.61,,5.78
"2023-12-15 00:00:00",3.97,,6.53
"2023-12-16 00:00:00",5.8,,7.35
"2023-12-17 00:00:00",7.51,,6.9
"2023-12-18 00:00:00",9.31,,7.16
"2023-12-19 00:00:00",12.49,,8.01
"2023-12-20 00:00:00",4.63,,8
"2023-12-21 00:00:00",6.39,,7.74
"2023-12-22 00:00:00",9.95,,7.12
"2023-12-23 00:00:00",5.73,,5.88
"2023-12-24 00:00:00",5.71,,6.12
"2023-12-25 00:00:00",4.95,,6.16
"2023-12-26 00:00:00",3.78,,6.28
"2023-12-27 00:00:00",6.33,,6.29
"2023-12-28 00:00:00",6.67,,6.19
"2023-12-29 00:00:00",10.78,,6.3
"2023-12-30 00:00:00",5.79,,6.11
"2023-12-31 00:00:00",5,,5.47
"2024-01-01 00:00:00",5.78,,4.9
"2024-01-02 00:00:00",2.43,,3.66
"2024-01-03 00:00:00",1.83,,3.14
"2024-01-04 00:00:00",2.68,,2.78
"2024-01-05 00:00:00",2.14,,2.32
"2024-01-06 00:00:00",2.13,,2.5
"2024-01-07 00:00:00",2.47,,2.59
"2024-01-08 00:00:00",2.57,,3.78
"2024-01-09 00:00:00",3.71,,3.89
"2024-01-10 00:00:00",2.44,,4
"2024-01-11 00:00:00",10.97,,4.04
"2024-01-12 00:00:00",2.96,,4.1
"2024-01-13 00:00:00",2.88,,3.84
"2024-01-14 00:00:00",2.74,,3.71
"2024-01-15 00:00:00",2.98,,2.48
"2024-01-16 00:00:00",1.94,,2.61
"2024-01-17 00:00:00",1.47,,2.57
"2024-01-18 00:00:00",2.4,,2.59
"2024-01-19 00:00:00",3.84,,2.45
"2024-01-20 00:00:00",2.64,,2.43
"2024-01-21 00:00:00",2.86,,2.72
"2024-01-22 00:00:00",2.01,,2.66
"2024-01-23 00:00:00",1.82,,2.29
"2024-01-24 00:00:00",3.46,,2.14
"2024-01-25 00:00:00",1.99,,2.11
"2024-01-26 00:00:00",1.24,,2.25
"2024-01-27 00:00:00",1.62,,2.53
"2024-01-28 00:00:00",2.62,,2.9
"2024-01-29 00:00:00",3,,3.21
"2024-01-30 00:00:00",3.76,,3.5
"2024-01-31 00:00:00",6.08,,3.57
"2024-02-01 00:00:00",4.14,,3.51
"2024-02-02 00:00:00",3.28,,3.24
"2024-02-03 00:00:00",2.12,,3.13
"2024-02-04 00:00:00",2.19,,2.52
"2024-02-05 00:00:00",1.08,,2.08
"2024-02-06 00:00:00",3.02,,1.88
"2024-02-07 00:00:00",1.79,,1.86
"2024-02-08 00:00:00",1.07,,2.06
"2024-02-09 00:00:00",1.87,,2.53
"2024-02-10 00:00:00",1.98,,2.85
"2024-02-11 00:00:00",3.62,,3.42
"2024-02-12 00:00:00",4.38,,4.03
"2024-02-13 00:00:00",5.22,,5.06
"2024-02-14 00:00:00",5.82,,6.25
"2024-02-15 00:00:00",5.31,,6.52
"2024-02-16 00:00:00",9.08,,6.42
"2024-02-17 00:00:00",10.33,,6.63
"2024-02-18 00:00:00",5.53,,7.36
"2024-02-19 00:00:00",3.63,,7.63
"2024-02-20 00:00:00",6.71,,6.88
"2024-02-21 00:00:00",10.92,,6.12
"2024-02-22 00:00:00",7.24,,5.95
"2024-02-23 00:00:00",3.82,,5.86
"2024-02-24 00:00:00",4.99,,5.68
"2024-02-25 00:00:00",4.32,,5.36
"2024-02-26 00:00:00",3,,4.78
"2024-02-27 00:00:00",5.48,,5.15
"2024-02-28 00:00:00",8.66,,5.15
"2024-02-29 00:00:00",3.18,,4.92
"2024-03-01 00:00:00",6.42,,4.85
"2024-03-02 00:00:00",5.02,,4.23
"2024-03-03 00:00:00",2.71,,3.16
"2024-03-04 00:00:00",2.5,,2.92
"2024-03-05 00:00:00",1.13,,2.16
"2024-03-06 00:00:00",1.15,,1.57
"2024-03-07 00:00:00",1.49,,1.63
"2024-03-08 00:00:00",1.12,,1.67
"2024-03-09 00:00:00",0.9,,2.07
"2024-03-10 00:00:00",3.15,,2.68
"2024-03-11 00:00:00",2.78,,3.55
"2024-03-12 00:00:00",3.88,,4.1
"2024-03-13 00:00:00",5.46,,4.92
"2024-03-14 00:00:00",7.56,,5.62
"2024-03-15 00:00:00",4.99,,6.71
"2024-03-16 00:00:00",6.61,,7.02
"2024-03-17 00:00:00",8.03,,7.42
"2024-03-18 00:00:00",10.41,,7.48
"2024-03-19 00:00:00",6.11,,7.61
"2024-03-20 00:00:00",8.24,,7.25
"2024-03-21 00:00:00",7.98,,6.66
"2024-03-22 00:00:00",5.9,,5.92
"2024-03-23 00:00:00",4.08,,5.67
"2024-03-24 00:00:00",3.91,,5.95
"2024-03-25 00:00:00",5.25,,6.21
"2024-03-26 00:00:00",4.36,,6.61
"2024-03-27 00:00:00",10.19,,7.29
"2024-03-28 00:00:00",9.8,,7.8
"2024-03-29 00:00:00",8.65,,8.35
"2024-03-30 00:00:00",8.84,,9.36
"2024-03-31 00:00:00",7.49,,9.76
"2024-04-01 01:00:00",9.12,,9.71
"2024-04-02 01:00:00",11.42,,11.36
"2024-04-03 01:00:00",13.01,,13.14
"2024-04-04 01:00:00",9.47,,13.51
"2024-04-05 01:00:00",20.2,,14.19
"2024-04-06 01:00:00",21.29,,14.28
"2024-04-07 01:00:00",10.06,,15.51
"2024-04-08 01:00:00",13.9,,18.93
"2024-04-09 01:00:00",12.03,,18.17
"2024-04-10 01:00:00",21.61,,16.69
"2024-04-11 01:00:00",33.4,,17.46
"2024-04-12 01:00:00",14.87,,16.23
"2024-04-13 01:00:00",10.96,,15.76
"2024-04-14 01:00:00",15.46,,14.29
"2024-04-15 01:00:00",5.29,,10.76
"2024-04-16 01:00:00",8.7,,9.76
"2024-04-17 01:00:00",11.38,,9
"2024-04-18 01:00:00",8.68,,7.92
"2024-04-19 01:00:00",7.84,,8.3
"2024-04-20 01:00:00",5.66,,7.97
"2024-04-21 01:00:00",7.91,,7.43
"2024-04-22 01:00:00",7.95,,6.62
"2024-04-23 01:00:00",6.38,,5.94
"2024-04-24 01:00:00",7.6,,5.71
"2024-04-25 01:00:00",3.03,,5.79
"2024-04-26 01:00:00",3.06,,5.95
"2024-04-27 01:00:00",4.07,,6.93
"2024-04-28 01:00:00",8.41,,8.63
"2024-04-29 01:00:00",9.08,,10.99
"2024-04-30 01:00:00",13.28,,13.67
"2024-05-01 01:00:00",19.51,,15.43
"2024-05-02 01:00:00",19.51,,17.84
"2024-05-03 01:00:00",21.86,,19.44
"2024-05-04 01:00:00",16.35,,20.66
"2024-05-05 01:00:00",25.31,,21.8
"2024-05-06 01:00:00",20.29,,23.19
"2024-05-07 01:00:00",21.76,,26.5
"2024-05-08 01:00:00",27.53,,33.74
"2024-05-09 01:00:00",29.26,,38.74
"2024-05-10 01:00:00",45.02,,42.28
"2024-05-11 01:00:00",67.04,,44.69
"2024-05-12 01:00:00",60.3,,47.47
"2024-05-13 01:00:00",45.02,,48.15
"2024-05-14 01:00:00",38.68,,45.09
"2024-05-15 01:00:00",46.98,,38.7
"2024-05-16 01:00:00",33.98,,33.65
"2024-05-17 01:00:00",23.62,,34.33
"2024-05-18 01:00:00",22.29,,36.89
"2024-05-19 01:00:00",24.96,,35.65
"2024-05-20 01:00:00",49.77,,34.59
"2024-05-21 01:00:00",56.63,,34.07
"2024-05-22 01:00:00",38.27,,34.58
"2024-05-23 01:00:00",26.58,,36.65
"2024-05-24 01:00:00",20.02,,33.49
"2024-05-25 01:00:00",25.83,,27.95
"2024-05-26 01:00:00",39.46,,24.31
"2024-05-27 01:00:00",27.64,,23.16
"2024-05-28 01:00:00",17.82,,22.88
"2024-05-29 01:00:00",12.81,,21.32
"2024-05-30 01:00:00",18.54,,18.73
"2024-05-31 01:00:00",18.04,,18.99
"2024-06-01 01:00:00",14.9,,21.76
"2024-06-02 01:00:00",21.39,,27.54
"2024-06-03 01:00:00",29.41,,30.52
"2024-06-04 01:00:00",37.26,,33.92
"2024-06-05 01:00:00",53.26,,38.42
"2024-06-06 01:00:00",39.4,,47.62
"2024-06-07 01:00:00",41.82,,46.77
"2024-06-08 01:00:00",46.37,,44.89
"2024-06-09 01:00:00",85.84,,41.47
"2024-06-10 01:00:00",23.41,,39.35
"2024-06-11 01:00:00",24.1,,36.38
"2024-06-12 01:00:00",29.32,,33.43
"2024-06-13 01:00:00",24.56,,25.46
"2024-06-14 01:00:00",21.05,,28.29
"2024-06-15 01:00:00",25.73,,31.4
"2024-06-16 01:00:00",30.04,,33.13
"2024-06-17 01:00:00",43.22,,36.54
"2024-06-18 01:00:00",45.85,,44.07
"2024-06-19 01:00:00",41.48,,51.99
"2024-06-20 01:00:00",48.41,,54.29
"2024-06-21 01:00:00",73.76,,56.11
"2024-06-22 01:00:00",81.2,,59.41
"2024-06-23 01:00:00",46.14,,70.12
"2024-06-24 01:00:00",55.92,,80.78
"2024-06-25 01:00:00",68.98,,82.06
"2024-06-26 01:00:00",116.43,,79.43
"2024-06-27 01:00:00",123.01,,94.22
"2024-06-28 01:00:00",82.74,,98.01
"2024-06-29 01:00:00",62.78,,96.86
"2024-06-30 01:00:00",149.71,,87.77
"2024-07-01 01:00:00",82.41,,76.4
"2024-07-02 01:00:00",60.91,,71.71
"2024-07-03 01:00:00",52.85,,69.57
"2024-07-04 01:00:00",43.38,,57.81
"2024-07-05 01:00:00",49.91,,56
"2024-07-06 01:00:00",47.83,,62.48
"2024-07-07 01:00:00",67.37,,71.22
"2024-07-08 01:00:00",69.72,,70.61
"2024-07-09 01:00:00",106.27,,69.3
"2024-07-10 01:00:00",114.07,,68.14
"2024-07-11 01:00:00",39.11,,64.43
"2024-07-12 01:00:00",40.7,,63.94
"2024-07-13 01:00:00",39.77,,58.18
"2024-07-14 01:00:00",41.34,,47.92
"2024-07-15 01:00:00",66.3,,48.49
"2024-07-16 01:00:00",66,,57.14
"2024-07-17 01:00:00",42.24,,70.57
"2024-07-18 01:00:00",43.05,,82.93
"2024-07-19 01:00:00",101.3,,87.46
"2024-07-20 01:00:00",133.78,,87.3
"2024-07-21 01:00:00",127.83,,89.85
"2024-07-22 01:00:00",98.04,,91.19
"2024-07-23 01:00:00",64.87,,82.81
"2024-07-24 01:00:00",60.08,,69.57
"2024-07-25 01:00:00",52.41,,56.9
"2024-07-26 01:00:00",42.64,,49.27
"2024-07-27 01:00:00",41.13,,47.17
"2024-07-28 01:00:00",39.14,,49.08
"2024-07-29 01:00:00",44.65,,54.38
"2024-07-30 01:00:00",50.12,,60.44
"2024-07-31 01:00:00",73.46,,69.57
"2024-08-01 01:00:00",89.53,,80.82
"2024-08-02 01:00:00",85.03,,89.57
"2024-08-03 01:00:00",105.06,,90.78
"2024-08-04 01:00:00",117.86,,90.69
"2024-08-05 01:00:00",105.91,,83.48
"2024-08-06 01:00:00",58.6,,77.27
"2024-08-07 01:00:00",72.83,,68
"2024-08-08 01:00:00",39.08,,56.51
"2024-08-09 01:00:00",41.54,,49.92
"2024-08-10 01:00:00",40.19,,50.99
"2024-08-11 01:00:00",37.44,,52.79
"2024-08-12 01:00:00",59.74,,57.38
"2024-08-13 01:00:00",66.13,,63.74
"2024-08-14 01:00:00",85.41,,70.2
"2024-08-15 01:00:00",71.21,,73
"2024-08-16 01:00:00",86.07,,86.6
"2024-08-17 01:00:00",0,,66.69
"2024-08-18 01:00:00",0,,65.47
"2024-08-19 01:00:00",125.26,,99.32
"2024-08-20 01:00:00",98.89,,86.53
"2024-08-21 01:00:00",76.84,,75.43
"2024-08-22 01:00:00",57.69,,69.23
"2024-08-23 01:00:00",49.25,,54.57
"2024-08-24 01:00:00",43.25,,43.81
"2024-08-25 01:00:00",33.42,,37.4
"2024-08-26 01:00:00",22.67,,32.98
"2024-08-27 01:00:00",23.53,,33.9
"2024-08-28 01:00:00",31.97,,30.4
"2024-08-29 01:00:00",26.79,,28.75
"2024-08-30 01:00:00",55.68,,32.8
"2024-08-31 01:00:00",18.74,,34.64
"2024-09-01 01:00:00",21.88,,34.19
"2024-09-02 01:00:00",50.98,,33.75
"2024-09-03 01:00:00",36.44,,28.3
