"Time","Sales","Trend Line","7-Day Moving Average"
"2024-09-08 01:00:00",6.38,10.020920973845408,6.1
"2024-09-09 01:00:00",5.85,,5.95
"2024-09-10 01:00:00",5.78,,5.74
"2024-09-11 01:00:00",5.58,,5.31
"2024-09-12 01:00:00",6.33,,4.56
"2024-09-13 01:00:00",4.49,,3.94
"2024-09-14 01:00:00",2.79,,3.39
"2024-09-15 01:00:00",1.13,,2.87
"2024-09-16 01:00:00",1.45,,2.11
"2024-09-17 01:00:00",1.98,,1.88
"2024-09-18 01:00:00",1.94,,1.66
"2024-09-19 01:00:00",0.98,,1.65
"2024-09-20 01:00:00",2.86,,1.63
"2024-09-21 01:00:00",1.29,,1.66
"2024-09-22 01:00:00",1.06,,1.9
"2024-09-23 01:00:00",1.29,,1.94
"2024-09-24 01:00:00",2.18,,1.73
"2024-09-25 01:00:00",3.66,,1.73
"2024-09-26 01:00:00",1.25,,1.94
"2024-09-27 01:00:00",1.37,,2.27
"2024-09-28 01:00:00",1.32,,2.61
"2024-09-29 01:00:00",2.49,,2.92
"2024-09-30 01:00:00",3.64,,3.5
"2024-10-01 01:00:00",4.51,,4.14
"2024-10-02 01:00:00",5.83,,4.76
"2024-10-03 01:00:00",5.31,,5.05
"2024-10-04 01:00:00",5.86,,5.17
"2024-10-05 01:00:00",5.71,,5.19
"2024-10-06 01:00:00",4.49,,4.92
"2024-10-07 01:00:00",4.46,,4.52
"2024-10-08 01:00:00",4.64,,4.14
"2024-10-09 01:00:00",3.94,,3.6
"2024-10-10 01:00:00",2.54,,3.46
"2024-10-11 01:00:00",3.2,,3.54
"2024-10-12 01:00:00",1.92,,3.69
"2024-10-13 01:00:00",3.5,,3.81
"2024-10-14 01:00:00",5.07,,4.61
"2024-10-15 01:00:00",5.68,,5.43
"2024-10-16 01:00:00",4.74,,6.42
"2024-10-17 01:00:00",8.18,,6.94
"2024-10-18 01:00:00",8.9,,7.72
"2024-10-19 01:00:00",8.88,,9.08
"2024-10-20 01:00:00",7.16,,9.81
"2024-10-21 01:00:00",10.53,,10.22
"2024-10-22 01:00:00",15.17,,9.97
"2024-10-23 01:00:00",9.85,,9.5
"2024-10-24 01:00:00",11.02,,9.95
"2024-10-25 01:00:00",7.18,,9.9
"2024-10-26 01:00:00",5.56,,9.88
"2024-10-27 01:00:00",10.32,,10.76
"2024-10-28 00:00:00",10.17,,11.24
"2024-10-29 00:00:00",15.04,,14.74
"2024-10-30 00:00:00",16.02,,16.98
"2024-10-31 00:00:00",14.41,,17.32
"2024-11-01 00:00:00",31.66,,20.44
"2024-11-02 00:00:00",21.23,,20.18
"2024-11-03 00:00:00",12.68,,21.93
"2024-11-04 00:00:00",32.01,,23.14
"2024-11-05 00:00:00",13.28,,20.23
"2024-11-06 00:00:00",28.25,,19.46
"2024-11-07 00:00:00",22.87,,18.77
"2024-11-08 00:00:00",11.28,,15.52
"2024-11-09 00:00:00",15.86,,14.67
"2024-11-10 00:00:00",7.86,,11.33
"2024-11-11 00:00:00",9.21,,9.6
"2024-11-12 00:00:00",7.39,,8.89
"2024-11-13 00:00:00",4.81,,7.21
"2024-11-14 00:00:00",10.8,,7.66
"2024-11-15 00:00:00",6.33,,7.74
"2024-11-16 00:00:00",4.09,,9.2
"2024-11-17 00:00:00",10.98,,12.67
"2024-11-18 00:00:00",9.77,,13.8
"2024-11-19 00:00:00",17.61,,15.05
"2024-11-20 00:00:00",29.14,,16.43
"2024-11-21 00:00:00",18.68,,15.44
"2024-11-22 00:00:00",15.09,,14.55
"2024-11-23 00:00:00",13.74,,13.13
"2024-11-24 00:00:00",4.06,,9.68
"2024-11-25 00:00:00",3.54,,7.98
"2024-11-26 00:00:00",7.64,,6.42
"2024-11-27 00:00:00",5.01,,4.86
"2024-11-28 00:00:00",6.75,,5.29
"2024-11-29 00:00:00",4.22,,7
"2024-11-30 00:00:00",2.8,,7.9
"2024-12-01 00:00:00",7.09,,9.16
"2024-12-02 00:00:00",15.47,,10.51
"2024-12-03 00:00:00",13.98,,12.22
"2024-12-04 00:00:00",13.83,,13.45
"2024-12-05 00:00:00",16.17,,12.93
"2024-12-06 00:00:00",16.19,,12.27
"2024-12-07 00:00:00",11.44,,11
"2024-12-08 00:00:00",3.44,,9.54
"2024-12-09 00:00:00",10.82,,8.58
"2024-12-10 00:00:00",5.09,,7.01
"2024-12-11 00:00:00",3.6,,5.95
"2024-12-12 00:00:00",9.47,,6.18
"2024-12-13 00:00:00",5.21,,5.32
"2024-12-14 00:00:00",4.03,,6.45
"2024-12-15 00:00:00",5.04,,7.53
"2024-12-16 00:00:00",4.79,,7.42
"2024-12-17 00:00:00",13.04,,7.88
"2024-12-18 00:00:00",11.16,,8.45
"2024-12-19 00:00:00",8.66,,8.48
"2024-12-20 00:00:00",8.41,,8.39
"2024-12-21 00:00:00",8.05,,6.9
"2024-12-22 00:00:00",5.24,,5.69
"2024-12-23 00:00:00",4.14,,5.58
"2024-12-24 00:00:00",2.67,,4.84
"2024-12-25 00:00:00",2.63,,4.53
"2024-12-26 00:00:00",7.92,,4.77
"2024-12-27 00:00:00",3.22,,4.69
"2024-12-28 00:00:00",5.9,,5.06
"2024-12-29 00:00:00",6.94,,5.37
"2024-12-30 00:00:00",3.53,,4.79
"2024-12-31 00:00:00",5.25,,5.19
"2025-01-01 00:00:00",4.82,,5.88
"2025-01-02 00:00:00",3.9,,5.92
"2025-01-03 00:00:00",5.97,,7.03
"2025-01-04 00:00:00",10.74,,9.79
"2025-01-05 00:00:00",7.21,,11.04
"2025-01-06 00:00:00",11.29,,11.72
"2025-01-07 00:00:00",24.6,,12.16
"2025-01-08 00:00:00",13.59,,11.79
"2025-01-09 00:00:00",8.67,,11.26
"2025-01-10 00:00:00",9.04,,10.32
"2025-01-11 00:00:00",8.1,,7.3
"2025-01-12 00:00:00",3.53,,6.46
"2025-01-13 00:00:00",4.68,,5.78
"2025-01-14 00:00:00",3.47,,4.86
"2025-01-15 00:00:00",7.76,,4.05
"2025-01-16 00:00:00",3.89,,3.86
"2025-01-17 00:00:00",2.56,,3.65
"2025-01-18 00:00:00",2.44,,4.15
"2025-01-19 00:00:00",2.23,,3.7
"2025-01-20 00:00:00",3.18,,3.58
"2025-01-21 00:00:00",7.01,,3.66
"2025-01-22 00:00:00",4.56,,3.69
"2025-01-23 00:00:00",3.1,,3.77
"2025-01-24 00:00:00",3.13,,3.89
"2025-01-25 00:00:00",2.62,,3.4
"2025-01-26 00:00:00",2.81,,3.1
"2025-01-27 00:00:00",4.03,,3.61
"2025-01-28 00:00:00",3.55,,4.08
"2025-01-29 00:00:00",2.43,,4.29
"2025-01-30 00:00:00",6.69,,4.52
"2025-01-31 00:00:00",6.45,,4.81
"2025-02-01 00:00:00",4.05,,5.01
"2025-02-02 00:00:00",4.44,,6.8
"2025-02-03 00:00:00",6.09,,7.01
"2025-02-04 00:00:00",4.92,,6.87
"2025-02-05 00:00:00",14.93,,7.26
"2025-02-06 00:00:00",8.2,,6.96
"2025-02-07 00:00:00",5.46,,6.42
"2025-02-08 00:00:00",6.8,,6.93
"2025-02-09 00:00:00",2.31,,5.75
"2025-02-10 00:00:00",2.29,,5.13
"2025-02-11 00:00:00",8.54,,4.69
"2025-02-12 00:00:00",6.68,,4.05
"2025-02-13 00:00:00",3.83,,4.25
"2025-02-14 00:00:00",2.37,,4.66
"2025-02-15 00:00:00",2.31,,4.39
"2025-02-16 00:00:00",3.73,,4.64
"2025-02-17 00:00:00",5.17,,5.3
"2025-02-18 00:00:00",6.65,,6.21
"2025-02-19 00:00:00",8.43,,7.1
"2025-02-20 00:00:00",8.47,,7.84
"2025-02-21 00:00:00",8.68,,8.29
"2025-02-22 00:00:00",8.6,,8.48
"2025-02-23 00:00:00",8.89,,8.15
"2025-02-24 00:00:00",8.31,,7.7
"2025-02-25 00:00:00",7.99,,6.99
"2025-02-26 00:00:00",6.1,,6.24
"2025-02-27 00:00:00",5.31,,5.7
"2025-02-28 00:00:00",3.71,,5.17
"2025-03-01 00:00:00",3.4,,5.31
"2025-03-02 00:00:00",5.11,,5.66
"2025-03-03 00:00:00",4.54,,6.16
"2025-03-04 00:00:00",9,,7.16
"2025-03-05 00:00:00",8.52,,8.34
"2025-03-06 00:00:00",8.82,,8.71
"2025-03-07 00:00:00",10.76,,8.72
"2025-03-08 00:00:00",11.6,,8.47
"2025-03-09 00:00:00",7.73,,8.75
"2025-03-10 00:00:00",4.6,,9.16
"2025-03-11 00:00:00",7.28,,8.95
"2025-03-12 00:00:00",10.44,,8.21
"2025-03-13 00:00:00",11.68,,8.34
"2025-03-14 00:00:00",9.3,,8.71
"2025-03-15 00:00:00",6.46,,9.51
"2025-03-16 00:00:00",8.61,,11.03
"2025-03-17 00:00:00",7.19,,11.39
"2025-03-18 00:00:00",12.9,,11.41
"2025-03-19 00:00:00",21.07,,12.14
"2025-03-20 00:00:00",14.23,,12.82
"2025-03-21 00:00:00",9.42,,12.59
"2025-03-22 00:00:00",11.59,,12.84
"2025-03-23 00:00:00",13.35,,10.93
"2025-03-24 00:00:00",5.55,,9.59
"2025-03-25 00:00:00",14.65,,8.98
"2025-03-26 00:00:00",7.7,,7.98
"2025-03-27 00:00:00",4.85,,6.71
"2025-03-28 00:00:00",5.2,,6.42
"2025-03-29 00:00:00",4.53,,5.33
"2025-03-30 00:00:00",4.51,,5.21
"2025-03-31 01:00:00",3.51,,5.52
"2025-04-01 01:00:00",6.98,,5.99
"2025-04-02 01:00:00",6.87,,6.49
"2025-04-03 01:00:00",7.01,,6.45
"2025-04-04 01:00:00",8.54,,6.8
"2025-04-05 01:00:00",8.02,,6.73
"2025-04-06 01:00:00",4.21,,7.23
"2025-04-07 01:00:00",5.95,,7.66
"2025-04-08 01:00:00",6.5,,7.86
"2025-04-09 01:00:00",10.39,,7.74
"2025-04-10 01:00:00",9.98,,7.63
"2025-04-11 01:00:00",9.98,,7.28
"2025-04-12 01:00:00",7.14,,8.64
"2025-04-13 01:00:00",3.5,,7.75
"2025-04-14 01:00:00",3.5,,6.79
"2025-04-15 01:00:00",16.01,,5.95
"2025-04-16 01:00:00",4.15,,5.41
"2025-04-17 01:00:00",3.25,,5.62
"2025-04-18 01:00:00",4.12,,5.6
"2025-04-19 01:00:00",3.31,,3.93
"2025-04-20 01:00:00",5,,4.01
"2025-04-21 01:00:00",3.39,,5.14
"2025-04-22 01:00:00",4.27,,5.16
"2025-04-23 01:00:00",4.7,,5.42
"2025-04-24 01:00:00",11.21,,8.17
"2025-04-25 01:00:00",0,,2.88
"2025-04-26 01:00:00",0,,2.27
"2025-04-27 01:00:00",0,,1.6
"2025-04-28 01:00:00",0,,0
"2025-04-29 01:00:00",0,,0
"2025-04-30 01:00:00",0,,5.76
"2025-05-01 01:00:00",0,,6.25
"2025-05-02 01:00:00",0,,6.67
"2025-05-03 01:00:00",40.35,,24.75
"2025-05-04 01:00:00",3.37,,9.17
"2025-05-05 01:00:00",2.97,,9.55
"2025-05-06 01:00:00",5.49,,10.26
"2025-05-07 01:00:00",5.29,,5.26
"2025-05-08 01:00:00",6.43,,5.63
"2025-05-09 01:00:00",7.95,,5.95
"2025-05-10 01:00:00",5.29,,6.15
"2025-05-11 01:00:00",6.02,,6.91
"2025-05-12 01:00:00",5.18,,8.15
"2025-05-13 01:00:00",6.88,,8.44
"2025-05-14 01:00:00",10.65,,8.86
"2025-05-15 01:00:00",15.08,,8.62
"2025-05-16 01:00:00",10,,8.48
"2025-05-17 01:00:00",8.23,,8.44
"2025-05-18 01:00:00",4.33,,8.31
"2025-05-19 01:00:00",4.22,,7.78
"2025-05-20 01:00:00",6.55,,7.9
"2025-05-21 01:00:00",9.79,,7.72
"2025-05-22 01:00:00",11.37,,7.68
"2025-05-23 01:00:00",10.82,,7.64
"2025-05-24 01:00:00",6.96,,7.28
"2025-05-25 01:00:00",4.08,,6.54
"2025-05-26 01:00:00",3.94,,6.21
"2025-05-27 01:00:00",4.02,,6.08
"2025-05-28 01:00:00",4.61,,6.97
"2025-05-29 01:00:00",9.03,,7.29
"2025-05-30 01:00:00",9.94,,7.57
"2025-05-31 01:00:00",13.18,,7.84
"2025-06-01 01:00:00",6.31,,9.02
"2025-06-02 01:00:00",5.87,,10.3
"2025-06-03 01:00:00",5.96,,11.46
"2025-06-04 01:00:00",12.85,,10.54
"2025-06-05 01:00:00",18.01,,10.51
"2025-06-06 01:00:00",18.01,,10.61
"2025-06-07 01:00:00",6.79,,11.26
"2025-06-08 01:00:00",6.1,,11.12
"2025-06-09 01:00:00",6.55,,9.75
"2025-06-10 01:00:00",10.54,,8.31
"2025-06-11 01:00:00",11.82,,10.05
"2025-06-12 01:00:00",8.43,,14.21
"2025-06-13 01:00:00",7.91,,15.96
"2025-06-14 01:00:00",19,,16.6
"2025-06-15 01:00:00",35.21,,17.01
"2025-06-16 01:00:00",18.78,,17.48
"2025-06-17 01:00:00",15.06,,18.07
"2025-06-18 01:00:00",14.65,,19.16
"2025-06-19 01:00:00",11.76,,15.24
"2025-06-20 01:00:00",12.01,,13.96
"2025-06-21 01:00:00",26.64,,12.92
"2025-06-22 01:00:00",7.8,,12.99
"2025-06-23 01:00:00",9.78,,14.76
"2025-06-24 01:00:00",7.82,,15.14
"2025-06-25 01:00:00",15.1,,13.49
"2025-06-26 01:00:00",24.16,,17.12
"2025-06-27 01:00:00",14.66,,14.38
"2025-06-28 01:00:00",0,,10.42
"2025-06-29 01:00:00",0,,9.95
"2025-06-30 01:00:00",9.62,,12.35
"2025-07-01 01:00:00",9.38,,13.86
"2025-07-02 01:00:00",11.83,,16.69
"2025-07-03 01:00:00",21.74,,20.35
"2025-07-04 01:00:00",25.71,,21.78
"2025-07-05 01:00:00",26.72,,22.53
"2025-07-06 01:00:00",37.48,,22.68
"2025-07-07 01:00:00",19.61,,21.95
"2025-07-08 01:00:00",14.64,,21.55
"2025-07-09 01:00:00",12.86,,22.14
"2025-07-10 01:00:00",16.61,,18.21
"2025-07-11 01:00:00",22.9,,17.01
"2025-07-12 01:00:00",30.91,,16.91
"2025-07-13 01:00:00",9.97,,18.02
"2025-07-14 01:00:00",11.19,,18.97
"2025-07-15 01:00:00",13.91,,19.34
"2025-07-16 01:00:00",20.66,,18.51
"2025-07-17 01:00:00",23.24,,22.95
"2025-07-18 01:00:00",25.48,,24.88
"2025-07-19 01:00:00",25.1,,26.42
"2025-07-20 01:00:00",41.04,,29.33
"2025-07-21 01:00:00",24.71,,25.54
"2025-07-22 01:00:00",24.71,,24
"2025-07-23 01:00:00",0,,18.75
"2025-07-24 01:00:00",13.03,,16.83
"2025-07-25 01:00:00",14.67,,14.89
"2025-07-26 01:00:00",13.1,,12.28
"2025-07-27 01:00:00",14.54,,11.54
"2025-07-28 01:00:00",9.49,,11.43
"2025-07-29 01:00:00",8.05,,12.2
"2025-07-30 01:00:00",7.87,,13.7
"2025-07-31 01:00:00",12.31,,17.15
"2025-08-01 01:00:00",20.06,,17.36
"2025-08-02 01:00:00",23.56,,18.25
"2025-08-03 01:00:00",38.71,,19.85
"2025-08-04 01:00:00",10.93,,19.7
"2025-08-05 01:00:00",14.29,,18.64
"2025-08-06 01:00:00",19.09,,17.27
"2025-08-07 01:00:00",11.23,,14.99
"2025-08-08 01:00:00",12.67,,15.63
"2025-08-09 01:00:00",13.95,,15.5
"2025-08-10 01:00:00",22.75,,14.96
"2025-08-11 01:00:00",15.46,,16.12
"2025-08-12 01:00:00",13.38,,18.43
"2025-08-13 01:00:00",15.31,,22.37
"2025-08-14 01:00:00",19.3,,26.75
"2025-08-15 01:00:00",28.85,,26.54
"2025-08-16 01:00:00",41.55,,26.66
"2025-08-17 01:00:00",53.4,,32.1
"2025-08-18 01:00:00",13.96,,25.7
"2025-08-19 01:00:00",14.24,,23.7
"2025-08-20 01:00:00",0,,11.66
"2025-08-21 01:00:00",0,,4.03
"2025-08-22 01:00:00",0,,2.03
"2025-08-23 01:00:00",0,,0
"2025-08-24 01:00:00",0,,0
"2025-08-25 01:00:00",0,,0
"2025-08-26 01:00:00",0,,0
"2025-08-27 01:00:00",0,,2.62
"2025-08-28 01:00:00",0,,2.62
"2025-08-29 01:00:00",0,,2.62
"2025-08-30 01:00:00",18.33,,18.33
"2025-08-31 01:00:00",0,,2.62
"2025-09-01 01:00:00",0,,2.62
"2025-09-02 01:00:00",0,,2.62
"2025-09-03 01:00:00",0,,0
"2025-09-04 01:00:00",0,,0
"2025-09-05 01:00:00",0,,0
"2025-09-06 01:00:00",0,,0
"2025-09-07 01:00:00",0,,0
"2025-09-08 01:00:00",0,,0
"2025-09-09 01:00:00",0,,0
"2025-09-10 01:00:00",0,,0
"2025-09-11 01:00:00",0,,0
"2025-09-12 01:00:00",0,,0
"2025-09-13 01:00:00",0,,0
"2025-09-14 01:00:00",0,,0
"2025-09-15 01:00:00",0,,0
"2025-09-16 01:00:00",0,,0
"2025-09-17 01:00:00",0,,0
"2025-09-18 01:00:00",0,,0
"2025-09-19 01:00:00",0,,0
"2025-09-20 01:00:00",0,,0
"2025-09-21 01:00:00",0,,0
"2025-09-22 01:00:00",0,,0
"2025-09-23 01:00:00",0,,0.75
"2025-09-24 01:00:00",0,,1
"2025-09-25 01:00:00",0,,1.12
"2025-09-26 01:00:00",5.25,,3.47
"2025-09-27 01:00:00",1.75,,1.81
"2025-09-28 01:00:00",0.86,,1.51
"2025-09-29 01:00:00",0.65,,1.52
"2025-09-30 01:00:00",0.63,,0.97
"2025-10-01 01:00:00",0.59,,1
"2025-10-02 01:00:00",0.88,,1.06
"2025-10-03 01:00:00",1.42,,1.15
