"Time","Sales","Trend Line","7-Day Moving Average"
"2023-05-01 01:00:00",14.15,13.05006329385709,13.42
"2023-05-02 01:00:00",9.52,,14.25
"2023-05-03 01:00:00",10.78,,16.72
"2023-05-04 01:00:00",13.27,,16.44
"2023-05-05 01:00:00",24.55,,18.4
"2023-05-06 01:00:00",26.82,,19.52
"2023-05-07 01:00:00",16.01,,20.06
"2023-05-08 01:00:00",27.87,,19.58
"2023-05-09 01:00:00",17.34,,18.55
"2023-05-10 01:00:00",14.56,,16.57
"2023-05-11 01:00:00",9.89,,17.38
"2023-05-12 01:00:00",17.34,,18.09
"2023-05-13 01:00:00",12.99,,18.21
"2023-05-14 01:00:00",21.64,,17.83
"2023-05-15 01:00:00",32.89,,18.18
"2023-05-16 01:00:00",18.18,,17.53
"2023-05-17 01:00:00",11.89,,17.14
"2023-05-18 01:00:00",12.36,,15.95
"2023-05-19 01:00:00",12.78,,13.02
"2023-05-20 01:00:00",10.26,,11.03
"2023-05-21 01:00:00",13.31,,9.97
"2023-05-22 01:00:00",12.36,,9.1
"2023-05-23 01:00:00",4.27,,8.31
"2023-05-24 01:00:00",4.43,,7.57
"2023-05-25 01:00:00",6.3,,6.5
"2023-05-26 01:00:00",7.26,,5.57
"2023-05-27 01:00:00",5.07,,5.79
"2023-05-28 01:00:00",5.82,,5.78
"2023-05-29 01:00:00",5.82,,5.62
"2023-05-30 01:00:00",5.82,,6.62
"2023-05-31 01:00:00",4.35,,7.15
"2023-06-01 01:00:00",5.18,,7.1
"2023-06-02 01:00:00",14.25,,7.45
"2023-06-03 01:00:00",8.78,,7.57
"2023-06-04 01:00:00",5.49,,7.96
"2023-06-05 01:00:00",8.25,,8.06
"2023-06-06 01:00:00",6.66,,7.1
"2023-06-07 01:00:00",7.12,,8.86
"2023-06-08 01:00:00",5.88,,10.39
"2023-06-09 01:00:00",7.54,,12.71
"2023-06-10 01:00:00",21.07,,15.63
"2023-06-11 01:00:00",16.24,,17.92
"2023-06-12 01:00:00",24.44,,21.17
"2023-06-13 01:00:00",27.11,,25.14
"2023-06-14 01:00:00",23.14,,28.29
"2023-06-15 01:00:00",28.66,,28.95
"2023-06-16 01:00:00",35.31,,28.51
"2023-06-17 01:00:00",43.11,,27.43
"2023-06-18 01:00:00",20.91,,26.02
"2023-06-19 01:00:00",21.3,,23.38
"2023-06-20 01:00:00",19.56,,19.47
"2023-06-21 01:00:00",13.27,,14.43
"2023-06-22 01:00:00",10.17,,13.16
"2023-06-23 01:00:00",7.99,,11.28
"2023-06-24 01:00:00",7.79,,10
"2023-06-25 01:00:00",12.05,,9.91
"2023-06-26 01:00:00",8.15,,10.88
"2023-06-27 01:00:00",10.6,,12.43
"2023-06-28 01:00:00",12.65,,14.43
"2023-06-29 01:00:00",16.95,,15.67
"2023-06-30 01:00:00",18.85,,15.72
"2023-07-01 01:00:00",21.75,,15.59
"2023-07-02 01:00:00",20.72,,15.5
"2023-07-03 01:00:00",8.55,,16.46
"2023-07-04 01:00:00",9.67,,16.33
"2023-07-05 01:00:00",12.01,,15
"2023-07-06 01:00:00",23.65,,15.05
"2023-07-07 01:00:00",17.96,,16.31
"2023-07-08 01:00:00",12.44,,17.87
"2023-07-09 01:00:00",21.08,,21.1
"2023-07-10 01:00:00",17.33,,24.32
"2023-07-11 01:00:00",20.63,,27.89
"2023-07-12 01:00:00",34.59,,31.71
"2023-07-13 01:00:00",46.22,,31.81
"2023-07-14 01:00:00",42.91,,31.44
"2023-07-15 01:00:00",39.24,,30.51
"2023-07-16 01:00:00",21.78,,27.54
"2023-07-17 01:00:00",14.7,,22.41
"2023-07-18 01:00:00",14.11,,17.37
"2023-07-19 01:00:00",13.81,,13
"2023-07-20 01:00:00",10.29,,11.55
"2023-07-21 01:00:00",7.63,,11.13
"2023-07-22 01:00:00",8.68,,12.44
"2023-07-23 01:00:00",11.63,,14.24
"2023-07-24 01:00:00",11.75,,16.51
"2023-07-25 01:00:00",23.29,,19.41
"2023-07-26 01:00:00",26.41,,22.29
"2023-07-27 01:00:00",26.2,,25.2
"2023-07-28 01:00:00",27.89,,27.13
"2023-07-29 01:00:00",28.83,,25.67
"2023-07-30 01:00:00",32.02,,24.27
"2023-07-31 01:00:00",25.27,,22.23
"2023-08-01 01:00:00",13.05,,19.95
"2023-08-02 01:00:00",16.62,,17.29
"2023-08-03 01:00:00",11.9,,15.1
"2023-08-04 01:00:00",11.93,,14.4
"2023-08-05 01:00:00",10.21,,16.35
"2023-08-06 01:00:00",16.75,,18.46
"2023-08-07 01:00:00",20.35,,21.62
"2023-08-08 01:00:00",26.67,,25.01
"2023-08-09 01:00:00",31.43,,29.71
"2023-08-10 01:00:00",34.01,,33.8
"2023-08-11 01:00:00",35.62,,37.89
"2023-08-12 01:00:00",43.17,,40.18
