"Time","Sales","Trend Line","7-Day Moving Average"
"2026-03-19 00:00:00",4,5.368372822299646,3.81
"2026-03-20 00:00:00",4,,3.9
"2026-03-21 00:00:00",0,,2.78
"2026-03-22 00:00:00",2.65,,3.88
"2026-03-23 00:00:00",4.63,,4.33
"2026-03-24 00:00:00",4.18,,4.37
"2026-03-25 00:00:00",5.06,,4.72
"2026-03-26 00:00:00",5.13,,4.96
"2026-03-27 00:00:00",4.75,,4.92
"2026-03-28 00:00:00",6.61,,4.98
"2026-03-29 00:00:00",4.37,,5.15
"2026-03-30 01:00:00",4.37,,6.9
"2026-03-31 01:00:00",4.6,,6.88
"2026-04-01 01:00:00",6.22,,7.17
"2026-04-02 01:00:00",17.41,,10.01
"2026-04-03 01:00:00",0,,8.83
"2026-04-04 01:00:00",7.03,,11.24
"2026-04-05 01:00:00",13.06,,14.33
"2026-04-06 01:00:00",13.48,,16.57
"2026-04-07 01:00:00",14.45,,20.04
"2026-04-08 01:00:00",21.82,,24.14
"2026-04-09 01:00:00",32.66,,29.36
"2026-04-10 01:00:00",37.8,,31.7
"2026-04-11 01:00:00",35.72,,32.39
"2026-04-12 01:00:00",49.6,,31.41
"2026-04-13 01:00:00",29.88,,28.74
"2026-04-14 01:00:00",19.22,,25.61
"2026-04-15 01:00:00",14.98,,23.14
"2026-04-16 01:00:00",13.99,,18.46
"2026-04-17 01:00:00",15.9,,16.19
"2026-04-18 01:00:00",18.44,,15.41
"2026-04-19 01:00:00",16.82,,15.01
"2026-04-20 01:00:00",13.95,,14.51
"2026-04-21 01:00:00",13.8,,15.08
"2026-04-22 01:00:00",12.16,,17.29
"2026-04-23 01:00:00",10.52,,16.93
"2026-04-24 01:00:00",19.87,,17.78
"2026-04-25 01:00:00",33.89,,19.93
"2026-04-26 01:00:00",14.33,,17.45
"2026-04-27 01:00:00",0,,11.85
"2026-04-28 01:00:00",14.86,23.14021951219513,17.5
