"Time","Sales","Trend Line","7-Day Moving Average"
"2026-03-20 00:00:00",16.01,10.153003752345192,16.25
"2026-03-21 00:00:00",16.27,,16.36
"2026-03-22 00:00:00",18.38,,15.89
"2026-03-23 00:00:00",15.03,,13.65
"2026-03-24 00:00:00",0,,10.19
"2026-03-25 00:00:00",8.75,,10.28
"2026-03-26 00:00:00",6.05,,8.78
"2026-03-27 00:00:00",6.86,,8.25
"2026-03-28 00:00:00",8.15,,8.26
"2026-03-29 00:00:00",10.55,,7.93
"2026-03-30 01:00:00",10.55,,8.41
"2026-03-31 01:00:00",6.94,,9.07
"2026-04-01 01:00:00",6.41,,10.68
"2026-04-02 01:00:00",9.44,,11.65
"2026-04-03 01:00:00",11.48,,12.25
"2026-04-04 01:00:00",19.36,,13.77
"2026-04-05 01:00:00",17.36,,15.33
"2026-04-06 01:00:00",14.78,,19.35
"2026-04-07 01:00:00",17.54,,23.97
"2026-04-08 01:00:00",0,,23.7
"2026-04-09 01:00:00",40.18,,30.29
"2026-04-10 01:00:00",41.06,,30.82
"2026-04-11 01:00:00",34.96,,28.68
"2026-04-12 01:00:00",23.34,,25.09
"2026-04-13 01:00:00",17.63,,21.12
"2026-04-14 01:00:00",8.64,,17.39
"2026-04-15 01:00:00",9.81,,15.22
"2026-04-16 01:00:00",12.42,,25.74
"2026-04-17 01:00:00",14.9,,25.35
"2026-04-18 01:00:00",19.82,,28.93
"2026-04-19 01:00:00",96.94,,42.38
"2026-04-20 01:00:00",0,,30.01
"2026-04-21 01:00:00",28.82,,35.29
"2026-04-22 01:00:00",26.8,,36
"2026-04-23 01:00:00",22.81,,24.75
"2026-04-24 01:00:00",23,,24.8
"2026-04-25 01:00:00",0,,18.42
"2026-04-26 01:00:00",26.18,,25.81
"2026-04-27 01:00:00",0,,11.33
"2026-04-28 01:00:00",30.12,25.501076923076937,29.56
