"Time","Sales","Trend Line","7-Day Moving Average"
"2024-04-09 01:00:00",0.75,4.091905838434136,0.86
"2024-04-10 01:00:00",0.56,,0.87
"2024-04-11 01:00:00",0.98,,0.89
"2024-04-12 01:00:00",1.47,,0.79
"2024-04-13 01:00:00",1.24,,0.86
"2024-04-14 01:00:00",0.23,,0.66
"2024-04-15 01:00:00",0.27,,0.54
"2024-04-16 01:00:00",0,,0.31
"2024-04-17 01:00:00",0.17,,0.17
"2024-04-18 01:00:00",0.12,,0.16
"2024-04-19 01:00:00",0.11,,0.16
"2024-04-20 01:00:00",0.1,,0.17
"2024-04-21 01:00:00",0.26,,0.2
"2024-04-22 01:00:00",0.23,,0.28
"2024-04-23 01:00:00",0.23,,0.35
"2024-04-24 01:00:00",0.37,,0.43
"2024-04-25 01:00:00",0.63,,0.46
"2024-04-26 01:00:00",0.63,,0.47
"2024-04-27 01:00:00",0.65,,0.47
"2024-04-28 01:00:00",0.48,,0.45
"2024-04-29 01:00:00",0.3,,0.38
"2024-04-30 01:00:00",0.24,,0.32
"2024-05-01 01:00:00",0.19,,0.28
"2024-05-02 01:00:00",0.19,,0.69
"2024-05-03 01:00:00",0.16,,1.21
"2024-05-04 01:00:00",0.43,,1.51
"2024-05-05 01:00:00",3.32,,1.97
"2024-05-06 01:00:00",3.93,,2.47
"2024-05-07 01:00:00",2.33,,3.29
"2024-05-08 01:00:00",3.44,,4.14
"2024-05-09 01:00:00",3.69,,4.12
"2024-05-10 01:00:00",5.9,,3.92
"2024-05-11 01:00:00",6.39,,3.87
"2024-05-12 01:00:00",3.19,,3.55
"2024-05-13 01:00:00",2.53,,3.33
"2024-05-14 01:00:00",1.94,,2.75
"2024-05-15 01:00:00",1.24,,2
"2024-05-16 01:00:00",2.14,,1.95
"2024-05-17 01:00:00",1.83,,1.95
"2024-05-18 01:00:00",1.13,,2.29
"2024-05-19 01:00:00",2.82,,2.43
"2024-05-20 01:00:00",2.58,,2.53
"2024-05-21 01:00:00",4.28,,2.48
"2024-05-22 01:00:00",2.24,,2.57
"2024-05-23 01:00:00",2.82,,2.28
"2024-05-24 01:00:00",1.51,,2
"2024-05-25 01:00:00",1.75,,1.46
"2024-05-26 01:00:00",0.77,,1.26
"2024-05-27 01:00:00",0.6,,0.91
"2024-05-28 01:00:00",0.55,,0.74
"2024-05-29 01:00:00",0.82,,0.57
"2024-05-30 01:00:00",0.39,,0.58
"2024-05-31 01:00:00",0.32,,0.68
"2024-06-01 01:00:00",0.56,,0.79
"2024-06-02 01:00:00",0.85,,1
"2024-06-03 01:00:00",1.25,,1.27
"2024-06-04 01:00:00",1.37,,1.47
"2024-06-05 01:00:00",2.28,,1.57
"2024-06-06 01:00:00",2.28,,1.6
"2024-06-07 01:00:00",1.71,,1.61
"2024-06-08 01:00:00",1.25,,1.63
"2024-06-09 01:00:00",1.09,,1.51
"2024-06-10 01:00:00",1.27,,1.36
"2024-06-11 01:00:00",1.55,,1.23
"2024-06-12 01:00:00",1.44,,1.14
"2024-06-13 01:00:00",1.24,,1.05
"2024-06-14 01:00:00",0.78,,0.97
"2024-06-15 01:00:00",0.63,,0.85
"2024-06-16 01:00:00",0.42,,0.78
"2024-06-17 01:00:00",0.72,,0.67
"2024-06-18 01:00:00",0.69,,0.62
"2024-06-19 01:00:00",0.98,,0.57
"2024-06-20 01:00:00",0.49,,0.53
"2024-06-21 01:00:00",0.38,,0.44
"2024-06-22 01:00:00",0.33,,0.35
"2024-06-23 01:00:00",0.11,,0.27
"2024-06-24 01:00:00",0.1,,0.22
"2024-06-25 01:00:00",0.09,,0.18
"2024-06-26 01:00:00",0.37,,0.14
"2024-06-27 01:00:00",0.14,,0.2
"2024-06-28 01:00:00",0.11,,0.29
"2024-06-29 01:00:00",0.09,,0.34
"2024-06-30 01:00:00",0.51,,0.34
"2024-07-01 01:00:00",0.74,,0.47
"2024-07-02 01:00:00",0.42,,0.53
"2024-07-03 01:00:00",0.34,,0.57
"2024-07-04 01:00:00",1.05,,0.95
"2024-07-05 01:00:00",0.54,,1.19
"2024-07-06 01:00:00",0.4,,1.81
"2024-07-07 01:00:00",3.14,,2.53
"2024-07-08 01:00:00",2.47,,3.18
"2024-07-09 01:00:00",4.71,,3.94
"2024-07-10 01:00:00",5.39,,4.71
"2024-07-11 01:00:00",5.61,,4.8
"2024-07-12 01:00:00",5.84,,4.92
"2024-07-13 01:00:00",5.84,,5.43
"2024-07-14 01:00:00",3.75,,5.88
"2024-07-15 01:00:00",3.3,,5.69
"2024-07-16 01:00:00",8.25,,6.04
"2024-07-17 01:00:00",8.6,,6.14
"2024-07-18 01:00:00",4.22,,6.98
"2024-07-19 01:00:00",8.35,,7.2
"2024-07-20 01:00:00",6.54,,6.55
"2024-07-21 01:00:00",9.61,,6.58
"2024-07-22 01:00:00",4.82,,7.08
"2024-07-23 01:00:00",3.72,,6.51
"2024-07-24 01:00:00",8.83,,6.86
"2024-07-25 01:00:00",7.68,,7.87
"2024-07-26 01:00:00",4.4,,8.77
"2024-07-27 01:00:00",8.94,,10.38
"2024-07-28 01:00:00",16.68,,10.3
"2024-07-29 01:00:00",11.17,,10.56
"2024-07-30 01:00:00",14.94,,12.59
"2024-07-31 01:00:00",8.27,,14.57
"2024-08-01 01:00:00",9.49,,14.68
"2024-08-02 01:00:00",18.62,,14.45
"2024-08-03 01:00:00",22.83,,14.86
"2024-08-04 01:00:00",17.46,,15.35
"2024-08-05 01:00:00",9.52,,15.15
"2024-08-06 01:00:00",17.82,,13.96
"2024-08-07 01:00:00",11.72,,14
"2024-08-08 01:00:00",8.09,,14.8
"2024-08-09 01:00:00",10.29,,15.56
"2024-08-10 01:00:00",23.1,,15.81
"2024-08-11 01:00:00",23.05,,16.8
"2024-08-12 01:00:00",14.84,,17.34
"2024-08-13 01:00:00",19.57,,17.16
"2024-08-14 01:00:00",18.69,,16.53
"2024-08-15 01:00:00",11.87,,13.96
"2024-08-16 01:00:00",8.98,,12.1
"2024-08-17 01:00:00",0,,7.82
"2024-08-18 01:00:00",0,,5.84
"2024-08-19 01:00:00",7.62,,6.81
"2024-08-20 01:00:00",7.57,,5.89
"2024-08-21 01:00:00",4.82,,4.83
"2024-08-22 01:00:00",3.44,,4.48
"2024-08-23 01:00:00",2.65,,3.67
"2024-08-24 01:00:00",2.9,,2.81
"2024-08-25 01:00:00",2.34,,2.54
"2024-08-26 01:00:00",1.96,,2.3
"2024-08-27 01:00:00",1.57,,2.26
"2024-08-28 01:00:00",2.92,,2.57
"2024-08-29 01:00:00",1.77,,2.95
"2024-08-30 01:00:00",2.34,,3.19
"2024-08-31 01:00:00",5.1,,3.66
"2024-09-01 01:00:00",5.02,,3.98
"2024-09-02 01:00:00",3.61,,5.05
"2024-09-03 01:00:00",4.85,,5.94
"2024-09-04 01:00:00",5.2,,6.57
"2024-09-05 01:00:00",9.25,,7.21
"2024-09-06 01:00:00",8.55,,7.81
"2024-09-07 01:00:00",9.52,,8.2
