"Time","Sales","Trend Line","7-Day Moving Average"
"2026-04-02 01:00:00",18.4,2.1792836792836843,18.4
"2026-04-03 01:00:00",0,,2.63
"2026-04-04 01:00:00",0,,2.63
"2026-04-05 01:00:00",0,,2.63
"2026-04-06 01:00:00",0,,0
"2026-04-07 01:00:00",0,,0.75
"2026-04-08 01:00:00",0,,3
"2026-04-09 01:00:00",0,,3.88
"2026-04-10 01:00:00",5.27,,7.16
"2026-04-11 01:00:00",15.73,,10.64
"2026-04-12 01:00:00",6.16,,8.65
"2026-04-13 01:00:00",7.14,,9.67
"2026-04-14 01:00:00",8.75,,11.12
"2026-04-15 01:00:00",11.34,,11.18
"2026-04-16 01:00:00",13.3,,16.41
"2026-04-17 01:00:00",15.4,,21.52
"2026-04-18 01:00:00",16.18,,26.87
"2026-04-19 01:00:00",42.77,,31.26
"2026-04-20 01:00:00",42.87,,33.24
"2026-04-21 01:00:00",46.24,,33.63
"2026-04-22 01:00:00",42.05,,33.93
"2026-04-23 01:00:00",27.17,,31.7
"2026-04-24 01:00:00",18.1,,26.47
"2026-04-25 01:00:00",18.32,,22.57
"2026-04-26 01:00:00",0,,13.94
"2026-04-27 01:00:00",15.32,,16.63
"2026-04-28 01:00:00",18.69,28.689601139601137,18.16
