"Time","Sales","Trend Line","7-Day Moving Average"
"2026-03-08 00:00:00",4.84,0.4003491846666101,3.99
"2026-03-09 00:00:00",4.24,,3.67
"2026-03-10 00:00:00",1.93,,3.56
"2026-03-11 00:00:00",2.42,,4.13
"2026-03-12 00:00:00",3.81,,4.17
"2026-03-13 00:00:00",5.75,,3.9
"2026-03-14 00:00:00",5.93,,4.01
"2026-03-15 00:00:00",5.11,,4.56
"2026-03-16 00:00:00",2.33,,4.55
"2026-03-17 00:00:00",2.72,,4.42
"2026-03-18 00:00:00",6.24,,4.46
"2026-03-19 00:00:00",3.79,,4.08
"2026-03-20 00:00:00",4.8,,4.23
"2026-03-21 00:00:00",0,,3.38
"2026-03-22 00:00:00",4.88,,3.42
"2026-03-23 00:00:00",2.4,,2.76
"2026-03-24 00:00:00",1.58,,2.44
"2026-03-25 00:00:00",1.6,,2.86
"2026-03-26 00:00:00",1.66,,2.96
"2026-03-27 00:00:00",3.4,,3.41
"2026-03-28 00:00:00",4.48,,3.84
"2026-03-29 00:00:00",5.57,,4.16
"2026-03-30 01:00:00",5.57,,4.97
"2026-03-31 01:00:00",4.58,,5.14
"2026-04-01 01:00:00",3.87,,6.12
"2026-04-02 01:00:00",7.33,,6.8
"2026-04-03 01:00:00",0,,6.41
"2026-04-04 01:00:00",12.07,,8.19
"2026-04-05 01:00:00",6.82,,8.9
"2026-04-06 01:00:00",10.19,,9.6
"2026-04-07 01:00:00",4.99,,9.47
"2026-04-08 01:00:00",14.07,,8.57
"2026-04-09 01:00:00",8.87,,8.01
"2026-04-10 01:00:00",9.26,,6.88
"2026-04-11 01:00:00",5.8,,6.43
"2026-04-12 01:00:00",2.91,,4.83
"2026-04-13 01:00:00",2.24,,4.22
"2026-04-14 01:00:00",1.84,,3.57
"2026-04-15 01:00:00",2.88,,3.33
"2026-04-16 01:00:00",4.61,,4.55
"2026-04-17 01:00:00",4.71,,5.76
"2026-04-18 01:00:00",4.15,,7.49
"2026-04-19 01:00:00",11.4,,9.73
"2026-04-20 01:00:00",10.7,,12.52
"2026-04-21 01:00:00",13.99,,15.88
"2026-04-22 01:00:00",18.58,,19.48
"2026-04-23 01:00:00",24.1,,19.83
"2026-04-24 01:00:00",28.22,,20.14
"2026-04-25 01:00:00",29.39,,21.09
"2026-04-26 01:00:00",13.85,,20.42
"2026-04-27 01:00:00",12.87,,18.67
"2026-04-28 01:00:00",20.64,14.778099547511312,19.81
