"Time","Sales","Trend Line","7-Day Moving Average"
"2026-03-22 00:00:00",0.79,0.8890305285042139,0.86
"2026-03-23 00:00:00",0.93,,0.94
"2026-03-24 00:00:00",1.07,,1.18
"2026-03-25 00:00:00",0.86,,1.43
"2026-03-26 00:00:00",1.07,,1.75
"2026-03-27 00:00:00",2.5,,2.06
"2026-03-28 00:00:00",2.79,,2.34
"2026-03-29 00:00:00",3.05,,2.39
"2026-03-30 01:00:00",3.05,,2.47
"2026-03-31 01:00:00",3.05,,2.55
"2026-04-01 01:00:00",1.24,,2.07
"2026-04-02 01:00:00",1.62,,2.96
"2026-04-03 01:00:00",0,,2.72
"2026-04-04 01:00:00",0,,2.28
"2026-04-05 01:00:00",8.51,,6.14
"2026-04-06 01:00:00",4.6,,4.89
"2026-04-07 01:00:00",0,,2.71
"2026-04-08 01:00:00",2.69,,3.87
"2026-04-09 01:00:00",0,,3.1
"2026-04-10 01:00:00",3.2,,4.51
"2026-04-11 01:00:00",0,,3.54
"2026-04-12 01:00:00",11.19,,6.8
"2026-04-13 01:00:00",4.86,,4.73
"2026-04-14 01:00:00",2.86,,4.41
"2026-04-15 01:00:00",3.13,,4.71
"2026-04-16 01:00:00",3.02,,4.56
"2026-04-17 01:00:00",2.95,,5.15
"2026-04-18 01:00:00",4.99,,6.12
"2026-04-19 01:00:00",10.09,,6.44
"2026-04-20 01:00:00",9.01,,7.99
"2026-04-21 01:00:00",9.68,,8.95
"2026-04-22 01:00:00",5.36,,8.39
"2026-04-23 01:00:00",13.85,,10.21
"2026-04-24 01:00:00",0,,5.76
"2026-04-25 01:00:00",0,,5.57
"2026-04-26 01:00:00",5.85,,7.31
"2026-04-27 01:00:00",5.57,,6.01
"2026-04-28 01:00:00",8.37,6.898990042674253,7.61
