"Time","Sales","Trend Line","7-Day Moving Average"
"2026-04-10 01:00:00",1.49,1.8076491228070162,1.64
"2026-04-11 01:00:00",1.7,,1.74
"2026-04-12 01:00:00",2.01,,1.94
"2026-04-13 01:00:00",1.8,,2.25
"2026-04-14 01:00:00",1.8,,2.6
"2026-04-15 01:00:00",2.8,,3.14
"2026-04-16 01:00:00",4.13,,4.04
"2026-04-17 01:00:00",3.97,,4.35
"2026-04-18 01:00:00",5.5,,5.14
"2026-04-19 01:00:00",8.25,,5.78
"2026-04-20 01:00:00",0,,5.15
"2026-04-21 01:00:00",5.86,,6.26
"2026-04-22 01:00:00",4.47,,6.85
"2026-04-23 01:00:00",8.02,,7.36
"2026-04-24 01:00:00",0,,5.79
"2026-04-25 01:00:00",12.41,,7.85
"2026-04-26 01:00:00",4.69,,6.78
"2026-04-27 01:00:00",5.05,,6.46
"2026-04-28 01:00:00",7.91,7.4343859649122805,7.68
