"Time","Sales","Trend Line","7-Day Moving Average"
"2026-03-01 00:00:00",2,0.6533956750438359,2
"2026-03-02 00:00:00",2,,2
"2026-03-03 00:00:00",2,,2
"2026-03-04 00:00:00",0,,1.14
"2026-03-05 00:00:00",2,,1.81
"2026-03-06 00:00:00",0,,0.75
"2026-03-07 00:00:00",0,,0.54
"2026-03-08 00:00:00",0.66,,0.79
"2026-03-09 00:00:00",0.61,,0.53
"2026-03-10 00:00:00",0.53,,0.47
"2026-03-11 00:00:00",0.44,,0.43
"2026-03-12 00:00:00",0.26,,0.44
"2026-03-13 00:00:00",0.26,,0.49
"2026-03-14 00:00:00",0.24,,0.54
"2026-03-15 00:00:00",0.75,,0.64
"2026-03-16 00:00:00",0.94,,0.81
"2026-03-17 00:00:00",0.89,,1.07
"2026-03-18 00:00:00",1.17,,1.28
"2026-03-19 00:00:00",1.45,,1.3
"2026-03-20 00:00:00",2.06,,1.28
"2026-03-21 00:00:00",1.73,,1.26
"2026-03-22 00:00:00",0.88,,1.16
"2026-03-23 00:00:00",0.76,,1.01
"2026-03-24 00:00:00",0.74,,0.79
"2026-03-25 00:00:00",0.49,,0.71
"2026-03-26 00:00:00",0.41,,0.65
"2026-03-27 00:00:00",0.51,,0.78
"2026-03-28 00:00:00",1.21,,0.99
"2026-03-29 00:00:00",0,,0.75
"2026-03-30 01:00:00",1.6,,1.47
"2026-03-31 01:00:00",1.53,,2.18
"2026-04-01 01:00:00",0,,1.57
"2026-04-02 01:00:00",2.27,,2.61
"2026-04-03 01:00:00",5.61,,3.65
"2026-04-04 01:00:00",0,,2.16
"2026-04-05 01:00:00",2.75,,2.95
"2026-04-06 01:00:00",2.19,,2.96
"2026-04-07 01:00:00",2.3,,3.23
"2026-04-08 01:00:00",2.75,,3.72
"2026-04-09 01:00:00",2.9,,4.05
"2026-04-10 01:00:00",7.41,,4.75
"2026-04-11 01:00:00",5.71,,4.78
"2026-04-12 01:00:00",5.11,,4.68
"2026-04-13 01:00:00",7.08,,4.58
"2026-04-14 01:00:00",2.48,,4.06
"2026-04-15 01:00:00",2.08,,3.57
"2026-04-16 01:00:00",2.22,,3.29
"2026-04-17 01:00:00",3.73,,2.71
"2026-04-18 01:00:00",2.3,,2.62
"2026-04-19 01:00:00",3.15,,2.57
"2026-04-20 01:00:00",2.98,,2.48
"2026-04-21 01:00:00",1.89,,2.17
"2026-04-22 01:00:00",1.72,,2
"2026-04-23 01:00:00",1.58,,1.83
"2026-04-24 01:00:00",1.54,,1.63
"2026-04-25 01:00:00",1.16,,1.58
"2026-04-26 01:00:00",1.95,,1.72
"2026-04-27 01:00:00",0,,0.94
"2026-04-28 01:00:00",1.94,2.983565166569256,1.83
