"Time","Sales","Trend Line","7-Day Moving Average"
"2026-03-09 00:00:00",1.71,0.8732259426847664,1.5
"2026-03-10 00:00:00",1.61,,1.32
"2026-03-11 00:00:00",1.37,,1.25
"2026-03-12 00:00:00",0.68,,1.12
"2026-03-13 00:00:00",0.63,,1.06
"2026-03-14 00:00:00",0,,0.93
"2026-03-15 00:00:00",1.13,,1.15
"2026-03-16 00:00:00",1.39,,1.4
"2026-03-17 00:00:00",1.33,,1.71
"2026-03-18 00:00:00",1.79,,2
"2026-03-19 00:00:00",2.12,,2.06
"2026-03-20 00:00:00",2.85,,2.2
"2026-03-21 00:00:00",3.38,,2.33
"2026-03-22 00:00:00",1.57,,2.44
"2026-03-23 00:00:00",2.38,,2.3
"2026-03-24 00:00:00",2.24,,2.03
"2026-03-25 00:00:00",2.51,,1.71
"2026-03-26 00:00:00",1.17,,1.86
"2026-03-27 00:00:00",0.94,,1.89
"2026-03-28 00:00:00",1.18,,2.03
"2026-03-29 00:00:00",2.58,,2.04
"2026-03-30 01:00:00",2.58,,3.11
"2026-03-31 01:00:00",3.24,,3.92
"2026-04-01 01:00:00",0,,3.29
"2026-04-02 01:00:00",8.7,,5.84
"2026-04-03 01:00:00",5.9,,5.11
"2026-04-04 01:00:00",0,,3.41
"2026-04-05 01:00:00",3.08,,4.45
"2026-04-06 01:00:00",3.08,,3.92
"2026-04-07 01:00:00",3.14,,4.56
"2026-04-08 01:00:00",4.15,,5.43
"2026-04-09 01:00:00",5.04,,6.2
"2026-04-10 01:00:00",10.32,,6.68
"2026-04-11 01:00:00",9.19,,6.88
"2026-04-12 01:00:00",8.48,,6.77
"2026-04-13 01:00:00",6.45,,6.48
"2026-04-14 01:00:00",4.55,,5.74
"2026-04-15 01:00:00",3.38,,4.91
"2026-04-16 01:00:00",2.97,,5.2
"2026-04-17 01:00:00",5.16,,5.56
"2026-04-18 01:00:00",0,,4.67
"2026-04-19 01:00:00",10.91,,6.3
"2026-04-20 01:00:00",6.79,,5.83
"2026-04-21 01:00:00",3.48,,5.29
"2026-04-22 01:00:00",3.9,,6
"2026-04-23 01:00:00",3.77,,5.29
"2026-04-24 01:00:00",4.68,,5.07
"2026-04-25 01:00:00",8.46,,5.38
"2026-04-26 01:00:00",5.97,,5.67
"2026-04-27 01:00:00",5.21,,5.77
"2026-04-28 01:00:00",5.66,6.521325490196078,6.04
