"Time","Sales","Trend Line","7-Day Moving Average"
"2026-04-06 01:00:00",2.42,1.3957905138339906,2.59
"2026-04-07 01:00:00",2.11,,3.19
"2026-04-08 01:00:00",3.92,,3.97
"2026-04-09 01:00:00",0,,2.82
"2026-04-10 01:00:00",7.55,,5.05
"2026-04-11 01:00:00",0,,2.85
"2026-04-12 01:00:00",3.75,,3.58
"2026-04-13 01:00:00",2.89,,3.09
"2026-04-14 01:00:00",1.84,,2.04
"2026-04-15 01:00:00",1.54,,2
"2026-04-16 01:00:00",1.18,,2.22
"2026-04-17 01:00:00",1.26,,2.49
"2026-04-18 01:00:00",1.54,,2.98
"2026-04-19 01:00:00",5.3,,3.49
"2026-04-20 01:00:00",4.74,,4.44
"2026-04-21 01:00:00",5.3,,5.94
"2026-04-22 01:00:00",5.14,,8.14
"2026-04-23 01:00:00",7.79,,7.83
"2026-04-24 01:00:00",11.8,,7.6
"2026-04-25 01:00:00",16.94,,7.87
"2026-04-26 01:00:00",3.1,,7.58
"2026-04-27 01:00:00",3.16,,6.93
"2026-04-28 01:00:00",7.19,7.934268774703558,7.42
