"Time","Sales","Trend Line","7-Day Moving Average"
"2026-03-24 00:00:00",0.17,0.689040326040324,0.19
"2026-03-25 00:00:00",0.17,,0.26
"2026-03-26 00:00:00",0.17,,0.26
"2026-03-27 00:00:00",0.28,,0.37
"2026-03-28 00:00:00",0.7,,0.46
"2026-03-29 00:00:00",0,,0.38
"2026-03-30 01:00:00",0.82,,0.54
"2026-03-31 01:00:00",0.35,,0.48
"2026-04-01 01:00:00",0.31,,0.51
"2026-04-02 01:00:00",0.47,,0.85
"2026-04-03 01:00:00",0,,1.02
"2026-04-04 01:00:00",1.01,,1.47
"2026-04-05 01:00:00",2.53,,2.01
"2026-04-06 01:00:00",2.44,,2.41
"2026-04-07 01:00:00",2.53,,2.96
"2026-04-08 01:00:00",0,,3.69
"2026-04-09 01:00:00",3.45,,4.58
"2026-04-10 01:00:00",6.23,,5.04
"2026-04-11 01:00:00",8.68,,5.45
"2026-04-12 01:00:00",5.25,,4.85
"2026-04-13 01:00:00",2.91,,4.9
"2026-04-14 01:00:00",2.96,,4.44
"2026-04-15 01:00:00",4.45,,3.48
"2026-04-16 01:00:00",3.82,,2.94
"2026-04-17 01:00:00",3.01,,2.86
"2026-04-18 01:00:00",1.99,,2.92
"2026-04-19 01:00:00",1.45,,2.86
"2026-04-20 01:00:00",2.35,,2.74
"2026-04-21 01:00:00",3.38,,2.62
"2026-04-22 01:00:00",3.99,,2.57
"2026-04-23 01:00:00",2.99,,3.02
"2026-04-24 01:00:00",2.22,,3.41
"2026-04-25 01:00:00",1.63,,3.16
"2026-04-26 01:00:00",4.6,,3.67
"2026-04-27 01:00:00",5.05,,4.09
"2026-04-28 01:00:00",0,4.080301587301589,1.61
