"Time","Sales","Trend Line","7-Day Moving Average"
"2026-03-21 00:00:00",4,0,4.12
"2026-03-22 00:00:00",4.05,,4.69
"2026-03-23 00:00:00",4.76,,5.5
"2026-03-24 00:00:00",0,,5.54
"2026-03-25 00:00:00",7.86,,7.55
"2026-03-26 00:00:00",8.33,,8.58
"2026-03-27 00:00:00",9.76,,9.65
"2026-03-28 00:00:00",10.24,,9.23
"2026-03-29 00:00:00",10.79,,8.91
"2026-03-30 01:00:00",10.79,,8.3
"2026-03-31 01:00:00",6.84,,7.68
"2026-04-01 01:00:00",5.63,,7.29
"2026-04-02 01:00:00",4.07,,8.14
"2026-04-03 01:00:00",5.38,,8.76
"2026-04-04 01:00:00",7.5,,10.23
"2026-04-05 01:00:00",16.75,,13.01
"2026-04-06 01:00:00",15.16,,17.86
"2026-04-07 01:00:00",17.09,,23.22
"2026-04-08 01:00:00",25.12,,28.14
"2026-04-09 01:00:00",38.02,,31.18
"2026-04-10 01:00:00",42.89,,33.27
"2026-04-11 01:00:00",41.98,,33.99
"2026-04-12 01:00:00",0,,27.29
"2026-04-13 01:00:00",24.88,,28.97
"2026-04-14 01:00:00",23.09,,26.56
"2026-04-15 01:00:00",20.18,,30.19
"2026-04-16 01:00:00",0,,30.02
"2026-04-17 01:00:00",29.64,,37.22
"2026-04-18 01:00:00",73.21,,47.93
"2026-04-19 01:00:00",39.16,,49.62
"2026-04-20 01:00:00",45.65,,55.52
"2026-04-21 01:00:00",54.49,,67.6
"2026-04-22 01:00:00",66.01,,66.57
"2026-04-23 01:00:00",80.46,,72.25
"2026-04-24 01:00:00",114.22,,80.18
"2026-04-25 01:00:00",0,,56.08
"2026-04-26 01:00:00",64.49,,74.28
"2026-04-27 01:00:00",67.35,,73.64
"2026-04-28 01:00:00",0,56.388744939271234,18.83
