"Time","Sales","Trend Line","7-Day Moving Average"
"2026-03-19 00:00:00",3.4,0.5813327526132407,2.41
"2026-03-20 00:00:00",1.52,,1.5
"2026-03-21 00:00:00",1.08,,1.35
"2026-03-22 00:00:00",0.67,,1.44
"2026-03-23 00:00:00",0.78,,1.18
"2026-03-24 00:00:00",0.89,,1.21
"2026-03-25 00:00:00",1.71,,1.29
"2026-03-26 00:00:00",1.64,,1.25
"2026-03-27 00:00:00",1.71,,1.2
"2026-03-28 00:00:00",1.6,,1.12
"2026-03-29 00:00:00",0.43,,0.9
"2026-03-30 01:00:00",0.43,,0.71
"2026-03-31 01:00:00",0.29,,0.54
"2026-04-01 01:00:00",0.2,,0.36
"2026-04-02 01:00:00",0.29,,0.65
"2026-04-03 01:00:00",0.52,,0.84
"2026-04-04 01:00:00",0.34,,1.12
"2026-04-05 01:00:00",2.46,,1.57
"2026-04-06 01:00:00",1.76,,2.06
"2026-04-07 01:00:00",2.29,,2.69
"2026-04-08 01:00:00",3.34,,3.12
"2026-04-09 01:00:00",3.69,,3.11
"2026-04-10 01:00:00",4.93,,3.36
"2026-04-11 01:00:00",0,,2.64
"2026-04-12 01:00:00",2.09,,2.65
"2026-04-13 01:00:00",2.23,,2.32
"2026-04-14 01:00:00",2.19,,2.05
"2026-04-15 01:00:00",1.31,,2.22
"2026-04-16 01:00:00",1.23,,2.09
"2026-04-17 01:00:00",3.14,,2.94
"2026-04-18 01:00:00",3.32,,3.37
"2026-04-19 01:00:00",0,,3.08
"2026-04-20 01:00:00",6.28,,4.22
"2026-04-21 01:00:00",4.98,,4.55
"2026-04-22 01:00:00",2.6,,4.54
"2026-04-23 01:00:00",2.92,,4.62
"2026-04-24 01:00:00",6.78,,4.22
"2026-04-25 01:00:00",5.65,,4.2
"2026-04-26 01:00:00",3.13,,4.28
"2026-04-27 01:00:00",3.49,,4.41
"2026-04-28 01:00:00",4.85,4.089695121951219,4.52
