"Time","Sales","Trend Line","7-Day Moving Average"
"2026-04-03 01:00:00",3.25,10.60452991452991,5.62
"2026-04-04 01:00:00",9.75,,8.41
"2026-04-05 01:00:00",8.89,,9.19
"2026-04-06 01:00:00",7.68,,10.92
"2026-04-07 01:00:00",9.83,,13.53
"2026-04-08 01:00:00",16.03,,14.43
"2026-04-09 01:00:00",21.01,,19.73
"2026-04-10 01:00:00",21.55,,21.79
"2026-04-11 01:00:00",0,,14.23
"2026-04-12 01:00:00",41,,35.37
"2026-04-13 01:00:00",0,,8.94
"2026-04-14 01:00:00",0,,5.86
"2026-04-15 01:00:00",0,,5.86
"2026-04-16 01:00:00",0,,0.68
"2026-04-17 01:00:00",0,,1.36
"2026-04-18 01:00:00",0,,2.24
"2026-04-19 01:00:00",4.76,,5.68
"2026-04-20 01:00:00",4.76,,6.56
"2026-04-21 01:00:00",6.16,,7.84
"2026-04-22 01:00:00",9.79,,8.71
"2026-04-23 01:00:00",10.91,,9.59
"2026-04-24 01:00:00",12.31,,11.53
"2026-04-25 01:00:00",12.31,,12.41
"2026-04-26 01:00:00",0,,7.5
"2026-04-27 01:00:00",16.95,,15.62
"2026-04-28 01:00:00",0,5.690000000000003,4.18
