"Time","Sales","Trend Line","7-Day Moving Average"
"2024-07-14 01:00:00",69.32,83.42078825946595,84.05
"2024-07-15 01:00:00",86.81,,96.46
"2024-07-16 01:00:00",103.06,,103.69
"2024-07-17 01:00:00",121.2,,106.28
"2024-07-18 01:00:00",121.2,,110.64
"2024-07-19 01:00:00",121.2,,111.54
"2024-07-20 01:00:00",121.2,,113.48
"2024-07-21 01:00:00",99.81,,112.83
"2024-07-22 01:00:00",93.09,,112.17
"2024-07-23 01:00:00",116.64,,109.12
"2024-07-24 01:00:00",116.64,,107.17
"2024-07-25 01:00:00",116.64,,108.94
"2024-07-26 01:00:00",99.81,,112.88
"2024-07-27 01:00:00",107.57,,113.47
"2024-07-28 01:00:00",112.18,,110.84
"2024-07-29 01:00:00",120.71,,108.22
"2024-07-30 01:00:00",120.71,,106.45
"2024-07-31 01:00:00",98.28,,107.11
"2024-08-01 01:00:00",98.28,,115.87
"2024-08-02 01:00:00",87.45,,122.17
"2024-08-03 01:00:00",112.18,,127.35
"2024-08-04 01:00:00",173.48,,132.93
"2024-08-05 01:00:00",164.81,,135.71
"2024-08-06 01:00:00",156.96,,137.48
"2024-08-07 01:00:00",137.34,,141.93
"2024-08-08 01:00:00",117.72,,137.62
"2024-08-09 01:00:00",99.88,,139.22
"2024-08-10 01:00:00",143.31,,144
"2024-08-11 01:00:00",143.33,,147.75
"2024-08-12 01:00:00",175.99,,154.3
"2024-08-13 01:00:00",190.45,,163.4
"2024-08-14 01:00:00",163.57,,166.29
"2024-08-15 01:00:00",163.57,,169.18
"2024-08-16 01:00:00",163.57,,174.29
"2024-08-17 01:00:00",0,,128.5
"2024-08-18 01:00:00",0,,129.88
"2024-08-19 01:00:00",211.7,,186.91
"2024-08-20 01:00:00",197.1,,178.36
"2024-08-21 01:00:00",173.21,,165.78
"2024-08-22 01:00:00",139.41,,157.67
"2024-08-23 01:00:00",132.93,,144.05
"2024-08-24 01:00:00",132.93,,134.35
"2024-08-25 01:00:00",116.4,,134.99
"2024-08-26 01:00:00",116.4,,140.47
"2024-08-27 01:00:00",129.14,,142.19
"2024-08-28 01:00:00",177.73,,142.71
"2024-08-29 01:00:00",177.73,,141.12
"2024-08-30 01:00:00",144.99,,143.28
"2024-08-31 01:00:00",136.6,,139.87
"2024-09-01 01:00:00",105.24,,130.3
"2024-09-02 01:00:00",131.55,,120.74
"2024-09-03 01:00:00",105.24,,111.59
"2024-09-04 01:00:00",110.78,,107.11
"2024-09-05 01:00:00",110.78,,114.58
"2024-09-06 01:00:00",80.95,,117.13
"2024-09-07 01:00:00",105.24,,119.05
"2024-09-08 01:00:00",157.55,,117.04
"2024-09-09 01:00:00",149.39,,112.25
"2024-09-10 01:00:00",118.63,,110.31
"2024-09-11 01:00:00",96.72,,107.1
"2024-09-12 01:00:00",77.27,,92.09
"2024-09-13 01:00:00",67.34,,78.03
"2024-09-14 01:00:00",82.82,,73.6
"2024-09-15 01:00:00",52.49,,70.16
"2024-09-16 01:00:00",50.92,,72.31
"2024-09-17 01:00:00",87.61,,73.53
"2024-09-18 01:00:00",72.65,,71.27
"2024-09-19 01:00:00",92.36,,72.73
"2024-09-20 01:00:00",75.89,,72.91
"2024-09-21 01:00:00",66.94,,65.12
"2024-09-22 01:00:00",62.71,,58.93
"2024-09-23 01:00:00",52.21,,49.49
"2024-09-24 01:00:00",33.1,,41.86
"2024-09-25 01:00:00",29.3,,35.64
"2024-09-26 01:00:00",26.28,,36.16
"2024-09-27 01:00:00",22.48,,32.26
"2024-09-28 01:00:00",23.42,,30.91
"2024-09-29 01:00:00",66.34,,31.08
"2024-09-30 01:00:00",24.9,,31.46
"2024-10-01 01:00:00",23.63,,33.34
"2024-10-02 01:00:00",30.49,,35.09
"2024-10-03 01:00:00",28.96,,29.54
"2024-10-04 01:00:00",35.66,,31.17
"2024-10-05 01:00:00",35.66,,31.61
"2024-10-06 01:00:00",27.47,,29.55
"2024-10-07 01:00:00",36.34,,27.24
"2024-10-08 01:00:00",26.69,,24.26
"2024-10-09 01:00:00",16.04,,21.24
"2024-10-10 01:00:00",12.82,,18.92
"2024-10-11 01:00:00",14.77,,15.01
"2024-10-12 01:00:00",14.55,,12.27
"2024-10-13 01:00:00",11.22,,11.27
"2024-10-14 01:00:00",8.95,,11.7
"2024-10-15 01:00:00",7.55,,12.5
"2024-10-16 01:00:00",9.05,,12.38
"2024-10-17 01:00:00",15.81,,12.7
"2024-10-18 01:00:00",20.39,,13.13
"2024-10-19 01:00:00",13.7,,13.4
"2024-10-20 01:00:00",13.45,,13.38
"2024-10-21 01:00:00",11.98,,13.58
"2024-10-22 01:00:00",9.42,,13.89
"2024-10-23 01:00:00",8.89,,14.25
"2024-10-24 01:00:00",17.24,,14.66
"2024-10-25 01:00:00",22.53,,14.2
"2024-10-26 01:00:00",16.22,,14.94
"2024-10-27 01:00:00",16.35,,15.63
"2024-10-28 00:00:00",8.72,,14.63
"2024-10-29 00:00:00",14.62,,12.31
"2024-10-30 00:00:00",13.75,,10.91
"2024-10-31 00:00:00",10.2,,9.35
"2024-11-01 00:00:00",6.32,,9.02
"2024-11-02 00:00:00",6.38,,8.01
"2024-11-03 00:00:00",5.45,,6.94
"2024-11-04 00:00:00",6.44,,7.4
"2024-11-05 00:00:00",7.55,,7.16
"2024-11-06 00:00:00",6.22,,7.18
"2024-11-07 00:00:00",13.41,,7.76
"2024-11-08 00:00:00",4.66,,8.17
