"Time","Sales","Trend Line","7-Day Moving Average"
"2023-09-10 01:00:00",24.54,35.642223192420055,35.26
"2023-09-11 01:00:00",40.16,,44.43
"2023-09-12 01:00:00",52.35,,47.38
"2023-09-13 01:00:00",56.16,,45.2
"2023-09-14 01:00:00",57.47,,45.27
"2023-09-15 01:00:00",48.62,,42.11
"2023-09-16 01:00:00",37.09,,37.7
"2023-09-17 01:00:00",25.01,,33.39
"2023-09-18 01:00:00",18.08,,31.34
"2023-09-19 01:00:00",21.44,,31.34
"2023-09-20 01:00:00",26.05,,32.58
"2023-09-21 01:00:00",43.11,,35.26
"2023-09-22 01:00:00",48.63,,40.62
"2023-09-23 01:00:00",45.73,,46.69
"2023-09-24 01:00:00",43.77,,52.66
"2023-09-25 01:00:00",55.64,,60
"2023-09-26 01:00:00",63.89,,68.85
"2023-09-27 01:00:00",67.87,,77.87
"2023-09-28 01:00:00",94.47,,80.61
"2023-09-29 01:00:00",110.61,,78.49
"2023-09-30 01:00:00",108.87,,80.86
"2023-10-01 01:00:00",62.95,,81.68
"2023-10-02 01:00:00",40.77,,75.36
"2023-10-03 01:00:00",80.46,,66.94
"2023-10-04 01:00:00",73.64,,58.78
"2023-10-05 01:00:00",50.21,,56.21
"2023-10-06 01:00:00",51.7,,60.87
"2023-10-07 01:00:00",51.7,,59.62
"2023-10-08 01:00:00",44.97,,63.22
"2023-10-09 01:00:00",73.39,,66.06
"2023-10-10 01:00:00",71.71,,65.82
"2023-10-11 01:00:00",98.85,,69.43
"2023-10-12 01:00:00",70.11,,72.71
"2023-10-13 01:00:00",49.99,,67.25
"2023-10-14 01:00:00",77,,61.16
"2023-10-15 01:00:00",67.95,,52.67
"2023-10-16 01:00:00",35.12,,45.9
"2023-10-17 01:00:00",29.1,,42.92
"2023-10-18 01:00:00",39.39,,35.26
"2023-10-19 01:00:00",22.77,,29.94
"2023-10-20 01:00:00",29.1,,32.97
"2023-10-21 01:00:00",23.37,,36.26
"2023-10-22 01:00:00",30.73,,34.33
"2023-10-23 01:00:00",56.35,,34.02
"2023-10-24 01:00:00",52.08,,33.24
"2023-10-25 01:00:00",25.9,,34.13
"2023-10-26 01:00:00",20.59,,38.59
"2023-10-27 01:00:00",23.67,,34.42
"2023-10-28 01:00:00",29.62,,31.06
"2023-10-29 01:00:00",61.92,,31.38
"2023-10-30 00:00:00",27.19,,31.55
"2023-10-31 00:00:00",28.54,,31.05
"2023-11-01 00:00:00",28.14,,29.55
"2023-11-02 00:00:00",21.75,,23.87
"2023-11-03 00:00:00",20.22,,22.41
"2023-11-04 00:00:00",19.07,,20.24
"2023-11-05 00:00:00",22.15,,21.71
"2023-11-06 00:00:00",16.99,,21.62
"2023-11-07 00:00:00",13.36,,21.94
"2023-11-08 00:00:00",38.42,,21.57
"2023-11-09 00:00:00",21.1,,21.05
"2023-11-10 00:00:00",22.49,,20.75
"2023-11-11 00:00:00",16.49,,21.21
"2023-11-12 00:00:00",18.5,,19.45
"2023-11-13 00:00:00",14.91,,19.56
"2023-11-14 00:00:00",16.58,,18.35
"2023-11-15 00:00:00",26.07,,17.43
"2023-11-16 00:00:00",21.87,,16.88
"2023-11-17 00:00:00",14.01,,16.64
"2023-11-18 00:00:00",10.06,,18.51
"2023-11-19 00:00:00",14.67,,16.45
"2023-11-20 00:00:00",13.22,,15.27
"2023-11-21 00:00:00",29.7,,16.15
"2023-11-22 00:00:00",11.61,,16.12
"2023-11-23 00:00:00",13.6,,15.39
"2023-11-24 00:00:00",20.17,,14.82
"2023-11-25 00:00:00",9.85,,12.79
"2023-11-26 00:00:00",9.55,,12.86
"2023-11-27 00:00:00",9.24,,11.75
"2023-11-28 00:00:00",15.5,,9.97
"2023-11-29 00:00:00",12.11,,10.14
"2023-11-30 00:00:00",5.86,,10.69
"2023-12-01 00:00:00",7.68,,10.15
"2023-12-02 00:00:00",11.06,,9.25
"2023-12-03 00:00:00",13.38,,8.92
"2023-12-04 00:00:00",5.47,,8.93
"2023-12-05 00:00:00",9.21,,9.32
"2023-12-06 00:00:00",9.81,,8.43
"2023-12-07 00:00:00",5.89,,7.51
"2023-12-08 00:00:00",10.39,,7.48
"2023-12-09 00:00:00",4.84,,7.24
"2023-12-10 00:00:00",6.95,,8.66
"2023-12-11 00:00:00",5.29,,8.81
"2023-12-12 00:00:00",7.48,,8.13
"2023-12-13 00:00:00",19.75,,8.43
"2023-12-14 00:00:00",6.95,,8.04
"2023-12-15 00:00:00",5.67,,9.04
"2023-12-16 00:00:00",6.9,,9.1
"2023-12-17 00:00:00",4.22,,7.17
"2023-12-18 00:00:00",12.33,,6.81
"2023-12-19 00:00:00",7.91,,6.73
"2023-12-20 00:00:00",6.24,,6.29
"2023-12-21 00:00:00",4.39,,6.22
"2023-12-22 00:00:00",5.12,,5.14
"2023-12-23 00:00:00",3.79,,5.13
"2023-12-24 00:00:00",3.79,,4.85
"2023-12-25 00:00:00",4.72,,4.68
"2023-12-26 00:00:00",7.83,,4.31
"2023-12-27 00:00:00",4.31,,4.14
"2023-12-28 00:00:00",3.22,,3.84
"2023-12-29 00:00:00",2.49,,3.75
"2023-12-30 00:00:00",2.65,,2.88
"2023-12-31 00:00:00",1.68,,3.26
"2024-01-01 00:00:00",4.04,,3.1
"2024-01-02 00:00:00",1.8,,2.99
"2024-01-03 00:00:00",6.92,,2.86
"2024-01-04 00:00:00",2.13,,3.03
"2024-01-05 00:00:00",1.72,,2.82
"2024-01-06 00:00:00",1.71,,2.85
"2024-01-07 00:00:00",2.89,,2.1
"2024-01-08 00:00:00",2.54,,2.23
"2024-01-09 00:00:00",2.05,,2.42
"2024-01-10 00:00:00",1.68,,2.36
"2024-01-11 00:00:00",3.05,,2.23
"2024-01-12 00:00:00",3.03,,2.24
"2024-01-13 00:00:00",1.26,,2.58
"2024-01-14 00:00:00",1.99,,2.94
"2024-01-15 00:00:00",2.59,,3.24
"2024-01-16 00:00:00",4.49,,3.32
"2024-01-17 00:00:00",4.15,,3.56
"2024-01-18 00:00:00",5.14,,3.54
"2024-01-19 00:00:00",3.59,,3.63
"2024-01-20 00:00:00",2.98,,3.56
"2024-01-21 00:00:00",1.81,,3.4
"2024-01-22 00:00:00",3.23,,2.99
"2024-01-23 00:00:00",4.04,,2.87
"2024-01-24 00:00:00",3.04,,2.66
"2024-01-25 00:00:00",2.23,,2.67
"2024-01-26 00:00:00",2.76,,2.47
"2024-01-27 00:00:00",1.51,,2.78
"2024-01-28 00:00:00",1.91,,3.01
"2024-01-29 00:00:00",1.82,,2.99
"2024-01-30 00:00:00",6.18,,2.91
"2024-01-31 00:00:00",4.63,,3.1
"2024-02-01 00:00:00",2.1,,3.46
"2024-02-02 00:00:00",2.25,,4.31
"2024-02-03 00:00:00",2.84,,4.39
"2024-02-04 00:00:00",4.43,,4.79
"2024-02-05 00:00:00",7.71,,6.14
"2024-02-06 00:00:00",6.8,,7.15
"2024-02-07 00:00:00",7.41,,7.72
"2024-02-08 00:00:00",11.53,,7.96
"2024-02-09 00:00:00",9.31,,7.97
"2024-02-10 00:00:00",6.83,,8.75
"2024-02-11 00:00:00",6.14,,9.13
"2024-02-12 00:00:00",7.78,,8.62
"2024-02-13 00:00:00",12.24,,8.93
"2024-02-14 00:00:00",10.1,,8.64
"2024-02-15 00:00:00",7.96,,8.87
"2024-02-16 00:00:00",11.45,,8.36
"2024-02-17 00:00:00",4.82,,7.95
"2024-02-18 00:00:00",7.77,,7.13
"2024-02-19 00:00:00",4.19,,6.54
"2024-02-20 00:00:00",9.35,,6.42
"2024-02-21 00:00:00",4.39,,6.97
"2024-02-22 00:00:00",3.84,,7.65
"2024-02-23 00:00:00",10.57,,8.01
"2024-02-24 00:00:00",8.65,,7.69
"2024-02-25 00:00:00",12.53,,7.72
"2024-02-26 00:00:00",6.71,,8.31
"2024-02-27 00:00:00",7.14,,8.21
