"Time","Sales","Trend Line","7-Day Moving Average"
"2025-09-14 01:00:00",4.65,4.7017058828116,4.7
"2025-09-15 01:00:00",2.95,,4.54
"2025-09-16 01:00:00",6.61,,5.62
"2025-09-17 01:00:00",4.75,,5.57
"2025-09-18 01:00:00",6.9,,5.48
"2025-09-19 01:00:00",6.87,,5.61
"2025-09-20 01:00:00",6.27,,5.31
"2025-09-21 01:00:00",4.04,,5.36
"2025-09-22 01:00:00",3.82,,5.5
"2025-09-23 01:00:00",4.55,,6.12
"2025-09-24 01:00:00",5.06,,6.87
"2025-09-25 01:00:00",7.91,,7.25
"2025-09-26 01:00:00",11.17,,7.44
"2025-09-27 01:00:00",11.52,,7.45
"2025-09-28 01:00:00",6.71,,7.43
"2025-09-29 01:00:00",5.15,,6.93
"2025-09-30 01:00:00",4.63,,5.76
"2025-10-01 01:00:00",4.92,,4.48
"2025-10-02 01:00:00",4.38,,4.11
"2025-10-03 01:00:00",3.03,,3.84
"2025-10-04 01:00:00",2.55,,3.62
"2025-10-05 01:00:00",4.14,,3.48
"2025-10-06 01:00:00",3.26,,3.46
"2025-10-07 01:00:00",3.08,,3.81
"2025-10-08 01:00:00",3.92,,5
"2025-10-09 01:00:00",4.21,,6
"2025-10-10 01:00:00",5.49,,5.98
"2025-10-11 01:00:00",10.9,,6.07
"2025-10-12 01:00:00",11.11,,6.21
"2025-10-13 01:00:00",3.16,,6.13
"2025-10-14 01:00:00",3.71,,6.2
"2025-10-15 01:00:00",4.89,,5.14
"2025-10-16 01:00:00",3.65,,4.05
"2025-10-17 01:00:00",5.97,,4.14
"2025-10-18 01:00:00",3.49,,4.15
"2025-10-19 01:00:00",3.49,,4.04
"2025-10-20 01:00:00",3.79,,4.32
"2025-10-21 01:00:00",3.79,,5.29
"2025-10-22 01:00:00",4.12,,5.72
"2025-10-23 01:00:00",5.61,,5.97
"2025-10-24 01:00:00",12.71,,6.28
"2025-10-25 01:00:00",6.5,,6.81
"2025-10-26 01:00:00",5.27,,7.69
"2025-10-27 00:00:00",5.93,,7.82
"2025-10-28 00:00:00",7.5,,6.68
"2025-10-29 00:00:00",10.32,,6.29
"2025-10-30 00:00:00",6.52,,6.22
"2025-10-31 00:00:00",4.75,,6.81
"2025-11-01 00:00:00",3.73,,6.98
"2025-11-02 00:00:00",4.78,,6.5
"2025-11-03 00:00:00",10.05,,6.39
"2025-11-04 00:00:00",8.68,,6.88
"2025-11-05 00:00:00",7.02,,8.19
"2025-11-06 00:00:00",5.72,,8.5
"2025-11-07 00:00:00",8.16,,7.66
"2025-11-08 00:00:00",12.93,,7.15
"2025-11-09 00:00:00",6.97,,7.08
"2025-11-10 00:00:00",4.11,,7.35
"2025-11-11 00:00:00",5.14,,7.5
"2025-11-12 00:00:00",6.54,,7.21
"2025-11-13 00:00:00",7.62,,8.32
"2025-11-14 00:00:00",9.22,,9.42
"2025-11-15 00:00:00",10.89,,9.83
"2025-11-16 00:00:00",14.7,,9.62
"2025-11-17 00:00:00",11.83,,9.19
"2025-11-18 00:00:00",8.02,,8.52
