"Time","Sales","Trend Line","7-Day Moving Average"
"2025-09-14 01:00:00",28.23,4.0814066248229315,22.74
"2025-09-15 01:00:00",16.83,,17.24
"2025-09-16 01:00:00",13.94,,16.94
"2025-09-17 01:00:00",15.47,,20.86
"2025-09-18 01:00:00",12.52,,17.57
"2025-09-19 01:00:00",17.68,,15.96
"2025-09-20 01:00:00",41.32,,14.87
"2025-09-21 01:00:00",5.23,,13.46
"2025-09-22 01:00:00",5.57,,13.06
"2025-09-23 01:00:00",6.28,,12.83
"2025-09-24 01:00:00",5.59,,9.37
"2025-09-25 01:00:00",9.77,,9.73
"2025-09-26 01:00:00",16.02,,9.8
"2025-09-27 01:00:00",17.1,,9.69
"2025-09-28 01:00:00",7.8,,9.72
"2025-09-29 01:00:00",6.06,,9.06
"2025-09-30 01:00:00",5.46,,7.35
"2025-10-01 01:00:00",5.8,,5.34
"2025-10-02 01:00:00",5.18,,4.9
"2025-10-03 01:00:00",4.08,,4.51
"2025-10-04 01:00:00",3.03,,4.21
"2025-10-05 01:00:00",4.7,,3.95
"2025-10-06 01:00:00",3.34,,3.85
"2025-10-07 01:00:00",3.37,,4.08
"2025-10-08 01:00:00",3.97,,5.43
"2025-10-09 01:00:00",4.47,,6.28
"2025-10-10 01:00:00",5.69,,6.28
"2025-10-11 01:00:00",12.46,,6.25
"2025-10-12 01:00:00",10.63,,6.41
"2025-10-13 01:00:00",3.38,,6.32
"2025-10-14 01:00:00",3.14,,6.38
"2025-10-15 01:00:00",5.09,,5.14
"2025-10-16 01:00:00",3.87,,4.03
"2025-10-17 01:00:00",6.12,,3.99
"2025-10-18 01:00:00",3.72,,4
"2025-10-19 01:00:00",2.88,,3.77
"2025-10-20 01:00:00",3.09,,3.89
"2025-10-21 01:00:00",3.21,,4.47
"2025-10-22 01:00:00",3.49,,4.71
"2025-10-23 01:00:00",4.71,,4.69
"2025-10-24 01:00:00",10.2,,4.72
"2025-10-25 01:00:00",5.42,,4.85
"2025-10-26 01:00:00",2.7,,5.17
"2025-10-27 00:00:00",3.3,,5.03
"2025-10-28 00:00:00",4.16,,4.01
"2025-10-29 00:00:00",5.68,,3.53
"2025-10-30 00:00:00",3.76,,3.41
"2025-10-31 00:00:00",3.02,,3.52
"2025-11-01 00:00:00",2.08,,3.43
"2025-11-02 00:00:00",1.84,,3.02
"2025-11-03 00:00:00",4.12,,2.8
"2025-11-04 00:00:00",3.49,,2.83
"2025-11-05 00:00:00",2.8,,3.22
"2025-11-06 00:00:00",2.23,,3.37
"2025-11-07 00:00:00",3.26,,3.02
"2025-11-08 00:00:00",4.79,,2.83
"2025-11-09 00:00:00",2.9,,2.83
"2025-11-10 00:00:00",1.7,,2.96
"2025-11-11 00:00:00",2.16,,3.05
"2025-11-12 00:00:00",2.77,,3.01
"2025-11-13 00:00:00",3.13,,3.4
"2025-11-14 00:00:00",3.91,,3.76
"2025-11-15 00:00:00",4.47,,3.87
"2025-11-16 00:00:00",5.65,,3.76
"2025-11-17 00:00:00",4.24,,3.55
"2025-11-18 00:00:00",2.89,,3.24
"2025-11-19 00:00:00",2.02,,2.89
"2025-11-20 00:00:00",1.69,,2.38
"2025-11-21 00:00:00",1.7,,2.01
"2025-11-22 00:00:00",2.02,,1.8
"2025-11-23 00:00:00",2.1,,1.71
"2025-11-24 00:00:00",1.67,,1.65
"2025-11-25 00:00:00",1.4,,1.53
"2025-11-26 00:00:00",1.36,,1.36
"2025-11-27 00:00:00",1.3,,1.25
"2025-11-28 00:00:00",0.88,,1.28
"2025-11-29 00:00:00",0.78,,1.37
"2025-11-30 00:00:00",1.38,,1.46
"2025-12-01 00:00:00",1.88,,1.67
"2025-12-02 00:00:00",1.99,,2.09
"2025-12-03 00:00:00",1.99,,2.37
"2025-12-04 00:00:00",2.79,,2.44
"2025-12-05 00:00:00",3.8,,2.45
"2025-12-06 00:00:00",2.77,,2.46
"2025-12-07 00:00:00",1.85,,2.56
"2025-12-08 00:00:00",1.97,,2.99
"2025-12-09 00:00:00",2.03,,2.96
"2025-12-10 00:00:00",2.74,,3.19
"2025-12-11 00:00:00",5.79,,3.06
"2025-12-12 00:00:00",3.55,,2.93
"2025-12-13 00:00:00",4.37,,2.75
"2025-12-14 00:00:00",0.99,,2.46
"2025-12-15 00:00:00",1.02,,1.71
"2025-12-16 00:00:00",0.82,,1.28
"2025-12-17 00:00:00",0.65,,0.71
"2025-12-18 00:00:00",0.56,,0.69
"2025-12-19 00:00:00",0.55,,0.68
"2025-12-20 00:00:00",0.39,,0.73
"2025-12-21 00:00:00",0.82,,0.78
"2025-12-22 00:00:00",0.94,,0.92
"2025-12-23 00:00:00",1.21,,1.14
"2025-12-24 00:00:00",1.02,,1.43
"2025-12-25 00:00:00",1.48,,1.52
"2025-12-26 00:00:00",2.14,,1.6
"2025-12-27 00:00:00",2.38,,1.6
"2025-12-28 00:00:00",1.45,,1.58
"2025-12-29 00:00:00",1.53,,1.49
"2025-12-30 00:00:00",1.23,,1.26
"2025-12-31 00:00:00",0.86,,1
"2026-01-01 00:00:00",0.81,,0.83
"2026-01-02 00:00:00",0.55,,0.64
"2026-01-03 00:00:00",0.57,,0.48
"2026-01-04 00:00:00",0.27,,0.39
"2026-01-05 00:00:00",0.16,,0.31
"2026-01-06 00:00:00",0.16,,0.3
"2026-01-07 00:00:00",0.24,,0.29
"2026-01-08 00:00:00",0.25,,0.41
"2026-01-09 00:00:00",0.48,,0.56
"2026-01-10 00:00:00",0.44,,0.72
"2026-01-11 00:00:00",1.12,,0.84
"2026-01-12 00:00:00",1.26,,0.94
"2026-01-13 00:00:00",1.25,,0.96
"2026-01-14 00:00:00",1.11,,0.97
"2026-01-15 00:00:00",0.9,,0.89
"2026-01-16 00:00:00",0.66,,0.8
"2026-01-17 00:00:00",0.52,,0.72
"2026-01-18 00:00:00",0.56,,0.72
"2026-01-19 00:00:00",0.58,,0.79
"2026-01-20 00:00:00",0.69,,0.91
"2026-01-21 00:00:00",1.11,,1
"2026-01-22 00:00:00",1.38,,1.09
"2026-01-23 00:00:00",1.56,,1.23
"2026-01-24 00:00:00",1.12,,1.49
"2026-01-25 00:00:00",1.2,,1.74
"2026-01-26 00:00:00",1.52,,1.93
"2026-01-27 00:00:00",2.57,,2.08
"2026-01-28 00:00:00",2.86,,2.28
"2026-01-29 00:00:00",2.66,,2.19
"2026-01-30 00:00:00",2.64,,2.01
"2026-01-31 00:00:00",2.54,,1.68
"2026-02-01 00:00:00",0.54,,1.33
"2026-02-02 00:00:00",0.29,,1.01
"2026-02-03 00:00:00",0.25,,0.69
"2026-02-04 00:00:00",0.42,,0.43
