"Time","Sales","Trend Line","7-Day Moving Average"
"2025-04-25 01:00:00",27.27,105.53390021411208,29.11
"2025-04-26 01:00:00",38.1,,33.82
"2025-04-27 01:00:00",25.11,,33.53
"2025-04-28 01:00:00",31.5,,37.37
"2025-04-29 01:00:00",38.55,,42.54
"2025-04-30 01:00:00",49.05,,45.36
"2025-05-01 01:00:00",52.04,,52.94
"2025-05-02 01:00:00",63.44,,58.17
"2025-05-03 01:00:00",57.83,,59.55
"2025-05-04 01:00:00",78.14,,57.88
"2025-05-05 01:00:00",68.14,,54.9
"2025-05-06 01:00:00",48.2,,49.58
"2025-05-07 01:00:00",37.39,,45.53
"2025-05-08 01:00:00",31.19,,39.97
"2025-05-09 01:00:00",26.19,,34.71
"2025-05-10 01:00:00",29.45,,34.36
"2025-05-11 01:00:00",39.23,,36.43
"2025-05-12 01:00:00",31.35,,36.88
"2025-05-13 01:00:00",45.71,,36.13
"2025-05-14 01:00:00",51.88,,37.6
"2025-05-15 01:00:00",34.32,,34.51
"2025-05-16 01:00:00",20.99,,33.12
"2025-05-17 01:00:00",39.73,,31.58
"2025-05-18 01:00:00",17.56,,29.8
"2025-05-19 01:00:00",21.67,,29.73
"2025-05-20 01:00:00",34.89,,31.57
"2025-05-21 01:00:00",39.46,,32.1
"2025-05-22 01:00:00",33.83,,31.79
"2025-05-23 01:00:00",33.86,,32.09
"2025-05-24 01:00:00",43.4,,31.98
"2025-05-25 01:00:00",15.41,,30.83
"2025-05-26 01:00:00",23.78,,29.63
"2025-05-27 01:00:00",34.11,,28.55
"2025-05-28 01:00:00",31.39,,27.73
"2025-05-29 01:00:00",25.45,,28.48
"2025-05-30 01:00:00",26.31,,29.79
"2025-05-31 01:00:00",37.67,,33.01
"2025-06-01 01:00:00",20.65,,33.05
"2025-06-02 01:00:00",32.97,,33.35
"2025-06-03 01:00:00",56.62,,33.52
"2025-06-04 01:00:00",31.71,,33.11
"2025-06-05 01:00:00",27.5,,37.42
"2025-06-06 01:00:00",27.5,,38.69
"2025-06-07 01:00:00",34.82,,36.91
"2025-06-08 01:00:00",50.8,,37.53
"2025-06-09 01:00:00",41.9,,38.17
"2025-06-10 01:00:00",44.15,,38.51
"2025-06-11 01:00:00",36.01,,36.52
"2025-06-12 01:00:00",31.98,,32.94
"2025-06-13 01:00:00",29.92,,30.52
"2025-06-14 01:00:00",20.9,,27.7
"2025-06-15 01:00:00",25.7,,28.91
"2025-06-16 01:00:00",24.96,,32.11
"2025-06-17 01:00:00",24.4,,35.55
"2025-06-18 01:00:00",44.53,,42.44
"2025-06-19 01:00:00",54.34,,43.83
"2025-06-20 01:00:00",54.01,,45.99
"2025-06-21 01:00:00",69.14,,49.88
"2025-06-22 01:00:00",35.44,,51.51
"2025-06-23 01:00:00",40.08,,51.44
"2025-06-24 01:00:00",51.61,,52.1
"2025-06-25 01:00:00",55.93,,56.33
"2025-06-26 01:00:00",53.88,,61.47
"2025-06-27 01:00:00",58.61,,68.28
"2025-06-28 01:00:00",98.77,,77.16
"2025-06-29 01:00:00",71.41,,87.61
"2025-06-30 01:00:00",87.75,,103.03
"2025-07-01 01:00:00",113.78,,110.91
"2025-07-02 01:00:00",129.1,,111.08
"2025-07-03 01:00:00",161.76,,113.55
"2025-07-04 01:00:00",113.78,,113.01
"2025-07-05 01:00:00",99.95,,111.15
"2025-07-06 01:00:00",88.71,,113.24
"2025-07-07 01:00:00",84.02,,119.34
"2025-07-08 01:00:00",100.76,,130.29
"2025-07-09 01:00:00",143.7,,143.69
"2025-07-10 01:00:00",204.43,,140.26
"2025-07-11 01:00:00",190.43,,138.79
"2025-07-12 01:00:00",193.75,,137.72
"2025-07-13 01:00:00",64.71,,132.81
"2025-07-14 01:00:00",73.74,,119.22
"2025-07-15 01:00:00",93.26,,107.64
"2025-07-16 01:00:00",109.34,,98.08
"2025-07-17 01:00:00",109.34,,102.06
"2025-07-18 01:00:00",109.34,,110.1
"2025-07-19 01:00:00",126.83,,115.35
"2025-07-20 01:00:00",92.6,,129.13
"2025-07-21 01:00:00",130,,141.34
"2025-07-22 01:00:00",130,,144.29
"2025-07-23 01:00:00",205.8,,165.86
"2025-07-24 01:00:00",194.81,,173.84
"2025-07-25 01:00:00",0,,151.37
"2025-07-26 01:00:00",202,,188.27
"2025-07-27 01:00:00",159.48,,174.53
"2025-07-28 01:00:00",167.51,,162.31
"2025-07-29 01:00:00",186.27,,153.3
"2025-07-30 01:00:00",152.18,,140.36
"2025-07-31 01:00:00",101.24,,146.16
"2025-08-01 01:00:00",104.41,,148.02
"2025-08-02 01:00:00",111.41,,144.56
"2025-08-03 01:00:00",200.07,,141.58
"2025-08-04 01:00:00",180.53,,140.84
"2025-08-05 01:00:00",162.06,,137.8
"2025-08-06 01:00:00",131.35,,133.25
"2025-08-07 01:00:00",96.07,,118.88
"2025-08-08 01:00:00",83.12,,112.88
"2025-08-09 01:00:00",79.53,,114.97
"2025-08-10 01:00:00",99.47,,121.77
"2025-08-11 01:00:00",138.54,,135.33
"2025-08-12 01:00:00",176.69,,153.17
"2025-08-13 01:00:00",178.94,,172.88
"2025-08-14 01:00:00",191.04,,192.29
"2025-08-15 01:00:00",207.95,,206.88
"2025-08-16 01:00:00",217.56,,218.53
"2025-08-17 01:00:00",235.33,,228.14
"2025-08-18 01:00:00",240.66,,232.37
"2025-08-19 01:00:00",258.2,,228.32
"2025-08-20 01:00:00",246.24,,215.5
"2025-08-21 01:00:00",220.66,,201.07
"2025-08-22 01:00:00",179.62,,186.35
