"Time","Sales","Trend Line","7-Day Moving Average"
"2023-04-30 01:00:00",4.02,4.5306131301105985,5.02
"2023-05-01 01:00:00",6.57,,6.08
"2023-05-02 01:00:00",8.49,,6.52
"2023-05-03 01:00:00",6.85,,7.44
"2023-05-04 01:00:00",8.86,,8.08
"2023-05-05 01:00:00",9.68,,8.45
"2023-05-06 01:00:00",7.58,,8.29
"2023-05-07 01:00:00",8.5,,8.16
"2023-05-08 01:00:00",9.21,,7.62
"2023-05-09 01:00:00",7.35,,6.73
"2023-05-10 01:00:00",5.95,,6.23
"2023-05-11 01:00:00",5.05,,5.76
"2023-05-12 01:00:00",3.45,,5.68
"2023-05-13 01:00:00",4.09,,5.56
"2023-05-14 01:00:00",5.23,,5.56
"2023-05-15 01:00:00",8.64,,5.33
"2023-05-16 01:00:00",6.5,,5.26
"2023-05-17 01:00:00",5.95,,5.12
"2023-05-18 01:00:00",3.45,,4.97
"2023-05-19 01:00:00",2.94,,4.96
"2023-05-20 01:00:00",3.16,,5.68
"2023-05-21 01:00:00",4.12,,5.49
"2023-05-22 01:00:00",8.58,,5.58
"2023-05-23 01:00:00",11.56,,5.77
"2023-05-24 01:00:00",4.63,,5.81
"2023-05-25 01:00:00",4.05,,5.59
"2023-05-26 01:00:00",4.26,,4.74
"2023-05-27 01:00:00",3.45,,3.62
"2023-05-28 01:00:00",2.61,,4.19
"2023-05-29 01:00:00",2.61,,4.93
"2023-05-30 01:00:00",3.7,,4.73
"2023-05-31 01:00:00",8.66,,4.69
"2023-06-01 01:00:00",9.23,,4.89
"2023-06-02 01:00:00",2.86,,5.28
"2023-06-03 01:00:00",3.15,,5.03
"2023-06-04 01:00:00",3.99,,4.11
"2023-06-05 01:00:00",5.38,,3.09
"2023-06-06 01:00:00",1.91,,3.46
"2023-06-07 01:00:00",2.25,,3.46
"2023-06-08 01:00:00",2.07,,3.56
"2023-06-09 01:00:00",5.44,,3.3
"2023-06-10 01:00:00",3.17,,3.29
"2023-06-11 01:00:00",4.71,,3.56
"2023-06-12 01:00:00",3.58,,3.74
"2023-06-13 01:00:00",1.81,,3.37
"2023-06-14 01:00:00",4.17,,3.26
"2023-06-15 01:00:00",3.33,,3.18
"2023-06-16 01:00:00",2.82,,3.32
"2023-06-17 01:00:00",2.4,,3.36
"2023-06-18 01:00:00",4.18,,3.24
"2023-06-19 01:00:00",4.5,,3.16
"2023-06-20 01:00:00",2.12,,3.01
"2023-06-21 01:00:00",3.31,,3.15
"2023-06-22 01:00:00",2.8,,3.02
"2023-06-23 01:00:00",1.74,,3.29
"2023-06-24 01:00:00",3.41,,3.65
"2023-06-25 01:00:00",3.23,,3.75
"2023-06-26 01:00:00",6.41,,3.84
"2023-06-27 01:00:00",4.64,,4.02
"2023-06-28 01:00:00",4.03,,3.86
"2023-06-29 01:00:00",3.41,,3.75
"2023-06-30 01:00:00",3.01,,3.2
"2023-07-01 01:00:00",2.26,,2.8
"2023-07-02 01:00:00",2.51,,2.6
"2023-07-03 01:00:00",2.51,,2.52
"2023-07-04 01:00:00",1.84,,2.57
"2023-07-05 01:00:00",2.66,,3.06
"2023-07-06 01:00:00",2.82,,3.92
"2023-07-07 01:00:00",3.38,,4.82
"2023-07-08 01:00:00",5.68,,6.35
"2023-07-09 01:00:00",8.58,,6.85
"2023-07-10 01:00:00",8.78,,7.07
"2023-07-11 01:00:00",12.52,,7.24
"2023-07-12 01:00:00",6.2,,7.51
"2023-07-13 01:00:00",4.35,,7.15
"2023-07-14 01:00:00",4.59,,6.47
"2023-07-15 01:00:00",7.53,,5.41
"2023-07-16 01:00:00",6.09,,5.43
"2023-07-17 01:00:00",4.01,,6.08
"2023-07-18 01:00:00",5.1,,6.65
"2023-07-19 01:00:00",6.37,,7.09
"2023-07-20 01:00:00",8.85,,7.42
"2023-07-21 01:00:00",8.58,,7.99
"2023-07-22 01:00:00",10.64,,7.79
"2023-07-23 01:00:00",8.38,,7.3
"2023-07-24 01:00:00",8.01,,6.39
"2023-07-25 01:00:00",3.73,,5.6
"2023-07-26 01:00:00",2.9,,4.44
"2023-07-27 01:00:00",2.5,,3.61
"2023-07-28 01:00:00",3.04,,3.16
"2023-07-29 01:00:00",2.49,,3.07
"2023-07-30 01:00:00",2.58,,3.12
"2023-07-31 01:00:00",4.9,,3.5
"2023-08-01 01:00:00",3.09,,3.72
"2023-08-02 01:00:00",3.21,,4.44
"2023-08-03 01:00:00",5.22,,4.92
"2023-08-04 01:00:00",4.57,,4.91
"2023-08-05 01:00:00",7.51,,5.18
