"Time","Sales","Trend Line","7-Day Moving Average"
"2024-07-28 01:00:00",56.86,46.91487343444146,79.18
"2024-07-29 01:00:00",74.78,,91.24
"2024-07-30 01:00:00",133.6,,102.9
"2024-07-31 01:00:00",118.41,,103.47
"2024-08-01 01:00:00",105.48,,114.9
"2024-08-02 01:00:00",97.58,,128.04
"2024-08-03 01:00:00",137.59,,133.36
"2024-08-04 01:00:00",136.87,,156.93
"2024-08-05 01:00:00",166.72,,180.75
"2024-08-06 01:00:00",170.85,,198.23
"2024-08-07 01:00:00",283.41,,223.71
"2024-08-08 01:00:00",272.2,,256.71
"2024-08-09 01:00:00",220,,281.34
"2024-08-10 01:00:00",315.94,,287.77
"2024-08-11 01:00:00",367.83,,270.17
"2024-08-12 01:00:00",339.17,,259.76
"2024-08-13 01:00:00",215.83,,262.56
"2024-08-14 01:00:00",160.22,,240.32
"2024-08-15 01:00:00",199.35,,221.84
"2024-08-16 01:00:00",239.6,,222.08
"2024-08-17 01:00:00",0,,136.81
"2024-08-18 01:00:00",0,,128.11
"2024-08-19 01:00:00",260.38,,185.99
"2024-08-20 01:00:00",98.11,,119.42
"2024-08-21 01:00:00",99.32,,120.12
"2024-08-22 01:00:00",83.78,,134.91
"2024-08-23 01:00:00",98.11,,114.75
"2024-08-24 01:00:00",101.84,,112.7
"2024-08-25 01:00:00",202.81,,110.37
"2024-08-26 01:00:00",119.31,,116.6
"2024-08-27 01:00:00",83.75,,113.66
"2024-08-28 01:00:00",83.02,,108.76
"2024-08-29 01:00:00",127.37,,100.5
"2024-08-30 01:00:00",77.55,,107.57
"2024-08-31 01:00:00",67.54,,114.98
"2024-09-01 01:00:00",144.95,,116.45
"2024-09-02 01:00:00",168.79,,106.55
"2024-09-03 01:00:00",135.65,,104.01
"2024-09-04 01:00:00",93.32,,102.57
"2024-09-05 01:00:00",58.02,,101.09
"2024-09-06 01:00:00",59.78,,87.62
"2024-09-07 01:00:00",57.49,,75.8
"2024-09-08 01:00:00",134.56,,69.61
"2024-09-09 01:00:00",74.55,,67.8
"2024-09-10 01:00:00",52.9,,65.11
"2024-09-11 01:00:00",49.97,,62.35
"2024-09-12 01:00:00",45.38,,49.06
"2024-09-13 01:00:00",40.93,,41.03
"2024-09-14 01:00:00",38.14,,36.32
"2024-09-15 01:00:00",41.53,,34.46
"2024-09-16 01:00:00",18.38,,34.68
"2024-09-17 01:00:00",19.92,,35.2
"2024-09-18 01:00:00",36.93,,33.78
"2024-09-19 01:00:00",46.92,,32.01
"2024-09-20 01:00:00",44.58,,35.16
"2024-09-21 01:00:00",28.22,,36.33
"2024-09-22 01:00:00",29.13,,33.98
"2024-09-23 01:00:00",40.41,,29.76
"2024-09-24 01:00:00",28.12,,25.32
"2024-09-25 01:00:00",20.48,,23.29
"2024-09-26 01:00:00",17.4,,19.7
"2024-09-27 01:00:00",13.5,,14.57
"2024-09-28 01:00:00",14.01,,11.41
"2024-09-29 01:00:00",3.97,,9.05
"2024-09-30 01:00:00",4.51,,7.37
"2024-10-01 01:00:00",6,,5.93
"2024-10-02 01:00:00",3.94,,4.27
"2024-10-03 01:00:00",5.63,,4.09
"2024-10-04 01:00:00",3.44,,3.91
"2024-10-05 01:00:00",2.37,,3.68
"2024-10-06 01:00:00",2.73,,4.1
"2024-10-07 01:00:00",3.25,,4.31
"2024-10-08 01:00:00",4.39,,4.47
"2024-10-09 01:00:00",6.87,,4.91
"2024-10-10 01:00:00",7.14,,4.98
"2024-10-11 01:00:00",4.55,,4.72
"2024-10-12 01:00:00",5.42,,4.25
"2024-10-13 01:00:00",3.22,,3.43
"2024-10-14 01:00:00",1.44,,2.76
"2024-10-15 01:00:00",1.08,,2.32
"2024-10-16 01:00:00",1.16,,1.86
"2024-10-17 01:00:00",2.46,,1.71
"2024-10-18 01:00:00",1.49,,1.82
"2024-10-19 01:00:00",2.15,,1.89
"2024-10-20 01:00:00",2.2,,2.06
"2024-10-21 01:00:00",2.17,,1.93
"2024-10-22 01:00:00",1.58,,1.89
"2024-10-23 01:00:00",2.4,,1.71
"2024-10-24 01:00:00",1.52,,1.54
"2024-10-25 01:00:00",1.18,,1.38
"2024-10-26 01:00:00",0.94,,1.34
"2024-10-27 01:00:00",0.99,,1.11
"2024-10-28 00:00:00",1.08,,1.04
"2024-10-29 00:00:00",1.29,,1.1
"2024-10-30 00:00:00",0.76,,1.28
"2024-10-31 00:00:00",1.04,,1.24
"2024-11-01 00:00:00",1.58,,1.13
"2024-11-02 00:00:00",2.25,,0.98
"2024-11-03 00:00:00",0.66,,0.95
"2024-11-04 00:00:00",0.33,,0.87
"2024-11-05 00:00:00",0.24,,0.69
"2024-11-06 00:00:00",0.53,,0.43
"2024-11-07 00:00:00",0.48,,0.59
"2024-11-08 00:00:00",0.32,,0.76
"2024-11-09 00:00:00",0.44,,1.18
"2024-11-10 00:00:00",1.78,,1.47
"2024-11-11 00:00:00",1.52,,1.76
"2024-11-12 00:00:00",3.19,,2.31
"2024-11-13 00:00:00",2.57,,2.65
"2024-11-14 00:00:00",2.48,,2.63
"2024-11-15 00:00:00",4.16,,2.56
"2024-11-16 00:00:00",2.86,,2.21
"2024-11-17 00:00:00",1.61,,1.96
"2024-11-18 00:00:00",1.03,,1.82
"2024-11-19 00:00:00",0.75,,1.33
"2024-11-20 00:00:00",0.83,,1
"2024-11-21 00:00:00",1.47,,0.93
"2024-11-22 00:00:00",0.73,,1.07
"2024-11-23 00:00:00",0.57,,1.12
"2024-11-24 00:00:00",1.11,,1.18
"2024-11-25 00:00:00",2.01,,1.12
"2024-11-26 00:00:00",1.15,,1.13
"2024-11-27 00:00:00",1.19,,1.14
"2024-11-28 00:00:00",1.06,,1.02
"2024-11-29 00:00:00",0.79,,0.77
"2024-11-30 00:00:00",0.69,,0.68
"2024-12-01 00:00:00",0.28,,0.58
"2024-12-02 00:00:00",0.23,,0.5
"2024-12-03 00:00:00",0.5,,0.46
"2024-12-04 00:00:00",0.49,,0.43
"2024-12-05 00:00:00",0.51,,0.46
"2024-12-06 00:00:00",0.55,,0.49
"2024-12-07 00:00:00",0.44,,0.56
"2024-12-08 00:00:00",0.49,,0.67
"2024-12-09 00:00:00",0.47,,0.71
"2024-12-10 00:00:00",0.95,,0.8
