"Time","Sales","Trend Line","7-Day Moving Average"
"2024-01-28 00:00:00",0.06,8.992620103362029,0.08
"2024-01-29 00:00:00",0.11,,0.1
"2024-01-30 00:00:00",0.07,,0.09
"2024-01-31 00:00:00",0.16,,0.11
"2024-02-01 00:00:00",0.11,,0.12
"2024-02-02 00:00:00",0.08,,0.11
"2024-02-03 00:00:00",0.18,,0.12
"2024-02-04 00:00:00",0.1,,0.11
"2024-02-05 00:00:00",0.09,,0.11
"2024-02-06 00:00:00",0.1,,0.12
"2024-02-07 00:00:00",0.08,,0.13
"2024-02-08 00:00:00",0.12,,0.14
"2024-02-09 00:00:00",0.14,,0.14
"2024-02-10 00:00:00",0.28,,0.15
"2024-02-11 00:00:00",0.15,,0.15
"2024-02-12 00:00:00",0.14,,0.17
"2024-02-13 00:00:00",0.11,,0.17
"2024-02-14 00:00:00",0.09,,0.16
"2024-02-15 00:00:00",0.25,,0.16
"2024-02-16 00:00:00",0.19,,0.16
"2024-02-17 00:00:00",0.19,,0.16
"2024-02-18 00:00:00",0.15,,0.18
"2024-02-19 00:00:00",0.14,,0.17
"2024-02-20 00:00:00",0.14,,0.19
"2024-02-21 00:00:00",0.18,,0.18
"2024-02-22 00:00:00",0.23,,0.18
"2024-02-23 00:00:00",0.3,,0.18
"2024-02-24 00:00:00",0.11,,0.21
"2024-02-25 00:00:00",0.13,,0.22
"2024-02-26 00:00:00",0.17,,0.22
"2024-02-27 00:00:00",0.36,,0.2
"2024-02-28 00:00:00",0.25,,0.22
"2024-02-29 00:00:00",0.19,,0.24
"2024-03-01 00:00:00",0.22,,0.35
"2024-03-02 00:00:00",0.21,,0.34
"2024-03-03 00:00:00",0.29,,0.34
"2024-03-04 00:00:00",0.91,,0.35
"2024-03-05 00:00:00",0.29,,0.35
"2024-03-06 00:00:00",0.25,,0.36
"2024-03-07 00:00:00",0.29,,0.36
"2024-03-08 00:00:00",0.23,,0.27
"2024-03-09 00:00:00",0.24,,0.27
"2024-03-10 00:00:00",0.3,,0.27
"2024-03-11 00:00:00",0.28,,0.27
"2024-03-12 00:00:00",0.29,,0.34
"2024-03-13 00:00:00",0.24,,0.39
"2024-03-14 00:00:00",0.3,,0.42
"2024-03-15 00:00:00",0.76,,0.45
"2024-03-16 00:00:00",0.53,,0.5
"2024-03-17 00:00:00",0.51,,0.6
"2024-03-18 00:00:00",0.52,,0.75
"2024-03-19 00:00:00",0.64,,0.81
"2024-03-20 00:00:00",0.91,,0.9
"2024-03-21 00:00:00",1.37,,0.92
"2024-03-22 00:00:00",1.22,,0.89
"2024-03-23 00:00:00",1.1,,0.84
"2024-03-24 00:00:00",0.65,,0.76
"2024-03-25 00:00:00",0.32,,0.69
"2024-03-26 00:00:00",0.31,,0.58
"2024-03-27 00:00:00",0.33,,0.51
"2024-03-28 00:00:00",0.93,,0.54
"2024-03-29 00:00:00",0.43,,0.67
"2024-03-30 00:00:00",0.63,,0.73
"2024-03-31 00:00:00",0.8,,0.76
"2024-04-01 01:00:00",1.23,,0.7
"2024-04-02 01:00:00",0.77,,0.71
"2024-04-03 01:00:00",0.55,,0.79
"2024-04-04 01:00:00",0.46,,2.74
"2024-04-05 01:00:00",0.51,,4.92
"2024-04-06 01:00:00",1.21,,7.17
"2024-04-07 01:00:00",14.44,,9.16
"2024-04-08 01:00:00",16.52,,10.83
"2024-04-09 01:00:00",16.52,,12.32
