"Time","Sales","Trend Line","7-Day Moving Average"
"2023-04-30 01:00:00",9.66,29.148685053263232,12.22
"2023-05-01 01:00:00",11.35,,14.95
"2023-05-02 01:00:00",17.47,,15.71
"2023-05-03 01:00:00",17.02,,16.43
"2023-05-04 01:00:00",27.11,,16.58
"2023-05-05 01:00:00",16.62,,17.72
"2023-05-06 01:00:00",15.77,,18.61
"2023-05-07 01:00:00",10.7,,19.06
"2023-05-08 01:00:00",19.35,,18.79
"2023-05-09 01:00:00",23.71,,19.83
"2023-05-10 01:00:00",20.16,,20
"2023-05-11 01:00:00",25.2,,20.27
"2023-05-12 01:00:00",23.89,,20.75
"2023-05-13 01:00:00",16.99,,21.2
"2023-05-14 01:00:00",12.59,,22.38
"2023-05-15 01:00:00",22.74,,22.99
"2023-05-16 01:00:00",26.85,,22.82
"2023-05-17 01:00:00",28.43,,23.43
"2023-05-18 01:00:00",29.44,,25.05
"2023-05-19 01:00:00",22.71,,25.89
"2023-05-20 01:00:00",21.24,,25.14
"2023-05-21 01:00:00",23.92,,23.35
"2023-05-22 01:00:00",28.61,,22.25
"2023-05-23 01:00:00",21.65,,20.6
"2023-05-24 01:00:00",15.86,,19.71
"2023-05-25 01:00:00",21.78,,19.52
"2023-05-26 01:00:00",11.12,,18.65
"2023-05-27 01:00:00",15.06,,17.74
"2023-05-28 01:00:00",22.53,,17.2
"2023-05-29 01:00:00",22.53,,15.33
"2023-05-30 01:00:00",15.27,,15.57
"2023-05-31 01:00:00",12.12,,15.43
"2023-06-01 01:00:00",8.66,,14.22
"2023-06-02 01:00:00",12.79,,13.34
"2023-06-03 01:00:00",14.1,,13.24
"2023-06-04 01:00:00",14.1,,13.85
"2023-06-05 01:00:00",16.35,,16.06
"2023-06-06 01:00:00",14.53,,21.19
"2023-06-07 01:00:00",16.43,,24.14
"2023-06-08 01:00:00",24.13,,25.44
"2023-06-09 01:00:00",48.69,,25.21
"2023-06-10 01:00:00",34.77,,25.13
"2023-06-11 01:00:00",23.18,,26.28
"2023-06-12 01:00:00",14.75,,26.78
"2023-06-13 01:00:00",13.94,,25.32
"2023-06-14 01:00:00",24.5,,24.43
"2023-06-15 01:00:00",27.66,,23.82
"2023-06-16 01:00:00",38.45,,23.43
"2023-06-17 01:00:00",28.52,,23.52
"2023-06-18 01:00:00",18.94,,22.34
"2023-06-19 01:00:00",12.02,,21.78
"2023-06-20 01:00:00",14.53,,21.43
"2023-06-21 01:00:00",16.28,,20
"2023-06-22 01:00:00",23.75,,19.6
"2023-06-23 01:00:00",35.96,,20.78
"2023-06-24 01:00:00",18.52,,22.72
"2023-06-25 01:00:00",16.16,,24.45
"2023-06-26 01:00:00",20.25,,24.82
"2023-06-27 01:00:00",28.1,,24.06
"2023-06-28 01:00:00",28.39,,27.71
"2023-06-29 01:00:00",26.34,,28.6
"2023-06-30 01:00:00",30.66,,28.51
"2023-07-01 01:00:00",44.09,,28.94
"2023-07-02 01:00:00",22.38,,32.02
"2023-07-03 01:00:00",19.63,,34.82
"2023-07-04 01:00:00",31.06,,34.88
"2023-07-05 01:00:00",50.01,,38.43
"2023-07-06 01:00:00",45.91,,40.62
"2023-07-07 01:00:00",0,,18.14
"2023-07-08 01:00:00",0,,13.7
"2023-07-09 01:00:00",0,,6.56
"2023-07-10 01:00:00",0,,0.75
"2023-07-11 01:00:00",0,,2.11
"2023-07-12 01:00:00",0,,4.14
"2023-07-13 01:00:00",5.23,,8.57
"2023-07-14 01:00:00",9.57,,12.31
"2023-07-15 01:00:00",14.2,,15.29
"2023-07-16 01:00:00",15.27,,16.88
"2023-07-17 01:00:00",22.73,,20.33
"2023-07-18 01:00:00",25.82,,23.45
"2023-07-19 01:00:00",25.31,,27
"2023-07-20 01:00:00",29.43,,28.86
"2023-07-21 01:00:00",31.4,,31.12
"2023-07-22 01:00:00",39.04,,34.51
"2023-07-23 01:00:00",28.31,,36.95
"2023-07-24 01:00:00",38.51,,40.76
"2023-07-25 01:00:00",49.6,,46.41
"2023-07-26 01:00:00",42.34,,50.71
"2023-07-27 01:00:00",56.09,,53.29
"2023-07-28 01:00:00",70.95,,56.72
"2023-07-29 01:00:00",69.19,,55.94
"2023-07-30 01:00:00",46.37,,58.4
"2023-07-31 01:00:00",62.48,,58.46
"2023-08-01 01:00:00",44.15,,54.67
"2023-08-02 01:00:00",59.6,,48.71
"2023-08-03 01:00:00",56.48,,49.34
"2023-08-04 01:00:00",44.45,,49.37
"2023-08-05 01:00:00",27.47,,53.71
"2023-08-06 01:00:00",50.76,,56.38
"2023-08-07 01:00:00",62.7,,58.06
"2023-08-08 01:00:00",74.5,,59.3
"2023-08-09 01:00:00",78.29,,60.14
"2023-08-10 01:00:00",68.26,,62.37
"2023-08-11 01:00:00",53.09,,66.79
"2023-08-12 01:00:00",33.4,,62.57
"2023-08-13 01:00:00",66.33,,56.46
"2023-08-14 01:00:00",93.64,,55.69
"2023-08-15 01:00:00",44.97,,55.81
"2023-08-16 01:00:00",35.51,,58.57
"2023-08-17 01:00:00",62.92,,54.54
"2023-08-18 01:00:00",53.9,,47.18
"2023-08-19 01:00:00",52.74,,49.06
"2023-08-20 01:00:00",38.1,,52.14
"2023-08-21 01:00:00",42.11,,54.02
"2023-08-22 01:00:00",58.13,,60.55
"2023-08-23 01:00:00",57.09,,64.14
"2023-08-24 01:00:00",76.04,,64.26
"2023-08-25 01:00:00",99.66,,67.1
"2023-08-26 01:00:00",77.88,,68.97
"2023-08-27 01:00:00",38.92,,71.5
"2023-08-28 01:00:00",61.95,,72.79
"2023-08-29 01:00:00",71.23,,70.15
"2023-08-30 01:00:00",74.79,,71.29
"2023-08-31 01:00:00",85.12,,76.12
"2023-09-01 01:00:00",81.17,,82.22
"2023-09-02 01:00:00",85.82,,86.99
"2023-09-03 01:00:00",72.73,,84.81
"2023-09-04 01:00:00",104.65,,78.59
"2023-09-05 01:00:00",104.65,,72.85
"2023-09-06 01:00:00",59.53,,68
"2023-09-07 01:00:00",41.6,,64.91
"2023-09-08 01:00:00",40.95,,60.54
"2023-09-09 01:00:00",51.88,,56.98
"2023-09-10 01:00:00",51.09,,61.72
"2023-09-11 01:00:00",74.05,,71.04
"2023-09-12 01:00:00",79.75,,82.79
"2023-09-13 01:00:00",92.75,,89.29
"2023-09-14 01:00:00",106.79,,91.79
"2023-09-15 01:00:00",123.2,,94.78
"2023-09-16 01:00:00",97.37,,100.74
"2023-09-17 01:00:00",68.65,,106.89
"2023-09-18 01:00:00",94.93,,107.34
"2023-09-19 01:00:00",121.51,,110.78
"2023-09-20 01:00:00",135.76,,114.86
"2023-09-21 01:00:00",109.96,,124.65
"2023-09-22 01:00:00",147.28,,121.61
"2023-09-23 01:00:00",125.92,,121.25
"2023-09-24 01:00:00",137.16,,112.38
"2023-09-25 01:00:00",73.65,,109.67
"2023-09-26 01:00:00",119.04,,104.26
"2023-09-27 01:00:00",73.65,,96
"2023-09-28 01:00:00",91,,83.69
"2023-09-29 01:00:00",109.41,,88.8
"2023-09-30 01:00:00",68.09,,75.62
"2023-10-01 01:00:00",51,,67.5
"2023-10-02 01:00:00",0,,32.64
"2023-10-03 01:00:00",0,,17.01
"2023-10-04 01:00:00",0,,7.29
"2023-10-05 01:00:00",0,,0
"2023-10-06 01:00:00",0,,0
"2023-10-07 01:00:00",0,,0
"2023-10-08 01:00:00",0,,5.4
"2023-10-09 01:00:00",0,,11.3
"2023-10-10 01:00:00",0,,17.44
"2023-10-11 01:00:00",37.77,,55.47
"2023-10-12 01:00:00",41.33,,60.04
"2023-10-13 01:00:00",42.95,,73.32
"2023-10-14 01:00:00",152.96,,83.07
"2023-10-15 01:00:00",62.62,,89.53
"2023-10-16 01:00:00",132.65,,94.21
"2023-10-17 01:00:00",111.21,,101.57
"2023-10-18 01:00:00",83.02,,101.14
"2023-10-19 01:00:00",74.08,,102.62
"2023-10-20 01:00:00",94.42,,94.32
"2023-10-21 01:00:00",150,,96.12
"2023-10-22 01:00:00",72.99,,101.95
"2023-10-23 01:00:00",74.52,,104.83
"2023-10-24 01:00:00",123.82,,108.44
"2023-10-25 01:00:00",123.82,,108.43
"2023-10-26 01:00:00",94.27,,109.5
"2023-10-27 01:00:00",119.65,,115.5
"2023-10-28 01:00:00",149.93,,111.65
"2023-10-29 01:00:00",80.5,,112.09
"2023-10-30 00:00:00",116.54,,112.94
"2023-10-31 00:00:00",96.84,,111.24
"2023-11-01 00:00:00",126.87,,99.43
"2023-11-02 00:00:00",100.22,,102.54
"2023-11-03 00:00:00",107.77,,101.01
"2023-11-04 00:00:00",67.27,,102.84
"2023-11-05 00:00:00",102.27,,96.23
"2023-11-06 00:00:00",105.83,,92.57
"2023-11-07 00:00:00",109.65,,86.67
"2023-11-08 00:00:00",80.58,,84.86
"2023-11-09 00:00:00",74.64,,79.9
"2023-11-10 00:00:00",66.48,,70.32
"2023-11-11 00:00:00",54.54,,63.23
"2023-11-12 00:00:00",67.55,,60.79
"2023-11-13 00:00:00",38.79,,65.02
"2023-11-14 00:00:00",60.01,,63.31
"2023-11-15 00:00:00",63.55,,61.14
"2023-11-16 00:00:00",104.22,,63.63
"2023-11-17 00:00:00",54.53,,68.83
"2023-11-18 00:00:00",39.36,,71.62
"2023-11-19 00:00:00",84.97,,73.09
"2023-11-20 00:00:00",75.18,,68.94
"2023-11-21 00:00:00",79.52,,69.09
"2023-11-22 00:00:00",73.83,,68.85
"2023-11-23 00:00:00",75.18,,61.82
"2023-11-24 00:00:00",55.61,,62.55
"2023-11-25 00:00:00",37.69,,57.64
"2023-11-26 00:00:00",35.73,,55.31
"2023-11-27 00:00:00",80.26,,56.55
"2023-11-28 00:00:00",45.15,,56.89
"2023-11-29 00:00:00",57.57,,62.86
"2023-11-30 00:00:00",83.84,,63.76
"2023-12-01 00:00:00",58.02,,57.04
"2023-12-02 00:00:00",79.42,,61.91
"2023-12-03 00:00:00",42.09,,61.9
"2023-12-04 00:00:00",33.2,,57.01
"2023-12-05 00:00:00",79.25,,54.73
"2023-12-06 00:00:00",57.5,,49.72
"2023-12-07 00:00:00",49.56,,49.15
"2023-12-08 00:00:00",42.09,,54.08
"2023-12-09 00:00:00",44.32,,50.65
"2023-12-10 00:00:00",38.15,,53.12
"2023-12-11 00:00:00",67.66,,53.88
"2023-12-12 00:00:00",55.3,,56.3
"2023-12-13 00:00:00",74.74,,54.43
"2023-12-14 00:00:00",54.92,,52.33
"2023-12-15 00:00:00",59.04,,46.24
"2023-12-16 00:00:00",31.19,,42.18
"2023-12-17 00:00:00",23.46,,37.78
"2023-12-18 00:00:00",25.01,,35.75
"2023-12-19 00:00:00",26.9,,35.71
"2023-12-20 00:00:00",43.92,,40.43
"2023-12-21 00:00:00",40.76,,45.6
"2023-12-22 00:00:00",58.7,,45.44
"2023-12-23 00:00:00",64.25,,44.75
"2023-12-24 00:00:00",59.63,,41.66
"2023-12-25 00:00:00",23.95,,38.48
"2023-12-26 00:00:00",22.06,,33.51
"2023-12-27 00:00:00",22.26,,27.57
"2023-12-28 00:00:00",18.5,,23.01
"2023-12-29 00:00:00",23.95,,22.85
"2023-12-30 00:00:00",22.66,,25.18
"2023-12-31 00:00:00",27.66,,29.23
"2024-01-01 00:00:00",22.89,,32.82
"2024-01-02 00:00:00",38.31,,37.1
"2024-01-03 00:00:00",50.66,,40.86
"2024-01-04 00:00:00",43.63,,46.45
"2024-01-05 00:00:00",53.86,,48.1
"2024-01-06 00:00:00",48.99,,48.15
"2024-01-07 00:00:00",66.78,,47.55
"2024-01-08 00:00:00",34.5,,44.91
"2024-01-09 00:00:00",38.62,,40.5
"2024-01-10 00:00:00",46.46,,36.71
"2024-01-11 00:00:00",25.17,,30.11
"2024-01-12 00:00:00",22.96,,29.09
"2024-01-13 00:00:00",22.5,,28.99
"2024-01-14 00:00:00",20.58,,29.32
"2024-01-15 00:00:00",27.35,,28.8
"2024-01-16 00:00:00",37.92,,28.99
"2024-01-17 00:00:00",48.77,,28.29
"2024-01-18 00:00:00",21.54,,27.89
"2024-01-19 00:00:00",24.28,,28.04
"2024-01-20 00:00:00",17.56,,27.07
"2024-01-21 00:00:00",17.82,,24.8
"2024-01-22 00:00:00",28.38,,25.72
"2024-01-23 00:00:00",31.13,,28.66
"2024-01-24 00:00:00",32.9,,30
"2024-01-25 00:00:00",27.97,,33.85
"2024-01-26 00:00:00",44.88,,35.92
"2024-01-27 00:00:00",26.93,,35.31
"2024-01-28 00:00:00",44.74,,36.93
"2024-01-29 00:00:00",42.89,,37.33
"2024-01-30 00:00:00",26.83,,36.86
"2024-01-31 00:00:00",44.26,,35.86
"2024-02-01 00:00:00",30.8,,34.15
"2024-02-02 00:00:00",41.6,,32.45
"2024-02-03 00:00:00",19.89,,32.76
"2024-02-04 00:00:00",32.8,,29.57
"2024-02-05 00:00:00",30.96,,32.59
"2024-02-06 00:00:00",29.04,,34.99
"2024-02-07 00:00:00",21.9,,35.57
"2024-02-08 00:00:00",51.94,,37.45
"2024-02-09 00:00:00",58.38,,41.05
"2024-02-10 00:00:00",23.97,,42.05
"2024-02-11 00:00:00",45.97,,43.44
"2024-02-12 00:00:00",56.13,,41.61
"2024-02-13 00:00:00",36.07,,38.77
"2024-02-14 00:00:00",31.59,,38.57
"2024-02-15 00:00:00",39.13,,37.13
"2024-02-16 00:00:00",38.52,,34.46
"2024-02-17 00:00:00",22.58,,37.78
"2024-02-18 00:00:00",35.87,,36.98
"2024-02-19 00:00:00",37.47,,34.56
"2024-02-20 00:00:00",59.28,,34.56
"2024-02-21 00:00:00",26.02,,36.57
"2024-02-22 00:00:00",22.16,,37.14
"2024-02-23 00:00:00",38.55,,38.12
"2024-02-24 00:00:00",36.66,,35.1
"2024-02-25 00:00:00",39.81,,35.76
"2024-02-26 00:00:00",44.35,,37.04
"2024-02-27 00:00:00",38.16,,35.33
"2024-02-28 00:00:00",30.65,,32.71
"2024-02-29 00:00:00",31.13,,29.76
"2024-03-01 00:00:00",26.56,,29.03
"2024-03-02 00:00:00",18.34,,28.95
"2024-03-03 00:00:00",19.13,,29.68
"2024-03-04 00:00:00",39.23,,31.77
"2024-03-05 00:00:00",37.6,,33.14
"2024-03-06 00:00:00",35.8,,34.57
"2024-03-07 00:00:00",45.71,,35.18
"2024-03-08 00:00:00",36.19,,33.61
"2024-03-09 00:00:00",28.35,,33.7
"2024-03-10 00:00:00",23.38,,34.08
"2024-03-11 00:00:00",28.24,,37.81
"2024-03-12 00:00:00",38.25,,36.82
"2024-03-13 00:00:00",38.42,,38
"2024-03-14 00:00:00",71.83,,42.91
"2024-03-15 00:00:00",29.29,,47.59
"2024-03-16 00:00:00",36.59,,49.42
"2024-03-17 00:00:00",57.78,,49.38
"2024-03-18 00:00:00",60.97,,42.5
"2024-03-19 00:00:00",51.09,,41.81
"2024-03-20 00:00:00",38.08,,39.71
"2024-03-21 00:00:00",23.68,,34.36
"2024-03-22 00:00:00",24.46,,28.96
"2024-03-23 00:00:00",21.94,,26.4
"2024-03-24 00:00:00",20.27,,28.29
"2024-03-25 00:00:00",23.23,,30.57
"2024-03-26 00:00:00",33.16,,34.26
"2024-03-27 00:00:00",51.26,,36.86
"2024-03-28 00:00:00",39.66,,40.98
"2024-03-29 00:00:00",50.3,,41.89
"2024-03-30 00:00:00",40.12,,42.32
"2024-03-31 00:00:00",49.14,,46.36
"2024-04-01 01:00:00",29.61,,48.95
"2024-04-02 01:00:00",36.18,,51.65
"2024-04-03 01:00:00",79.5,,51.43
"2024-04-04 01:00:00",57.81,,49.5
"2024-04-05 01:00:00",69.19,,48.65
"2024-04-06 01:00:00",38.57,,50.61
"2024-04-07 01:00:00",35.63,,49.24
"2024-04-08 01:00:00",23.68,,45.27
"2024-04-09 01:00:00",49.9,,39.64
"2024-04-10 01:00:00",69.93,,39.14
"2024-04-11 01:00:00",29.98,,37.14
"2024-04-12 01:00:00",29.81,,37.39
"2024-04-13 01:00:00",35.07,,33.17
"2024-04-14 01:00:00",21.58,,28.02
"2024-04-15 01:00:00",25.48,,27.73
"2024-04-16 01:00:00",20.34,,30
"2024-04-17 01:00:00",33.9,,34.15
"2024-04-18 01:00:00",27.9,,39.71
"2024-04-19 01:00:00",45.71,,45.19
"2024-04-20 01:00:00",64.11,,45.05
"2024-04-21 01:00:00",60.56,,43.05
"2024-04-22 01:00:00",63.79,,43.16
"2024-04-23 01:00:00",19.38,,40.04
"2024-04-24 01:00:00",19.91,,33.71
"2024-04-25 01:00:00",28.66,,32.22
"2024-04-26 01:00:00",23.89,,28.04
"2024-04-27 01:00:00",19.8,,29.54
"2024-04-28 01:00:00",50.12,,29.36
"2024-04-29 01:00:00",34.51,,27.94
"2024-04-30 01:00:00",29.91,,29.94
"2024-05-01 01:00:00",18.66,,33.72
"2024-05-02 01:00:00",18.66,,30.18
"2024-05-03 01:00:00",37.94,,29.92
"2024-05-04 01:00:00",46.21,,30
"2024-05-05 01:00:00",25.37,,32.04
"2024-05-06 01:00:00",32.71,,32.23
"2024-05-07 01:00:00",30.48,,30.08
"2024-05-08 01:00:00",32.92,,25.43
"2024-05-09 01:00:00",20.01,,24.23
"2024-05-10 01:00:00",22.84,,22.27
"2024-05-11 01:00:00",13.68,,20.69
"2024-05-12 01:00:00",16.98,,19.33
"2024-05-13 01:00:00",19,,21.53
"2024-05-14 01:00:00",19.43,,25.34
"2024-05-15 01:00:00",23.37,,30.57
"2024-05-16 01:00:00",35.42,,31.72
"2024-05-17 01:00:00",49.53,,33.38
"2024-05-18 01:00:00",50.26,,37.72
