"Time","Sales","Trend Line","7-Day Moving Average"
"2024-08-11 01:00:00",9.35,5.75050019267631,9.72
"2024-08-12 01:00:00",7.81,,11.47
"2024-08-13 01:00:00",8.13,,12.73
"2024-08-14 01:00:00",14.72,,13.67
"2024-08-15 01:00:00",24.63,,17.27
"2024-08-16 01:00:00",16.33,,21.74
"2024-08-17 01:00:00",0,,22.21
"2024-08-18 01:00:00",0,,23.86
"2024-08-19 01:00:00",55.74,,39.63
"2024-08-20 01:00:00",44.06,,38.38
"2024-08-21 01:00:00",26.27,,32.32
"2024-08-22 01:00:00",23.53,,33.41
"2024-08-23 01:00:00",30.91,,29.46
"2024-08-24 01:00:00",19.49,,28.73
"2024-08-25 01:00:00",33.89,,29.43
"2024-08-26 01:00:00",28.1,,28.32
"2024-08-27 01:00:00",38.92,,29.46
"2024-08-28 01:00:00",31.17,,28.8
"2024-08-29 01:00:00",15.74,,24
"2024-08-30 01:00:00",0,,15.49
"2024-08-31 01:00:00",22.58,,22.83
"2024-09-01 01:00:00",0,,10.39
"2024-09-02 01:00:00",0,,8.14
"2024-09-03 01:00:00",0,,8.14
"2024-09-04 01:00:00",34.4,,34.4
"2024-09-05 01:00:00",0,,5.74
"2024-09-06 01:00:00",0,,5.74
"2024-09-07 01:00:00",0,,5.74
"2024-09-08 01:00:00",5.78,,5.62
"2024-09-09 01:00:00",0,,2.93
"2024-09-10 01:00:00",0,,4.6
"2024-09-11 01:00:00",4.65,,7.61
"2024-09-12 01:00:00",10.06,,9.77
"2024-09-13 01:00:00",11.69,,10.47
"2024-09-14 01:00:00",11.82,,10.53
"2024-09-15 01:00:00",0,,4.8
"2024-09-16 01:00:00",0,,4.79
"2024-09-17 01:00:00",0,,3.12
"2024-09-18 01:00:00",0,,1.43
"2024-09-19 01:00:00",10,,10
"2024-09-20 01:00:00",0,,1.43
"2024-09-21 01:00:00",0,,1.43
"2024-09-22 01:00:00",0,,1.43
"2024-09-23 01:00:00",0,,0.57
"2024-09-24 01:00:00",0,,0.57
"2024-09-25 01:00:00",0,,0.57
"2024-09-26 01:00:00",4,,4
"2024-09-27 01:00:00",0,,0.57
"2024-09-28 01:00:00",0,,0.57
"2024-09-29 01:00:00",0,,0.57
"2024-09-30 01:00:00",0,,0
"2024-10-01 01:00:00",0,,0
"2024-10-02 01:00:00",0,,0
"2024-10-03 01:00:00",0,,0
"2024-10-04 01:00:00",0,,0
"2024-10-05 01:00:00",0,,0
"2024-10-06 01:00:00",0,,0
"2024-10-07 01:00:00",0,,0
