"Time","Sales","Trend Line","7-Day Moving Average"
"2023-04-30 01:00:00",8.16,54.73370187938329,6.64
"2023-05-01 01:00:00",5.89,,6.49
"2023-05-02 01:00:00",5.63,,7.67
"2023-05-03 01:00:00",7.52,,9.72
"2023-05-04 01:00:00",9.4,,9.46
"2023-05-05 01:00:00",14.17,,9.59
"2023-05-06 01:00:00",17.24,,9.93
"2023-05-07 01:00:00",6.38,,9.78
"2023-05-08 01:00:00",6.82,,9.35
"2023-05-09 01:00:00",8.01,,7.99
"2023-05-10 01:00:00",6.45,,6
"2023-05-11 01:00:00",6.41,,5.6
"2023-05-12 01:00:00",4.65,,5.39
"2023-05-13 01:00:00",3.28,,4.81
"2023-05-14 01:00:00",3.61,,5.73
"2023-05-15 01:00:00",5.33,,5.33
"2023-05-16 01:00:00",3.91,,5.3
"2023-05-17 01:00:00",12.93,,6
"2023-05-18 01:00:00",3.57,,6.48
"2023-05-19 01:00:00",4.47,,7.08
"2023-05-20 01:00:00",8.17,,8.38
"2023-05-21 01:00:00",6.98,,8.43
"2023-05-22 01:00:00",9.54,,10.44
"2023-05-23 01:00:00",13.03,,11.92
"2023-05-24 01:00:00",13.26,,12.43
"2023-05-25 01:00:00",17.6,,13.04
"2023-05-26 01:00:00",14.89,,13.29
"2023-05-27 01:00:00",11.7,,13.05
"2023-05-28 01:00:00",11.29,,13.55
"2023-05-29 01:00:00",11.29,,12.04
"2023-05-30 01:00:00",11.29,,12.78
"2023-05-31 01:00:00",16.79,,12.14
"2023-06-01 01:00:00",7.01,,11.74
"2023-06-02 01:00:00",20.06,,12.73
"2023-06-03 01:00:00",7.25,,14.7
"2023-06-04 01:00:00",8.49,,15.02
"2023-06-05 01:00:00",18.21,,15.65
"2023-06-06 01:00:00",25.06,,14.02
"2023-06-07 01:00:00",19.04,,14.14
"2023-06-08 01:00:00",11.45,,14.48
"2023-06-09 01:00:00",8.67,,13.18
"2023-06-10 01:00:00",8.07,,12.71
"2023-06-11 01:00:00",10.87,,13.13
"2023-06-12 01:00:00",9.07,,14.25
"2023-06-13 01:00:00",21.83,,15.45
"2023-06-14 01:00:00",21.95,,17.14
"2023-06-15 01:00:00",19.26,,21.06
"2023-06-16 01:00:00",17.09,,27.54
"2023-06-17 01:00:00",19.93,,34.67
"2023-06-18 01:00:00",38.26,,43.5
"2023-06-19 01:00:00",54.49,,52.51
"2023-06-20 01:00:00",71.71,,61.97
"2023-06-21 01:00:00",83.73,,72
"2023-06-22 01:00:00",82.33,,76.64
"2023-06-23 01:00:00",83.33,,84.93
"2023-06-24 01:00:00",90.14,,98.36
"2023-06-25 01:00:00",70.74,,110.08
"2023-06-26 01:00:00",112.55,,115.84
"2023-06-27 01:00:00",165.73,,123.52
"2023-06-28 01:00:00",165.73,,126.43
"2023-06-29 01:00:00",122.67,,138.13
"2023-06-30 01:00:00",137.05,,152.86
"2023-07-01 01:00:00",110.54,,158.88
"2023-07-02 01:00:00",152.67,,177.58
"2023-07-03 01:00:00",215.64,,209.34
"2023-07-04 01:00:00",207.83,,240.79
"2023-07-05 01:00:00",296.65,,273.86
"2023-07-06 01:00:00",344.97,,283.35
"2023-07-07 01:00:00",357.21,,272.98
"2023-07-08 01:00:00",342.03,,260.74
"2023-07-09 01:00:00",219.15,,231.06
"2023-07-10 01:00:00",143.05,,193.05
"2023-07-11 01:00:00",122.09,,153.62
"2023-07-12 01:00:00",88.94,,114.71
"2023-07-13 01:00:00",78.86,,96.73
"2023-07-14 01:00:00",81.2,,90.42
"2023-07-15 01:00:00",69.7,,90.81
"2023-07-16 01:00:00",93.28,,100.34
"2023-07-17 01:00:00",98.84,,116.85
"2023-07-18 01:00:00",124.84,,140.12
"2023-07-19 01:00:00",155.64,,166.29
"2023-07-20 01:00:00",194.45,,179.33
"2023-07-21 01:00:00",244.06,,200.43
"2023-07-22 01:00:00",252.9,,228.91
"2023-07-23 01:00:00",184.58,,250.25
"2023-07-24 01:00:00",246.52,,257.69
"2023-07-25 01:00:00",324.25,,253.62
"2023-07-26 01:00:00",305.02,,243.86
"2023-07-27 01:00:00",246.52,,244.99
"2023-07-28 01:00:00",215.53,,232.8
"2023-07-29 01:00:00",184.58,,211.11
"2023-07-30 01:00:00",192.52,,200.1
"2023-07-31 01:00:00",161.18,,196.02
"2023-08-01 01:00:00",172.41,,191.7
"2023-08-02 01:00:00",227.98,,183.14
"2023-08-03 01:00:00",217.95,,176.7
"2023-08-04 01:00:00",185.31,,175.43
"2023-08-05 01:00:00",124.65,,164.51
"2023-08-06 01:00:00",147.45,,147.22
"2023-08-07 01:00:00",152.24,,132.49
"2023-08-08 01:00:00",95.99,,122.04
"2023-08-09 01:00:00",106.97,,114.71
"2023-08-10 01:00:00",114.85,,107.21
"2023-08-11 01:00:00",112.1,,101.86
"2023-08-12 01:00:00",73.39,,110.59
"2023-08-13 01:00:00",94.93,,117.76
"2023-08-14 01:00:00",114.81,,131.1
"2023-08-15 01:00:00",157.11,,138
"2023-08-16 01:00:00",157.11,,150.43
"2023-08-17 01:00:00",208.26,,151.41
"2023-08-18 01:00:00",160.39,,157.5
"2023-08-19 01:00:00",160.39,,159.06
"2023-08-20 01:00:00",101.8,,163.66
"2023-08-21 01:00:00",157.44,,159.04
"2023-08-22 01:00:00",168.04,,152.7
"2023-08-23 01:00:00",189.27,,142.14
"2023-08-24 01:00:00",175.94,,136.41
"2023-08-25 01:00:00",115.99,,134.7
"2023-08-26 01:00:00",86.51,,126.38
"2023-08-27 01:00:00",61.68,,116.56
"2023-08-28 01:00:00",145.47,,108.65
"2023-08-29 01:00:00",109.8,,101.61
"2023-08-30 01:00:00",120.55,,98.29
"2023-08-31 01:00:00",120.55,,98.69
"2023-09-01 01:00:00",66.69,,89.42
"2023-09-02 01:00:00",63.26,,93.65
"2023-09-03 01:00:00",64.51,,97.03
"2023-09-04 01:00:00",80.59,,93.72
"2023-09-05 01:00:00",139.41,,96.66
"2023-09-06 01:00:00",144.19,,98.71
"2023-09-07 01:00:00",97.4,,97.16
"2023-09-08 01:00:00",87.28,,92.73
"2023-09-09 01:00:00",77.61,,83.51
"2023-09-10 01:00:00",53.61,,81.51
"2023-09-11 01:00:00",49.58,,80.71
"2023-09-12 01:00:00",74.87,,78.23
"2023-09-13 01:00:00",130.24,,76.29
"2023-09-14 01:00:00",91.78,,75.35
"2023-09-15 01:00:00",69.92,,79.88
"2023-09-16 01:00:00",64,,79.32
"2023-09-17 01:00:00",47.06,,65.75
"2023-09-18 01:00:00",81.3,,61.51
"2023-09-19 01:00:00",70.97,,62.17
"2023-09-20 01:00:00",35.21,,59.29
"2023-09-21 01:00:00",62.1,,58.29
"2023-09-22 01:00:00",74.52,,53.73
"2023-09-23 01:00:00",43.84,,55.93
"2023-09-24 01:00:00",40.08,,65.38
