"Time","Sales","Trend Line","7-Day Moving Average"
"2023-04-30 01:00:00",13.31,4.3759127181488,10.87
"2023-05-01 01:00:00",13.05,,10.04
"2023-05-02 01:00:00",9.3,,9.06
"2023-05-03 01:00:00",10.27,,9.29
"2023-05-04 01:00:00",7.76,,7.66
"2023-05-05 01:00:00",6.19,,6.18
"2023-05-06 01:00:00",5.12,,5.22
"2023-05-07 01:00:00",1.92,,4.23
"2023-05-08 01:00:00",2.7,,3.72
"2023-05-09 01:00:00",2.58,,3.46
"2023-05-10 01:00:00",3.33,,3.44
"2023-05-11 01:00:00",4.17,,3.69
"2023-05-12 01:00:00",4.38,,3.73
"2023-05-13 01:00:00",4.98,,4.15
"2023-05-14 01:00:00",3.72,,4.03
"2023-05-15 01:00:00",2.96,,4.05
"2023-05-16 01:00:00",5.48,,4.1
"2023-05-17 01:00:00",2.55,,3.7
"2023-05-18 01:00:00",4.26,,4.85
"2023-05-19 01:00:00",4.77,,5.04
"2023-05-20 01:00:00",2.13,,5.19
"2023-05-21 01:00:00",11.83,,5.86
"2023-05-22 01:00:00",4.24,,5.86
"2023-05-23 01:00:00",6.58,,6.45
"2023-05-24 01:00:00",7.23,,7.37
"2023-05-25 01:00:00",0,,3.29
"2023-05-26 01:00:00",0,,3.39
"2023-05-27 01:00:00",0,,2.45
"2023-05-28 01:00:00",4.97,,4.67
"2023-05-29 01:00:00",4.97,,4.3
"2023-05-30 01:00:00",0,,2.64
"2023-05-31 01:00:00",2.9,,4
"2023-06-01 01:00:00",2.37,,3.8
"2023-06-02 01:00:00",3.24,,3.85
"2023-06-03 01:00:00",6.62,,4.3
"2023-06-04 01:00:00",4.15,,5.02
"2023-06-05 01:00:00",4.41,,6.21
"2023-06-06 01:00:00",6.39,,6.99
"2023-06-07 01:00:00",7.97,,7.6
"2023-06-08 01:00:00",10.68,,8.03
"2023-06-09 01:00:00",8.73,,7.96
"2023-06-10 01:00:00",10.9,,7.73
"2023-06-11 01:00:00",7.15,,7.54
"2023-06-12 01:00:00",3.89,,7.38
"2023-06-13 01:00:00",4.81,,7.53
"2023-06-14 01:00:00",6.59,,7.09
"2023-06-15 01:00:00",9.56,,6.71
"2023-06-16 01:00:00",9.8,,6.94
"2023-06-17 01:00:00",7.81,,7.02
"2023-06-18 01:00:00",4.54,,6.97
"2023-06-19 01:00:00",5.49,,6.3
"2023-06-20 01:00:00",5.35,,5.41
"2023-06-21 01:00:00",6.27,,4.66
"2023-06-22 01:00:00",4.84,,5.96
"2023-06-23 01:00:00",3.59,,7.08
"2023-06-24 01:00:00",2.56,,8.1
"2023-06-25 01:00:00",13.64,,8.62
"2023-06-26 01:00:00",13.28,,9.02
"2023-06-27 01:00:00",12.54,,9.72
"2023-06-28 01:00:00",9.88,,10.14
"2023-06-29 01:00:00",7.64,,8.41
"2023-06-30 01:00:00",8.5,,6.66
"2023-07-01 01:00:00",5.52,,4.99
"2023-07-02 01:00:00",1.54,,3.82
"2023-07-03 01:00:00",1.02,,2.94
"2023-07-04 01:00:00",0.82,,1.87
"2023-07-05 01:00:00",1.69,,1.41
"2023-07-06 01:00:00",1.5,,2.18
"2023-07-07 01:00:00",0.97,,2.98
"2023-07-08 01:00:00",2.32,,3.55
"2023-07-09 01:00:00",6.91,,3.86
"2023-07-10 01:00:00",6.62,,4.11
"2023-07-11 01:00:00",4.81,,4.48
"2023-07-12 01:00:00",3.91,,4.51
"2023-07-13 01:00:00",3.24,,3.65
"2023-07-14 01:00:00",3.57,,2.91
"2023-07-15 01:00:00",2.54,,2.55
"2023-07-16 01:00:00",0.89,,2.23
"2023-07-17 01:00:00",1.41,,1.92
"2023-07-18 01:00:00",2.3,,1.69
"2023-07-19 01:00:00",1.69,,1.61
"2023-07-20 01:00:00",1.04,,1.92
"2023-07-21 01:00:00",1.97,,2.18
"2023-07-22 01:00:00",1.96,,2.15
"2023-07-23 01:00:00",3.05,,2.66
"2023-07-24 01:00:00",3.25,,2.76
"2023-07-25 01:00:00",2.11,,2.92
"2023-07-26 01:00:00",5.22,,3
"2023-07-27 01:00:00",1.78,,2.75
"2023-07-28 01:00:00",3.1,,2.61
"2023-07-29 01:00:00",2.5,,2.48
"2023-07-30 01:00:00",1.32,,1.86
"2023-07-31 01:00:00",2.25,,1.92
"2023-08-01 01:00:00",1.2,,1.65
"2023-08-02 01:00:00",0.87,,1.59
"2023-08-03 01:00:00",2.21,,1.53
"2023-08-04 01:00:00",1.2,,1.4
"2023-08-05 01:00:00",2.11,,1.43
"2023-08-06 01:00:00",0.85,,1.55
"2023-08-07 01:00:00",1.35,,1.51
"2023-08-08 01:00:00",1.45,,1.64
"2023-08-09 01:00:00",1.65,,1.52
"2023-08-10 01:00:00",1.96,,1.61
"2023-08-11 01:00:00",2.14,,1.58
"2023-08-12 01:00:00",1.24,,1.65
"2023-08-13 01:00:00",1.45,,1.87
"2023-08-14 01:00:00",1.2,,1.99
"2023-08-15 01:00:00",1.89,,2.07
"2023-08-16 01:00:00",3.23,,2.15
"2023-08-17 01:00:00",2.81,,2.11
"2023-08-18 01:00:00",2.65,,2.08
"2023-08-19 01:00:00",1.83,,2.03
"2023-08-20 01:00:00",1.19,,1.94
"2023-08-21 01:00:00",0.99,,1.91
"2023-08-22 01:00:00",1.52,,1.83
"2023-08-23 01:00:00",2.62,,1.8
"2023-08-24 01:00:00",2.55,,1.8
"2023-08-25 01:00:00",2.1,,1.85
"2023-08-26 01:00:00",1.63,,1.73
"2023-08-27 01:00:00",1.19,,1.58
"2023-08-28 01:00:00",1.37,,1.34
"2023-08-29 01:00:00",0.67,,1.3
"2023-08-30 01:00:00",1.53,,1.19
"2023-08-31 01:00:00",0.86,,1.27
"2023-09-01 01:00:00",1.84,,1.22
"2023-09-02 01:00:00",0.84,,1.27
"2023-09-03 01:00:00",1.76,,1.49
"2023-09-04 01:00:00",1.04,,1.74
"2023-09-05 01:00:00",1.02,,1.78
"2023-09-06 01:00:00",3.09,,1.82
"2023-09-07 01:00:00",2.56,,1.73
