"Time","Sales","Trend Line","7-Day Moving Average"
"2023-04-30 01:00:00",12.43,44.4809071426343,11.15
"2023-05-01 01:00:00",8.53,,9.9
"2023-05-02 01:00:00",7.28,,11.66
"2023-05-03 01:00:00",6.39,,10.61
"2023-05-04 01:00:00",7.52,,9.69
"2023-05-05 01:00:00",20.88,,9.19
"2023-05-06 01:00:00",11.21,,9.66
"2023-05-07 01:00:00",6.03,,10.17
"2023-05-08 01:00:00",5.04,,10.78
"2023-05-09 01:00:00",10.56,,9.46
"2023-05-10 01:00:00",9.94,,9.59
"2023-05-11 01:00:00",11.8,,9.52
"2023-05-12 01:00:00",11.66,,9.94
"2023-05-13 01:00:00",12.13,,10.23
"2023-05-14 01:00:00",5.54,,10.77
"2023-05-15 01:00:00",7.95,,10.44
"2023-05-16 01:00:00",12.59,,10.21
"2023-05-17 01:00:00",13.71,,10
"2023-05-18 01:00:00",9.51,,10.2
"2023-05-19 01:00:00",10.04,,10.19
"2023-05-20 01:00:00",10.66,,10.71
"2023-05-21 01:00:00",6.95,,10.62
"2023-05-22 01:00:00",7.84,,11.73
"2023-05-23 01:00:00",16.26,,11.64
"2023-05-24 01:00:00",13.08,,11
"2023-05-25 01:00:00",17.3,,11.01
"2023-05-26 01:00:00",9.4,,10.9
"2023-05-27 01:00:00",6.16,,9.58
"2023-05-28 01:00:00",7.05,,9.13
"2023-05-29 01:00:00",7.05,,8.6
"2023-05-30 01:00:00",7.05,,10.67
"2023-05-31 01:00:00",9.89,,12.14
"2023-06-01 01:00:00",13.63,,12.65
"2023-06-02 01:00:00",23.83,,13.1
"2023-06-03 01:00:00",16.5,,14.17
"2023-06-04 01:00:00",10.61,,15.03
"2023-06-05 01:00:00",10.19,,14.15
"2023-06-06 01:00:00",14.57,,13.5
"2023-06-07 01:00:00",15.9,,13.14
"2023-06-08 01:00:00",7.44,,13.13
"2023-06-09 01:00:00",19.27,,14.46
"2023-06-10 01:00:00",14.01,,15.84
"2023-06-11 01:00:00",10.55,,16.97
"2023-06-12 01:00:00",19.47,,18.49
"2023-06-13 01:00:00",24.26,,18.6
"2023-06-14 01:00:00",23.82,,20
"2023-06-15 01:00:00",18.08,,20.14
"2023-06-16 01:00:00",20,,18.82
"2023-06-17 01:00:00",23.82,,18.2
"2023-06-18 01:00:00",11.51,,17.37
"2023-06-19 01:00:00",10.22,,17.21
"2023-06-20 01:00:00",19.98,,18.41
"2023-06-21 01:00:00",18.01,,17.57
"2023-06-22 01:00:00",16.93,,17.93
"2023-06-23 01:00:00",28.41,,18.39
"2023-06-24 01:00:00",17.94,,18.3
"2023-06-25 01:00:00",14.02,,18.64
"2023-06-26 01:00:00",13.46,,20.33
"2023-06-27 01:00:00",19.36,,21.8
"2023-06-28 01:00:00",20.33,,23.43
"2023-06-29 01:00:00",28.8,,23.57
"2023-06-30 01:00:00",38.72,,24.47
"2023-07-01 01:00:00",29.32,,25.99
"2023-07-02 01:00:00",15.02,,26.29
"2023-07-03 01:00:00",19.71,,27.63
"2023-07-04 01:00:00",30.02,,26.68
"2023-07-05 01:00:00",22.45,,26.71
"2023-07-06 01:00:00",38.19,,28.86
"2023-07-07 01:00:00",32.06,,29.61
"2023-07-08 01:00:00",29.54,,30.76
"2023-07-09 01:00:00",30.06,,32.21
"2023-07-10 01:00:00",24.95,,32.9
"2023-07-11 01:00:00",38.07,,38.54
"2023-07-12 01:00:00",32.63,,42.43
"2023-07-13 01:00:00",43,,41.86
"2023-07-14 01:00:00",71.5,,42.81
"2023-07-15 01:00:00",56.79,,44.22
"2023-07-16 01:00:00",26.11,,47.53
"2023-07-17 01:00:00",31.54,,48.6
"2023-07-18 01:00:00",47.96,,46.69
"2023-07-19 01:00:00",55.83,,47.71
"2023-07-20 01:00:00",50.45,,47.79
"2023-07-21 01:00:00",58.17,,48.12
"2023-07-22 01:00:00",63.93,,47.51
"2023-07-23 01:00:00",26.66,,48.53
"2023-07-24 01:00:00",33.83,,49.69
"2023-07-25 01:00:00",43.72,,50.69
"2023-07-26 01:00:00",62.95,,48.55
"2023-07-27 01:00:00",58.54,,50.54
"2023-07-28 01:00:00",65.21,,52.04
"2023-07-29 01:00:00",48.95,,54.05
"2023-07-30 01:00:00",40.55,,55.62
"2023-07-31 01:00:00",44.39,,62.17
"2023-08-01 01:00:00",57.75,,64.29
"2023-08-02 01:00:00",73.94,,70.28
"2023-08-03 01:00:00",104.42,,75.5
"2023-08-04 01:00:00",80.02,,78.09
"2023-08-05 01:00:00",90.92,,77.45
"2023-08-06 01:00:00",77.04,,82.2
"2023-08-07 01:00:00",62.55,,81.92
"2023-08-08 01:00:00",53.25,,76.98
"2023-08-09 01:00:00",107.19,,73.57
"2023-08-10 01:00:00",102.47,,73.05
"2023-08-11 01:00:00",45.45,,72.06
"2023-08-12 01:00:00",67.05,,74.67
"2023-08-13 01:00:00",73.41,,75.88
"2023-08-14 01:00:00",55.63,,79.06
"2023-08-15 01:00:00",71.46,,91.88
"2023-08-16 01:00:00",115.71,,93.18
"2023-08-17 01:00:00",124.69,,91.31
"2023-08-18 01:00:00",135.19,,92.02
"2023-08-19 01:00:00",76.2,,96.04
"2023-08-20 01:00:00",60.26,,96.73
"2023-08-21 01:00:00",60.61,,92.75
"2023-08-22 01:00:00",99.65,,94.59
"2023-08-23 01:00:00",120.51,,103.72
"2023-08-24 01:00:00",96.86,,105.39
"2023-08-25 01:00:00",148.06,,106.53
"2023-08-26 01:00:00",140.06,,104.69
"2023-08-27 01:00:00",71.95,,99.52
"2023-08-28 01:00:00",68.59,,100.24
"2023-08-29 01:00:00",86.82,,99.22
"2023-08-30 01:00:00",84.33,,98.43
"2023-08-31 01:00:00",101.87,,100.14
"2023-09-01 01:00:00",140.94,,106.62
"2023-09-02 01:00:00",134.49,,112.91
"2023-09-03 01:00:00",83.96,,117.13
"2023-09-04 01:00:00",113.9,,116.98
"2023-09-05 01:00:00",130.86,,118.81
"2023-09-06 01:00:00",113.9,,122.57
"2023-09-07 01:00:00",100.83,,128.96
"2023-09-08 01:00:00",153.76,,134.89
"2023-09-09 01:00:00",160.79,,127.68
"2023-09-10 01:00:00",128.71,,121.53
"2023-09-11 01:00:00",155.4,,118.03
"2023-09-12 01:00:00",80.38,,108.2
"2023-09-13 01:00:00",70.87,,97.71
"2023-09-14 01:00:00",76.29,,90.93
"2023-09-15 01:00:00",84.94,,88.53
"2023-09-16 01:00:00",87.41,,95.98
"2023-09-17 01:00:00",81.2,,101.13
"2023-09-18 01:00:00",138.6,,106.35
"2023-09-19 01:00:00",132.55,,106.83
"2023-09-20 01:00:00",106.91,,103.31
"2023-09-21 01:00:00",112.86,,100.7
"2023-09-22 01:00:00",88.28,,88.04
"2023-09-23 01:00:00",62.76,,75.24
"2023-09-24 01:00:00",62.97,,69.69
"2023-09-25 01:00:00",49.95,,64.88
"2023-09-26 01:00:00",42.97,,67.5
"2023-09-27 01:00:00",68.03,,65
"2023-09-28 01:00:00",79.18,,61.41
"2023-09-29 01:00:00",106.64,,61.65
"2023-09-30 01:00:00",45.27,,66.62
"2023-10-01 01:00:00",37.82,,64.38
"2023-10-02 01:00:00",51.61,,65.21
"2023-10-03 01:00:00",77.81,,60.23
"2023-10-04 01:00:00",52.35,,61.57
"2023-10-05 01:00:00",85,,68.59
"2023-10-06 01:00:00",71.74,,71.88
"2023-10-07 01:00:00",54.68,,69.07
"2023-10-08 01:00:00",86.92,,70.19
"2023-10-09 01:00:00",74.63,,65.46
"2023-10-10 01:00:00",58.18,,60.38
"2023-10-11 01:00:00",60.17,,59.57
"2023-10-12 01:00:00",51.88,,54.24
"2023-10-13 01:00:00",36.22,,50.03
"2023-10-14 01:00:00",49,,48.55
"2023-10-15 01:00:00",49.6,,47.5
"2023-10-16 01:00:00",45.14,,44.1
"2023-10-17 01:00:00",47.82,,48.04
"2023-10-18 01:00:00",52.86,,47.14
"2023-10-19 01:00:00",28.09,,45.38
"2023-10-20 01:00:00",63.76,,42.8
"2023-10-21 01:00:00",42.73,,41.93
"2023-10-22 01:00:00",37.28,,40.41
"2023-10-23 01:00:00",27.07,,41.54
"2023-10-24 01:00:00",41.7,,41.69
"2023-10-25 01:00:00",42.26,,39.14
"2023-10-26 01:00:00",36.01,,37.2
"2023-10-27 01:00:00",64.75,,39.73
"2023-10-28 01:00:00",24.94,,37.42
"2023-10-29 01:00:00",23.65,,38.56
"2023-10-30 00:00:00",44.8,,39.36
"2023-10-31 00:00:00",25.54,,38.27
"2023-11-01 00:00:00",50.2,,40.43
"2023-11-02 00:00:00",41.66,,42.05
"2023-11-03 00:00:00",57.09,,41.59
"2023-11-04 00:00:00",40.05,,44.3
"2023-11-05 00:00:00",35.01,,48.23
"2023-11-06 00:00:00",41.61,,47.28
"2023-11-07 00:00:00",44.51,,44.82
"2023-11-08 00:00:00",77.66,,43
"2023-11-09 00:00:00",35.01,,42.53
"2023-11-10 00:00:00",39.87,,41.39
"2023-11-11 00:00:00",27.33,,40.2
"2023-11-12 00:00:00",31.74,,36.11
"2023-11-13 00:00:00",33.64,,37.32
"2023-11-14 00:00:00",36.15,,36.82
"2023-11-15 00:00:00",49.05,,35.84
"2023-11-16 00:00:00",43.49,,36.28
"2023-11-17 00:00:00",36.32,,35.11
"2023-11-18 00:00:00",20.49,,35.07
"2023-11-19 00:00:00",34.83,,31.14
"2023-11-20 00:00:00",25.43,,28.07
"2023-11-21 00:00:00",35.91,,25.45
"2023-11-22 00:00:00",21.52,,24.51
"2023-11-23 00:00:00",21.98,,22.21
"2023-11-24 00:00:00",17.96,,20.71
"2023-11-25 00:00:00",13.93,,20.27
"2023-11-26 00:00:00",18.74,,22.37
"2023-11-27 00:00:00",14.92,,23.09
"2023-11-28 00:00:00",32.84,,24.29
"2023-11-29 00:00:00",36.21,,27.43
"2023-11-30 00:00:00",27.02,,26.54
"2023-12-01 00:00:00",26.37,,26.57
"2023-12-02 00:00:00",35.91,,24.9
"2023-12-03 00:00:00",12.48,,25.2
"2023-12-04 00:00:00",15.16,,24.05
"2023-12-05 00:00:00",21.14,,22.83
"2023-12-06 00:00:00",38.31,,20.14
"2023-12-07 00:00:00",18.96,,22.05
"2023-12-08 00:00:00",17.84,,22.47
"2023-12-09 00:00:00",17.11,,23.11
"2023-12-10 00:00:00",25.86,,20.7
"2023-12-11 00:00:00",18.09,,20.56
"2023-12-12 00:00:00",25.59,,19.98
"2023-12-13 00:00:00",21.44,,19.04
"2023-12-14 00:00:00",18,,16.47
"2023-12-15 00:00:00",13.75,,15.76
"2023-12-16 00:00:00",10.54,,14.12
"2023-12-17 00:00:00",7.9,,13.98
"2023-12-18 00:00:00",13.13,,13.2
"2023-12-19 00:00:00",14.07,,12.8
"2023-12-20 00:00:00",20.49,,13.57
"2023-12-21 00:00:00",12.5,,13.74
"2023-12-22 00:00:00",10.97,,13.71
"2023-12-23 00:00:00",15.94,,13.2
"2023-12-24 00:00:00",9.07,,12.5
"2023-12-25 00:00:00",12.92,,12.22
"2023-12-26 00:00:00",10.52,,11.98
"2023-12-27 00:00:00",15.61,,10.57
"2023-12-28 00:00:00",10.52,,10.7
"2023-12-29 00:00:00",9.27,,10.52
"2023-12-30 00:00:00",6.09,,12.06
"2023-12-31 00:00:00",9.99,,13.69
"2024-01-01 00:00:00",11.65,,15.06
"2024-01-02 00:00:00",21.32,,16.37
"2024-01-03 00:00:00",27.01,,17.3
"2024-01-04 00:00:00",20.12,,17.26
"2024-01-05 00:00:00",18.41,,17.55
"2024-01-06 00:00:00",12.6,,17.28
"2024-01-07 00:00:00",9.69,,16.22
"2024-01-08 00:00:00",13.73,,16.83
"2024-01-09 00:00:00",19.43,,16.43
"2024-01-10 00:00:00",19.56,,16.88
"2024-01-11 00:00:00",24.42,,18.23
"2024-01-12 00:00:00",15.59,,18.14
"2024-01-13 00:00:00",15.71,,18.02
"2024-01-14 00:00:00",19.19,,17.56
"2024-01-15 00:00:00",13.07,,15.75
"2024-01-16 00:00:00",18.61,,14.91
"2024-01-17 00:00:00",16.32,,13.76
"2024-01-18 00:00:00",11.73,,12.27
