"Time","Sales","Trend Line","7-Day Moving Average"
"2024-10-27 01:00:00",274.36,404.8990708935071,247.91
"2024-10-28 00:00:00",235.96,,227.31
"2024-10-29 00:00:00",206.98,,217.32
"2024-10-30 00:00:00",195,,214.09
"2024-10-31 00:00:00",206.98,,199.02
"2024-11-01 00:00:00",195,,190.63
"2024-11-02 00:00:00",184.34,,189.18
"2024-11-03 00:00:00",168.88,,195.01
"2024-11-04 00:00:00",177.26,,201.5
"2024-11-05 00:00:00",196.8,,207.33
"2024-11-06 00:00:00",235.79,,214.68
"2024-11-07 00:00:00",252.46,,223.77
"2024-11-08 00:00:00",235.79,,231.65
"2024-11-09 00:00:00",235.79,,236.75
"2024-11-10 00:00:00",232.47,,239.07
"2024-11-11 00:00:00",232.47,,239.02
"2024-11-12 00:00:00",232.47,,244.66
"2024-11-13 00:00:00",252.07,,250.3
"2024-11-14 00:00:00",252.07,,306.38
"2024-11-15 00:00:00",275.29,,362.46
"2024-11-16 00:00:00",275.29,,408.97
"2024-11-17 00:00:00",625.02,,447.37
"2024-11-18 00:00:00",625.02,,479
"2024-11-19 00:00:00",558.05,,492.82
"2024-11-20 00:00:00",520.84,,500
"2024-11-21 00:00:00",473.5,,432.84
"2024-11-22 00:00:00",372.04,,366.33
"2024-11-23 00:00:00",325.53,,311.56
"2024-11-24 00:00:00",154.9,,268.04
"2024-11-25 00:00:00",159.42,,232.55
"2024-11-26 00:00:00",174.71,,222.1
"2024-11-27 00:00:00",216.17,,214.09
"2024-11-28 00:00:00",225.07,,239.34
"2024-11-29 00:00:00",298.92,,260.7
"2024-11-30 00:00:00",269.44,,279.87
"2024-12-01 00:00:00",331.68,,300.14
"2024-12-02 00:00:00",308.92,,323.56
"2024-12-03 00:00:00",308.92,,332.01
"2024-12-04 00:00:00",358.06,,349.09
"2024-12-05 00:00:00",389,,328.08
"2024-12-06 00:00:00",358.06,,312.2
"2024-12-07 00:00:00",389,,298.5
"2024-12-08 00:00:00",184.6,,280.31
"2024-12-09 00:00:00",197.79,,257.71
"2024-12-10 00:00:00",213,,239.52
"2024-12-11 00:00:00",230.75,,214.38
"2024-12-12 00:00:00",230.75,,228.4
"2024-12-13 00:00:00",230.75,,247.51
"2024-12-14 00:00:00",213,,264.46
"2024-12-15 00:00:00",282.74,,278.87
"2024-12-16 00:00:00",331.61,,293.28
"2024-12-17 00:00:00",331.61,,303.92
"2024-12-18 00:00:00",331.61,,320.86
"2024-12-19 00:00:00",331.61,,318.06
"2024-12-20 00:00:00",305.23,,308.28
"2024-12-21 00:00:00",331.61,,295.22
"2024-12-22 00:00:00",263.16,,285.44
"2024-12-23 00:00:00",263.16,,272.37
"2024-12-24 00:00:00",240.13,,263.07
"2024-12-25 00:00:00",263.16,,250
"2024-12-26 00:00:00",240.13,,249.89
"2024-12-27 00:00:00",240.13,,252.42
"2024-12-28 00:00:00",240.13,,264.86
"2024-12-29 00:00:00",262.37,,270.45
"2024-12-30 00:00:00",280.92,,282.89
"2024-12-31 00:00:00",327.19,,295.33
"2025-01-01 00:00:00",302.3,,307.76
"2025-01-02 00:00:00",327.19,,333.49
"2025-01-03 00:00:00",327.19,,356.56
"2025-01-04 00:00:00",327.19,,378.92
"2025-01-05 00:00:00",442.42,,404.83
"2025-01-06 00:00:00",442.42,,427.19
"2025-01-07 00:00:00",483.7,,449.55
"2025-01-08 00:00:00",483.7,,471.91
"2025-01-09 00:00:00",483.7,,493.58
"2025-01-10 00:00:00",483.7,,515.25
"2025-01-11 00:00:00",483.7,,523.78
"2025-01-12 00:00:00",594.12,,526.2
"2025-01-13 00:00:00",594.12,,528.63
"2025-01-14 00:00:00",543.41,,531.05
"2025-01-15 00:00:00",500.67,,533.48
"2025-01-16 00:00:00",500.67,,522.42
"2025-01-17 00:00:00",500.67,,511.36
"2025-01-18 00:00:00",500.67,,513.56
"2025-01-19 00:00:00",516.72,,528.93
"2025-01-20 00:00:00",516.72,,544.31
"2025-01-21 00:00:00",558.78,,559.68
"2025-01-22 00:00:00",608.29,,575.05
"2025-01-23 00:00:00",608.29,,582.97
"2025-01-24 00:00:00",608.29,,590.89
"2025-01-25 00:00:00",608.29,,592.81
"2025-01-26 00:00:00",572.16,,587.64
"2025-01-27 00:00:00",572.16,,582.48
"2025-01-28 00:00:00",572.16,,577.32
"2025-01-29 00:00:00",572.16,,572.16
"2025-01-30 00:00:00",572.16,,570.07
"2025-01-31 00:00:00",572.16,,567.99
"2025-02-01 00:00:00",572.16,,565.9
"2025-02-02 00:00:00",557.56,,563.82
"2025-02-03 00:00:00",557.56,,561.73
"2025-02-04 00:00:00",557.56,,559.65
"2025-02-05 00:00:00",557.56,,550.84
"2025-02-06 00:00:00",557.56,,548.55
"2025-02-07 00:00:00",557.56,,546.26
"2025-02-08 00:00:00",510.54,,537.11
"2025-02-09 00:00:00",541.52,,527.97
"2025-02-10 00:00:00",541.52,,518.82
"2025-02-11 00:00:00",493.54,,509.68
"2025-02-12 00:00:00",493.54,,507.25
"2025-02-13 00:00:00",493.54,,492.91
"2025-02-14 00:00:00",493.54,,478.56
"2025-02-15 00:00:00",493.54,,471.07
"2025-02-16 00:00:00",441.12,,463.59
"2025-02-17 00:00:00",441.12,,462.14
"2025-02-18 00:00:00",441.12,,460.69
"2025-02-19 00:00:00",441.12,,459.24
"2025-02-20 00:00:00",483.41,,464.34
"2025-02-21 00:00:00",483.41,,463.56
"2025-02-22 00:00:00",483.41,,468.65
"2025-02-23 00:00:00",476.81,,467.87
"2025-02-24 00:00:00",435.61,,461.04
"2025-02-25 00:00:00",476.81,,460.1
"2025-02-26 00:00:00",435.61,,459.15
"2025-02-27 00:00:00",435.61,,462.54
"2025-02-28 00:00:00",476.81,,471.82
"2025-03-01 00:00:00",476.81,,481.71
"2025-03-02 00:00:00",500.54,,490.98
"2025-03-03 00:00:00",500.54,,500.26
"2025-03-04 00:00:00",546.04,,503.65
"2025-03-05 00:00:00",500.54,,501.54
"2025-03-06 00:00:00",500.54,,507.32
"2025-03-07 00:00:00",500.54,,507.91
"2025-03-08 00:00:00",462.03,,513.2
"2025-03-09 00:00:00",541.03,,525
"2025-03-10 00:00:00",504.62,,536.79
"2025-03-11 00:00:00",583.11,,555.61
"2025-03-12 00:00:00",583.11,,579.93
"2025-03-13 00:00:00",583.11,,590.71
"2025-03-14 00:00:00",632.28,,606.69
"2025-03-15 00:00:00",632.28,,611.46
"2025-03-16 00:00:00",616.48,,609.67
"2025-03-17 00:00:00",616.48,,602.23
"2025-03-18 00:00:00",616.48,,578.53
"2025-03-19 00:00:00",570.58,,554.83
"2025-03-20 00:00:00",531.04,,544.03
"2025-03-21 00:00:00",466.39,,551.05
"2025-03-22 00:00:00",466.39,,545.39
"2025-03-23 00:00:00",540.82,,546.29
"2025-03-24 00:00:00",665.62,,573.44
"2025-03-25 00:00:00",576.87,,609.82
"2025-03-26 00:00:00",576.87,,625.6
"2025-03-27 00:00:00",721.09,,637.26
"2025-03-28 00:00:00",721.09,,636.79
"2025-03-29 00:00:00",576.87,,649.01
"2025-03-30 00:00:00",622.4,,661.22
"2025-03-31 01:00:00",662.37,,642.06
"2025-04-01 01:00:00",662.37,,607.36
"2025-04-02 01:00:00",662.37,,587.46
"2025-04-03 01:00:00",586.98,,552.92
"2025-04-04 01:00:00",478.14,,528.63
"2025-04-05 01:00:00",437.57,,514.46
"2025-04-06 01:00:00",380.66,,508.82
"2025-04-07 01:00:00",492.34,,509.47
"2025-04-08 01:00:00",563.15,,525.66
"2025-04-09 01:00:00",622.88,,547.66
"2025-04-10 01:00:00",591.52,,550.08
"2025-04-11 01:00:00",591.52,,541.45
"2025-04-12 01:00:00",591.52,,528.54
"2025-04-13 01:00:00",397.6,,496.36
"2025-04-14 01:00:00",431.95,,468.66
"2025-04-15 01:00:00",472.81,,440.95
"2025-04-16 01:00:00",397.6,,418.16
"2025-04-17 01:00:00",397.6,,413.42
"2025-04-18 01:00:00",397.6,,400.94
"2025-04-19 01:00:00",431.95,,380.06
"2025-04-20 01:00:00",364.46,,378.52
"2025-04-21 01:00:00",344.53,,384.72
"2025-04-22 01:00:00",326.66,,395.66
"2025-04-23 01:00:00",386.83,,401.69
"2025-04-24 01:00:00",441,,438.38
"2025-04-25 01:00:00",474.18,,473.65
"2025-04-26 01:00:00",474.18,,492.61
"2025-04-27 01:00:00",621.26,,505.5
"2025-04-28 01:00:00",591.47,,505.77
"2025-04-29 01:00:00",459.34,,485.84
"2025-04-30 01:00:00",477.1,,464.66
"2025-05-01 01:00:00",442.84,,427.05
"2025-05-02 01:00:00",334.71,,423.25
"2025-05-03 01:00:00",325.87,,438.33
"2025-05-04 01:00:00",358,,450.88
"2025-05-05 01:00:00",564.91,,455.28
"2025-05-06 01:00:00",564.91,,468.55
"2025-05-07 01:00:00",564.91,,477.67
"2025-05-08 01:00:00",473.65,,469.47
"2025-05-09 01:00:00",427.61,,426.39
"2025-05-10 01:00:00",389.72,,399.26
"2025-05-11 01:00:00",300.61,,376.2
"2025-05-12 01:00:00",263.29,,369.68
"2025-05-13 01:00:00",375,,385.17
"2025-05-14 01:00:00",403.54,,414.7
"2025-05-15 01:00:00",427.96,,421.31
"2025-05-16 01:00:00",536.09,,436.47
"2025-05-17 01:00:00",596.38,,441.36
"2025-05-18 01:00:00",346.93,,449.22
"2025-05-19 01:00:00",369.42,,462.59
"2025-05-20 01:00:00",409.19,,477.19
"2025-05-21 01:00:00",458.58,,478.35
"2025-05-22 01:00:00",521.52,,500.97
"2025-05-23 01:00:00",638.33,,525.76
"2025-05-24 01:00:00",604.49,,518.29
"2025-05-25 01:00:00",505.29,,509.29
"2025-05-26 01:00:00",542.92,,498.19
"2025-05-27 01:00:00",356.88,,466.76
"2025-05-28 01:00:00",395.61,,436.92
"2025-05-29 01:00:00",443.78,,433.25
"2025-05-30 01:00:00",418.32,,414.61
"2025-05-31 01:00:00",395.61,,426.99
"2025-06-01 01:00:00",479.62,,433.84
"2025-06-02 01:00:00",412.48,,433.8
"2025-06-03 01:00:00",443.52,,437.4
"2025-06-04 01:00:00",443.52,,455.47
"2025-06-05 01:00:00",443.52,,444.97
"2025-06-06 01:00:00",443.52,,440.86
"2025-06-07 01:00:00",522.11,,439.12
"2025-06-08 01:00:00",406.12,,451.43
"2025-06-09 01:00:00",383.74,,458.39
"2025-06-10 01:00:00",431.28,,470.71
"2025-06-11 01:00:00",529.72,,471.8
"2025-06-12 01:00:00",492.27,,491.2
"2025-06-13 01:00:00",529.72,,513.79
"2025-06-14 01:00:00",529.72,,529.6
"2025-06-15 01:00:00",541.92,,531.34
"2025-06-16 01:00:00",541.92,,538.43
"2025-06-17 01:00:00",541.92,,534.02
"2025-06-18 01:00:00",541.92,,524.36
"2025-06-19 01:00:00",541.92,,560.82
"2025-06-20 01:00:00",498.82,,570.26
"2025-06-21 01:00:00",462.07,,563.05
"2025-06-22 01:00:00",797.18,,563.28
"2025-06-23 01:00:00",608.02,,552.86
"2025-06-24 01:00:00",491.42,,548.59
"2025-06-25 01:00:00",543.54,,556.32
"2025-06-26 01:00:00",468.94,,571.76
"2025-06-27 01:00:00",468.94,,565.3
"2025-06-28 01:00:00",516.17,,554.79
"2025-06-29 01:00:00",905.31,,535.46
"2025-06-30 01:00:00",562.77,,521.91
"2025-07-01 01:00:00",417.84,,511.94
"2025-07-02 01:00:00",408.28,,509.59
"2025-07-03 01:00:00",374.06,,489.97
"2025-07-04 01:00:00",399.16,,519.28
"2025-07-05 01:00:00",499.73,,582.54
"2025-07-06 01:00:00",767.96,,623.26
"2025-07-07 01:00:00",767.96,,639.51
"2025-07-08 01:00:00",860.64,,649.13
"2025-07-09 01:00:00",693.32,,637.84
"2025-07-10 01:00:00",487.81,,563.48
"2025-07-11 01:00:00",466.52,,520.41
"2025-07-12 01:00:00",420.67,,441.14
"2025-07-13 01:00:00",247.41,,370.36
"2025-07-14 01:00:00",0,,324.97
"2025-07-15 01:00:00",351.57,,376.7
"2025-07-16 01:00:00",371.1,,387.56
"2025-07-17 01:00:00",417.49,,384.93
"2025-07-18 01:00:00",477.12,,348.98
"2025-07-19 01:00:00",477.12,,322.44
"2025-07-20 01:00:00",182.63,,303.6
"2025-07-21 01:00:00",165.8,,285.5
"2025-07-22 01:00:00",165.8,,261.25
"2025-07-23 01:00:00",239.26,,228.85
"2025-07-24 01:00:00",290.79,,236.85
"2025-07-25 01:00:00",307.34,,241.44
"2025-07-26 01:00:00",250.35,,246.02
"2025-07-27 01:00:00",238.63,,243.74
"2025-07-28 01:00:00",197.89,,238.8
"2025-07-29 01:00:00",197.89,,231.5
"2025-07-30 01:00:00",223.31,,235.25
"2025-07-31 01:00:00",256.21,,241.21
"2025-08-01 01:00:00",256.21,,249.66
"2025-08-02 01:00:00",276.6,,256.66
"2025-08-03 01:00:00",280.33,,257.43
"2025-08-04 01:00:00",257.1,,251.26
"2025-08-05 01:00:00",246.88,,240.63
"2025-08-06 01:00:00",228.69,,222.67
"2025-08-07 01:00:00",213,,231.01
"2025-08-08 01:00:00",181.8,,230.2
"2025-08-09 01:00:00",150.87,,222.55
"2025-08-10 01:00:00",338.71,,217.49
"2025-08-11 01:00:00",251.43,,213.8
"2025-08-12 01:00:00",193.32,,211.53
"2025-08-13 01:00:00",193.32,,219.55
"2025-08-14 01:00:00",187.14,,192.24
"2025-08-15 01:00:00",165.93,,179.52
"2025-08-16 01:00:00",206.99,,176.58
"2025-08-17 01:00:00",147.57,,177.27
"2025-08-18 01:00:00",162.37,,185.73
"2025-08-19 01:00:00",172.76,,200.76
"2025-08-20 01:00:00",198.13,,217.71
"2025-08-21 01:00:00",246.37,,227.44
"2025-08-22 01:00:00",271.13,,237.17
"2025-08-23 01:00:00",325.66,,243.3
"2025-08-24 01:00:00",215.67,,245.81
"2025-08-25 01:00:00",230.47,,241.42
"2025-08-26 01:00:00",215.67,,231.64
"2025-08-27 01:00:00",215.67,,226.57
"2025-08-28 01:00:00",215.67,,236.82
"2025-08-29 01:00:00",202.65,,244.95
"2025-08-30 01:00:00",290.21,,247.36
"2025-08-31 01:00:00",287.4,,247.79
"2025-09-01 01:00:00",287.4,,248.21
"2025-09-02 01:00:00",232.54,,247.15
"2025-09-03 01:00:00",218.63,,233.59
"2025-09-04 01:00:00",218.63,,224.94
"2025-09-05 01:00:00",195.26,,214.34
"2025-09-06 01:00:00",195.26,,211.58
"2025-09-07 01:00:00",226.88,,209.07
"2025-09-08 01:00:00",213.19,,205.01
"2025-09-09 01:00:00",213.19,,211.75
"2025-09-10 01:00:00",201.06,,224
"2025-09-11 01:00:00",190.23,,227.14
"2025-09-12 01:00:00",242.45,,230.61
"2025-09-13 01:00:00",281.02,,239.48
"2025-09-14 01:00:00",248.85,,252.28
"2025-09-15 01:00:00",237.45,,259.03
"2025-09-16 01:00:00",275.27,,283.33
"2025-09-17 01:00:00",290.71,,295.32
"2025-09-18 01:00:00",0,,253.51
"2025-09-19 01:00:00",374.77,,310.34
"2025-09-20 01:00:00",349.5,,309.22
"2025-09-21 01:00:00",246.86,,294.85
"2025-09-22 01:00:00",260.47,,304.16
"2025-09-23 01:00:00",292.74,,298.36
"2025-09-24 01:00:00",292.74,,299.8
"2025-09-25 01:00:00",312.07,,315.67
"2025-09-26 01:00:00",334.13,,325.61
"2025-09-27 01:00:00",359.56,,330.95
"2025-09-28 01:00:00",357.95,,332.89
"2025-09-29 01:00:00",330.11,,329.12
"2025-09-30 01:00:00",330.11,,319.62
"2025-10-01 01:00:00",306.29,,306.49
"2025-10-02 01:00:00",285.68,,325.93
"2025-10-03 01:00:00",267.66,,344.67
"2025-10-04 01:00:00",267.66,,368.08
"2025-10-05 01:00:00",493.97,,386.15
"2025-10-06 01:00:00",461.35,,403.56
"2025-10-07 01:00:00",493.97,,414.87
"2025-10-08 01:00:00",432.77,,442.54
"2025-10-09 01:00:00",407.53,,418.03
"2025-10-10 01:00:00",346.83,,400.94
"2025-10-11 01:00:00",461.35,,379.19
"2025-10-12 01:00:00",322.43,,372.82
"2025-10-13 01:00:00",341.72,,374.1
"2025-10-14 01:00:00",341.72,,388.72
"2025-10-15 01:00:00",388.16,,386.99
"2025-10-16 01:00:00",416.46,,401.8
"2025-10-17 01:00:00",449.22,,413.85
"2025-10-18 01:00:00",449.22,,425.9
"2025-10-19 01:00:00",426.08,,437.24
"2025-10-20 01:00:00",426.08,,444.53
"2025-10-21 01:00:00",426.08,,441.22
"2025-10-22 01:00:00",467.51,,437.92
"2025-10-23 01:00:00",467.51,,445
"2025-10-24 01:00:00",426.08,,452.09
"2025-10-25 01:00:00",426.08,,459.17
"2025-10-26 01:00:00",475.68,,460.34
"2025-10-27 00:00:00",475.68,,456.34
"2025-10-28 00:00:00",475.68,,453.81
"2025-10-29 00:00:00",475.68,,447.44
"2025-10-30 00:00:00",439.49,,448.39
"2025-10-31 00:00:00",408.41,,455.77
"2025-11-01 00:00:00",381.45,,456.71
"2025-11-02 00:00:00",482.32,,457.66
"2025-11-03 00:00:00",527.33,,458.36
"2025-11-04 00:00:00",482.32,,463.5
"2025-11-05 00:00:00",482.32,,472.49
"2025-11-06 00:00:00",444.38,,465.07
"2025-11-07 00:00:00",444.38,,455.7
"2025-11-08 00:00:00",444.38,,457.95
"2025-11-09 00:00:00",430.38,,466.28
"2025-11-10 00:00:00",461.76,,473.95
"2025-11-11 00:00:00",498.07,,481.62
"2025-11-12 00:00:00",540.59,,489.29
"2025-11-13 00:00:00",498.07,,534.12
"2025-11-14 00:00:00",498.07,,560.3
"2025-11-15 00:00:00",498.07,,575.53
"2025-11-16 00:00:00",744.22,,579.6
"2025-11-17 00:00:00",645,,581.2
"2025-11-18 00:00:00",604.68,,582.79
"2025-11-19 00:00:00",569.12,,580.74
"2025-11-20 00:00:00",509.21,,543.03
"2025-11-21 00:00:00",509.21,,516.09
"2025-11-22 00:00:00",483.75,,494.91
"2025-11-23 00:00:00",480.26,,486
"2025-11-24 00:00:00",456.42,,499.99
"2025-11-25 00:00:00",456.42,,527.18
"2025-11-26 00:00:00",506.74,,558
"2025-11-27 00:00:00",607.13,,545.64
"2025-11-28 00:00:00",699.51,,545.53
"2025-11-29 00:00:00",699.51,,550.97
"2025-11-30 00:00:00",393.72,,549.23
"2025-12-01 00:00:00",455.65,,527.59
"2025-12-02 00:00:00",494.55,,488.01
"2025-12-03 00:00:00",494.55,,448.43
"2025-12-04 00:00:00",455.65,,446.41
"2025-12-05 00:00:00",422.43,,440.74
"2025-12-06 00:00:00",422.43,,429.52
"2025-12-07 00:00:00",379.6,,418.3
"2025-12-08 00:00:00",416,,407.44
"2025-12-09 00:00:00",416,,401.32
"2025-12-10 00:00:00",416,,395.2
"2025-12-11 00:00:00",379.6,,401.11
"2025-12-12 00:00:00",379.6,,401.81
"2025-12-13 00:00:00",379.6,,407.78
"2025-12-14 00:00:00",420.95,,408.49
"2025-12-15 00:00:00",420.95,,414.4
"2025-12-16 00:00:00",457.78,,420.3
"2025-12-17 00:00:00",420.95,,437.74
"2025-12-18 00:00:00",420.95,,427.77
"2025-12-19 00:00:00",420.95,,422.31
"2025-12-20 00:00:00",501.67,,411.58
"2025-12-21 00:00:00",351.16,,406.11
"2025-12-22 00:00:00",382.68,,392.32
"2025-12-23 00:00:00",382.68,,382.35
"2025-12-24 00:00:00",382.68,,357.03
"2025-12-25 00:00:00",324.44,,344.99
"2025-12-26 00:00:00",351.16,,333.25
"2025-12-27 00:00:00",324.44,,321.51
"2025-12-28 00:00:00",266.85,,315.97
"2025-12-29 00:00:00",300.51,,318.74
"2025-12-30 00:00:00",300.51,,321.52
"2025-12-31 00:00:00",343.87,,320.99
"2026-01-01 00:00:00",343.87,,337.44
"2026-01-02 00:00:00",370.62,,353.33
"2026-01-03 00:00:00",320.73,,364.97
"2026-01-04 00:00:00",382,,370.42
"2026-01-05 00:00:00",411.72,,368.99
"2026-01-06 00:00:00",382,,358.39
"2026-01-07 00:00:00",382,,357.43
"2026-01-08 00:00:00",333.83,,355.95
"2026-01-09 00:00:00",296.44,,344.18
