"Time","Sales","Trend Line","7-Day Moving Average"
"2023-05-09 01:00:00",4.23,173.5885975869932,6.25
"2023-05-10 01:00:00",7.61,,7.46
"2023-05-11 01:00:00",11.21,,7.8
"2023-05-12 01:00:00",8.03,,7.7
"2023-05-13 01:00:00",5.92,,8.78
"2023-05-14 01:00:00",6.4,,9.38
"2023-05-15 01:00:00",10.53,,9.6
"2023-05-16 01:00:00",11.77,,10.4
"2023-05-17 01:00:00",11.77,,11.71
"2023-05-18 01:00:00",12.81,,13.42
"2023-05-19 01:00:00",13.63,,14.64
"2023-05-20 01:00:00",15.08,,15.51
"2023-05-21 01:00:00",18.36,,17.74
"2023-05-22 01:00:00",19.08,,21.57
"2023-05-23 01:00:00",17.81,,26.26
"2023-05-24 01:00:00",27.44,,31.86
"2023-05-25 01:00:00",39.62,,36.12
"2023-05-26 01:00:00",46.44,,40.29
"2023-05-27 01:00:00",54.25,,44.63
"2023-05-28 01:00:00",48.23,,49.75
"2023-05-29 01:00:00",48.23,,56.64
"2023-05-30 01:00:00",48.23,,72.49
"2023-05-31 01:00:00",63.26,,81.57
"2023-06-01 01:00:00",87.83,,83.78
"2023-06-02 01:00:00",157.41,,86.1
"2023-06-03 01:00:00",117.82,,93.53
"2023-06-04 01:00:00",63.65,,104.39
"2023-06-05 01:00:00",64.48,,113.9
"2023-06-06 01:00:00",100.25,,114.5
"2023-06-07 01:00:00",139.32,,116.29
"2023-06-08 01:00:00",154.36,,118.13
"2023-06-09 01:00:00",161.61,,127.99
"2023-06-10 01:00:00",130.33,,128.96
"2023-06-11 01:00:00",76.54,,132.28
"2023-06-12 01:00:00",133.54,,137.02
"2023-06-13 01:00:00",106.99,,132.28
"2023-06-14 01:00:00",162.6,,127.72
"2023-06-15 01:00:00",187.53,,129.51
"2023-06-16 01:00:00",128.44,,123.35
"2023-06-17 01:00:00",98.37,,129.47
"2023-06-18 01:00:00",89.13,,131.02
"2023-06-19 01:00:00",90.39,,130.07
"2023-06-20 01:00:00",149.82,,141.87
"2023-06-21 01:00:00",173.45,,159.29
"2023-06-22 01:00:00",180.89,,160.03
"2023-06-23 01:00:00",211.07,,158.18
"2023-06-24 01:00:00",220.25,,150.93
"2023-06-25 01:00:00",94.36,,146.32
"2023-06-26 01:00:00",77.39,,143.6
"2023-06-27 01:00:00",99.13,,140.85
"2023-06-28 01:00:00",141.15,,133.86
"2023-06-29 01:00:00",161.87,,142.48
"2023-06-30 01:00:00",191.79,,150.97
"2023-07-01 01:00:00",171.31,,159.67
"2023-07-02 01:00:00",154.74,,167.41
"2023-07-03 01:00:00",136.79,,171.08
"2023-07-04 01:00:00",160.01,,163.81
"2023-07-05 01:00:00",195.35,,151.86
"2023-07-06 01:00:00",187.58,,150.91
"2023-07-07 01:00:00",140.88,,151.43
"2023-07-08 01:00:00",87.65,,150.43
"2023-07-09 01:00:00",148.13,,140.36
"2023-07-10 01:00:00",140.43,,133.63
"2023-07-11 01:00:00",153.01,,124.03
"2023-07-12 01:00:00",124.85,,116.12
"2023-07-13 01:00:00",0,,82.11
"2023-07-14 01:00:00",61.11,,73.74
"2023-07-15 01:00:00",60.47,,60.43
"2023-07-16 01:00:00",34.92,,40.28
"2023-07-17 01:00:00",20.72,,33
"2023-07-18 01:00:00",0,,18.35
"2023-07-19 01:00:00",0,,9.71
"2023-07-20 01:00:00",12.36,,13.55
"2023-07-21 01:00:00",0,,1.77
"2023-07-22 01:00:00",0,,5.88
"2023-07-23 01:00:00",0,,5.88
"2023-07-24 01:00:00",0,,8.72
"2023-07-25 01:00:00",28.8,,34.84
"2023-07-26 01:00:00",0,,30.57
"2023-07-27 01:00:00",32.21,,51.51
"2023-07-28 01:00:00",67.67,,63.77
"2023-07-29 01:00:00",85.32,,81.11
"2023-07-30 01:00:00",82.12,,92.07
"2023-07-31 01:00:00",82.61,,115.16
