"Time","Sales","Trend Line","7-Day Moving Average"
"2025-09-28 01:00:00",5.23,0,7.3
"2025-09-29 01:00:00",5.66,,8.4
"2025-09-30 01:00:00",12.35,,10.31
"2025-10-01 01:00:00",12.17,,10.24
"2025-10-02 01:00:00",12.06,,10.71
"2025-10-03 01:00:00",12.32,,11.13
"2025-10-04 01:00:00",11.87,,10.47
"2025-10-05 01:00:00",8.55,,9.63
"2025-10-06 01:00:00",8.61,,8.85
"2025-10-07 01:00:00",7.74,,8.58
"2025-10-08 01:00:00",6.23,,9.67
"2025-10-09 01:00:00",6.6,,9.7
"2025-10-10 01:00:00",10.46,,9.66
"2025-10-11 01:00:00",19.48,,9.8
"2025-10-12 01:00:00",8.75,,10.29
"2025-10-13 01:00:00",8.36,,10.09
"2025-10-14 01:00:00",8.75,,9.18
"2025-10-15 01:00:00",9.64,,7.2
"2025-10-16 01:00:00",5.19,,6.36
"2025-10-17 01:00:00",4.07,,5.57
"2025-10-18 01:00:00",5.62,,4.85
"2025-10-19 01:00:00",2.87,,4.08
"2025-10-20 01:00:00",2.83,,4.37
"2025-10-21 01:00:00",3.7,,4.7
"2025-10-22 01:00:00",4.3,,4.75
"2025-10-23 01:00:00",7.22,,5.11
"2025-10-24 01:00:00",6.36,,5.4
"2025-10-25 01:00:00",6,,5.38
"2025-10-26 01:00:00",5.38,,5.2
"2025-10-27 00:00:00",4.81,,4.91
"2025-10-28 00:00:00",3.56,,4.96
"2025-10-29 00:00:00",3.1,,5.27
"2025-10-30 00:00:00",5.13,,5.04
"2025-10-31 00:00:00",6.77,,4.81
"2025-11-01 00:00:00",8.14,,4.85
"2025-11-02 00:00:00",3.74,,5.16
"2025-11-03 00:00:00",3.22,,4.99
"2025-11-04 00:00:00",3.86,,5.09
"2025-11-05 00:00:00",5.29,,5.2
"2025-11-06 00:00:00",3.89,,5.41
"2025-11-07 00:00:00",7.5,,5.4
"2025-11-08 00:00:00",8.87,,5.37
"2025-11-09 00:00:00",5.25,,5.36
"2025-11-10 00:00:00",3.14,,5.56
"2025-11-11 00:00:00",3.64,,4.86
"2025-11-12 00:00:00",5.25,,3.91
"2025-11-13 00:00:00",5.25,,3.71
"2025-11-14 00:00:00",2.61,,3.91
"2025-11-15 00:00:00",2.24,,4.31
"2025-11-16 00:00:00",3.84,,4.2
"2025-11-17 00:00:00",4.57,,3.94
"2025-11-18 00:00:00",6.43,,3.9
"2025-11-19 00:00:00",4.48,,3.92
"2025-11-20 00:00:00",3.38,,3.86
"2025-11-21 00:00:00",2.35,,3.67
"2025-11-22 00:00:00",2.42,,3.41
"2025-11-23 00:00:00",3.4,,3.4
"2025-11-24 00:00:00",3.23,,3.24
"2025-11-25 00:00:00",4.64,,3.18
"2025-11-26 00:00:00",4.37,,3.28
"2025-11-27 00:00:00",2.27,,3.25
"2025-11-28 00:00:00",1.92,,3.14
"2025-11-29 00:00:00",3.15,,2.71
"2025-11-30 00:00:00",3.18,,2.33
"2025-12-01 00:00:00",2.42,,2.27
"2025-12-02 00:00:00",1.67,,2.4
"2025-12-03 00:00:00",1.72,,2.72
"2025-12-04 00:00:00",1.84,,2.79
"2025-12-05 00:00:00",2.82,,2.91
"2025-12-06 00:00:00",5.4,,3.28
"2025-12-07 00:00:00",3.66,,3.81
"2025-12-08 00:00:00",3.23,,4.43
"2025-12-09 00:00:00",4.31,,5.16
"2025-12-10 00:00:00",5.38,,5.63
"2025-12-11 00:00:00",6.21,,5.81
"2025-12-12 00:00:00",7.95,,5.92
"2025-12-13 00:00:00",8.67,,5.73
"2025-12-14 00:00:00",4.89,,5.35
"2025-12-15 00:00:00",4.05,,4.71
"2025-12-16 00:00:00",2.95,,3.87
"2025-12-17 00:00:00",2.73,,2.87
"2025-12-18 00:00:00",1.76,,2.43
"2025-12-19 00:00:00",2.02,,2.11
"2025-12-20 00:00:00",1.68,,2.16
"2025-12-21 00:00:00",1.85,,2.28
"2025-12-22 00:00:00",1.77,,2.5
"2025-12-23 00:00:00",3.3,,2.81
"2025-12-24 00:00:00",3.56,,3.21
"2025-12-25 00:00:00",3.3,,3.32
"2025-12-26 00:00:00",4.22,,3.47
"2025-12-27 00:00:00",4.49,,3.29
"2025-12-28 00:00:00",2.58,,3.01
"2025-12-29 00:00:00",2.83,,2.9
"2025-12-30 00:00:00",2.05,,2.47
"2025-12-31 00:00:00",1.59,,1.98
"2026-01-01 00:00:00",2.51,,1.94
"2026-01-02 00:00:00",1.21,,1.69
"2026-01-03 00:00:00",1.11,,1.57
"2026-01-04 00:00:00",2.29,,1.64
"2026-01-05 00:00:00",1.05,,1.63
"2026-01-06 00:00:00",1.25,,1.74
"2026-01-07 00:00:00",2.07,,1.95
"2026-01-08 00:00:00",2.43,,1.84
"2026-01-09 00:00:00",2,,2.36
"2026-01-10 00:00:00",2.54,,2.46
"2026-01-11 00:00:00",1.55,,2.55
"2026-01-12 00:00:00",4.67,,2.44
"2026-01-13 00:00:00",1.97,,2.4
"2026-01-14 00:00:00",2.72,,2.4
"2026-01-15 00:00:00",1.66,,2.35
"2026-01-16 00:00:00",1.68,,1.89
"2026-01-17 00:00:00",2.56,,1.78
"2026-01-18 00:00:00",1.17,,1.55
"2026-01-19 00:00:00",1.48,,1.61
"2026-01-20 00:00:00",1.16,,1.86
"2026-01-21 00:00:00",1.12,,1.77
"2026-01-22 00:00:00",2.11,,1.8
"2026-01-23 00:00:00",3.39,,1.75
"2026-01-24 00:00:00",1.95,,1.8
"2026-01-25 00:00:00",1.37,,1.97
"2026-01-26 00:00:00",1.17,,2.12
"2026-01-27 00:00:00",1.52,,2.04
"2026-01-28 00:00:00",2.28,,2.03
"2026-01-29 00:00:00",3.19,,2.17
"2026-01-30 00:00:00",2.83,,2.28
"2026-01-31 00:00:00",1.82,,2.31
"2026-02-01 00:00:00",2.4,,2.3
"2026-02-02 00:00:00",1.94,,2.2
"2026-02-03 00:00:00",1.73,,2.27
"2026-02-04 00:00:00",2.19,,2.8
"2026-02-05 00:00:00",2.46,,3.07
"2026-02-06 00:00:00",3.36,,3.3
"2026-02-07 00:00:00",5.55,,3.68
"2026-02-08 00:00:00",4.26,,3.98
"2026-02-09 00:00:00",3.55,,4.94
"2026-02-10 00:00:00",4.42,,5.62
"2026-02-11 00:00:00",0,,5.29
