"Time","Sales","Trend Line","7-Day Moving Average"
"2024-09-22 01:00:00",10.99,2.165615746775306,10.09
"2024-09-23 01:00:00",10.89,,9.15
"2024-09-24 01:00:00",10.82,,8.15
"2024-09-25 01:00:00",4.99,,7.14
"2024-09-26 01:00:00",4.55,,5.84
"2024-09-27 01:00:00",3.96,,4.46
"2024-09-28 01:00:00",3.8,,3.22
"2024-09-29 01:00:00",1.86,,2.62
"2024-09-30 01:00:00",1.23,,2.24
"2024-10-01 01:00:00",2.15,,1.83
"2024-10-02 01:00:00",0.8,,1.43
"2024-10-03 01:00:00",1.87,,1.27
"2024-10-04 01:00:00",1.07,,1.19
"2024-10-05 01:00:00",1.02,,0.99
"2024-10-06 01:00:00",0.72,,0.95
"2024-10-07 01:00:00",0.7,,0.92
"2024-10-08 01:00:00",0.77,,0.88
"2024-10-09 01:00:00",0.53,,0.86
"2024-10-10 01:00:00",1.62,,0.85
"2024-10-11 01:00:00",0.81,,0.87
"2024-10-12 01:00:00",0.85,,0.93
"2024-10-13 01:00:00",0.7,,1.02
"2024-10-14 01:00:00",0.81,,1.11
"2024-10-15 01:00:00",1.16,,1.14
"2024-10-16 01:00:00",1.2,,1.14
"2024-10-17 01:00:00",2.22,,1.16
"2024-10-18 01:00:00",1.03,,1.13
"2024-10-19 01:00:00",0.88,,1.06
"2024-10-20 01:00:00",0.82,,0.98
"2024-10-21 01:00:00",0.61,,0.77
"2024-10-22 01:00:00",0.69,,0.99
"2024-10-23 01:00:00",0.63,,1
"2024-10-24 01:00:00",0.72,,1.03
"2024-10-25 01:00:00",2.61,,1.24
"2024-10-26 01:00:00",0.92,,1.25
"2024-10-27 01:00:00",1.02,,1.41
"2024-10-28 00:00:00",2.06,,1.48
"2024-10-29 00:00:00",0.81,,1.31
"2024-10-30 00:00:00",1.71,,1.29
"2024-10-31 00:00:00",1.23,,1.21
"2024-11-01 00:00:00",1.44,,0.99
"2024-11-02 00:00:00",0.73,,1.07
"2024-11-03 00:00:00",0.49,,0.91
"2024-11-04 00:00:00",0.53,,0.83
"2024-11-05 00:00:00",1.37,,0.74
"2024-11-06 00:00:00",0.59,,0.86
"2024-11-07 00:00:00",0.63,,0.89
"2024-11-08 00:00:00",0.83,,0.96
"2024-11-09 00:00:00",1.56,,0.97
"2024-11-10 00:00:00",0.72,,1.16
"2024-11-11 00:00:00",1.04,,1.32
"2024-11-12 00:00:00",1.39,,1.39
"2024-11-13 00:00:00",1.94,,1.29
"2024-11-14 00:00:00",1.76,,1.3
"2024-11-15 00:00:00",1.31,,1.32
"2024-11-16 00:00:00",0.84,,1.27
"2024-11-17 00:00:00",0.8,,1.32
"2024-11-18 00:00:00",1.19,,1.21
"2024-11-19 00:00:00",1.05,,1.35
"2024-11-20 00:00:00",2.29,,1.43
"2024-11-21 00:00:00",0.97,,1.51
"2024-11-22 00:00:00",2.29,,1.67
"2024-11-23 00:00:00",1.41,,1.59
"2024-11-24 00:00:00",1.36,,1.32
"2024-11-25 00:00:00",0,,0.86
"2024-11-26 00:00:00",0,,0.65
"2024-11-27 00:00:00",0.5,,0.71
"2024-11-28 00:00:00",0.45,,0.55
"2024-11-29 00:00:00",0.86,,0.58
"2024-11-30 00:00:00",0.82,,0.54
"2024-12-01 00:00:00",0.32,,0.51
"2024-12-02 00:00:00",0.24,,0.48
"2024-12-03 00:00:00",0.62,,0.38
"2024-12-04 00:00:00",0.27,,0.29
"2024-12-05 00:00:00",0.2,,0.28
"2024-12-06 00:00:00",0.18,,0.29
"2024-12-07 00:00:00",0.18,,0.31
"2024-12-08 00:00:00",0.29,,0.32
