"Time","Sales","Trend Line","7-Day Moving Average"
"2023-04-30 01:00:00",5.17,3.2118230549710938,4.56
"2023-05-01 01:00:00",2.21,,4.22
"2023-05-02 01:00:00",2.66,,4.59
"2023-05-03 01:00:00",4.27,,4
"2023-05-04 01:00:00",5.73,,3.77
"2023-05-05 01:00:00",4.83,,4.07
"2023-05-06 01:00:00",3.13,,4.23
"2023-05-07 01:00:00",3.59,,4
"2023-05-08 01:00:00",4.31,,3.57
"2023-05-09 01:00:00",3.73,,3.12
"2023-05-10 01:00:00",2.69,,3
"2023-05-11 01:00:00",2.69,,2.77
"2023-05-12 01:00:00",1.67,,2.75
"2023-05-13 01:00:00",2.34,,2.47
"2023-05-14 01:00:00",1.96,,2.59
"2023-05-15 01:00:00",4.19,,2.42
"2023-05-16 01:00:00",1.74,,2.51
"2023-05-17 01:00:00",3.54,,2.57
"2023-05-18 01:00:00",1.47,,2.86
"2023-05-19 01:00:00",2.33,,3.12
"2023-05-20 01:00:00",2.76,,4.01
"2023-05-21 01:00:00",3.96,,4.33
"2023-05-22 01:00:00",6.03,,4.51
"2023-05-23 01:00:00",7.97,,4.58
"2023-05-24 01:00:00",5.77,,4.86
"2023-05-25 01:00:00",2.78,,4.99
"2023-05-26 01:00:00",2.8,,4.82
"2023-05-27 01:00:00",4.69,,4.38
"2023-05-28 01:00:00",4.87,,4.58
"2023-05-29 01:00:00",4.87,,5.43
"2023-05-30 01:00:00",4.87,,6.79
"2023-05-31 01:00:00",7.17,,8.41
"2023-06-01 01:00:00",8.75,,8.74
"2023-06-02 01:00:00",12.31,,8.96
"2023-06-03 01:00:00",16.05,,8.98
"2023-06-04 01:00:00",7.13,,8.67
"2023-06-05 01:00:00",6.46,,8.63
"2023-06-06 01:00:00",5.01,,8.55
"2023-06-07 01:00:00",4.99,,8.52
"2023-06-08 01:00:00",8.44,,10.29
"2023-06-09 01:00:00",11.79,,12.2
"2023-06-10 01:00:00",15.82,,12.69
"2023-06-11 01:00:00",19.49,,14.76
"2023-06-12 01:00:00",19.87,,16.45
"2023-06-13 01:00:00",8.41,,12.69
"2023-06-14 01:00:00",0,,6.82
"2023-06-15 01:00:00",0,,4.04
"2023-06-16 01:00:00",0,,1.2
"2023-06-17 01:00:00",0,,0
"2023-06-18 01:00:00",0,,0.99
"2023-06-19 01:00:00",0,,0.99
"2023-06-20 01:00:00",0,,0.99
"2023-06-21 01:00:00",6.96,,6.96
"2023-06-22 01:00:00",0,,0.99
"2023-06-23 01:00:00",0,,0.99
"2023-06-24 01:00:00",0,,1.34
"2023-06-25 01:00:00",0,,0.94
"2023-06-26 01:00:00",0,,0.94
"2023-06-27 01:00:00",2.39,,2.64
"2023-06-28 01:00:00",4.16,,3.52
"2023-06-29 01:00:00",0,,1.51
"2023-06-30 01:00:00",0,,1.85
"2023-07-01 01:00:00",1.45,,2.24
"2023-07-02 01:00:00",2.6,,2.39
"2023-07-03 01:00:00",2.32,,2.71
"2023-07-04 01:00:00",2.27,,3.39
"2023-07-05 01:00:00",2.88,,4.2
"2023-07-06 01:00:00",5.15,,4.63
"2023-07-07 01:00:00",7.04,,4.97
"2023-07-08 01:00:00",7.14,,5.48
"2023-07-09 01:00:00",5.61,,6.45
"2023-07-10 01:00:00",4.73,,6.93
"2023-07-11 01:00:00",5.81,,7.82
"2023-07-12 01:00:00",9.64,,8.21
"2023-07-13 01:00:00",8.54,,8.4
"2023-07-14 01:00:00",13.27,,8.7
"2023-07-15 01:00:00",9.86,,8.97
"2023-07-16 01:00:00",6.96,,8.2
"2023-07-17 01:00:00",6.84,,7.57
"2023-07-18 01:00:00",7.7,,6.42
"2023-07-19 01:00:00",4.2,,6.88
"2023-07-20 01:00:00",4.13,,6.67
"2023-07-21 01:00:00",5.25,,7.46
"2023-07-22 01:00:00",13.06,,8.64
"2023-07-23 01:00:00",5.52,,9.07
"2023-07-24 01:00:00",12.33,,9.36
"2023-07-25 01:00:00",16.01,,9.74
"2023-07-26 01:00:00",7.18,,9.37
"2023-07-27 01:00:00",6.15,,9.54
"2023-07-28 01:00:00",7.95,,8.96
"2023-07-29 01:00:00",10.45,,8.62
"2023-07-30 01:00:00",6.7,,8.97
"2023-07-31 01:00:00",8.28,,9.5
"2023-08-01 01:00:00",13.66,,9.12
"2023-08-02 01:00:00",9.62,,8.33
"2023-08-03 01:00:00",9.84,,8.2
"2023-08-04 01:00:00",5.31,,8.34
"2023-08-05 01:00:00",4.88,,6.97
"2023-08-06 01:00:00",5.8,,6.06
"2023-08-07 01:00:00",9.27,,5.29
"2023-08-08 01:00:00",4.08,,5.3
"2023-08-09 01:00:00",3.24,,5.47
"2023-08-10 01:00:00",4.42,,6.11
"2023-08-11 01:00:00",5.39,,5.37
"2023-08-12 01:00:00",6.08,,5.35
"2023-08-13 01:00:00",10.26,,5.38
"2023-08-14 01:00:00",4.1,,5.44
"2023-08-15 01:00:00",3.98,,5.55
"2023-08-16 01:00:00",3.46,,6.05
"2023-08-17 01:00:00",4.8,,5.07
"2023-08-18 01:00:00",6.17,,5.77
"2023-08-19 01:00:00",9.6,,6.04
"2023-08-20 01:00:00",3.39,,6.38
"2023-08-21 01:00:00",8.97,,6.69
"2023-08-22 01:00:00",5.91,,6.77
"2023-08-23 01:00:00",5.83,,5.9
"2023-08-24 01:00:00",6.94,,6.17
"2023-08-25 01:00:00",6.73,,5.2
"2023-08-26 01:00:00",3.56,,4.62
"2023-08-27 01:00:00",5.27,,4.03
"2023-08-28 01:00:00",2.13,,3.31
"2023-08-29 01:00:00",1.85,,2.89
"2023-08-30 01:00:00",1.71,,3.06
"2023-08-31 01:00:00",1.9,,2.67
"2023-09-01 01:00:00",3.8,,2.89
"2023-09-02 01:00:00",4.77,,3.29
"2023-09-03 01:00:00",2.51,,3.78
"2023-09-04 01:00:00",3.71,,4.19
"2023-09-05 01:00:00",4.6,,4.47
"2023-09-06 01:00:00",5.17,,4.64
"2023-09-07 01:00:00",4.79,,4.84
"2023-09-08 01:00:00",5.73,,5.04
"2023-09-09 01:00:00",5.99,,5.03
"2023-09-10 01:00:00",3.89,,4.81
"2023-09-11 01:00:00",5.09,,4.73
"2023-09-12 01:00:00",4.52,,4.25
"2023-09-13 01:00:00",3.69,,3.68
"2023-09-14 01:00:00",4.21,,3.5
"2023-09-15 01:00:00",2.35,,3.04
"2023-09-16 01:00:00",2.04,,2.67
"2023-09-17 01:00:00",2.59,,2.39
"2023-09-18 01:00:00",1.91,,2.05
"2023-09-19 01:00:00",1.9,,1.86
"2023-09-20 01:00:00",1.76,,1.71
"2023-09-21 01:00:00",1.82,,1.64
"2023-09-22 01:00:00",0.97,,1.65
"2023-09-23 01:00:00",1.05,,1.7
"2023-09-24 01:00:00",2.04,,1.71
"2023-09-25 01:00:00",2.02,,1.59
"2023-09-26 01:00:00",2.22,,1.58
"2023-09-27 01:00:00",1.88,,1.7
"2023-09-28 01:00:00",0.95,,1.41
"2023-09-29 01:00:00",0.88,,1.56
"2023-09-30 01:00:00",0,,1.12
"2023-10-01 01:00:00",0.98,,1.27
"2023-10-02 01:00:00",3.15,,2.19
"2023-10-03 01:00:00",0,,0.71
"2023-10-04 01:00:00",0,,0.71
"2023-10-05 01:00:00",0.87,,1.2
"2023-10-06 01:00:00",0,,0.12
"2023-10-07 01:00:00",0,,0.12
"2023-10-08 01:00:00",0,,0.12
"2023-10-09 01:00:00",0,,0.25
"2023-10-10 01:00:00",0,,0.47
"2023-10-11 01:00:00",0,,0.57
"2023-10-12 01:00:00",1.76,,1.54
"2023-10-13 01:00:00",1.55,,1.38
"2023-10-14 01:00:00",0.69,,1.31
"2023-10-15 01:00:00",1.48,,1.5
"2023-10-16 01:00:00",1.1,,1.6
"2023-10-17 01:00:00",1.91,,1.71
"2023-10-18 01:00:00",2,,2
"2023-10-19 01:00:00",2.49,,2.47
"2023-10-20 01:00:00",2.27,,3.42
"2023-10-21 01:00:00",2.74,,3.61
"2023-10-22 01:00:00",4.77,,3.69
"2023-10-23 01:00:00",7.78,,3.68
"2023-10-24 01:00:00",3.22,,4.04
"2023-10-25 01:00:00",2.53,,4.14
"2023-10-26 01:00:00",2.48,,3.9
"2023-10-27 01:00:00",4.73,,3.14
"2023-10-28 01:00:00",3.49,,3.03
"2023-10-29 01:00:00",3.07,,2.99
"2023-10-30 00:00:00",2.47,,2.92
"2023-10-31 00:00:00",2.47,,2.42
"2023-11-01 00:00:00",2.22,,2.14
"2023-11-02 00:00:00",2.01,,2.12
"2023-11-03 00:00:00",1.2,,2.25
"2023-11-04 00:00:00",1.56,,2.27
"2023-11-05 00:00:00",2.89,,2.46
"2023-11-06 00:00:00",3.4,,2.72
"2023-11-07 00:00:00",2.58,,2.99
"2023-11-08 00:00:00",3.58,,3
"2023-11-09 00:00:00",3.8,,3.13
"2023-11-10 00:00:00",3.13,,2.99
"2023-11-11 00:00:00",1.61,,2.42
"2023-11-12 00:00:00",0,,1.22
"2023-11-13 00:00:00",0,,0.68
"2023-11-14 00:00:00",0,,0.23
"2023-11-15 00:00:00",0,,0
"2023-11-16 00:00:00",0,,0
"2023-11-17 00:00:00",0,,0
"2023-11-18 00:00:00",0,,0
"2023-11-19 00:00:00",0,,0
"2023-11-20 00:00:00",0,,0
"2023-11-21 00:00:00",0,,0.09
"2023-11-22 00:00:00",0,,0.12
"2023-11-23 00:00:00",0,,0.21
"2023-11-24 00:00:00",0.65,,0.52
"2023-11-25 00:00:00",0.22,,0.33
"2023-11-26 00:00:00",0.58,,0.38
