"Time","Sales","Trend Line","7-Day Moving Average"
"2023-04-30 01:00:00",55.75,29.972657357958703,60.26
"2023-05-01 01:00:00",66.76,,68.17
"2023-05-02 01:00:00",73.08,,77.95
"2023-05-03 01:00:00",59.42,,89.86
"2023-05-04 01:00:00",100.14,,100.06
"2023-05-05 01:00:00",135.19,,106.01
"2023-05-06 01:00:00",138.66,,108.09
"2023-05-07 01:00:00",127.17,,107.22
"2023-05-08 01:00:00",108.39,,100.31
"2023-05-09 01:00:00",87.68,,89.91
"2023-05-10 01:00:00",53.3,,78.71
"2023-05-11 01:00:00",51.8,,69.11
"2023-05-12 01:00:00",62.35,,63.45
"2023-05-13 01:00:00",60.31,,62.83
"2023-05-14 01:00:00",59.95,,64.01
"2023-05-15 01:00:00",68.73,,63.57
"2023-05-16 01:00:00",83.39,,62.62
"2023-05-17 01:00:00",61.52,,69.14
"2023-05-18 01:00:00",48.74,,75.02
"2023-05-19 01:00:00",55.68,,80.35
"2023-05-20 01:00:00",105.98,,78.61
"2023-05-21 01:00:00",101.1,,81.11
"2023-05-22 01:00:00",106.05,,83.13
"2023-05-23 01:00:00",71.2,,83.91
"2023-05-24 01:00:00",78.99,,76.43
"2023-05-25 01:00:00",62.93,,80
"2023-05-26 01:00:00",61.15,,82.87
"2023-05-27 01:00:00",53.59,,89.77
"2023-05-28 01:00:00",126.12,,87.86
"2023-05-29 01:00:00",126.12,,88.84
"2023-05-30 01:00:00",119.46,,89.76
"2023-05-31 01:00:00",65.68,,90
"2023-06-01 01:00:00",69.73,,86.29
"2023-06-02 01:00:00",67.64,,77.49
"2023-06-03 01:00:00",55.25,,69.4
"2023-06-04 01:00:00",100.12,,66.3
"2023-06-05 01:00:00",64.58,,67.46
"2023-06-06 01:00:00",62.8,,71.21
"2023-06-07 01:00:00",43.98,,71.71
"2023-06-08 01:00:00",77.85,,68.94
"2023-06-09 01:00:00",93.92,,73.59
"2023-06-10 01:00:00",58.74,,71.71
"2023-06-11 01:00:00",80.7,,71.14
"2023-06-12 01:00:00",97.16,,68.85
"2023-06-13 01:00:00",49.6,,63.34
"2023-06-14 01:00:00",40.01,,64.14
"2023-06-15 01:00:00",61.83,,60.85
"2023-06-16 01:00:00",55.36,,50.63
"2023-06-17 01:00:00",64.34,,49.35
"2023-06-18 01:00:00",57.67,,51.04
"2023-06-19 01:00:00",25.57,,46.84
"2023-06-20 01:00:00",40.66,,44.31
"2023-06-21 01:00:00",51.88,,40.14
"2023-06-22 01:00:00",32.38,,38.56
"2023-06-23 01:00:00",37.7,,41.73
"2023-06-24 01:00:00",35.13,,43.95
"2023-06-25 01:00:00",46.63,,39.81
"2023-06-26 01:00:00",47.72,,40.88
"2023-06-27 01:00:00",56.2,,40.04
"2023-06-28 01:00:00",22.94,,38.86
"2023-06-29 01:00:00",39.85,,35.42
"2023-06-30 01:00:00",31.83,,31.84
"2023-07-01 01:00:00",26.84,,28.23
"2023-07-02 01:00:00",22.53,,30.39
"2023-07-03 01:00:00",22.71,,30.66
"2023-07-04 01:00:00",30.89,,34.63
"2023-07-05 01:00:00",38.05,,38.72
"2023-07-06 01:00:00",41.76,,42.31
"2023-07-07 01:00:00",59.61,,44.85
"2023-07-08 01:00:00",55.46,,44.75
"2023-07-09 01:00:00",47.69,,42.22
"2023-07-10 01:00:00",40.5,,39.66
"2023-07-11 01:00:00",30.16,,37.31
"2023-07-12 01:00:00",20.38,,36.43
"2023-07-13 01:00:00",23.83,,34.65
"2023-07-14 01:00:00",43.16,,37.2
"2023-07-15 01:00:00",49.28,,39.55
"2023-07-16 01:00:00",35.22,,44.05
"2023-07-17 01:00:00",58.34,,48.73
"2023-07-18 01:00:00",46.67,,52.44
"2023-07-19 01:00:00",51.85,,54
"2023-07-20 01:00:00",56.57,,55.38
"2023-07-21 01:00:00",69.14,,53.85
"2023-07-22 01:00:00",60.22,,52.64
"2023-07-23 01:00:00",44.87,,48.93
"2023-07-24 01:00:00",47.66,,45.7
"2023-07-25 01:00:00",38.16,,42.63
"2023-07-26 01:00:00",25.9,,41.29
"2023-07-27 01:00:00",33.93,,41.04
