"Time","Sales","Trend Line","7-Day Moving Average"
"2023-10-03 01:00:00",1.93,2.3138573322517453,2.42
"2023-10-04 01:00:00",3.37,,3.34
"2023-10-05 01:00:00",3.12,,3.04
"2023-10-06 01:00:00",2.7,,2.83
"2023-10-07 01:00:00",5.52,,2.94
"2023-10-08 01:00:00",1.54,,3.27
"2023-10-09 01:00:00",1.64,,3.06
"2023-10-10 01:00:00",2.7,,3.14
"2023-10-11 01:00:00",5.67,,3.02
"2023-10-12 01:00:00",0,,2.11
"2023-10-13 01:00:00",2.18,,2.35
"2023-10-14 01:00:00",1.73,,2.21
"2023-10-15 01:00:00",0.88,,1.43
"2023-10-16 01:00:00",1.14,,1.39
"2023-10-17 01:00:00",2.12,,1.18
"2023-10-18 01:00:00",1.05,,1.06
"2023-10-19 01:00:00",0.65,,1.14
"2023-10-20 01:00:00",0.71,,1.21
"2023-10-21 01:00:00",0.86,,1.05
"2023-10-22 01:00:00",1.42,,1.05
"2023-10-23 01:00:00",1.69,,1.06
"2023-10-24 01:00:00",1,,1.09
"2023-10-25 01:00:00",1.05,,1.06
"2023-10-26 01:00:00",0.68,,0.89
"2023-10-27 01:00:00",0.96,,0.69
"2023-10-28 01:00:00",0.61,,0.6
"2023-10-29 01:00:00",0.25,,0.55
"2023-10-30 00:00:00",0.26,,0.53
"2023-10-31 00:00:00",0.4,,0.45
"2023-11-01 00:00:00",0.69,,0.42
"2023-11-02 00:00:00",0.56,,0.44
"2023-11-03 00:00:00",0.39,,0.44
"2023-11-04 00:00:00",0.42,,0.44
"2023-11-05 00:00:00",0.36,,0.43
"2023-11-06 00:00:00",0.29,,0.46
"2023-11-07 00:00:00",0.37,,0.52
"2023-11-08 00:00:00",0.63,,0.53
"2023-11-09 00:00:00",0.78,,0.55
"2023-11-10 00:00:00",0.78,,0.55
"2023-11-11 00:00:00",0.53,,0.55
"2023-11-12 00:00:00",0.47,,0.5
"2023-11-13 00:00:00",0.3,,0.44
"2023-11-14 00:00:00",0.38,,0.37
"2023-11-15 00:00:00",0.27,,0.32
"2023-11-16 00:00:00",0.37,,0.27
"2023-11-17 00:00:00",0.27,,0.25
"2023-11-18 00:00:00",0.18,,0.21
"2023-11-19 00:00:00",0.09,,0.19
"2023-11-20 00:00:00",0.18,,0.18
"2023-11-21 00:00:00",0.1,,0.16
"2023-11-22 00:00:00",0.13,,0.15
"2023-11-23 00:00:00",0.28,,0.15
"2023-11-24 00:00:00",0.15,,0.16
"2023-11-25 00:00:00",0.1,,0.16
"2023-11-26 00:00:00",0.08,,0.15
"2023-11-27 00:00:00",0.29,,0.12
"2023-11-28 00:00:00",0.1,,0.11
"2023-11-29 00:00:00",0.08,,0.11
"2023-11-30 00:00:00",0.07,,0.1
"2023-12-01 00:00:00",0.07,,0.06
"2023-12-02 00:00:00",0.07,,0.04
"2023-12-03 00:00:00",0,,0.03
"2023-12-04 00:00:00",0,,0.02
"2023-12-05 00:00:00",0,,0.01
"2023-12-06 00:00:00",0,,0
"2023-12-07 00:00:00",0,,0.01
"2023-12-08 00:00:00",0,,0.02
"2023-12-09 00:00:00",0,,0.03
"2023-12-10 00:00:00",0.08,,0.04
"2023-12-11 00:00:00",0.07,,0.05
"2023-12-12 00:00:00",0.06,,0.06
"2023-12-13 00:00:00",0.07,,0.11
"2023-12-14 00:00:00",0.07,,0.13
"2023-12-15 00:00:00",0.07,,0.15
"2023-12-16 00:00:00",0.32,,0.18
"2023-12-17 00:00:00",0.24,,0.2
"2023-12-18 00:00:00",0.2,,0.28
"2023-12-19 00:00:00",0.31,,0.3
"2023-12-20 00:00:00",0.19,,0.32
"2023-12-21 00:00:00",0.6,,0.33
"2023-12-22 00:00:00",0.27,,0.34
"2023-12-23 00:00:00",0.45,,0.32
"2023-12-24 00:00:00",0.31,,0.32
"2023-12-25 00:00:00",0.25,,0.25
"2023-12-26 00:00:00",0.2,,0.24
"2023-12-27 00:00:00",0.15,,0.22
"2023-12-28 00:00:00",0.12,,0.2
"2023-12-29 00:00:00",0.17,,0.2
"2023-12-30 00:00:00",0.31,,0.2
"2023-12-31 00:00:00",0.23,,0.19
"2024-01-01 00:00:00",0.21,,0.2
"2024-01-02 00:00:00",0.18,,0.23
"2024-01-03 00:00:00",0.14,,0.21
"2024-01-04 00:00:00",0.13,,0.18
"2024-01-05 00:00:00",0.4,,0.15
"2024-01-06 00:00:00",0.21,,0.13
"2024-01-07 00:00:00",0,,0.11
"2024-01-08 00:00:00",0,,0.09
"2024-01-09 00:00:00",0,,0.03
"2024-01-10 00:00:00",0,,0
"2024-01-11 00:00:00",0,,0
"2024-01-12 00:00:00",0,,0
"2024-01-13 00:00:00",0,,0
"2024-01-14 00:00:00",0,,0
"2024-01-15 00:00:00",0,,0
"2024-01-16 00:00:00",0,,0
"2024-01-17 00:00:00",0,,0
"2024-01-18 00:00:00",0,,0.02
"2024-01-19 00:00:00",0,,0.04
"2024-01-20 00:00:00",0,,0.06
"2024-01-21 00:00:00",0.14,,0.07
"2024-01-22 00:00:00",0.13,,0.09
"2024-01-23 00:00:00",0.12,,0.11
"2024-01-24 00:00:00",0.12,,0.22
"2024-01-25 00:00:00",0.12,,0.24
"2024-01-26 00:00:00",0.12,,0.32
"2024-01-27 00:00:00",0.76,,0.34
"2024-01-28 00:00:00",0.32,,0.35
"2024-01-29 00:00:00",0.68,,0.36
"2024-01-30 00:00:00",0.25,,0.4
"2024-01-31 00:00:00",0.19,,0.32
"2024-02-01 00:00:00",0.23,,0.29
"2024-02-02 00:00:00",0.38,,0.2
"2024-02-03 00:00:00",0.21,,0.18
"2024-02-04 00:00:00",0.09,,0.16
"2024-02-05 00:00:00",0.07,,0.14
"2024-02-06 00:00:00",0.07,,0.12
"2024-02-07 00:00:00",0.07,,0.11
"2024-02-08 00:00:00",0.1,,0.12
"2024-02-09 00:00:00",0.25,,0.18
"2024-02-10 00:00:00",0.11,,0.22
"2024-02-11 00:00:00",0.18,,0.24
"2024-02-12 00:00:00",0.51,,0.28
"2024-02-13 00:00:00",0.33,,0.3
"2024-02-14 00:00:00",0.2,,0.32
"2024-02-15 00:00:00",0.41,,0.49
"2024-02-16 00:00:00",0.38,,0.51
"2024-02-17 00:00:00",0.24,,0.55
"2024-02-18 00:00:00",1.39,,0.68
"2024-02-19 00:00:00",0.59,,0.79
"2024-02-20 00:00:00",0.63,,0.89
"2024-02-21 00:00:00",1.09,,1.07
"2024-02-22 00:00:00",1.21,,1.03
"2024-02-23 00:00:00",1.06,,1.04
"2024-02-24 00:00:00",1.55,,1.04
"2024-02-25 00:00:00",1.07,,1.05
"2024-02-26 00:00:00",0.69,,1.05
"2024-02-27 00:00:00",0.58,,1.09
"2024-02-28 00:00:00",1.17,,1.07
"2024-02-29 00:00:00",1.23,,1.17
"2024-03-01 00:00:00",1.34,,1.28
"2024-03-02 00:00:00",1.43,,1.33
"2024-03-03 00:00:00",1.75,,1.29
"2024-03-04 00:00:00",1.43,,1.35
"2024-03-05 00:00:00",0.98,,1.5
"2024-03-06 00:00:00",0.86,,1.51
"2024-03-07 00:00:00",1.69,,1.47
"2024-03-08 00:00:00",2.33,,1.43
"2024-03-09 00:00:00",1.51,,1.49
"2024-03-10 00:00:00",1.52,,1.52
"2024-03-11 00:00:00",1.1,,1.64
"2024-03-12 00:00:00",1.39,,1.67
"2024-03-13 00:00:00",1.12,,1.94
"2024-03-14 00:00:00",2.5,,1.85
"2024-03-15 00:00:00",2.56,,1.76
"2024-03-16 00:00:00",3.36,,1.68
"2024-03-17 00:00:00",0.9,,1.69
"2024-03-18 00:00:00",0.46,,1.47
"2024-03-19 00:00:00",0.85,,1.2
"2024-03-20 00:00:00",1.21,,0.81
"2024-03-21 00:00:00",0.94,,0.91
"2024-03-22 00:00:00",0.7,,1.14
"2024-03-23 00:00:00",0.61,,1.23
"2024-03-24 00:00:00",1.63,,1.2
"2024-03-25 00:00:00",2.04,,1.44
"2024-03-26 00:00:00",1.51,,1.64
"2024-03-27 00:00:00",1,,1.78
"2024-03-28 00:00:00",2.56,,1.91
"2024-03-29 00:00:00",2.15,,1.79
"2024-03-30 00:00:00",1.6,,1.87
"2024-03-31 00:00:00",2.52,,2.12
"2024-04-01 01:00:00",1.21,,2.1
"2024-04-02 01:00:00",2.02,,2.18
"2024-04-03 01:00:00",2.75,,2.31
"2024-04-04 01:00:00",2.47,,2.37
"2024-04-05 01:00:00",2.72,,2.76
"2024-04-06 01:00:00",2.48,,2.84
"2024-04-07 01:00:00",2.91,,2.67
"2024-04-08 01:00:00",3.95,,2.54
"2024-04-09 01:00:00",2.57,,2.38
"2024-04-10 01:00:00",1.59,,2.73
"2024-04-11 01:00:00",1.56,,4.46
"2024-04-12 01:00:00",1.63,,5.46
"2024-04-13 01:00:00",4.9,,6.33
"2024-04-14 01:00:00",15.01,,7.32
"2024-04-15 01:00:00",10.98,,7.97
"2024-04-16 01:00:00",8.65,,8.6
"2024-04-17 01:00:00",8.5,,8.63
"2024-04-18 01:00:00",6.14,,7.23
"2024-04-19 01:00:00",6.05,,7
"2024-04-20 01:00:00",5.09,,6.68
"2024-04-21 01:00:00",5.17,,6.19
"2024-04-22 01:00:00",9.43,,6.14
"2024-04-23 01:00:00",6.37,,5.75
"2024-04-24 01:00:00",5.09,,5.59
