"Time","Sales","Trend Line","7-Day Moving Average"
"2023-04-30 01:00:00",0.21,0,0.19
"2023-05-01 01:00:00",0.25,,0.18
"2023-05-02 01:00:00",0.1,,0.16
"2023-05-03 01:00:00",0.11,,0.15
"2023-05-04 01:00:00",0.11,,0.15
"2023-05-05 01:00:00",0.08,,0.13
"2023-05-06 01:00:00",0.18,,0.13
"2023-05-07 01:00:00",0.22,,0.14
"2023-05-08 01:00:00",0.11,,0.15
"2023-05-09 01:00:00",0.09,,0.17
"2023-05-10 01:00:00",0.2,,0.16
"2023-05-11 01:00:00",0.16,,0.16
"2023-05-12 01:00:00",0.22,,0.19
"2023-05-13 01:00:00",0.13,,0.25
"2023-05-14 01:00:00",0.21,,0.28
"2023-05-15 01:00:00",0.3,,0.32
"2023-05-16 01:00:00",0.5,,0.34
"2023-05-17 01:00:00",0.46,,0.37
"2023-05-18 01:00:00",0.39,,0.36
"2023-05-19 01:00:00",0.39,,0.33
"2023-05-20 01:00:00",0.33,,0.27
"2023-05-21 01:00:00",0.15,,0.21
"2023-05-22 01:00:00",0.08,,0.17
"2023-05-23 01:00:00",0.07,,0.12
"2023-05-24 01:00:00",0.06,,0.08
"2023-05-25 01:00:00",0,,0.04
"2023-05-26 01:00:00",0,,0.03
"2023-05-27 01:00:00",0.05,,0.04
"2023-05-28 01:00:00",0,,0.01
"2023-05-29 01:00:00",0,,0.01
"2023-05-30 01:00:00",0,,0.01
"2023-05-31 01:00:00",0,,0
"2023-06-01 01:00:00",0,,0.02
"2023-06-02 01:00:00",0,,0.06
"2023-06-03 01:00:00",0,,0.08
"2023-06-04 01:00:00",0.11,,0.11
"2023-06-05 01:00:00",0.3,,0.14
"2023-06-06 01:00:00",0.18,,0.17
"2023-06-07 01:00:00",0.16,,0.19
"2023-06-08 01:00:00",0.21,,0.19
"2023-06-09 01:00:00",0.2,,0.15
"2023-06-10 01:00:00",0.17,,0.13
"2023-06-11 01:00:00",0.09,,0.11
"2023-06-12 01:00:00",0.04,,0.09
"2023-06-13 01:00:00",0.04,,0.06
"2023-06-14 01:00:00",0.03,,0.04
"2023-06-15 01:00:00",0.03,,0.04
"2023-06-16 01:00:00",0.03,,0.03
"2023-06-17 01:00:00",0.02,,0.03
"2023-06-18 01:00:00",0.06,,0.04
"2023-06-19 01:00:00",0.03,,0.04
"2023-06-20 01:00:00",0.04,,0.04
"2023-06-21 01:00:00",0.07,,0.04
"2023-06-22 01:00:00",0.04,,0.04
"2023-06-23 01:00:00",0.03,,0.04
"2023-06-24 01:00:00",0.02,,0.05
"2023-06-25 01:00:00",0.05,,0.05
"2023-06-26 01:00:00",0.04,,0.06
"2023-06-27 01:00:00",0.12,,0.07
"2023-06-28 01:00:00",0.07,,0.08
"2023-06-29 01:00:00",0.12,,0.08
"2023-06-30 01:00:00",0.07,,0.09
"2023-07-01 01:00:00",0.06,,0.08
"2023-07-02 01:00:00",0.09,,0.1
"2023-07-03 01:00:00",0.08,,0.09
"2023-07-04 01:00:00",0.07,,0.11
"2023-07-05 01:00:00",0.18,,0.12
"2023-07-06 01:00:00",0.11,,0.12
"2023-07-07 01:00:00",0.21,,0.11
"2023-07-08 01:00:00",0.13,,0.11
"2023-07-09 01:00:00",0.04,,0.09
"2023-07-10 01:00:00",0.05,,0.08
"2023-07-11 01:00:00",0.08,,0.06
"2023-07-12 01:00:00",0.04,,0.04
"2023-07-13 01:00:00",0.03,,0.04
"2023-07-14 01:00:00",0.03,,0.04
"2023-07-15 01:00:00",0.02,,0.03
"2023-07-16 01:00:00",0.03,,0.04
"2023-07-17 01:00:00",0.03,,0.04
"2023-07-18 01:00:00",0.02,,0.04
"2023-07-19 01:00:00",0.09,,0.04
"2023-07-20 01:00:00",0.05,,0.04
"2023-07-21 01:00:00",0.04,,0.03
"2023-07-22 01:00:00",0.03,,0.03
"2023-07-23 01:00:00",0,,0.02
"2023-07-24 01:00:00",0,,0.01
"2023-07-25 01:00:00",0,,0
"2023-07-26 01:00:00",0,,0
"2023-07-27 01:00:00",0,,0.01
"2023-07-28 01:00:00",0,,0.02
"2023-07-29 01:00:00",0,,0.04
"2023-07-30 01:00:00",0.06,,0.06
"2023-07-31 01:00:00",0.11,,0.07
"2023-08-01 01:00:00",0.13,,0.07
"2023-08-02 01:00:00",0.1,,0.08
"2023-08-03 01:00:00",0.06,,0.08
"2023-08-04 01:00:00",0.05,,0.08
"2023-08-05 01:00:00",0.05,,0.06
"2023-08-06 01:00:00",0.09,,0.05
"2023-08-07 01:00:00",0.05,,0.05
"2023-08-08 01:00:00",0.03,,0.04
"2023-08-09 01:00:00",0.03,,0.04
"2023-08-10 01:00:00",0.03,,0.06
"2023-08-11 01:00:00",0.03,,0.08
"2023-08-12 01:00:00",0.02,,0.09
"2023-08-13 01:00:00",0.2,,0.1
"2023-08-14 01:00:00",0.22,,0.11
"2023-08-15 01:00:00",0.12,,0.11
"2023-08-16 01:00:00",0.09,,0.12
"2023-08-17 01:00:00",0.08,,0.1
"2023-08-18 01:00:00",0.07,,0.08
"2023-08-19 01:00:00",0.08,,0.07
"2023-08-20 01:00:00",0.07,,0.06
"2023-08-21 01:00:00",0.04,,0.05
"2023-08-22 01:00:00",0.03,,0.05
"2023-08-23 01:00:00",0.02,,0.04
"2023-08-24 01:00:00",0.06,,0.04
"2023-08-25 01:00:00",0.03,,0.05
"2023-08-26 01:00:00",0.03,,0.05
"2023-08-27 01:00:00",0.09,,0.09
"2023-08-28 01:00:00",0.08,,0.1
"2023-08-29 01:00:00",0.07,,0.11
"2023-08-30 01:00:00",0.24,,0.12
"2023-08-31 01:00:00",0.16,,0.13
"2023-09-01 01:00:00",0.12,,0.16
"2023-09-02 01:00:00",0.11,,0.16
"2023-09-03 01:00:00",0.13,,0.15
"2023-09-04 01:00:00",0.26,,0.16
"2023-09-05 01:00:00",0.11,,0.17
"2023-09-06 01:00:00",0.16,,0.16
"2023-09-07 01:00:00",0.25,,0.17
"2023-09-08 01:00:00",0.14,,0.15
"2023-09-09 01:00:00",0.09,,0.14
"2023-09-10 01:00:00",0.2,,0.13
"2023-09-11 01:00:00",0.1,,0.1
"2023-09-12 01:00:00",0.07,,0.09
"2023-09-13 01:00:00",0.06,,0.08
"2023-09-14 01:00:00",0.05,,0.07
"2023-09-15 01:00:00",0.05,,0.06
"2023-09-16 01:00:00",0.05,,0.05
"2023-09-17 01:00:00",0.08,,0.05
"2023-09-18 01:00:00",0.05,,0.05
"2023-09-19 01:00:00",0.04,,0.04
"2023-09-20 01:00:00",0.03,,0.04
"2023-09-21 01:00:00",0.03,,0.03
"2023-09-22 01:00:00",0.03,,0.02
"2023-09-23 01:00:00",0.02,,0.02
"2023-09-24 01:00:00",0,,0.01
"2023-09-25 01:00:00",0,,0.01
"2023-09-26 01:00:00",0,,0
"2023-09-27 01:00:00",0,,0
"2023-09-28 01:00:00",0,,0.01
"2023-09-29 01:00:00",0,,0.02
"2023-09-30 01:00:00",0,,0.05
"2023-10-01 01:00:00",0.07,,0.07
"2023-10-02 01:00:00",0.07,,0.09
"2023-10-03 01:00:00",0.18,,0.11
"2023-10-04 01:00:00",0.18,,0.12
"2023-10-05 01:00:00",0.14,,0.14
"2023-10-06 01:00:00",0.12,,0.15
"2023-10-07 01:00:00",0.11,,0.14
"2023-10-08 01:00:00",0.15,,0.16
"2023-10-09 01:00:00",0.14,,0.19
"2023-10-10 01:00:00",0.13,,0.22
"2023-10-11 01:00:00",0.36,,0.25
"2023-10-12 01:00:00",0.34,,0.24
"2023-10-13 01:00:00",0.33,,0.24
"2023-10-14 01:00:00",0.27,,0.23
"2023-10-15 01:00:00",0.13,,0.19
"2023-10-16 01:00:00",0.1,,0.16
"2023-10-17 01:00:00",0.07,,0.13
"2023-10-18 01:00:00",0.07,,0.12
"2023-10-19 01:00:00",0.15,,0.11
"2023-10-20 01:00:00",0.14,,0.1
"2023-10-21 01:00:00",0.19,,0.1
"2023-10-22 01:00:00",0.05,,0.09
"2023-10-23 01:00:00",0.04,,0.07
"2023-10-24 01:00:00",0.03,,0.06
"2023-10-25 01:00:00",0.03,,0.04
"2023-10-26 01:00:00",0.02,,0.04
"2023-10-27 01:00:00",0.07,,0.04
"2023-10-28 01:00:00",0.04,,0.05
"2023-10-29 01:00:00",0.04,,0.05
"2023-10-30 00:00:00",0.08,,0.05
"2023-10-31 00:00:00",0.05,,0.04
"2023-11-01 00:00:00",0.04,,0.04
"2023-11-02 00:00:00",0.03,,0.04
"2023-11-03 00:00:00",0.03,,0.04
"2023-11-04 00:00:00",0.02,,0.05
"2023-11-05 00:00:00",0.05,,0.05
"2023-11-06 00:00:00",0.06,,0.07
"2023-11-07 00:00:00",0.13,,0.08
"2023-11-08 00:00:00",0.06,,0.08
"2023-11-09 00:00:00",0.12,,0.09
"2023-11-10 00:00:00",0.09,,0.08
"2023-11-11 00:00:00",0.06,,0.07
"2023-11-12 00:00:00",0.08,,0.06
"2023-11-13 00:00:00",0.04,,0.05
"2023-11-14 00:00:00",0.03,,0.04
"2023-11-15 00:00:00",0.03,,0.04
"2023-11-16 00:00:00",0.03,,0.06
"2023-11-17 00:00:00",0.02,,0.09
"2023-11-18 00:00:00",0.05,,0.11
"2023-11-19 00:00:00",0.25,,0.12
"2023-11-20 00:00:00",0.2,,0.13
"2023-11-21 00:00:00",0.18,,0.14
"2023-11-22 00:00:00",0.12,,0.14
"2023-11-23 00:00:00",0.08,,0.11
"2023-11-24 00:00:00",0.08,,0.08
"2023-11-25 00:00:00",0.08,,0.05
"2023-11-26 00:00:00",0,,0.03
"2023-11-27 00:00:00",0,,0.02
"2023-11-28 00:00:00",0,,0.01
"2023-11-29 00:00:00",0,,0
"2023-11-30 00:00:00",0,,0
"2023-12-01 00:00:00",0,,0
"2023-12-02 00:00:00",0,,0
"2023-12-03 00:00:00",0,,0
"2023-12-04 00:00:00",0,,0
"2023-12-05 00:00:00",0,,0
"2023-12-06 00:00:00",0,,0
"2023-12-07 00:00:00",0,,0
"2023-12-08 00:00:00",0,,0
"2023-12-09 00:00:00",0,,0
"2023-12-10 00:00:00",0,,0
"2023-12-11 00:00:00",0,,0
"2023-12-12 00:00:00",0,,0
"2023-12-13 00:00:00",0,,0
"2023-12-14 00:00:00",0,,0
"2023-12-15 00:00:00",0,,0
"2023-12-16 00:00:00",0,,0
"2023-12-17 00:00:00",0,,0
"2023-12-18 00:00:00",0,,0
"2023-12-19 00:00:00",0,,0
"2023-12-20 00:00:00",0,,0
"2023-12-21 00:00:00",0,,0
"2023-12-22 00:00:00",0,,0
"2023-12-23 00:00:00",0,,0
"2023-12-24 00:00:00",0,,0
"2023-12-25 00:00:00",0,,0
"2023-12-26 00:00:00",0,,0
"2023-12-27 00:00:00",0,,0
"2023-12-28 00:00:00",0,,0.01
"2023-12-29 00:00:00",0,,0.02
"2023-12-30 00:00:00",0,,0.03
"2023-12-31 00:00:00",0.07,,0.04
"2024-01-01 00:00:00",0.07,,0.05
"2024-01-02 00:00:00",0.07,,0.06
"2024-01-03 00:00:00",0.07,,0.14
"2024-01-04 00:00:00",0.07,,0.13
"2024-01-05 00:00:00",0.07,,0.12
"2024-01-06 00:00:00",0.56,,0.11
"2024-01-07 00:00:00",0,,0.1
"2024-01-08 00:00:00",0,,0.09
"2024-01-09 00:00:00",0,,0.08
"2024-01-10 00:00:00",0,,0
"2024-01-11 00:00:00",0,,0
"2024-01-12 00:00:00",0,,0
"2024-01-13 00:00:00",0,,0
"2024-01-14 00:00:00",0,,0
"2024-01-15 00:00:00",0,,0
"2024-01-16 00:00:00",0,,0
"2024-01-17 00:00:00",0,,0
"2024-01-18 00:00:00",0,,0
"2024-01-19 00:00:00",0,,0
"2024-01-20 00:00:00",0,,0
"2024-01-21 00:00:00",0,,0
"2024-01-22 00:00:00",0,,0
"2024-01-23 00:00:00",0,,0
"2024-01-24 00:00:00",0,,0
"2024-01-25 00:00:00",0,,0
"2024-01-26 00:00:00",0,,0
