"Time","Sales","Trend Line","7-Day Moving Average"
"2025-08-10 01:00:00",0,48.23517850905332,11.37
"2025-08-11 01:00:00",18.17,,25.3
"2025-08-12 01:00:00",22.14,,30.11
"2025-08-13 01:00:00",39.26,,35.71
"2025-08-14 01:00:00",43.05,,39.21
"2025-08-15 01:00:00",43.9,,45.1
"2025-08-16 01:00:00",44.18,,50
"2025-08-17 01:00:00",63.74,,51.54
"2025-08-18 01:00:00",59.45,,50.55
"2025-08-19 01:00:00",56.42,,48.65
"2025-08-20 01:00:00",50.02,,46.15
"2025-08-21 01:00:00",36.12,,46.66
"2025-08-22 01:00:00",30.61,,50.45
"2025-08-23 01:00:00",26.72,,57.78
"2025-08-24 01:00:00",67.27,,63.92
"2025-08-25 01:00:00",85.97,,73.69
"2025-08-26 01:00:00",107.76,,89.93
"2025-08-27 01:00:00",93.02,,97.02
"2025-08-28 01:00:00",104.45,,107.9
"2025-08-29 01:00:00",144.33,,107.85
"2025-08-30 01:00:00",76.33,,104.32
"2025-08-31 01:00:00",143.47,,109.36
"2025-09-01 01:00:00",85.59,,109.38
"2025-09-02 01:00:00",83.07,,100.08
"2025-09-03 01:00:00",128.29,,97.64
"2025-09-04 01:00:00",104.58,,93.58
"2025-09-05 01:00:00",79.2,,99.94
"2025-09-06 01:00:00",59.28,,104.77
"2025-09-07 01:00:00",115.06,,97.39
"2025-09-08 01:00:00",130.11,,92.33
"2025-09-09 01:00:00",116.86,,89.21
"2025-09-10 01:00:00",76.61,,87.95
"2025-09-11 01:00:00",69.16,,86.21
"2025-09-12 01:00:00",57.42,,75.24
"2025-09-13 01:00:00",50.43,,64.85
"2025-09-14 01:00:00",102.85,,64.27
"2025-09-15 01:00:00",53.33,,68.88
"2025-09-16 01:00:00",44.13,,73.66
"2025-09-17 01:00:00",72.59,,81.04
"2025-09-18 01:00:00",101.38,,77.37
"2025-09-19 01:00:00",90.89,,78.07
"2025-09-20 01:00:00",102.11,,77.2
"2025-09-21 01:00:00",77.17,,71.51
"2025-09-22 01:00:00",58.24,,62.84
"2025-09-23 01:00:00",38,,54.14
"2025-09-24 01:00:00",32.76,,43.25
"2025-09-25 01:00:00",40.72,,43.31
"2025-09-26 01:00:00",29.96,,41.39
"2025-09-27 01:00:00",25.89,,40.75
"2025-09-28 01:00:00",77.58,,41.86
"2025-09-29 01:00:00",44.8,,42.71
"2025-09-30 01:00:00",33.53,,44.02
"2025-10-01 01:00:00",40.56,,44.16
"2025-10-02 01:00:00",46.62,,36.38
"2025-10-03 01:00:00",39.19,,32.89
"2025-10-04 01:00:00",26.82,,32.48
"2025-10-05 01:00:00",23.14,,33.1
"2025-10-06 01:00:00",20.37,,35.08
"2025-10-07 01:00:00",30.69,,35.09
"2025-10-08 01:00:00",44.84,,34.71
"2025-10-09 01:00:00",60.48,,36.41
"2025-10-10 01:00:00",39.29,,38.07
"2025-10-11 01:00:00",24.14,,37.86
"2025-10-12 01:00:00",35.07,,34.44
"2025-10-13 01:00:00",31.98,,27.82
"2025-10-14 01:00:00",29.22,,24.08
"2025-10-15 01:00:00",20.88,,22.39
"2025-10-16 01:00:00",14.19,,17.78
"2025-10-17 01:00:00",13.06,,13.89
"2025-10-18 01:00:00",12.31,,10.39
"2025-10-19 01:00:00",2.84,,8.18
"2025-10-20 01:00:00",4.73,,6.93
"2025-10-21 01:00:00",4.73,,5.49
"2025-10-22 01:00:00",5.43,,4.04
"2025-10-23 01:00:00",5.38,,4.13
"2025-10-24 01:00:00",3.01,,3.98
"2025-10-25 01:00:00",2.18,,3.83
"2025-10-26 01:00:00",3.44,,4.02
"2025-10-27 00:00:00",3.66,,3.91
"2025-10-28 00:00:00",3.68,,3.89
"2025-10-29 00:00:00",6.79,,3.91
"2025-10-30 00:00:00",4.63,,3.73
"2025-10-31 00:00:00",2.86,,3.53
"2025-11-01 00:00:00",2.34,,3.49
"2025-11-02 00:00:00",2.18,,2.99
"2025-11-03 00:00:00",2.2,,2.52
"2025-11-04 00:00:00",3.4,,2.35
"2025-11-05 00:00:00",3.33,,2.35
"2025-11-06 00:00:00",1.31,,2.39
"2025-11-07 00:00:00",1.7,,2.4
"2025-11-08 00:00:00",2.32,,2.34
"2025-11-09 00:00:00",2.46,,2.3
"2025-11-10 00:00:00",2.28,,2.61
"2025-11-11 00:00:00",2.96,,3.03
"2025-11-12 00:00:00",3.05,,3.78
"2025-11-13 00:00:00",3.48,,4.07
"2025-11-14 00:00:00",4.69,,4.17
"2025-11-15 00:00:00",7.54,,4.08
"2025-11-16 00:00:00",4.47,,3.92
"2025-11-17 00:00:00",3.01,,3.63
"2025-11-18 00:00:00",2.32,,3.29
"2025-11-19 00:00:00",1.93,,2.48
"2025-11-20 00:00:00",1.48,,2.3
"2025-11-21 00:00:00",2.3,,2.21
"2025-11-22 00:00:00",1.83,,2.15
"2025-11-23 00:00:00",3.24,,2.17
"2025-11-24 00:00:00",2.4,,2.33
"2025-11-25 00:00:00",1.84,,2.41
"2025-11-26 00:00:00",2.13,,3
"2025-11-27 00:00:00",2.56,,2.95
"2025-11-28 00:00:00",2.9,,2.88
"2025-11-29 00:00:00",5.93,,3.02
"2025-11-30 00:00:00",2.9,,3.21
"2025-12-01 00:00:00",1.9,,3.24
"2025-12-02 00:00:00",2.84,,3.38
"2025-12-03 00:00:00",3.42,,3.26
"2025-12-04 00:00:00",2.77,,3.31
"2025-12-05 00:00:00",3.89,,3.28
"2025-12-06 00:00:00",5.11,,3.21
"2025-12-07 00:00:00",3.22,,3.33
"2025-12-08 00:00:00",1.71,,3.61
"2025-12-09 00:00:00",2.37,,3.46
"2025-12-10 00:00:00",4.24,,3
"2025-12-11 00:00:00",4.74,,3.05
"2025-12-12 00:00:00",2.81,,3.17
"2025-12-13 00:00:00",1.91,,3.18
"2025-12-14 00:00:00",3.59,,3.08
"2025-12-15 00:00:00",2.54,,3.21
"2025-12-16 00:00:00",2.43,,3.79
"2025-12-17 00:00:00",3.57,,4.3
"2025-12-18 00:00:00",5.61,,4.23
"2025-12-19 00:00:00",6.87,,4.12
"2025-12-20 00:00:00",5.51,,3.94
"2025-12-21 00:00:00",3.11,,3.58
"2025-12-22 00:00:00",1.74,,2.98
"2025-12-23 00:00:00",1.15,,2.22
"2025-12-24 00:00:00",1.05,,1.56
"2025-12-25 00:00:00",1.45,,1.28
"2025-12-26 00:00:00",1.5,,1.2
"2025-12-27 00:00:00",0.95,,1.21
"2025-12-28 00:00:00",1.09,,1.23
"2025-12-29 00:00:00",1.24,,1.26
"2025-12-30 00:00:00",1.2,,1.57
"2025-12-31 00:00:00",1.17,,1.96
"2026-01-01 00:00:00",1.64,,2.06
"2026-01-02 00:00:00",3.69,,2.01
"2026-01-03 00:00:00",3.66,,1.93
"2026-01-04 00:00:00",1.84,,1.9
"2026-01-05 00:00:00",0.85,,1.82
"2026-01-06 00:00:00",0.67,,1.5
"2026-01-07 00:00:00",0.94,,1.16
"2026-01-08 00:00:00",1.08,,1.03
"2026-01-09 00:00:00",1.43,,1.08
"2026-01-10 00:00:00",1.32,,1.1
"2026-01-11 00:00:00",0.91,,1.06
"2026-01-12 00:00:00",1.21,,1.04
"2026-01-13 00:00:00",0.79,,0.97
"2026-01-14 00:00:00",0.67,,0.85
"2026-01-15 00:00:00",0.98,,0.8
"2026-01-16 00:00:00",0.88,,0.82
"2026-01-17 00:00:00",0.48,,0.93
"2026-01-18 00:00:00",0.59,,0.96
"2026-01-19 00:00:00",1.33,,0.91
"2026-01-20 00:00:00",1.55,,0.97
"2026-01-21 00:00:00",0.88,,1.05
"2026-01-22 00:00:00",0.68,,1.11
"2026-01-23 00:00:00",1.31,,1.08
"2026-01-24 00:00:00",1.04,,1.02
"2026-01-25 00:00:00",0.98,,0.99
"2026-01-26 00:00:00",1.1,,1.02
"2026-01-27 00:00:00",1.13,,1.01
"2026-01-28 00:00:00",0.7,,1.16
"2026-01-29 00:00:00",0.86,,1.19
"2026-01-30 00:00:00",1.25,,1.21
"2026-01-31 00:00:00",2.11,,1.22
"2026-02-01 00:00:00",1.19,,1.28
"2026-02-02 00:00:00",1.22,,1.24
"2026-02-03 00:00:00",1.18,,1.13
"2026-02-04 00:00:00",1.18,,0.89
"2026-02-05 00:00:00",0.55,,0.85
"2026-02-06 00:00:00",0.48,,1.01
"2026-02-07 00:00:00",0.46,,1.05
"2026-02-08 00:00:00",0.9,,0.97
"2026-02-09 00:00:00",2.32,,0.99
"2026-02-10 00:00:00",1.46,,1.01
"2026-02-11 00:00:00",0.62,,1.04
"2026-02-12 00:00:00",0.67,,1.13
"2026-02-13 00:00:00",0.67,,1.02
"2026-02-14 00:00:00",0.67,,0.96
"2026-02-15 00:00:00",1.5,,1
"2026-02-16 00:00:00",1.54,,1.15
"2026-02-17 00:00:00",1.08,,1.41
"2026-02-18 00:00:00",0.9,,1.57
"2026-02-19 00:00:00",1.66,,1.64
"2026-02-20 00:00:00",2.53,,1.96
"2026-02-21 00:00:00",1.76,,2.1
"2026-02-22 00:00:00",2.02,,2.2
"2026-02-23 00:00:00",3.74,,2.21
"2026-02-24 00:00:00",2.08,,2.04
"2026-02-25 00:00:00",1.59,,1.96
"2026-02-26 00:00:00",1.76,,2.13
"2026-02-27 00:00:00",1.33,,1.97
"2026-02-28 00:00:00",1.18,,2.27
"2026-03-01 00:00:00",3.22,,2.51
"2026-03-02 00:00:00",2.61,,3.39
"2026-03-03 00:00:00",4.23,,4.14
"2026-03-04 00:00:00",0,,3.78
"2026-03-05 00:00:00",8.53,,4.94
"2026-03-06 00:00:00",4.97,,4.59
"2026-03-07 00:00:00",2.91,,3.93
"2026-03-08 00:00:00",2.83,,3.67
"2026-03-09 00:00:00",3.71,,2.65
"2026-03-10 00:00:00",1.64,,2.09
"2026-03-11 00:00:00",1.09,,1.83
"2026-03-12 00:00:00",1.4,,1.65
"2026-03-13 00:00:00",1.06,,1.32
"2026-03-14 00:00:00",1.06,,1.28
"2026-03-15 00:00:00",1.57,,1.39
"2026-03-16 00:00:00",1.39,,1.84
"2026-03-17 00:00:00",1.39,,2.25
"2026-03-18 00:00:00",1.84,,2.43
"2026-03-19 00:00:00",4.56,,2.46
"2026-03-20 00:00:00",3.95,,2.6
"2026-03-21 00:00:00",2.3,,2.99
"2026-03-22 00:00:00",1.78,,3.36
"2026-03-23 00:00:00",2.36,,3.15
"2026-03-24 00:00:00",4.13,,3
"2026-03-25 00:00:00",4.44,,3.27
"2026-03-26 00:00:00",3.11,,3.67
"2026-03-27 00:00:00",2.88,,3.97
"2026-03-28 00:00:00",4.22,,3.88
"2026-03-29 00:00:00",4.52,,3.64
"2026-03-30 01:00:00",4.52,,3.58
"2026-03-31 01:00:00",3.45,,4.12
"2026-04-01 01:00:00",2.76,,4.7
"2026-04-02 01:00:00",2.72,,6.15
"2026-04-03 01:00:00",6.66,,7.52
"2026-04-04 01:00:00",8.24,,9.85
"2026-04-05 01:00:00",14.68,,13.48
"2026-04-06 01:00:00",14.13,,17.94
"2026-04-07 01:00:00",19.79,,22.35
"2026-04-08 01:00:00",28.16,,26.22
"2026-04-09 01:00:00",33.92,,33.16
"2026-04-10 01:00:00",37.51,,34.99
"2026-04-11 01:00:00",35.33,,34.77
"2026-04-12 01:00:00",63.3,,33.4
"2026-04-13 01:00:00",26.89,,32.4
"2026-04-14 01:00:00",18.28,,29.44
"2026-04-15 01:00:00",18.59,,28.74
"2026-04-16 01:00:00",0,,20.09
"2026-04-17 01:00:00",25.44,,22.92
"2026-04-18 01:00:00",30.09,,23.32
"2026-04-19 01:00:00",21.32,,20.89
"2026-04-20 01:00:00",21.27,,19.54
"2026-04-21 01:00:00",16.46,,18.83
"2026-04-22 01:00:00",10.31,,18.39
"2026-04-23 01:00:00",11.89,,18.44
"2026-04-24 01:00:00",20.46,,18.42
"2026-04-25 01:00:00",27.02,,18.75
"2026-04-26 01:00:00",21.69,,20.38
"2026-04-27 01:00:00",21.1,,21.61
"2026-04-28 01:00:00",18.81,0,20.72
