"Time","Sales","Trend Line","7-Day Moving Average"
"2024-07-24 01:00:00",1.87,41.18366267354569,2.23
"2024-07-25 01:00:00",1.46,,2.04
"2024-07-26 01:00:00",1.79,,2.06
"2024-07-27 01:00:00",4.88,,1.97
"2024-07-28 01:00:00",1.36,,2.07
"2024-07-29 01:00:00",1.27,,2.15
"2024-07-30 01:00:00",1.19,,2.4
"2024-07-31 01:00:00",2.51,,2.14
"2024-08-01 01:00:00",2.08,,2.43
"2024-08-02 01:00:00",3.53,,2.58
"2024-08-03 01:00:00",3.06,,2.87
"2024-08-04 01:00:00",3.4,,3.17
"2024-08-05 01:00:00",2.27,,3.55
"2024-08-06 01:00:00",3.24,,3.77
"2024-08-07 01:00:00",4.62,,4.14
"2024-08-08 01:00:00",4.7,,4.82
"2024-08-09 01:00:00",5.1,,5.56
"2024-08-10 01:00:00",5.67,,6.41
"2024-08-11 01:00:00",8.12,,6.37
"2024-08-12 01:00:00",7.48,,6.47
"2024-08-13 01:00:00",9.18,,7.38
"2024-08-14 01:00:00",4.31,,7.19
"2024-08-15 01:00:00",5.42,,6.96
"2024-08-16 01:00:00",11.49,,9.35
"2024-08-17 01:00:00",0,,6.38
"2024-08-18 01:00:00",0,,7.14
"2024-08-19 01:00:00",12.04,,10.75
"2024-08-20 01:00:00",11.37,,9.94
"2024-08-21 01:00:00",9.65,,10.95
"2024-08-22 01:00:00",6.59,,11.47
"2024-08-23 01:00:00",7.2,,11.75
"2024-08-24 01:00:00",20.16,,12.35
"2024-08-25 01:00:00",13.25,,15.9
"2024-08-26 01:00:00",14.03,,20.56
"2024-08-27 01:00:00",15.55,,22.58
"2024-08-28 01:00:00",34.52,,23.43
"2024-08-29 01:00:00",39.18,,23.34
"2024-08-30 01:00:00",21.38,,27.24
"2024-08-31 01:00:00",26.1,,28.55
"2024-09-01 01:00:00",12.64,,26.7
"2024-09-02 01:00:00",41.3,,23.23
"2024-09-03 01:00:00",24.76,,22.37
"2024-09-04 01:00:00",21.52,,20.86
"2024-09-05 01:00:00",14.92,,20.29
"2024-09-06 01:00:00",15.37,,15.43
"2024-09-07 01:00:00",15.49,,13.57
"2024-09-08 01:00:00",8.65,,11.64
"2024-09-09 01:00:00",7.31,,10.26
"2024-09-10 01:00:00",11.73,,9.34
"2024-09-11 01:00:00",7.99,,9.14
"2024-09-12 01:00:00",5.25,,9.18
"2024-09-13 01:00:00",8.99,,9.39
"2024-09-14 01:00:00",14.08,,8.97
"2024-09-15 01:00:00",8.9,,10.51
"2024-09-16 01:00:00",8.82,,11.04
"2024-09-17 01:00:00",8.78,,10.87
"2024-09-18 01:00:00",18.77,,9.71
"2024-09-19 01:00:00",8.95,,9.34
"2024-09-20 01:00:00",7.78,,8.89
"2024-09-21 01:00:00",6,,8.93
"2024-09-22 01:00:00",6.26,,7.78
"2024-09-23 01:00:00",5.72,,8.64
"2024-09-24 01:00:00",9.02,,9.46
"2024-09-25 01:00:00",10.73,,10.43
"2024-09-26 01:00:00",14.96,,11.15
"2024-09-27 01:00:00",13.51,,12.36
"2024-09-28 01:00:00",12.8,,13.56
"2024-09-29 01:00:00",11.34,,14.59
"2024-09-30 01:00:00",14.13,,16.89
"2024-10-01 01:00:00",17.43,,17.65
"2024-10-02 01:00:00",17.97,,19.29
"2024-10-03 01:00:00",31.07,,19.12
"2024-10-04 01:00:00",18.79,,18.8
"2024-10-05 01:00:00",24.27,,18.84
"2024-10-06 01:00:00",10.19,,18.07
"2024-10-07 01:00:00",11.9,,15.42
"2024-10-08 01:00:00",17.68,,16.11
"2024-10-09 01:00:00",12.57,,17.14
"2024-10-10 01:00:00",12.57,,17.4
"2024-10-11 01:00:00",23.57,,17.87
"2024-10-12 01:00:00",31.52,,17.99
"2024-10-13 01:00:00",12.01,,20.15
"2024-10-14 01:00:00",15.19,,24.12
"2024-10-15 01:00:00",18.52,,22.73
"2024-10-16 01:00:00",27.64,,20
"2024-10-17 01:00:00",40.4,,19.94
"2024-10-18 01:00:00",13.86,,20.46
"2024-10-19 01:00:00",12.37,,20.62
"2024-10-20 01:00:00",11.6,,20.9
"2024-10-21 01:00:00",18.84,,17.78
"2024-10-22 01:00:00",19.66,,19.21
"2024-10-23 01:00:00",29.57,,20
"2024-10-24 01:00:00",18.57,,20.39
"2024-10-25 01:00:00",23.83,,19.36
"2024-10-26 01:00:00",17.92,,19.05
"2024-10-27 01:00:00",14.35,,17.78
"2024-10-28 00:00:00",11.63,,18.7
"2024-10-29 00:00:00",17.47,,18.83
"2024-10-30 00:00:00",20.69,,20.57
"2024-10-31 00:00:00",25.03,,20.4
"2024-11-01 00:00:00",24.69,,21.15
"2024-11-02 00:00:00",30.14,,22.06
"2024-11-03 00:00:00",13.16,,22.12
"2024-11-04 00:00:00",16.9,,22.78
"2024-11-05 00:00:00",23.8,,24.28
"2024-11-06 00:00:00",21.09,,22.71
"2024-11-07 00:00:00",29.68,,26.38
"2024-11-08 00:00:00",35.17,,27.6
"2024-11-09 00:00:00",19.19,,27.33
"2024-11-10 00:00:00",38.82,,26.72
"2024-11-11 00:00:00",25.44,,24.61
"2024-11-12 00:00:00",21.95,,21.38
"2024-11-13 00:00:00",16.79,,20.71
"2024-11-14 00:00:00",14.89,,19.42
"2024-11-15 00:00:00",12.6,,21.15
