"Time","Sales","Trend Line","7-Day Moving Average"
"2025-04-06 01:00:00",8.77,93.7650997954414,7.24
"2025-04-07 01:00:00",5.87,,6.17
"2025-04-08 01:00:00",5.45,,6.29
"2025-04-09 01:00:00",4.28,,7.24
"2025-04-10 01:00:00",7.11,,10.09
"2025-04-11 01:00:00",7.11,,13.36
"2025-04-12 01:00:00",12.08,,20.49
"2025-04-13 01:00:00",28.73,,24.92
"2025-04-14 01:00:00",28.73,,26.56
"2025-04-15 01:00:00",55.36,,28.61
"2025-04-16 01:00:00",35.32,,30.8
"2025-04-17 01:00:00",18.61,,29.01
"2025-04-18 01:00:00",21.47,,26.74
"2025-04-19 01:00:00",27.41,,20.57
"2025-04-20 01:00:00",16.17,,17.62
"2025-04-21 01:00:00",12.84,,16.16
"2025-04-22 01:00:00",12.19,,14.54
"2025-04-23 01:00:00",14.62,,14.08
"2025-04-24 01:00:00",8.42,,15.2
"2025-04-25 01:00:00",10.16,,18.54
"2025-04-26 01:00:00",24.15,,22.92
"2025-04-27 01:00:00",24,,26.05
"2025-04-28 01:00:00",36.25,,29.08
"2025-04-29 01:00:00",42.84,,31.28
"2025-04-30 01:00:00",36.56,,30.24
"2025-05-01 01:00:00",29.63,,33.66
"2025-05-02 01:00:00",25.5,,30.77
"2025-05-03 01:00:00",16.91,,26.95
"2025-05-04 01:00:00",47.93,,26.75
"2025-05-05 01:00:00",16.03,,26.03
"2025-05-06 01:00:00",16.12,,25.42
"2025-05-07 01:00:00",35.13,,27.68
"2025-05-08 01:00:00",24.58,,23.7
"2025-05-09 01:00:00",21.26,,28.42
"2025-05-10 01:00:00",32.74,,33.61
"2025-05-11 01:00:00",20.02,,32.14
"2025-05-12 01:00:00",49.09,,33.35
"2025-05-13 01:00:00",52.45,,35.15
"2025-05-14 01:00:00",24.86,,35.29
"2025-05-15 01:00:00",33.01,,35.91
"2025-05-16 01:00:00",33.91,,32.77
"2025-05-17 01:00:00",33.71,,31.19
"2025-05-18 01:00:00",24.33,,34.2
"2025-05-19 01:00:00",27.15,,36.11
"2025-05-20 01:00:00",41.36,,37.98
"2025-05-21 01:00:00",45.96,,42.12
"2025-05-22 01:00:00",46.36,,45.42
"2025-05-23 01:00:00",47,,46.29
"2025-05-24 01:00:00",62.65,,44.19
"2025-05-25 01:00:00",47.49,,42.51
"2025-05-26 01:00:00",33.19,,40.81
"2025-05-27 01:00:00",26.71,,41.04
"2025-05-28 01:00:00",34.18,,43.79
"2025-05-29 01:00:00",34.48,,41.23
"2025-05-30 01:00:00",48.6,,47.38
"2025-05-31 01:00:00",81.88,,52.5
"2025-06-01 01:00:00",29.56,,56.62
"2025-06-02 01:00:00",76.26,,58.48
"2025-06-03 01:00:00",62.52,,58.19
"2025-06-04 01:00:00",63.07,,50.78
"2025-06-05 01:00:00",47.46,,57.52
"2025-06-06 01:00:00",46.55,,54.42
"2025-06-07 01:00:00",30.04,,52.42
"2025-06-08 01:00:00",76.72,,48.24
"2025-06-09 01:00:00",54.59,,45.99
"2025-06-10 01:00:00",48.52,,43.52
"2025-06-11 01:00:00",33.79,,50.19
"2025-06-12 01:00:00",31.72,,43.64
"2025-06-13 01:00:00",29.27,,39.92
"2025-06-14 01:00:00",76.72,,37.81
"2025-06-15 01:00:00",30.88,,41.25
"2025-06-16 01:00:00",28.55,,46.79
"2025-06-17 01:00:00",33.72,,52.62
"2025-06-18 01:00:00",57.87,,52.29
"2025-06-19 01:00:00",70.5,,73.49
"2025-06-20 01:00:00",70.13,,90.96
"2025-06-21 01:00:00",74.35,,97.56
"2025-06-22 01:00:00",179.31,,99.73
"2025-06-23 01:00:00",150.86,,99.12
"2025-06-24 01:00:00",79.87,,98.24
"2025-06-25 01:00:00",73.1,,95.83
"2025-06-26 01:00:00",66.22,,78.09
"2025-06-27 01:00:00",64,,67.16
"2025-06-28 01:00:00",57.42,,73.05
"2025-06-29 01:00:00",55.19,,80.38
"2025-06-30 01:00:00",74.34,,89.5
"2025-07-01 01:00:00",121.11,,94.52
"2025-07-02 01:00:00",124.41,,100
"2025-07-03 01:00:00",130.05,,113.57
"2025-07-04 01:00:00",99.1,,120.94
"2025-07-05 01:00:00",95.8,,120.15
"2025-07-06 01:00:00",150.15,,118.29
"2025-07-07 01:00:00",125.96,,119.47
"2025-07-08 01:00:00",115.6,,130.53
"2025-07-09 01:00:00",111.34,,171.1
"2025-07-10 01:00:00",138.33,,185.72
"2025-07-11 01:00:00",176.51,,207.91
"2025-07-12 01:00:00",379.81,,222.21
"2025-07-13 01:00:00",252.49,,228.18
"2025-07-14 01:00:00",281.31,,226.54
"2025-07-15 01:00:00",215.67,,218.56
"2025-07-16 01:00:00",153.14,,182.74
"2025-07-17 01:00:00",126.87,,179.44
"2025-07-18 01:00:00",120.65,,175.62
"2025-07-19 01:00:00",129.08,,176.53
"2025-07-20 01:00:00",229.36,,177.06
"2025-07-21 01:00:00",254.58,,178.67
"2025-07-22 01:00:00",222.03,,178.76
"2025-07-23 01:00:00",156.85,,176.78
"2025-07-24 01:00:00",138.13,,174.13
"2025-07-25 01:00:00",121.26,,183.21
"2025-07-26 01:00:00",115.23,,182.94
"2025-07-27 01:00:00",210.83,,186.3
"2025-07-28 01:00:00",318.15,,194.34
"2025-07-29 01:00:00",220.11,,208.47
"2025-07-30 01:00:00",180.4,,216.04
"2025-07-31 01:00:00",194.43,,212.45
"2025-08-01 01:00:00",220.11,,195.43
"2025-08-02 01:00:00",168.26,,194.59
"2025-08-03 01:00:00",185.71,,191.56
"2025-08-04 01:00:00",198.97,,184.19
"2025-08-05 01:00:00",214.28,,171.7
"2025-08-06 01:00:00",159.18,,162.97
"2025-08-07 01:00:00",142.85,,150.36
"2025-08-08 01:00:00",132.65,,139.78
"2025-08-09 01:00:00",107.14,,130.11
"2025-08-10 01:00:00",97.43,,133.59
"2025-08-11 01:00:00",124.95,,142
"2025-08-12 01:00:00",146.54,,150.78
"2025-08-13 01:00:00",183.56,,165.48
"2025-08-14 01:00:00",201.76,,180.62
"2025-08-15 01:00:00",194.05,,185.07
"2025-08-16 01:00:00",210.09,,186.01
"2025-08-17 01:00:00",203.42,,179.59
"2025-08-18 01:00:00",156.09,,166.95
"2025-08-19 01:00:00",153.13,,152.67
"2025-08-20 01:00:00",138.62,,134.15
"2025-08-21 01:00:00",113.26,,119.21
"2025-08-22 01:00:00",94.07,,112.27
"2025-08-23 01:00:00",80.43,,106.82
"2025-08-24 01:00:00",98.9,,100.73
"2025-08-25 01:00:00",107.48,,103.13
"2025-08-26 01:00:00",114.95,,116.79
"2025-08-27 01:00:00",96.04,,145.46
"2025-08-28 01:00:00",130.03,,153.08
"2025-08-29 01:00:00",189.71,,155.97
"2025-08-30 01:00:00",281.11,,157.79
"2025-08-31 01:00:00",152.26,,162.51
"2025-09-01 01:00:00",127.7,,157.51
"2025-09-02 01:00:00",127.7,,139.99
"2025-09-03 01:00:00",129.09,,108.81
"2025-09-04 01:00:00",95,,103.56
"2025-09-05 01:00:00",67.1,,95.59
"2025-09-06 01:00:00",62.83,,85.84
"2025-09-07 01:00:00",115.52,,76.25
"2025-09-08 01:00:00",71.89,,76.65
"2025-09-09 01:00:00",59.46,,88.57
"2025-09-10 01:00:00",61.93,,101.09
"2025-09-11 01:00:00",97.83,,101.39
"2025-09-12 01:00:00",150.51,,100.76
"2025-09-13 01:00:00",150.51,,98.8
"2025-09-14 01:00:00",117.59,,98.47
