asin,variant_asin,variant,marketplace,brand,product_title,title,body,rating,date,author,verified_purchase,helpful_votes,review_id,review_url,images,scrape_date
B000PKIHO6,,Style Name: Wasp trap including bait,amazon.de,,,Dürfte den Wespen gefallen,"Steht seit 3 Tagen auf der Terrasse, Wespen fliegen bis zu der Öffnung setzen sich hin und fliegen wieder davon. Rundherum sehr sehr viele Wespen. Bis dato keine rein geflogen.Der jetzige Kommentar, uns hat es bis jetzt leider nichts gebracht",1,Reviewed in Germany on 17 April 2026,pleininger,True,0,R3BV0YNYJ9GGDA,https://www.amazon.de/gp/customer-reviews/R3BV0YNYJ9GGDA,,2026-04-28T15:26:24.420143
B000PKIHO6,,Style Name: Wasp trap including bait,amazon.de,,,Nicht kaufen,Grösste blödsinn was gibt kein erfolg,1,Reviewed in Germany on 25 April 2026,CHRISTOPHER SCHROLL,True,0,REY8N93JEPFOA,https://www.amazon.de/gp/customer-reviews/REY8N93JEPFOA,,2026-04-28T15:26:24.420143
B000PKIHO6,,Style Name: Wasp trap including bait,amazon.de,,,"Ein Witz, Nicht zu empfehlen","Seit gestern in Betrieb und die mitgelieferte Flüssigkeit zum Anmischen wurde schon größtenteils von den Wespen verzehrt. Keine einzige Wespe wurde gefangen. Die Fliegen alle in das Gefäß, schlürfen die Flüssigkeit weg und entweichen wieder durch die Öffnung! Ein absoluter Witz diese Produkt. Nicht zu empfehlen.",1,Reviewed in Germany on 18 August 2025,Nico,True,0,R70XHXLFA3JQP,https://www.amazon.de/gp/customer-reviews/R70XHXLFA3JQP,,2026-04-28T15:26:24.420143
B000PKIHO6,,Style Name: Wasp trap including bait,amazon.de,,,Funktioniert nicht,"Unsere Wespen scheinen zu schlau zu sein.Ich bin richtig enttäuscht.Der Lockstoff funktioniert ganz gut,aber die Wespen bedienen sich am Lockstoff und fliegen munter rein und raus.",1,Reviewed in Germany on 13 August 2025,Kerstin Hunfeld,True,0,R2KBM0GHLYZ8DR,https://www.amazon.de/gp/customer-reviews/R2KBM0GHLYZ8DR,,2026-04-28T15:26:24.420143
B000PKIHO6,,Style Name: Wasp trap including bait,amazon.de,,,Wespenfalle funktioniert nicht wie erwartet,"Leider hat die Wespenfalle nicht das gemacht , wie es beschrieben ist. Bei uns wurde keine einzige Wespe gefangen. Aus diesem Grund kann ich leider nur diese Bewertung geben",1,Reviewed in Germany on 25 July 2025,Andre B.,True,0,R29A7XBZB42AND,https://www.amazon.de/gp/customer-reviews/R29A7XBZB42AND,,2026-04-28T15:26:24.420143
B000PKIHO6,,Style Name: Wasp trap including bait,amazon.de,,,Keinerlei Wirkung.,Keinerlei Wirkung. Absoluter Fehlkauf.,1,Reviewed in Germany on 3 September 2025,Amazon Kunde,True,0,R2GHA2M06NXHT8,https://www.amazon.de/gp/customer-reviews/R2GHA2M06NXHT8,,2026-04-28T15:26:24.420143
B000PKIHO6,,Style Name: Köder,amazon.de,,,.,"Packungen bestellt, in Wespenfalle gegeben, jetzt seit 2 Tagen nichts passiert. Die Wespen interessieren sich überhaupt nicht für den Lockstoff.",1,Reviewed in Germany on 27 June 2025,Christopher Sitte,True,0,R1J38TTIYQE6HV,https://www.amazon.de/gp/customer-reviews/R1J38TTIYQE6HV,,2026-04-28T15:26:24.420143
B000PKIHO6,,Style Name: Wasp trap including bait,amazon.de,,,Enttäuscht,Absoluter Fehlprodukt.10 cm von Wespen Nest (unter Terrassen Dielen) in 3 Tagen keine einzige in Falle. Fliegen ruhig vorbei.,1,Reviewed in Germany on 28 June 2025,Juraj Hutlak,True,0,R240S17Z6LYCDC,https://www.amazon.de/gp/customer-reviews/R240S17Z6LYCDC,,2026-04-28T15:26:24.420143
B000PKIHO6,,Style Name: Wasp trap including bait,amazon.de,,,Scherzartikel für Wespen,"Der Köder scheint für Wespen total ungeeignet zu sein ! 7 Tage direkt vor dem Wespennest positioniert , keine Wespe in der Falle !!! Ich glaube die Wespen sitzen auf der Falle und lachen mich aus !!! Totale Geld Verschwendung  !!! Dieser Plastikbecher ohne Nutzen geht zurück !",1,Reviewed in Germany on 14 July 2024,Andreas Binder,True,0,R4TMS5LFOENTS,https://www.amazon.de/gp/customer-reviews/R4TMS5LFOENTS,,2026-04-28T15:26:24.420143
B000PKIHO6,,Style Name: Wasp trap including bait,amazon.de,,,Futterstelle,Die Wespenfalle ist ein reiner Reinfall. Die Wespen fliegen in die Dose und trinken sich satt an dem Köder. Danach krabbeln sie wieder auf der Dose raus.Leute kauft euch lieber Raid und sprüht es punktuell auf Wespen aber das hier ist eine absolute fehlkonstruktion,1,Reviewed in Germany on 14 August 2024,Kevin.F,True,0,R1R7E85W346YE1,https://www.amazon.de/gp/customer-reviews/R1R7E85W346YE1,,2026-04-28T15:26:24.420143
