asin,variant_asin,variant,marketplace,brand,product_title,title,body,rating,date,author,verified_purchase,helpful_votes,review_id,review_url,images,scrape_date
B005AUMQKW,,Style Name: Wasp trap including bait,amazon.de,,,Dürfte den Wespen gefallen,"Steht seit 3 Tagen auf der Terrasse, Wespen fliegen bis zu der Öffnung setzen sich hin und fliegen wieder davon. Rundherum sehr sehr viele Wespen. Bis dato keine rein geflogen.Der jetzige Kommentar, uns hat es bis jetzt leider nichts gebracht",1,Reviewed in Germany on 17 April 2026,pleininger,True,0,R3BV0YNYJ9GGDA,https://www.amazon.de/gp/customer-reviews/R3BV0YNYJ9GGDA,,2026-04-28T15:15:53.004257
B005AUMQKW,,Style Name: Wasp trap including bait,amazon.de,,,Nicht kaufen,Grösste blödsinn was gibt kein erfolg,1,Reviewed in Germany on 25 April 2026,CHRISTOPHER SCHROLL,True,0,REY8N93JEPFOA,https://www.amazon.de/gp/customer-reviews/REY8N93JEPFOA,,2026-04-28T15:15:53.004257
B005AUMQKW,,Style Name: Wasp trap including bait,amazon.de,,,"Ein Witz, Nicht zu empfehlen","Seit gestern in Betrieb und die mitgelieferte Flüssigkeit zum Anmischen wurde schon größtenteils von den Wespen verzehrt. Keine einzige Wespe wurde gefangen. Die Fliegen alle in das Gefäß, schlürfen die Flüssigkeit weg und entweichen wieder durch die Öffnung! Ein absoluter Witz diese Produkt. Nicht zu empfehlen.",1,Reviewed in Germany on 18 August 2025,Nico,True,0,R70XHXLFA3JQP,https://www.amazon.de/gp/customer-reviews/R70XHXLFA3JQP,,2026-04-28T15:15:53.004257
B005AUMQKW,,Style Name: Wasp trap including bait,amazon.de,,,Funktioniert nicht,"Unsere Wespen scheinen zu schlau zu sein.Ich bin richtig enttäuscht.Der Lockstoff funktioniert ganz gut,aber die Wespen bedienen sich am Lockstoff und fliegen munter rein und raus.",1,Reviewed in Germany on 13 August 2025,Kerstin Hunfeld,True,0,R2KBM0GHLYZ8DR,https://www.amazon.de/gp/customer-reviews/R2KBM0GHLYZ8DR,,2026-04-28T15:15:53.004257
B005AUMQKW,,Style Name: Wasp trap including bait,amazon.de,,,Wespenfalle funktioniert nicht wie erwartet,"Leider hat die Wespenfalle nicht das gemacht , wie es beschrieben ist. Bei uns wurde keine einzige Wespe gefangen. Aus diesem Grund kann ich leider nur diese Bewertung geben",1,Reviewed in Germany on 25 July 2025,Andre B.,True,0,R29A7XBZB42AND,https://www.amazon.de/gp/customer-reviews/R29A7XBZB42AND,,2026-04-28T15:15:53.004257
B005AUMQKW,,Style Name: Wasp trap including bait,amazon.de,,,Keinerlei Wirkung.,Keinerlei Wirkung. Absoluter Fehlkauf.,1,Reviewed in Germany on 3 September 2025,Amazon Kunde,True,0,R2GHA2M06NXHT8,https://www.amazon.de/gp/customer-reviews/R2GHA2M06NXHT8,,2026-04-28T15:15:53.004257
B005AUMQKW,,Style Name: Köder,amazon.de,,,.,"Packungen bestellt, in Wespenfalle gegeben, jetzt seit 2 Tagen nichts passiert. Die Wespen interessieren sich überhaupt nicht für den Lockstoff.",1,Reviewed in Germany on 27 June 2025,Christopher Sitte,True,0,R1J38TTIYQE6HV,https://www.amazon.de/gp/customer-reviews/R1J38TTIYQE6HV,,2026-04-28T15:15:53.004257
B005AUMQKW,,Style Name: Wasp trap including bait,amazon.de,,,Enttäuscht,Absoluter Fehlprodukt.10 cm von Wespen Nest (unter Terrassen Dielen) in 3 Tagen keine einzige in Falle. Fliegen ruhig vorbei.,1,Reviewed in Germany on 28 June 2025,Juraj Hutlak,True,0,R240S17Z6LYCDC,https://www.amazon.de/gp/customer-reviews/R240S17Z6LYCDC,,2026-04-28T15:15:53.004257
B005AUMQKW,,Style Name: Wasp trap including bait,amazon.de,,,Scherzartikel für Wespen,"Der Köder scheint für Wespen total ungeeignet zu sein ! 7 Tage direkt vor dem Wespennest positioniert , keine Wespe in der Falle !!! Ich glaube die Wespen sitzen auf der Falle und lachen mich aus !!! Totale Geld Verschwendung  !!! Dieser Plastikbecher ohne Nutzen geht zurück !",1,Reviewed in Germany on 14 July 2024,Andreas Binder,True,0,R4TMS5LFOENTS,https://www.amazon.de/gp/customer-reviews/R4TMS5LFOENTS,,2026-04-28T15:15:53.004257
B005AUMQKW,,Style Name: Wasp trap including bait,amazon.de,,,Futterstelle,Die Wespenfalle ist ein reiner Reinfall. Die Wespen fliegen in die Dose und trinken sich satt an dem Köder. Danach krabbeln sie wieder auf der Dose raus.Leute kauft euch lieber Raid und sprüht es punktuell auf Wespen aber das hier ist eine absolute fehlkonstruktion,1,Reviewed in Germany on 14 August 2024,Kevin.F,True,0,R1R7E85W346YE1,https://www.amazon.de/gp/customer-reviews/R1R7E85W346YE1,,2026-04-28T15:15:53.004257
B005AUMQKW,,Style Name: Wasp trap including bait,amazon.de,,,Geld verschwendung,Funktioniert überhaupt nicht. Die Wespen kommen nicht mal in die nähe.,1,Reviewed in Germany on 29 April 2025,Stefan,True,0,R1FA1CMS4XV9BT,https://www.amazon.de/gp/customer-reviews/R1FA1CMS4XV9BT,,2026-04-28T15:15:53.004257
B005AUMQKW,,Style Name: Wasp trap including bait,amazon.de,,,Keine einzige Wespe gefangen,"Ich habe das Produkt - wie beschrieben -aufgestellt, ca. 1,0 m von einem angehenden Wespennest entfernt, d.h. sie flogen unentwegt daran vorbei, doch keine einzige hatte sich angezogen gefühlt. Obwohl ich sonst immer Bio verwende, musste ich zu einem herkömmlichen Produkt greifen und konnte somit die Wespenplage unter Kontrolle bekommen! Schade, dass Geld hierfür habe ich umsonst ausgegeben.",1,Reviewed in Germany on 21 June 2022,Burg,True,0,R6OZCH49ZNFJC,https://www.amazon.de/gp/customer-reviews/R6OZCH49ZNFJC,,2026-04-28T15:15:53.004257
B005AUMQKW,,Style Name: Wasp trap including bait,amazon.de,,,Meine Wespen lieben den Inhalt,Leider holen sich die Wespen den Inhaltraus und fliegen dann wieder aus dem Gefäß.Jetzt hab ich noch mehr Wespen wie vorher,1,Reviewed in Germany on 13 August 2024,L,True,0,R1GUEE20BU3K3C,https://www.amazon.de/gp/customer-reviews/R1GUEE20BU3K3C,,2026-04-28T15:15:53.004257
B005AUMQKW,,Style Name: Wasp trap including bait,amazon.de,,,Wespenfalle?? Fliegengrab!!,"Schnelle Lieferung, einfacher Aufbau. Starker Plastikgeruch. Das schlimmste: direkt in die Flugroute der Wespen gehängt: nichts! Habe, wie schon einmal jemand geschrieben hat, die Wespen laut lachen hören, als sie vorbeiflogen. Ich habe es der Fairness halber eine Woche hängen lassen....und sie lachen immer noch....Fliegen fängt das Ding hingegen wunderbar. Bei Fliegenproblemen unbedingt kaufen, sonst rausgeschmissenes Geld!",1,Reviewed in Germany on 23 August 2021,Pria81,True,0,R3N7H2Q72SGL55,https://www.amazon.de/gp/customer-reviews/R3N7H2Q72SGL55,,2026-04-28T15:15:53.004257
B005AUMQKW,,Style Name: Wasp trap including bait,amazon.de,,,"HORNISSEN, Maikäfer und Fliegen","Mit einer Wespenfalle hat dieses Produkt leider nichts zu tun!Unter einem Berg von Fliegen befinden sich einige Maikäfer und leider auch die unter Naturschutz stehende HORNISSE!....Die Fassung ist ok, allerdings ist das ""Lockmittel"" wohl nur in der Schweiz tauglich gegen Wespen........Inhalt wurde entleert und wird mit einem anderen Lockstoff befüllt",1,Reviewed in Germany on 25 August 2021,Richard T.,True,0,RG7ZVAQS7AG3G,https://www.amazon.de/gp/customer-reviews/RG7ZVAQS7AG3G,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif; https://m.media-amazon.com/images/I/A1UR0cmb3CL._SY88.jpg; https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif; https://m.media-amazon.com/images/I/B1eshbiwQ-S._SY88.jpg,2026-04-28T15:15:53.004257
B005AUMQKW,,Style Name: Wasp trap including bait,amazon.de,,,nix wert,"taugt nix, besser mit wasserflache selber machen",1,Reviewed in Germany on 8 October 2024,Lothar,True,0,R2VO7CU8B36N8P,https://www.amazon.de/gp/customer-reviews/R2VO7CU8B36N8P,,2026-04-28T15:15:53.004257
B005AUMQKW,,Style Name: Wasp trap including bait,amazon.de,,,Funktioniert nicht,"Aufgestellt um 17:00 Uhr, abgebaut 21:00 Uhr, hineingeflogene Wespen: 0, vorbeigeflogene Wespen: ca. 200, davon mit einem Lachen: ca. 75, davon mit Stinkefinger: ca. 50, die restlichen haben versucht sich über 2 Schweineschnitzel und 4 Würstchen vom Grill herzumachen. Genervt haben wir uns nach drinnen verzogen. Der Lockstoff scheint sie nicht die Bohne zu interessieren. Beim nächsten mal wird wieder Kaffeepulver angezündet, das hilft zwar auch nicht 100 %ig aber es nervt wenigstens die blöden Viecher ungemein...",1,Reviewed in Germany on 4 August 2019,Amazon Kunde,True,9,R3NB3YJYBZE2SL,https://www.amazon.de/gp/customer-reviews/R3NB3YJYBZE2SL,,2026-04-28T15:15:53.004257
B005AUMQKW,,Style Name: Wasp trap including bait,amazon.de,,,Funktioniert nicht,"Wir hatten eine Vespenplage im Haus, 100e Vespen in einem Raum. 3 in der Falle. Der Lockstoff hat meiner Meinung nach nicht gewirkt.",1,Reviewed in Germany on 11 February 2024,Adrian T.,True,0,R3M1M325XPB4X0,https://www.amazon.de/gp/customer-reviews/R3M1M325XPB4X0,,2026-04-28T15:15:53.004257
B005AUMQKW,,Style Name: Köder,amazon.de,,,Wirkungslos,"War bisher immer mit Swissino Produkten hochzufrieden - aber in diesem Fall ist das Lockmittel völlig wirkungslos. Wurde die Rezeptur verändert? Wenn ja - ziemlich schlechte Idee! Falls nein - hm, dann haben wir wohl sehr wählerische Wespen dieses Jahr.",1,Reviewed in Germany on 20 July 2022,Kester Donner,True,0,R2LWQ5C2MF3DIA,https://www.amazon.de/gp/customer-reviews/R2LWQ5C2MF3DIA,,2026-04-28T15:15:53.004257
B005AUMQKW,,Style Name: Wasp trap including bait,amazon.de,,,Bienen Fänger,"Bringt gar nichts, viel fliegt hier rum, nichts geht auf nur ansatzweise hinein",1,Reviewed in Germany on 11 May 2024,Simone,True,0,R2FTL4T2WZXQR,https://www.amazon.de/gp/customer-reviews/R2FTL4T2WZXQR,https://m.media-amazon.com/images/I/71TdQixC9PL._SY88.jpg; https://m.media-amazon.com/images/I/71TdQixC9PL._SY88.jpg,2026-04-28T15:15:53.004257
B005AUMQKW,,Style Name: Wasp trap including bait,amazon.de,,,"3 Fallen, 7 Tage, 2 Wespen",Das Konzept funktioniert nicht. Nach Erhalt 3 Fallen nach Gebrauchsanleitung gefüllt und platziert.... 7 Tage später waren nur 2 Wespen (total!!!) in den Fallen. Vergeudetes Geld!!!,1,Reviewed in Germany on 3 August 2023,Niklaus B.,True,0,R5Z5P3B6ITQYH,https://www.amazon.de/gp/customer-reviews/R5Z5P3B6ITQYH,,2026-04-28T15:15:53.004257
B005AUMQKW,,Style Name: Wasp trap including bait,amazon.de,,,3-4 von 100+ wespen...,Geldverlust.,1,Reviewed in Germany on 16 October 2024,P. K,True,0,R35DREXRJVU5AO,https://www.amazon.de/gp/customer-reviews/R35DREXRJVU5AO,,2026-04-28T15:15:53.004257
